"","警察機關查獲毒品嫌疑犯人數─按年齡別分"
"","總計 / 年齡別總計 ","總計 /  0- 5歲 ","總計 /  6-11歲 ","總計 / 12-17歲 ","總計 / 18-23歲 ","總計 / 24-29歲 ","總計 / 30-39歲 ","總計 / 40-49歲 ","總計 / 50-59歲 ","總計 / 60-64歲 ","總計 / 65-69歲 ","總計 / 70歲以上 ","總計 / 不詳 ","男 / 年齡別總計 ","男 /  0- 5歲 ","男 /  6-11歲 ","男 / 12-17歲 ","男 / 18-23歲 ","男 / 24-29歲 ","男 / 30-39歲 ","男 / 40-49歲 ","男 / 50-59歲 ","男 / 60-64歲 ","男 / 65-69歲 ","男 / 70歲以上 ","男 / 不詳 ","女 / 年齡別總計 ","女 /  0- 5歲 ","女 /  6-11歲 ","女 / 12-17歲 ","女 / 18-23歲 ","女 / 24-29歲 ","女 / 30-39歲 ","女 / 40-49歲 ","女 / 50-59歲 ","女 / 60-64歲 ","女 / 65-69歲 ","女 / 70歲以上 ","女 / 不詳 "
"89年"," 49,797","      -","      6","  1,899"," 13,125"," 15,042"," 13,847","  4,955","    664","    132","      -","    116","     11"," 43,031","      -","      5","  1,310"," 10,410"," 13,333"," 12,583","  4,546","    606","    121","      -","    108","      9","  6,766","      -","      1","    589","  2,715","  1,709","  1,264","    409","     58","     11","      -","      8","      2"
"89年 1月","  7,197","      -","      2","    332","  2,043","  2,025","  1,952","    690","    103","     22","      -","     27","      1","  6,207","      -","      2","    227","  1,644","  1,803","  1,765","    627","     95","     19","      -","     25","      -","    990","      -","      -","    105","    399","    222","    187","     63","      8","      3","      -","      2","      1"
"89年 2月","  6,221","      -","      -","    234","  1,704","  1,881","  1,727","    573","     72","     18","      -","     12","      -","  5,430","      -","      -","    167","  1,386","  1,679","  1,572","    530","     68","     18","      -","     10","      -","    791","      -","      -","     67","    318","    202","    155","     43","      4","      -","      -","      2","      -"
"89年 3月","  3,372","      -","      -","    139","    935","  1,014","    891","    332","     40","     16","      -","      4","      1","  2,933","      -","      -","    103","    746","    912","    821","    296","     35","     15","      -","      4","      1","    439","      -","      -","     36","    189","    102","     70","     36","      5","      1","      -","      -","      -"
"89年 4月","  3,458","      -","      -","    143","    887","  1,058","    955","    356","     46","      8","      -","      5","      -","  2,988","      -","      -","    105","    713","    945","    857","    317","     39","      7","      -","      5","      -","    470","      -","      -","     38","    174","    113","     98","     39","      7","      1","      -","      -","      -"
"89年 5月","  4,003","      -","      1","    162","  1,072","  1,249","  1,111","    343","     47","     13","      -","      5","      -","  3,479","      -","      1","    115","    867","  1,105","  1,010","    320","     44","     12","      -","      5","      -","    524","      -","      -","     47","    205","    144","    101","     23","      3","      1","      -","      -","      -"
"89年 6月","  3,491","      -","      -","    147","    912","  1,051","    968","    347","     50","     10","      -","      6","      -","  3,054","      -","      -","    107","    732","    943","    894","    316","     46","     10","      -","      6","      -","    437","      -","      -","     40","    180","    108","     74","     31","      4","      -","      -","      -","      -"
"89年 7月","  3,936","      -","      -","    157","  1,037","  1,162","  1,110","    409","     47","      7","      -","      6","      1","  3,341","      -","      -","    111","    804","    996","    999","    378","     41","      5","      -","      6","      1","    595","      -","      -","     46","    233","    166","    111","     31","      6","      2","      -","      -","      -"
"89年 8月","  3,831","      -","      2","    141","    956","  1,174","  1,078","    413","     47","     10","      -","      8","      2","  3,291","      -","      1","     90","    722","  1,049","    990","    376","     43","     10","      -","      8","      2","    540","      -","      1","     51","    234","    125","     88","     37","      4","      -","      -","      -","      -"
"89年 9月","  3,431","      -","      -","    111","    907","  1,037","    965","    339","     48","     12","      -","     12","      -","  2,976","      -","      -","     75","    704","    921","    888","    322","     46","     10","      -","     10","      -","    455","      -","      -","     36","    203","    116","     77","     17","      2","      2","      -","      2","      -"
"89年 10月","  4,047","      -","      -","    125","  1,005","  1,286","  1,126","    422","     60","      6","      -","     13","      4","  3,456","      -","      -","     74","    783","  1,124","  1,020","    380","     54","      6","      -","     12","      3","    591","      -","      -","     51","    222","    162","    106","     42","      6","      -","      -","      1","      1"
"89年 11月","  3,811","      -","      -","    118","    983","  1,167","  1,089","    386","     49","      6","      -","     11","      2","  3,283","      -","      -","     77","    765","  1,031","    989","    361","     43","      5","      -","     10","      2","    528","      -","      -","     41","    218","    136","    100","     25","      6","      1","      -","      1","      -"
"89年 12月","  2,999","      -","      1","     90","    684","    938","    875","    345","     55","      4","      -","      7","      -","  2,593","      -","      1","     59","    544","    825","    778","    323","     52","      4","      -","      7","      -","    406","      -","      -","     31","    140","    113","     97","     22","      3","      -","      -","      -","      -"
"90年"," 34,434","      -","      -","    922","  7,774"," 10,786"," 10,271","  3,883","    623","     97","      -","     74","      4"," 29,554","      -","      -","    570","  5,903","  9,413","  9,368","  3,560","    578","     90","      -","     68","      4","  4,880","      -","      -","    352","  1,871","  1,373","    903","    323","     45","      7","      -","      6","      -"
