"","警察機關查獲毒品嫌疑犯人數─按教育程度別分"
"","總計 / 教育程度總計 ","總計 / 不識字 ","總計 / 自修 ","總計 / 國小 ","總計 / 國中 ","總計 / 高中(職) ","總計 / 大專 ","總計 / 研究所(含)以上 ","總計 / 不詳 ","男 / 教育程度總計 ","男 / 不識字 ","男 / 自修 ","男 / 國小 ","男 / 國中 ","男 / 高中(職) ","男 / 大專 ","男 / 研究所(含)以上 ","男 / 不詳 ","女 / 教育程度總計 ","女 / 不識字 ","女 / 自修 ","女 / 國小 ","女 / 國中 ","女 / 高中(職) ","女 / 大專 ","女 / 研究所(含)以上 ","女 / 不詳 "
"91年"," 30,643","     92","      8","  2,328"," 15,630"," 11,256","  1,140","     14","    175"," 25,931","     59","      5","  2,075"," 13,422","  9,245","    971","     13","    141","  4,712","     33","      3","    253","  2,208","  2,011","    169","      1","     34"
"91年 1月","  1,382","      7","      2","    136","    777","    422","     29","      1","      8","  1,172","      4","      -","    118","    666","    351","     25","      1","      7","    210","      3","      2","     18","    111","     71","      4","      -","      1"
"91年 2月","  3,045","     11","      1","    241","  1,663","  1,038","     78","      -","     13","  2,622","      6","      1","    208","  1,436","    890","     68","      -","     13","    423","      5","      -","     33","    227","    148","     10","      -","      -"
"91年 3月","  2,051","      3","      -","    147","  1,128","    701","     63","      1","      8","  1,772","      3","      -","    127","    979","    604","     53","      1","      5","    279","      -","      -","     20","    149","     97","     10","      -","      3"
"91年 4月","  2,321","     16","      1","    196","  1,258","    754","     85","      1","     10","  2,009","     10","      1","    179","  1,098","    639","     73","      1","      8","    312","      6","      -","     17","    160","    115","     12","      -","      2"
"91年 5月","  2,410","      4","      1","    198","  1,216","    884","     79","      -","     28","  2,066","      3","      1","    176","  1,044","    757","     67","      -","     18","    344","      1","      -","     22","    172","    127","     12","      -","     10"
"91年 6月","  2,766","      7","      1","    202","  1,299","  1,058","    190","      4","      5","  2,309","      4","      1","    182","  1,105","    841","    168","      4","      4","    457","      3","      -","     20","    194","    217","     22","      -","      1"
"91年 7月","  2,966","      8","      1","    188","  1,429","  1,201","    117","      1","     21","  2,464","      5","      1","    164","  1,215","    966","     97","      1","     15","    502","      3","      -","     24","    214","    235","     20","      -","      6"
"91年 8月","  3,259","      9","      1","    252","  1,531","  1,323","    128","      1","     14","  2,702","      8","      -","    232","  1,314","  1,037","     98","      1","     12","    557","      1","      1","     20","    217","    286","     30","      -","      2"
"91年 9月","  2,741","      8","      -","    202","  1,330","  1,063","    123","      2","     13","  2,299","      4","      -","    179","  1,150","    852","    102","      1","     11","    442","      4","      -","     23","    180","    211","     21","      1","      2"
"91年 10月","  2,699","      7","      -","    186","  1,394","  1,003","     90","      1","     18","  2,252","      6","      -","    167","  1,177","    809","     77","      1","     15","    447","      1","      -","     19","    217","    194","     13","      -","      3"
"91年 11月","  2,429","      5","      -","    190","  1,299","    829","     84","      1","     21","  2,081","      3","      -","    178","  1,120","    684","     76","      1","     19","    348","      2","      -","     12","    179","    145","      8","      -","      2"
"91年 12月","  2,574","      7","      -","    190","  1,306","    980","     74","      1","     16","  2,183","      3","      -","    165","  1,118","    815","     67","      1","     14","    391","      4","      -","     25","    188","    165","      7","      -","      2"
"92年"," 28,921","     65","      7","  2,158"," 14,910"," 10,713","    961","      5","    102"," 24,407","     36","      4","  1,879"," 12,789","  8,803","    806","      4","     86","  4,514","     29","      3","    279","  2,121","  1,910","    155","      1","     16"
"92年 1月","  3,203","     15","      2","    261","  1,667","  1,154","     87","      2","     15","  2,714","     10","      1","    222","  1,436","    954","     76","      2","     13","    489","      5","      1","     39","    231","    200","     11","      -","      2"
