,year,population,exchange_rate,economy_growth,gdp_nt_dollar(unit: million),gdp_us_dollar(unit: million),gdp_avg_nt_dollar,gdp_avg_us_dollar,gni_nt_dollar(unit: million),gni_us_dollar(unit: million),gni_avg_nt_dollar,gni_avg_us_dollar,ni_nt_dollar,ni_us_dollar,avg_income_nt_dollar,avg_income_us_dollar
0,40年,7758202.0,10.3,－,12327.0,1197.0,1589.0,154.0,12320.0,1196.0,1588.0,154.0,12276.0,1192.0,1582.0,154.0
1,41年,8046915.0,10.3,12.0,17275.0,1677.0,2147.0,208.0,17271.0,1677.0,2146.0,208.0,17119.0,1662.0,2127.0,207.0
2,42年,8333009.0,15.55,9.49,23036.0,1481.0,2764.0,178.0,23032.0,1481.0,2764.0,178.0,22712.0,1461.0,2726.0,175.0
3,43年,8645264.0,15.55,9.64,25315.0,1628.0,2928.0,188.0,25311.0,1628.0,2928.0,188.0,24759.0,1592.0,2864.0,184.0
4,44年,8967001.0,15.55,7.72,30163.0,1940.0,3364.0,216.0,30160.0,1940.0,3363.0,216.0,29326.0,1886.0,3270.0,210.0
5,45年,9289545.0,24.78,6.17,34672.0,1399.0,3732.0,151.0,34665.0,1399.0,3732.0,151.0,33546.0,1354.0,3611.0,146.0
6,46年,9597690.0,24.78,7.81,40549.0,1636.0,4225.0,170.0,40494.0,1634.0,4219.0,170.0,38965.0,1572.0,4060.0,164.0
7,47年,9920227.0,24.78,7.68,45498.0,1836.0,4586.0,185.0,45317.0,1829.0,4568.0,184.0,43409.0,1752.0,4376.0,177.0
8,48年,10288327.0,36.38,8.81,52526.0,1444.0,5105.0,140.0,52370.0,1440.0,5090.0,140.0,49984.0,1374.0,4858.0,134.0
9,49年,10667705.0,36.38,7.2,63398.0,1743.0,5943.0,163.0,63371.0,1742.0,5940.0,163.0,60483.0,1663.0,5670.0,156.0
10,50年,11030385.0,40.0,7.05,71128.0,1778.0,6448.0,161.0,71045.0,1776.0,6441.0,161.0,67549.0,1689.0,6124.0,153.0
11,  Ⅰ,10895610.0,40.0,－,17545.0,439.0,1610.0,40.0,17524.0,438.0,1609.0,40.0,－,－,－,－
12,  Ⅱ,10985460.0,40.0,－,17270.0,432.0,1572.0,39.0,17249.0,431.0,1571.0,39.0,－,－,－,－
13,  Ⅲ,11075310.0,40.0,－,16214.0,405.0,1464.0,37.0,16194.0,405.0,1463.0,37.0,－,－,－,－
14,  Ⅳ,11165159.0,40.0,－,20099.0,502.0,1802.0,45.0,20078.0,502.0,1798.0,45.0,－,－,－,－
15,51年,11392513.0,40.0,8.93,78412.0,1960.0,6883.0,172.0,78302.0,1958.0,6873.0,172.0,74227.0,1856.0,6515.0,163.0
16,  Ⅰ,11255692.0,40.0,8.87,18729.0,468.0,1665.0,42.0,18701.0,468.0,1662.0,42.0,－,－,－,－
17,  Ⅱ,11346906.0,40.0,9.11,19149.0,479.0,1689.0,42.0,19122.0,478.0,1686.0,42.0,－,－,－,－
18,  Ⅲ,11438121.0,40.0,12.39,18535.0,463.0,1621.0,41.0,18508.0,463.0,1619.0,40.0,－,－,－,－
19,  Ⅳ,11529335.0,40.0,6.05,21999.0,550.0,1908.0,47.0,21971.0,549.0,1906.0,48.0,－,－,－,－
20,52年,11762101.0,40.0,10.74,88740.0,2219.0,7545.0,189.0,88627.0,2216.0,7535.0,188.0,84170.0,2104.0,7156.0,179.0
