,year,population,exchange_rate,economy_growth,gdp_nt_dollar(unit: million),gdp_us_dollar(unit: million),gdp_avg_nt_dollar,gdp_avg_us_dollar,gni_nt_dollar(unit: million),gni_us_dollar(unit: million),gni_avg_nt_dollar,gni_avg_us_dollar,ni_nt_dollar,ni_us_dollar,avg_income_nt_dollar,avg_income_us_dollar
0,40年,7758202,10.3,0,12327,1197,1589,154,12320,1196,1588,154,12276,1192,1582,154
1,41年,8046915,10.3,12,17275,1677,2147,208,17271,1677,2146,208,17119,1662,2127,207
2,42年,8333009,15.55,9.49,23036,1481,2764,178,23032,1481,2764,178,22712,1461,2726,175
3,43年,8645264,15.55,9.64,25315,1628,2928,188,25311,1628,2928,188,24759,1592,2864,184
4,44年,8967001,15.55,7.72,30163,1940,3364,216,30160,1940,3363,216,29326,1886,3270,210
5,45年,9289545,24.78,6.17,34672,1399,3732,151,34665,1399,3732,151,33546,1354,3611,146
6,46年,9597690,24.78,7.81,40549,1636,4225,170,40494,1634,4219,170,38965,1572,4060,164
7,47年,9920227,24.78,7.68,45498,1836,4586,185,45317,1829,4568,184,43409,1752,4376,177
8,48年,10288327,36.38,8.81,52526,1444,5105,140,52370,1440,5090,140,49984,1374,4858,134
9,49年,10667705,36.38,7.2,63398,1743,5943,163,63371,1742,5940,163,60483,1663,5670,156
10,50年,11030385,40,7.05,71128,1778,6448,161,71045,1776,6441,161,67549,1689,6124,153
15,51年,11392513,40,8.93,78412,1960,6883,172,78302,1958,6873,172,74227,1856,6515,163
20,52年,11762101,40,10.74,88740,2219,7545,189,88627,2216,7535,188,84170,2104,7156,179
25,53年,12137143,40,12.63,103673,2592,8542,214,103689,2592,8543,214,98520,2463,8117,203
30,54年,12511863,40,11.89,114771,2869,9173,229,114577,2864,9157,229,108626,2716,8682,217
35,55年,12874153,40,9.63,128282,3207,9964,249,128185,3205,9957,249,121282,3032,9421,236
40,56年,13210344,40,11.15,148360,3709,11231,281,148037,3701,11206,280,139680,3492,10574,264
45,57年,13548537,40,9.71,173026,4326,12771,319,172568,4314,12737,318,162303,4058,11979,299
50,58年,14068984,40,9.59,200707,5018,14266,357,200460,5012,14248,356,187720,4693,13343,334
55,59年,14582944,40,11.51,231427,5786,15870,397,231015,5775,15841,396,216219,5405,14827,371
60,60年,14913564,40,13.43,269114,6728,18045,451,268992,6725,18037,451,251214,6280,16845,421
65,61年,15220495,40,13.87,322536,8063,21191,530,322604,8065,21195,530,299947,7499,19707,493
70,62年,15505121,38.25,12.83,418495,10941,26991,706,418379,10938,26983,705,385840,10087,24885,651
75,63年,15784817,38,2.67,560129,14740,35485,934,559952,14736,35474,934,508358,13378,32206,848
80,64年,16075128,38,6.19,601827,15838,37438,985,598483,15750,37230,980,538409,14169,33493,881
85,65年,16401413,38,14.28,721583,18989,43995,1158,716567,18857,43689,1150,645348,16983,39347,1035
90,66年,16730895,38,11.41,845657,22254,50545,1330,840533,22119,50238,1322,757095,19924,45251,1191
95,67年,17042272,36.95,13.56,1011501,27375,59352,1606,1009170,27312,59216,1603,913778,24730,53618,1451
100,68年,17372779,36,8.83,1219596,33878,70202,1950,1219996,33889,70225,1951,1098774,30522,63247,1757
105,69年,17704538,36,8.04,1522625,42295,86002,2389,1520519,42237,85883,2386,1363321,37870,77004,2139
110,70年,18029982,36.79,7.11,1805043,49063,100113,2721,1795390,48801,99578,2707,1613077,43846,89466,2432
115,71年,18354855,39.12,4.8,1938394,49550,105607,2700,1937712,49533,105569,2699,1741915,44527,94902,2426
120,72年,18653146,40.06,9.04,2170005,54169,116335,2904,2173261,54250,116509,2908,1946334,48585,104343,2605
