時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 1,966 	 911 	 9 	 70 	 5 	 402 	 44 	 58 	 23 
89年 1月	 179 	 73 	0	 9 	 1 	 33 	 1 	 6 	 5 
89年 2月	 133 	 51 	0	 9 	0	 24 	 3 	 2 	 1 
89年 3月	 135 	 92 	0	 8 	0	 31 	 3 	 5 	 3 
89年 4月	 173 	 87 	 1 	 7 	0	 29 	 1 	 2 	 3 
89年 5月	 202 	 101 	 2 	 3 	0	 31 	 7 	 2 	 2 
89年 6月	 145 	 75 	 1 	 2 	 2 	 35 	 2 	 4 	 1 
89年 7月	 202 	 88 	 2 	 2 	0	 30 	 1 	 7 	 2 
89年 8月	 175 	 70 	 1 	 8 	 2 	 38 	 1 	 6 	 1 
89年 9月	 163 	 58 	0	 7 	0	 36 	 8 	 2 	 1 
89年 10月	 150 	 61 	0	 6 	0	 42 	 7 	 4 	 2 
89年 11月	 164 	 76 	0	 4 	0	 34 	 7 	 8 	0
89年 12月	 145 	 79 	 2 	 5 	0	 39 	 3 	 10 	 2 
90年	 2,474 	 1,042 	 13 	 40 	 2 	 319 	 49 	 36 	 21 
90年 1月	 293 	 91 	 1 	 10 	 1 	 29 	 4 	 3 	 4 
90年 2月	 166 	 57 	 2 	 9 	0	 33 	 5 	 5 	 1 
90年 3月	 211 	 73 	 2 	 4 	0	 21 	 3 	 1 	 2 
90年 4月	 184 	 89 	0	0	 1 	 26 	 2 	 1 	 2 
90年 5月	 208 	 85 	 2 	 1 	0	 46 	 7 	 3 	 2 
90年 6月	 209 	 112 	 1 	 2 	0	 34 	 2 	0	 2 
90年 7月	 190 	 89 	0	0	0	 10 	 3 	 2 	 2 
90年 8月	 186 	 79 	 1 	 3 	0	 20 	 6 	0	 1 
90年 9月	 214 	 90 	0	 3 	0	 29 	 4 	 3 	0
90年 10月	 258 	 98 	 1 	 5 	0	 24 	 3 	 5 	 1 
90年 11月	 190 	 114 	 1 	 1 	0	 23 	 6 	 8 	 1 
90年 12月	 165 	 65 	 2 	 2 	0	 24 	 4 	 5 	 3 
91年	 2,756 	 863 	 13 	 27 	 1 	 423 	 64 	 62 	 30 
91年 1月	 152 	 75 	 1 	 1 	0	 24 	 1 	 2 	 4 
91年 2月	 318 	 103 	 2 	 3 	0	 33 	 3 	 3 	 3 
91年 3月	 152 	 82 	 1 	 4 	0	 33 	 6 	 6 	 3 
91年 4月	 208 	 61 	 1 	 5 	0	 32 	 10 	 6 	 3 
