時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 41 	0	 21 	 44 	 541 	 1,082 	0	0	 7 
89年 1月	 2 	0	0	 3 	 52 	 154 	0	0	 2 
89年 2月	 1 	0	 2 	 2 	 48 	 143 	0	0	 1 
89年 3月	0	0	 1 	 4 	 35 	 61 	0	0	0
89年 4月	 1 	0	0	 4 	 44 	 68 	0	0	0
89年 5月	 5 	0	 4 	 4 	 49 	 118 	0	0	0
89年 6月	 3 	0	 1 	 3 	 40 	 114 	0	0	 1 
89年 7月	 3 	0	 1 	 2 	 40 	 72 	0	0	0
89年 8月	0	0	 4 	 6 	 55 	 70 	0	0	 1 
89年 9月	 2 	0	 3 	 2 	 34 	 82 	0	0	 1 
89年 10月	 20 	0	 2 	 5 	 55 	 84 	0	0	 1 
89年 11月	 3 	0	 2 	 5 	 50 	 66 	0	0	0
89年 12月	 1 	0	 1 	 4 	 39 	 50 	0	0	0
90年	 37 	 1 	 30 	 52 	 549 	 403 	0	0	 226 
90年 1月	 3 	 1 	 1 	 8 	 60 	 70 	0	0	 2 
90年 2月	 4 	0	 3 	 1 	 38 	 34 	0	0	 1 
90年 3月	 6 	0	 3 	 1 	 39 	 36 	0	0	0
90年 4月	 4 	0	 3 	 5 	 46 	 42 	0	0	 2 
90年 5月	 4 	0	 4 	 4 	 54 	 62 	0	0	0
90年 6月	 2 	0	 4 	 3 	 46 	 47 	0	0	 3 
90年 7月	0	0	 1 	 4 	 44 	 33 	0	0	 30 
90年 8月	 1 	0	 2 	 4 	 53 	 24 	0	0	 48 
90年 9月	 4 	0	 4 	 8 	 57 	 10 	0	0	 16 
90年 10月	 2 	0	 1 	 5 	 44 	 21 	0	0	 56 
90年 11月	 5 	0	0	 5 	 37 	 13 	0	0	 47 
90年 12月	 2 	0	 4 	 4 	 31 	 11 	0	0	 21 
91年	 115 	 4 	 36 	 51 	 567 	 137 	 2 	0	 99 
91年 1月	 3 	0	 3 	 5 	 18 	 4 	0	0	 9 
91年 2月	 8 	0	 2 	 2 	 55 	 24 	0	0	 23 
91年 3月	 3 	0	 5 	 2 	 31 	 5 	0	0	 16 
91年 4月	 3 	0	 3 	 4 	 48 	 13 	0	0	 9 
91年 5月	 16 	 2 	 4 	 6 	 60 	 10 	0	0	 6 
91年 6月	 7 	0	 3 	 1 	 55 	 18 	 1 	0	 6 
91年 7月	 8 	0	 2 	 5 	 58 	 15 	 1 	0	 6 
91年 8月	 21 	0	 3 	 3 	 49 	 3 	0	0	 6 
91年 9月	 8 	0	 2 	 5 	 42 	 13 	0	0	 3 
91年 10月	 8 	 1 	 2 	 7 	 46 	 9 	0	0	 6 
91年 11月	 4 	 1 	 3 	 6 	 45 	 6 	0	0	 2 
91年 12月	 26 	0	 4 	 5 	 60 	 17 	0	0	 7 
92年	 107 	 2 	 36 	 66 	 599 	 107 	 1 	0	 27 
92年 1月	 26 	 2 	 4 	 8 	 76 	 20 	0	0	0
92年 2月	 11 	0	 4 	 9 	 33 	 6 	0	0	0
92年 3月	 5 	0	 2 	 4 	 42 	 10 	0	0	 1 
92年 4月	 9 	0	 4 	 3 	 68 	 11 	 1 	0	 3 
92年 5月	 6 	0	 4 	 12 	 70 	 7 	0	0	 3 
92年 6月	 14 	0	0	 4 	 30 	 6 	0	0	0
92年 7月	 3 	0	 2 	 9 	 51 	 12 	0	0	 2 
92年 8月	 8 	0	 1 	 4 	 46 	 8 	0	0	 1 
92年 9月	 3 	0	 4 	 2 	 36 	 9 	0	0	0
92年 10月	 13 	0	 3 	 5 	 60 	 5 	0	0	 8 
92年 11月	 6 	0	 6 	 2 	 40 	 6 	0	0	 2 
92年 12月	 3 	0	 2 	 4 	 47 	 7 	0	0	 7 
93年	 123 	 4 	 40 	 60 	 894 	 200 	 3 	0	 175 
93年 1月	 6 	0	 3 	 4 	 69 	 9 	0	0	 10 
93年 2月	 2 	0	0	 8 	 56 	 11 	0	0	 9 
93年 3月	 5 	0	0	 7 	 54 	 18 	0	0	 12 
93年 4月	 2 	0	 1 	 1 	 44 	 9 	0	0	 13 
93年 5月	 26 	0	 2 	 5 	 81 	 16 	0	0	 29 
93年 6月	 1 	0	0	 4 	 67 	 9 	0	0	 12 
93年 7月	 2 	 2 	 4 	 5 	 97 	 9 	0	0	 12 
93年 8月	0	0	 5 	 4 	 80 	 13 	0	0	 16 
93年 9月	 15 	0	 6 	 3 	 112 	 25 	 2 	0	 15 
93年 10月	 17 	 2 	 3 	 8 	 70 	 21 	0	0	 12 
93年 11月	 38 	0	 6 	 4 	 88 	 31 	0	0	 21 
93年 12月	 9 	0	 10 	 7 	 76 	 29 	 1 	0	 14 
94年	 32 	 1 	 36 	 37 	 1,078 	 255 	 5 	0	 107 
94年 1月	0	0	 1 	 2 	 57 	 12 	0	0	 7 
94年 2月	 2 	0	 3 	 1 	 64 	 18 	 2 	0	 10 
94年 3月	0	0	 1 	 5 	 72 	 22 	 1 	0	 27 
94年 4月	 3 	0	 4 	 2 	 101 	 14 	 1 	0	 20 
94年 5月	 7 	0	 2 	 3 	 75 	 21 	0	0	 27 
94年 6月	 3 	0	 3 	 5 	 82 	 13 	 1 	0	 10 
94年 7月	 1 	 1 	 4 	 1 	 111 	 46 	0	0	 1 
94年 8月	 1 	0	 8 	 2 	 100 	 22 	0	0	 2 
94年 9月	 6 	0	 2 	 5 	 132 	 37 	0	0	 1 
94年 10月	0	0	 2 	 6 	 89 	 19 	0	0	 2 
94年 11月	 5 	0	 4 	 2 	 74 	 16 	0	0	0
94年 12月	 4 	0	 2 	 3 	 121 	 15 	0	0	0
95年	 112 	0	 44 	 35 	 1,302 	 204 	0	0	 19 
95年 1月	 5 	0	 10 	 1 	 121 	 14 	0	0	0
95年 2月	 10 	0	 3 	 1 	 97 	 11 	0	0	 2 
95年 3月	 19 	0	 3 	 2 	 79 	 23 	0	0	0
95年 4月	 2 	0	 1 	 5 	 138 	 23 	0	0	 2 
95年 5月	 4 	0	 3 	 5 	 117 	 22 	0	0	0
95年 6月	 4 	0	 3 	 1 	 83 	 11 	0	0	 7 
95年 7月	0	0	 1 	 4 	 137 	 23 	0	0	 1 
95年 8月	 15 	0	 8 	 3 	 143 	 19 	0	0	 2 
95年 9月	 8 	0	 2 	 6 	 116 	 12 	0	0	 1 
95年 10月	 2 	0	 5 	 1 	 112 	 19 	0	0	 4 
95年 11月	 41 	0	 3 	 4 	 92 	 18 	0	0	0
95年 12月	 2 	0	 2 	 2 	 67 	 9 	0	0	0
96年	 108 	 1 	 58 	 47 	 1,462 	 406 	 2 	0	 9 
96年 1月	 36 	0	 3 	 1 	 113 	 12 	0	0	 1 
96年 2月	 2 	0	 3 	 1 	 114 	 22 	0	0	0
96年 3月	 3 	 1 	 7 	 8 	 102 	 16 	 2 	0	 2 
96年 4月	 1 	0	 6 	 5 	 109 	 20 	0	0	 2 
96年 5月	0	0	 8 	 8 	 161 	 48 	0	0	 4 
96年 6月	 35 	0	 4 	 3 	 95 	 26 	0	0	0
96年 7月	 3 	0	 4 	 3 	 152 	 32 	0	0	0
96年 8月	 5 	0	 8 	 5 	 146 	 80 	0	0	0
96年 9月	 1 	0	 6 	 6 	 118 	 41 	0	0	0
96年 10月	 4 	0	 3 	 2 	 117 	 46 	0	0	0
96年 11月	 5 	0	 3 	 1 	 130 	 31 	0	0	0
96年 12月	 13 	0	 3 	 4 	 105 	 32 	0	0	0
97年	 32 	0	 52 	 61 	 1,279 	 338 	 7 	0	 3 
97年 1月	 1 	0	 4 	 4 	 122 	 33 	0	0	0
97年 2月	 1 	0	 1 	 2 	 93 	 27 	0	0	0
97年 3月	 1 	0	 4 	 6 	 123 	 34 	0	0	0
97年 4月	 4 	0	 3 	 10 	 118 	 27 	0	0	0
97年 5月	0	0	 5 	 5 	 118 	 38 	0	0	0
97年 6月	0	0	 1 	 5 	 110 	 28 	 2 	0	0
97年 7月	 18 	0	 6 	 5 	 144 	 50 	 1 	0	 3 
97年 8月	 2 	0	 10 	 3 	 114 	 25 	0	0	0
97年 9月	 3 	0	 5 	 1 	 92 	 22 	 1 	0	0
97年 10月	 1 	0	 8 	 9 	 101 	 25 	0	0	0
97年 11月	0	0	 2 	 5 	 91 	 15 	0	0	0
97年 12月	 1 	0	 3 	 6 	 53 	 14 	 3 	0	0
98年	 15 	0	 58 	 63 	 784 	 280 	 5 	0	 4 
98年 1月	 2 	0	 5 	 4 	 60 	 10 	0	0	 2 
98年 2月	 3 	0	 4 	 5 	 93 	 22 	 2 	0	 1 
98年 3月	 1 	0	 2 	 6 	 72 	 32 	0	0	0
98年 4月	 1 	0	 4 	 7 	 65 	 20 	 2 	0	0
98年 5月	 1 	0	 3 	 6 	 65 	 12 	0	0	0
