時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 59 	 6 	0	 44 	 36 	0	 3 	 21 	 2 
89年 1月	 3 	 1 	0	 4 	 1 	0	0	 1 	0
89年 2月	 3 	0	0	 4 	 1 	0	0	0	0
89年 3月	 7 	0	0	 1 	0	0	0	 1 	0
89年 4月	 5 	0	0	 3 	 3 	0	 1 	 1 	0
89年 5月	 8 	0	0	 4 	 2 	0	0	 16 	0
89年 6月	 5 	 1 	0	 4 	0	0	0	0	0
89年 7月	 7 	0	0	 5 	 2 	0	0	0	0
89年 8月	 5 	 1 	0	 6 	0	0	 1 	 1 	0
89年 9月	 1 	 3 	0	 2 	 5 	0	0	0	0
89年 10月	 2 	0	0	 4 	 14 	0	0	0	0
89年 11月	 6 	0	0	 3 	 6 	0	 1 	 1 	0
89年 12月	 7 	0	0	 4 	 2 	0	0	0	 2 
90年	 61 	 11 	0	 57 	 98 	0	 2 	 15 	0
90年 1月	 4 	0	0	 7 	 9 	0	0	 1 	0
90年 2月	 5 	 1 	0	 4 	 6 	0	0	 2 	0
90年 3月	 7 	 1 	0	 7 	 7 	0	0	 1 	0
90年 4月	 6 	 2 	0	0	 14 	0	0	 2 	0
90年 5月	 7 	 1 	0	 7 	 4 	0	0	0	0
90年 6月	 9 	 3 	0	 5 	 1 	0	0	 2 	0
90年 7月	 1 	0	0	 4 	 1 	0	0	0	0
90年 8月	 1 	 1 	0	 5 	 17 	0	 1 	0	0
90年 9月	 3 	0	0	 4 	 3 	0	0	 2 	0
90年 10月	 9 	 2 	0	 2 	 31 	0	0	 1 	0
90年 11月	 4 	0	0	 3 	 2 	0	0	 4 	0
90年 12月	 5 	0	0	 9 	 3 	0	 1 	0	0
91年	 63 	 12 	0	 90 	 75 	0	 5 	 6 	0
91年 1月	 4 	0	0	 6 	 5 	0	0	0	0
91年 2月	 3 	 1 	0	 10 	 7 	0	0	0	0
91年 3月	 8 	 1 	0	 6 	 1 	0	0	0	0
91年 4月	 5 	 1 	0	 6 	 5 	0	 2 	0	0
91年 5月	 3 	 2 	0	 8 	 6 	0	0	0	0
91年 6月	 5 	0	0	 9 	 8 	0	0	 2 	0
91年 7月	 6 	 3 	0	 8 	 17 	0	0	0	0
91年 8月	 5 	 2 	0	 10 	 11 	0	0	0	0
91年 9月	 7 	 1 	0	0	 2 	0	0	0	0
91年 10月	 8 	 1 	0	 13 	 5 	0	0	0	0
91年 11月	 7 	0	0	 11 	 6 	0	0	 2 	0
91年 12月	 2 	0	0	 3 	 2 	0	 3 	 2 	0
92年	 57 	 7 	0	 71 	 81 	0	 2 	 23 	0
92年 1月	 6 	 1 	0	 20 	 5 	0	0	0	0
92年 2月	 12 	 1 	0	 6 	 8 	0	0	 3 	0
92年 3月	 2 	0	0	 4 	 4 	0	0	0	0
92年 4月	 4 	0	0	 8 	 20 	0	0	 2 	0
92年 5月	 8 	 1 	0	 3 	 2 	0	0	 4 	0
92年 6月	 5 	 1 	0	 7 	 17 	0	0	 4 	0
92年 7月	 5 	0	0	 4 	 3 	0	0	 4 	0
92年 8月	 3 	 1 	0	 3 	 9 	0	0	0	0
92年 9月	 6 	 1 	0	 6 	 4 	0	0	 3 	0
92年 10月	 1 	0	0	 3 	 5 	0	 1 	 1 	0
92年 11月	 2 	0	0	 5 	 1 	0	 1 	0	0
92年 12月	 3 	 1 	0	 2 	 3 	0	0	 2 	0
93年	 38 	 21 	0	 82 	 85 	0	 19 	 12 	 2 
93年 1月	 2 	0	0	 3 	0	0	 2 	 1 	0
93年 2月	 5 	 4 	0	 2 	 4 	0	 1 	0	0
93年 3月	 3 	 1 	0	0	 15 	0	 1 	 2 	 1 
93年 4月	 2 	 1 	0	 1 	 3 	0	 3 	0	0
93年 5月	 1 	 2 	0	 17 	 18 	0	 2 	0	0
93年 6月	 1 	 2 	0	 2 	 9 	0	 1 	 2 	0
93年 7月	 4 	 1 	0	 5 	 5 	0	0	 1 	0
93年 8月	 5 	 2 	0	 9 	 8 	0	 1 	 2 	0
93年 9月	 7 	0	0	 1 	 5 	0	 4 	 2 	 1 
93年 10月	 3 	 5 	0	 27 	 9 	0	0	 1 	0
93年 11月	 4 	 2 	0	 9 	 1 	0	 1 	0	0
93年 12月	 1 	 1 	0	 6 	 8 	0	 3 	 1 	0
94年	 41 	 15 	 9 	 46 	 60 	0	 13 	 15 	0
94年 1月	 4 	 1 	 2 	 1 	 2 	0	0	 1 	0
94年 2月	0	 2 	 1 	 4 	 1 	0	0	 1 	0
94年 3月	 3 	0	0	 4 	 8 	0	0	 2 	0
94年 4月	 6 	 1 	 3 	 3 	 13 	0	 3 	 3 	0
94年 5月	 4 	0	0	 5 	0	0	0	0	0
94年 6月	 5 	 1 	0	 2 	 6 	0	0	0	0
94年 7月	 7 	 2 	 2 	 7 	 2 	0	0	0	0
94年 8月	 2 	 2 	 1 	 4 	 3 	0	0	 1 	0
94年 9月	 2 	 3 	0	 3 	 5 	0	0	0	0
94年 10月	 2 	0	0	 8 	 8 	0	 2 	 6 	0
94年 11月	 2 	 1 	0	 4 	 6 	0	 8 	 1 	0
94年 12月	 4 	 2 	0	 1 	 6 	0	0	0	0
95年	 41 	 24 	 8 	 37 	 65 	0	 70 	 20 	0
95年 1月	 4 	 2 	 1 	 8 	 2 	0	 4 	 1 	0
95年 2月	 2 	 2 	0	 3 	 7 	0	0	 3 	0
95年 3月	 5 	 1 	0	 7 	 3 	0	0	0	0
95年 4月	 4 	 3 	0	 2 	 13 	0	0	 1 	0
95年 5月	 4 	 1 	0	 3 	 6 	0	 1 	0	0
95年 6月	 4 	 2 	 1 	 5 	 3 	0	 7 	 6 	0
95年 7月	 3 	 3 	 1 	 3 	 8 	0	 4 	 1 	0
95年 8月	 1 	 4 	 1 	 2 	 8 	0	 10 	0	0
95年 9月	 2 	 1 	 1 	 1 	 5 	0	 12 	0	0
95年 10月	 5 	 2 	 2 	 2 	 1 	0	 24 	 1 	0
95年 11月	 5 	 1 	 1 	 1 	 6 	0	 7 	0	0
95年 12月	 2 	 2 	0	0	 3 	0	 1 	 7 	0
96年	 41 	 21 	 9 	 33 	 42 	0	 23 	 15 	 1 
96年 1月	 3 	 2 	0	0	 1 	0	 5 	 2 	0
96年 2月	0	0	 1 	 9 	 3 	0	 1 	0	0
96年 3月	 3 	 1 	 2 	 1 	 11 	0	 4 	 4 	0
96年 4月	 4 	 2 	0	 1 	 3 	0	 2 	 1 	0
96年 5月	 6 	0	 2 	 5 	 1 	0	 1 	 2 	0
96年 6月	 6 	 2 	0	 1 	0	0	0	 1 	0
96年 7月	 4 	 2 	 2 	0	 6 	0	 1 	0	0
96年 8月	 5 	 2 	0	0	 3 	0	 3 	 3 	 1 
96年 9月	 5 	 3 	 1 	 2 	 4 	0	 2 	0	0
96年 10月	 1 	 2 	0	 1 	 3 	0	 2 	 1 	0
96年 11月	 4 	 3 	 1 	 10 	 6 	0	 2 	 1 	0
96年 12月	0	 2 	0	 3 	 1 	0	0	0	0
97年	 82 	 21 	 13 	 27 	 39 	0	 20 	 19 	0
97年 1月	 9 	 2 	 2 	 1 	 6 	0	 2 	0	0
97年 2月	 8 	 2 	0	 3 	0	0	 1 	 4 	0
97年 3月	 9 	 2 	 1 	 8 	 4 	0	 3 	 1 	0
97年 4月	 2 	 1 	0	 2 	 4 	0	 6 	0	0
97年 5月	 11 	 5 	0	 2 	 5 	0	 2 	0	0
97年 6月	 8 	 1 	0	 2 	 7 	0	0	 1 	0
97年 7月	 9 	 4 	 2 	 1 	 5 	0	0	 1 	0
97年 8月	 8 	0	 3 	 1 	 6 	0	0	 2 	0
97年 9月	 3 	 1 	 1 	 1 	0	0	 2 	0	0
97年 10月	 3 	 1 	 2 	 2 	 1 	0	 2 	 3 	0
97年 11月	 7 	 1 	 2 	 1 	 1 	0	0	 2 	0
97年 12月	 5 	 1 	0	 3 	0	0	 2 	 5 	0
98年	 71 	 17 	 173 	 23 	 32 	0	 33 	 29 	0
98年 1月	 4 	0	0	 2 	 2 	0	 2 	 1 	0
98年 2月	 5 	 2 	 3 	 3 	 9 	0	 6 	0	0
98年 3月	 2 	 3 	 2 	 2 	 4 	0	0	 1 	0
98年 4月	 6 	0	 50 	 1 	 2 	0	0	 3 	0
98年 5月	 5 	0	 46 	 2 	 2 	0	 6 	 4 	0
98年 6月	 9 	 3 	 4 	 1 	0	0	0	 8 	0
98年 7月	 7 	 1 	 1 	 1 	 6 	0	 1 	 2 	0
98年 8月	 7 	 4 	 2 	0	 1 	0	 3 	 1 	0
98年 9月	 6 	0	 25 	0	 2 	0	 4 	 4 	0
98年 10月	 9 	 1 	 4 	 7 	 2 	0	 6 	 2 	0
98年 11月	 6 	0	 35 	 3 	 1 	0	 5 	 2 	0
98年 12月	 5 	 3 	 1 	 1 	 1 	0	0	 1 	0
99年	 82 	 21 	 28 	 14 	 12 	0	 14 	 39 	0
99年 1月	 4 	 2 	 2 	0	 1 	0	 2 	 3 	0
99年 2月	 3 	 2 	0	0	0	0	0	0	0
99年 3月	 10 	 1 	 1 	 1 	 2 	0	 1 	 2 	0
99年 4月	 9 	 2 	 5 	 2 	0	0	0	 1 	0
99年 5月	 7 	 2 	 8 	0	0	0	0	0	0
99年 6月	 8 	 1 	 2 	0	 2 	0	0	 7 	0
99年 7月	 3 	 1 	 1 	 2 	 2 	0	0	0	0
99年 8月	 10 	0	 3 	 2 	0	0	0	 2 	0
99年 9月	 7 	 1 	 1 	 1 	 1 	0	 1 	 1 	0
99年 10月	 8 	 1 	 1 	 1 	0	0	 7 	0	0
99年 11月	 7 	 4 	 2 	 5 	 1 	0	 1 	 1 	0
99年 12月	 6 	 4 	 2 	0	 3 	0	 2 	 22 	0
100年	 60 	 23 	 9 	 8 	 11 	0	 21 	 17 	 1 
100年 1月	 4 	 3 	0	0	 1 	0	0	 2 	0
100年 2月	 1 	 3 	 1 	 1 	0	0	 5 	 1 	0
100年 3月	 6 	 2 	 1 	 2 	0	0	 2 	 1 	0
100年 4月	 4 	 1 	0	 2 	0	0	 3 	 4 	0
100年 5月	 4 	0	 2 	 1 	 1 	0	 1 	 2 	 1 
100年 6月	 5 	 2 	0	 1 	 1 	0	0	 1 	0
100年 7月	 7 	 2 	0	0	0	0	 1 	 1 	0
100年 8月	 5 	 2 	 1 	0	 1 	0	0	0	0
100年 9月	 1 	 3 	 2 	0	0	0	 1 	 1 	0
100年 10月	 6 	 1 	 1 	0	 2 	0	 4 	 1 	0
100年 11月	 9 	 4 	0	0	 3 	0	 3 	0	0
100年 12月	 8 	0	 1 	 1 	 2 	0	 1 	 3 	0
101年	 88 	 19 	 7 	 18 	 14 	0	 7 	 20 	 1 
101年 1月	 7 	 1 	0	 1 	 4 	0	0	 2 	0
101年 2月	 10 	0	0	 3 	0	0	 1 	 3 	0
101年 3月	 5 	0	 1 	 2 	 2 	0	0	 2 	0
101年 4月	 9 	0	 1 	 2 	0	0	 3 	 1 	0
101年 5月	 6 	 2 	 1 	0	0	0	0	 2 	0
101年 6月	 6 	 3 	0	 3 	 1 	0	0	 2 	0
101年 7月	 4 	 4 	 2 	 1 	 1 	0	0	 2 	0
101年 8月	 11 	 3 	0	 1 	 1 	0	 1 	 1 	0
101年 9月	 7 	0	 1 	 2 	 1 	0	 2 	 3 	0
101年 10月	 4 	 2 	0	 2 	0	0	0	 1 	0
101年 11月	 9 	 1 	 1 	 1 	 4 	0	0	0	 1 
101年 12月	 10 	 3 	0	0	0	0	0	 1 	0
102年	 90 	 35 	 6 	 7 	 9 	0	 13 	 26 	0
102年 1月	 5 	 2 	0	0	 1 	0	 1 	0	0
102年 2月	 3 	 4 	0	 1 	 1 	0	 3 	 4 	0
102年 3月	 8 	 7 	0	 1 	0	0	0	 4 	0
102年 4月	 7 	 5 	0	 1 	0	0	0	 5 	0
102年 5月	 9 	 2 	 2 	0	 1 	0	0	 2 	0
102年 6月	 11 	 3 	0	 1 	0	0	 1 	 1 	0
102年 7月	 9 	 4 	 2 	 1 	 2 	0	0	 2 	0
102年 8月	 7 	0	0	0	 3 	0	 1 	 1 	0
102年 9月	 4 	0	 1 	0	0	0	 3 	 2 	0
102年 10月	 7 	 3 	0	0	 1 	0	 2 	 3 	0
102年 11月	 6 	 4 	 1 	 1 	0	0	 2 	 1 	0
102年 12月	 14 	 1 	0	 1 	0	0	0	 1 	0
103年	 94 	 28 	 10 	 13 	 9 	0	 17 	 64 	 1 
103年 1月	 10 	 3 	 1 	0	 1 	0	 1 	 1 	0
103年 2月	 8 	 3 	 1 	 1 	0	0	 1 	 13 	0
103年 3月	 6 	 3 	0	0	0	0	 1 	 4 	0
103年 4月	 8 	 1 	0	0	 1 	0	0	 3 	0
103年 5月	 5 	 2 	 2 	 1 	 1 	0	 2 	 4 	0
103年 6月	 8 	 2 	0	 2 	0	0	 2 	 5 	0
103年 7月	 4 	 4 	 1 	 1 	 1 	0	0	 8 	0
103年 8月	 3 	 2 	0	0	 1 	0	 1 	 4 	0
103年 9月	 6 	 1 	 1 	 2 	 2 	0	 3 	 2 	 1 
103年 10月	 15 	 2 	 4 	 2 	 1 	0	 2 	 2 	0
103年 11月	 12 	 2 	0	 4 	 1 	0	 3 	 6 	0
103年 12月	 9 	 3 	0	0	0	0	 1 	 12 	0
104年	 80 	 22 	 5 	 15 	 4 	0	 18 	 32 	0
104年 1月	 4 	0	0	 1 	0	0	0	 2 	0
104年 2月	 9 	 2 	 1 	0	0	0	 3 	 8 	0
104年 3月	 12 	 5 	 1 	0	0	0	 1 	 1 	0
104年 4月	 4 	 2 	 1 	 2 	0	0	 1 	 2 	0
104年 5月	 5 	 2 	 1 	0	0	0	 1 	 3 	0
104年 6月	 5 	 1 	0	0	 2 	0	0	 3 	0
104年 7月	 5 	0	0	 1 	 1 	0	0	 3 	0
104年 8月	 6 	 2 	0	 2 	0	0	 2 	 5 	0
104年 9月	 10 	 2 	0	 5 	0	0	0	 1 	0
104年 10月	 7 	 2 	0	 3 	0	0	0	 2 	0
104年 11月	 8 	 3 	0	0	 1 	0	 10 	 2 	0
104年 12月	 5 	 1 	 1 	 1 	0	0	0	0	0
105年	 110 	 23 	 4 	 6 	 7 	0	 9 	 23 	0
105年 1月	 17 	 1 	0	0	0	0	0	 1 	0
105年 2月	 6 	 3 	0	 2 	 1 	0	0	 1 	0
105年 3月	 10 	 4 	 2 	0	0	0	 2 	 2 	0
105年 4月	 10 	 2 	 1 	0	 1 	0	 1 	 1 	0
105年 5月	 7 	 1 	 1 	 1 	0	0	 2 	 3 	0
105年 6月	 6 	 1 	0	 1 	 1 	0	0	 3 	0
105年 7月	 8 	0	0	0	 1 	0	0	 4 	0
105年 8月	 8 	 2 	0	0	 3 	0	0	 2 	0
105年 9月	 11 	 4 	0	 1 	0	0	0	 2 	0
105年 10月	 7 	0	0	0	0	0	 3 	 3 	0
105年 11月	 11 	 3 	0	0	0	0	0	0	0
105年 12月	 9 	 2 	0	 1 	0	0	 1 	 1 	0
