時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	0	0	0	 9 	 32 	0	 1 	 303 	0
89年 1月	0	0	0	 1 	 5 	0	0	 24 	0
89年 2月	0	0	0	0	 1 	0	0	 23 	0
89年 3月	0	0	0	0	0	0	0	 25 	0
89年 4月	0	0	0	 2 	 1 	0	0	 26 	0
89年 5月	0	0	0	0	 2 	0	0	 21 	0
89年 6月	0	0	0	0	0	0	0	 20 	0
89年 7月	0	0	0	0	 1 	0	0	 26 	0
89年 8月	0	0	0	0	 4 	0	0	 36 	0
89年 9月	0	0	0	0	 3 	0	0	 22 	0
89年 10月	0	0	0	 4 	 1 	0	0	 25 	0
89年 11月	0	0	0	 2 	 6 	0	0	 26 	0
89年 12月	0	0	0	0	 8 	0	 1 	 29 	0
90年	 3 	0	0	 3 	 49 	 1 	 3 	 516 	 1 
90年 1月	0	0	0	0	 8 	 1 	0	 50 	0
90年 2月	0	0	0	0	 2 	0	0	 34 	0
90年 3月	0	0	0	 1 	 4 	0	0	 54 	0
90年 4月	0	0	0	0	 11 	0	 1 	 27 	0
90年 5月	0	0	0	0	0	0	 1 	 36 	0
90年 6月	0	0	0	0	 4 	0	0	 47 	0
90年 7月	0	0	0	0	 4 	0	0	 38 	0
90年 8月	0	0	0	0	 3 	0	0	 38 	0
90年 9月	0	0	0	 2 	 4 	0	0	 37 	0
90年 10月	0	0	0	0	 4 	0	0	 45 	 1 
90年 11月	 2 	0	0	0	 4 	0	0	 63 	0
90年 12月	 1 	0	0	0	 1 	0	 1 	 47 	0
91年	 1 	0	0	 2 	 59 	 1 	 1 	 564 	0
91年 1月	0	0	0	0	 2 	 1 	0	 48 	0
91年 2月	0	0	0	0	 11 	0	0	 44 	0
91年 3月	0	0	0	0	 13 	0	 1 	 45 	0
91年 4月	0	0	0	0	 1 	0	0	 51 	0
91年 5月	0	0	0	 1 	 7 	0	0	 32 	0
91年 6月	 1 	0	0	 1 	 2 	0	0	 43 	0
91年 7月	0	0	0	0	 3 	0	0	 50 	0
91年 8月	0	0	0	0	 6 	0	0	 39 	0
91年 9月	0	0	0	0	 6 	0	0	 60 	0
91年 10月	0	0	0	0	 2 	0	0	 49 	0
91年 11月	0	0	0	0	 4 	0	0	 48 	0
91年 12月	0	0	0	0	 2 	0	0	 55 	0
92年	 1 	0	0	 4 	 40 	0	 7 	 681 	0
92年 1月	0	0	0	0	 11 	0	 1 	 75 	0
92年 2月	0	0	0	0	 11 	0	 1 	 70 	0
92年 3月	0	0	0	 3 	 3 	0	0	 45 	0
92年 4月	0	0	0	0	 8 	0	0	 48 	0
92年 5月	0	0	0	 1 	0	0	 1 	 46 	0
92年 6月	0	0	0	0	0	0	0	 40 	0
92年 7月	0	0	0	0	 3 	0	0	 52 	0
92年 8月	0	0	0	0	0	0	0	 64 	0
92年 9月	0	0	0	0	0	0	 1 	 48 	0
92年 10月	 1 	0	0	0	 1 	0	0	 60 	0
92年 11月	0	0	0	0	 1 	0	0	 72 	0
92年 12月	0	0	0	0	 2 	0	 3 	 61 	0
93年	 1 	0	0	 3 	 19 	0	 1 	 771 	0
93年 1月	0	0	0	0	 4 	0	0	 62 	0
93年 2月	0	0	0	0	0	0	0	 59 	0
93年 3月	0	0	0	0	 3 	0	0	 45 	0
93年 4月	0	0	0	0	0	0	0	 45 	0
93年 5月	0	0	0	 1 	 3 	0	 1 	 65 	0
93年 6月	 1 	0	0	 1 	 2 	0	0	 46 	0
93年 7月	0	0	0	0	0	0	0	 75 	0
93年 8月	0	0	0	0	0	0	0	 70 	0
93年 9月	0	0	0	 1 	 1 	0	0	 64 	0
93年 10月	0	0	0	0	 5 	0	0	 94 	0
93年 11月	0	0	0	0	0	0	0	 70 	0
93年 12月	0	0	0	0	 1 	0	0	 76 	0
94年	0	0	0	 4 	 5 	0	 11 	 937 	0
94年 1月	0	0	0	0	0	0	0	 89 	0
94年 2月	0	0	0	0	 1 	0	0	 71 	0
94年 3月	0	0	0	0	0	0	 1 	 92 	0
94年 4月	0	0	0	0	0	0	 2 	 89 	0
94年 5月	0	0	0	0	 1 	0	 1 	 65 	0
94年 6月	0	0	0	0	0	0	0	 77 	0
94年 7月	0	0	0	 1 	0	0	0	 60 	0
94年 8月	0	0	0	0	0	0	0	 73 	0
94年 9月	0	0	0	 1 	 1 	0	0	 77 	0
94年 10月	0	0	0	 1 	 1 	0	0	 77 	0
94年 11月	0	0	0	0	0	0	 2 	 72 	0
94年 12月	0	0	0	 1 	 1 	0	 5 	 95 	0
95年	 1 	 5 	0	 9 	 18 	0	 22 	 1,097 	0
95年 1月	0	0	0	0	0	0	 1 	 81 	0
95年 2月	0	 1 	0	 3 	 1 	0	0	 89 	0
95年 3月	0	0	0	 1 	 1 	0	 2 	 75 	0
95年 4月	0	 1 	0	 1 	 1 	0	 3 	 85 	0
95年 5月	0	0	0	 2 	 1 	0	 1 	 93 	0
95年 6月	 1 	0	0	0	 1 	0	 1 	 76 	0
95年 7月	0	 1 	0	0	 1 	0	 1 	 106 	0
95年 8月	0	0	0	0	 4 	0	 4 	 129 	0
95年 9月	0	 1 	0	0	 3 	0	 4 	 90 	0
95年 10月	0	 1 	0	 2 	 3 	0	0	 91 	0
95年 11月	0	0	0	0	0	0	 3 	 87 	0
95年 12月	0	0	0	0	 2 	0	 2 	 95 	0
96年	0	0	0	 5 	 39 	0	 26 	 1,320 	0
96年 1月	0	0	0	0	 2 	0	 5 	 167 	0
96年 2月	0	0	0	0	0	0	0	 125 	0
96年 3月	0	0	0	0	 1 	0	 2 	 128 	0
96年 4月	0	0	0	 1 	 3 	0	0	 121 	0
96年 5月	0	0	0	 1 	 4 	0	 3 	 100 	0
96年 6月	0	0	0	0	 6 	0	 7 	 91 	0
96年 7月	0	0	0	0	 4 	0	0	 127 	0
96年 8月	0	0	0	0	 5 	0	 8 	 86 	0
96年 9月	0	0	0	 2 	 8 	0	0	 108 	0
96年 10月	0	0	0	 1 	 4 	0	 1 	 87 	0
96年 11月	0	0	0	0	 1 	0	0	 84 	0
96年 12月	0	0	0	0	 1 	0	0	 96 	0
97年	 1 	0	0	 13 	 25 	0	 28 	 1,214 	 1 
97年 1月	0	0	0	0	 2 	0	0	 133 	0
97年 2月	0	0	0	0	 1 	0	0	 94 	0
97年 3月	0	0	0	 2 	 1 	0	 2 	 78 	 1 
97年 4月	0	0	0	 1 	 4 	0	 3 	 82 	0
97年 5月	0	0	0	 2 	0	0	 2 	 104 	0
97年 6月	0	0	0	 3 	0	0	 7 	 82 	0
97年 7月	0	0	0	0	 4 	0	 2 	 106 	0
97年 8月	0	0	0	 1 	 1 	0	 3 	 122 	0
97年 9月	0	0	0	 2 	 6 	0	 2 	 82 	0
97年 10月	0	0	0	 2 	 3 	0	0	 115 	0
