時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 9 	0	0	 5 	0	0	0	 85 	 198 
89年 1月	 2 	0	0	 1 	0	0	0	 9 	 10 
89年 2月	0	0	0	0	0	0	0	 8 	 20 
89年 3月	 1 	0	0	 1 	0	0	0	 9 	 14 
89年 4月	 2 	0	0	0	0	0	0	 4 	 8 
89年 5月	 2 	0	0	0	0	0	0	 8 	 16 
89年 6月	0	0	0	0	0	0	0	 9 	 11 
89年 7月	0	0	0	0	0	0	0	 6 	 22 
89年 8月	0	0	0	0	0	0	0	 7 	 27 
89年 9月	0	0	0	 1 	0	0	0	 6 	 18 
89年 10月	 2 	0	0	0	0	0	0	 5 	 12 
89年 11月	0	0	0	 1 	0	0	0	 5 	 23 
89年 12月	0	0	0	 1 	0	0	0	 9 	 17 
90年	 15 	0	0	 10 	0	0	 1 	 59 	 181 
90年 1月	 1 	0	0	 1 	0	0	0	 4 	 8 
90年 2月	0	0	0	0	0	0	0	 5 	 13 
90年 3月	 1 	0	0	 2 	0	0	0	 6 	 10 
90年 4月	 1 	0	0	 2 	0	0	0	 6 	 12 
90年 5月	 1 	0	0	 2 	0	0	0	 1 	 8 
90年 6月	 3 	0	0	0	0	0	 1 	 8 	 8 
90年 7月	 4 	0	0	 1 	0	0	0	 5 	 20 
90年 8月	 1 	0	0	 1 	0	0	0	 6 	 21 
90年 9月	0	0	0	0	0	0	0	 4 	 13 
90年 10月	0	0	0	0	0	0	0	 2 	 15 
90年 11月	 2 	0	0	 1 	0	0	0	 8 	 30 
90年 12月	 1 	0	0	0	0	0	0	 4 	 23 
91年	 8 	0	0	 21 	 1 	 1 	0	 45 	 277 
91年 1月	0	0	0	 1 	0	0	0	 1 	 7 
91年 2月	0	0	0	0	0	0	0	 5 	 26 
91年 3月	 1 	0	0	 1 	0	0	0	 3 	 25 
91年 4月	0	0	0	 4 	0	0	0	 2 	 29 
91年 5月	 3 	0	0	 1 	0	0	0	 5 	 19 
91年 6月	0	0	0	 2 	0	0	0	0	 22 
91年 7月	0	0	0	 2 	0	0	0	 6 	 21 
91年 8月	 1 	0	0	 3 	0	0	0	 4 	 23 
91年 9月	 2 	0	0	 5 	0	0	0	 3 	 22 
91年 10月	0	0	0	 2 	 1 	0	0	 4 	 22 
91年 11月	0	0	0	0	0	 1 	0	 6 	 33 
91年 12月	 1 	0	0	0	0	0	0	 6 	 28 
92年	 19 	0	0	 13 	0	0	 1 	 53 	 251 
92年 1月	 2 	0	0	0	0	0	0	 7 	 21 
92年 2月	 2 	0	0	 1 	0	0	0	 2 	 17 
92年 3月	 1 	0	0	0	0	0	 1 	 2 	 25 
92年 4月	 2 	0	0	 2 	0	0	0	 7 	 12 
92年 5月	 1 	0	0	0	0	0	0	 1 	 30 
92年 6月	 5 	0	0	0	0	0	0	 2 	 14 
92年 7月	 2 	0	0	0	0	0	0	 2 	 24 
92年 8月	 2 	0	0	0	0	0	0	 2 	 9 
92年 9月	0	0	0	 3 	0	0	0	 4 	 11 
92年 10月	 1 	0	0	 2 	0	0	0	 5 	 37 
92年 11月	0	0	0	 1 	0	0	0	 13 	 38 
92年 12月	 1 	0	0	 4 	0	0	0	 6 	 13 
93年	 2 	0	 1 	 15 	 2 	0	 1 	 104 	 219 
93年 1月	0	0	0	0	0	0	0	 1 	 8 
93年 2月	0	0	0	 1 	0	0	0	 10 	 12 
93年 3月	0	0	0	 3 	0	0	0	 10 	 18 
93年 4月	0	0	0	0	0	0	0	 5 	 12 
93年 5月	0	0	0	 2 	 1 	0	0	 10 	 25 
93年 6月	 1 	0	0	 2 	0	0	0	 7 	 12 
93年 7月	0	0	 1 	 1 	 1 	0	0	 7 	 13 
93年 8月	0	0	0	0	0	0	 1 	 9 	 18 
93年 9月	0	0	0	0	0	0	0	 19 	 36 
93年 10月	 1 	0	0	 1 	0	0	0	 5 	 22 
93年 11月	0	0	0	 1 	0	0	0	 8 	 24 
93年 12月	0	0	0	 4 	0	0	0	 13 	 19 
94年	 5 	0	0	 12 	0	0	0	 73 	 124 
94年 1月	0	0	0	0	0	0	0	 7 	 8 
94年 2月	0	0	0	 2 	0	0	0	 9 	 7 
94年 3月	 1 	0	0	 1 	0	0	0	 11 	 5 
94年 4月	0	0	0	 2 	0	0	0	0	 5 
94年 5月	0	0	0	 1 	0	0	0	 8 	 7 
94年 6月	 1 	0	0	0	0	0	0	 4 	 10 
94年 7月	0	0	0	0	0	0	0	 7 	 19 
94年 8月	 3 	0	0	0	0	0	0	 4 	 21 
94年 9月	0	0	0	 2 	0	0	0	 10 	 14 
94年 10月	0	0	0	 3 	0	0	0	 4 	 13 
94年 11月	0	0	0	 1 	0	0	0	 5 	 7 
94年 12月	0	0	0	0	0	0	0	 4 	 8 
95年	 4 	0	0	 7 	 1 	0	 1 	 61 	 248 
95年 1月	0	0	0	0	0	0	0	 6 	 17 
95年 2月	 1 	0	0	0	0	0	0	 1 	 25 
95年 3月	0	0	0	 2 	0	0	0	 2 	 13 
95年 4月	 1 	0	0	 1 	0	0	0	 4 	 14 
95年 5月	 1 	0	0	0	0	0	0	 10 	 20 
95年 6月	0	0	0	0	0	0	0	 6 	 21 
95年 7月	0	0	0	0	0	0	0	 5 	 33 
95年 8月	0	0	0	 1 	0	0	0	 10 	 24 
95年 9月	0	0	0	 2 	0	0	 1 	 8 	 18 
95年 10月	0	0	0	0	 1 	0	0	 3 	 32 
95年 11月	 1 	0	0	0	0	0	0	 3 	 13 
95年 12月	0	0	0	 1 	0	0	0	 3 	 18 
96年	 4 	0	0	 15 	0	0	0	 29 	 269 
96年 1月	0	0	0	0	0	0	0	 1 	 24 
96年 2月	0	0	0	0	0	0	0	 1 	 21 
96年 3月	 3 	0	0	 1 	0	0	0	 2 	 27 
96年 4月	 1 	0	0	 5 	0	0	0	 3 	 24 
96年 5月	0	0	0	 3 	0	0	0	 3 	 16 
96年 6月	0	0	0	0	0	0	0	 3 	 12 
96年 7月	0	0	0	0	0	0	0	 2 	 30 
96年 8月	0	0	0	0	0	0	0	 4 	 33 
96年 9月	0	0	0	 2 	0	0	0	 2 	 31 
96年 10月	0	0	0	 2 	0	0	0	 1 	 18 
96年 11月	0	0	0	 2 	0	0	0	 5 	 18 
96年 12月	0	0	0	0	0	0	0	 2 	 15 
97年	 3 	0	0	 11 	0	 1 	 1 	 33 	 119 
97年 1月	0	0	0	 1 	0	0	0	 3 	 6 
97年 2月	 1 	0	0	0	0	0	0	 2 	 6 
97年 3月	0	0	0	0	0	0	0	 7 	 7 
97年 4月	0	0	0	0	0	0	0	 3 	 9 
97年 5月	0	0	0	 1 	0	0	0	 2 	 6 
97年 6月	0	0	0	0	0	0	0	 5 	 11 
97年 7月	0	0	0	0	0	0	0	 2 	 14 
97年 8月	 1 	0	0	 1 	0	 1 	 1 	0	 12 
97年 9月	 1 	0	0	 3 	0	0	0	 2 	 8 
97年 10月	0	0	0	 1 	0	0	0	 4 	 20 
97年 11月	0	0	0	 3 	0	0	0	 1 	 10 
97年 12月	0	0	0	 1 	0	0	0	 2 	 10 
98年	 3 	0	0	 11 	0	0	0	 34 	 136 
98年 1月	 1 	0	0	 1 	0	0	0	 4 	 6 
98年 2月	0	0	0	 1 	0	0	0	 3 	 12 
98年 3月	0	0	0	 1 	0	0	0	 6 	 12 
98年 4月	0	0	0	0	0	0	0	 5 	 20 
98年 5月	0	0	0	 1 	0	0	0	 2 	 10 
98年 6月	 1 	0	0	 1 	0	0	0	 2 	 6 
98年 7月	 1 	0	0	 1 	0	0	0	0	 8 
98年 8月	0	0	0	0	0	0	0	 2 	 26 
98年 9月	0	0	0	0	0	0	0	 5 	 8 
98年 10月	0	0	0	 1 	0	0	0	 1 	 8 
98年 11月	0	0	0	 3 	0	0	0	 3 	 14 
98年 12月	0	0	0	 1 	0	0	0	 1 	 6 
99年	 1 	0	0	 6 	0	0	 1 	 31 	 106 
99年 1月	0	0	0	 1 	0	0	0	0	 9 
99年 2月	 1 	0	0	0	0	0	0	 10 	 8 
99年 3月	0	0	0	0	0	0	0	 5 	 10 
99年 4月	0	0	0	0	0	0	0	0	 5 
99年 5月	0	0	0	0	0	0	0	 3 	 6 
99年 6月	0	0	0	0	0	0	 1 	 2 	 13 
99年 7月	0	0	0	0	0	0	0	 1 	 13 
99年 8月	0	0	0	 2 	0	0	0	0	 10 
99年 9月	0	0	0	0	0	0	0	0	 5 
99年 10月	0	0	0	0	0	0	0	 4 	 9 
99年 11月	0	0	0	 1 	0	0	0	 5 	 5 
99年 12月	0	0	0	 2 	0	0	0	 1 	 13 
100年	 2 	0	0	 2 	0	0	0	 25 	 125 
100年 1月	0	0	0	0	0	0	0	 3 	 9 
100年 2月	 1 	0	0	0	0	0	0	 3 	 13 
100年 3月	0	0	0	0	0	0	0	 2 	 14 
100年 4月	 1 	0	0	0	0	0	0	 3 	 14 
100年 5月	0	0	0	0	0	0	0	 4 	 12 
100年 6月	0	0	0	0	0	0	0	 1 	 13 
100年 7月	0	0	0	 1 	0	0	0	0	 6 
100年 8月	0	0	0	0	0	0	0	 3 	 13 
100年 9月	0	0	0	0	0	0	0	 2 	 9 
100年 10月	0	0	0	 1 	0	0	0	 2 	 7 
100年 11月	0	0	0	0	0	0	0	 1 	 8 
100年 12月	0	0	0	0	0	0	0	 1 	 7 
101年	0	0	 1 	 6 	0	0	 1 	 34 	 125 
101年 1月	0	0	0	0	0	0	0	0	 9 
101年 2月	0	0	0	0	0	0	0	 6 	 9 
101年 3月	0	0	0	0	0	0	0	 1 	 13 
101年 4月	0	0	0	0	0	0	0	 5 	 7 
101年 5月	0	0	 1 	 1 	0	0	0	 1 	 9 
101年 6月	0	0	0	0	0	0	0	 3 	 12 
101年 7月	0	0	0	 1 	0	0	0	 2 	 15 
101年 8月	0	0	0	0	0	0	0	 2 	 12 
101年 9月	0	0	0	0	0	0	0	 2 	 9 
101年 10月	0	0	0	 1 	0	0	0	 1 	 13 
101年 11月	0	0	0	 1 	0	0	0	 5 	 11 
101年 12月	0	0	0	 2 	0	0	 1 	 6 	 6 
102年	0	0	0	 8 	0	0	 2 	 43 	 140 
102年 1月	0	0	0	 1 	0	0	0	0	 8 
102年 2月	0	0	0	 1 	0	0	 2 	 2 	 15 
102年 3月	0	0	0	0	0	0	0	 5 	 7 
102年 4月	0	0	0	0	0	0	0	 6 	 20 
102年 5月	0	0	0	 2 	0	0	0	 3 	 10 
102年 6月	0	0	0	0	0	0	0	 3 	 7 
102年 7月	0	0	0	 2 	0	0	0	 2 	 18 
102年 8月	0	0	0	0	0	0	0	 4 	 15 
102年 9月	0	0	0	 1 	0	0	0	 3 	 13 
102年 10月	0	0	0	 1 	0	0	0	 5 	 9 
102年 11月	0	0	0	0	0	0	0	 3 	 6 
102年 12月	0	0	0	0	0	0	0	 7 	 12 
103年	 1 	0	0	 7 	0	0	0	 27 	 116 
103年 1月	0	0	0	0	0	0	0	 2 	 7 
103年 2月	0	0	0	0	0	0	0	 3 	 10 
103年 3月	0	0	0	0	0	0	0	 4 	 5 
103年 4月	 1 	0	0	 1 	0	0	0	 1 	 8 
103年 5月	0	0	0	 1 	0	0	0	 1 	 6 
103年 6月	0	0	0	 1 	0	0	0	 4 	 6 
103年 7月	0	0	0	 1 	0	0	0	 3 	 8 
103年 8月	0	0	0	 2 	0	0	0	 2 	 16 
103年 9月	0	0	0	0	0	0	0	 3 	 10 
103年 10月	0	0	0	0	0	0	0	 1 	 12 
103年 11月	0	0	0	0	0	0	0	 3 	 10 
103年 12月	0	0	0	 1 	0	0	0	0	 18 
104年	0	0	 1 	 3 	 2 	0	0	 42 	 147 
104年 1月	0	0	0	 1 	0	0	0	 3 	 6 
104年 2月	0	0	0	0	0	0	0	 6 	 11 
104年 3月	0	0	0	0	0	0	0	 2 	 5 
104年 4月	0	0	0	 1 	0	0	0	 3 	 24 
104年 5月	0	0	0	0	 1 	0	0	 4 	 23 
104年 6月	0	0	0	 1 	0	0	0	 6 	 9 
104年 7月	0	0	0	0	0	0	0	 4 	 12 
104年 8月	0	0	0	0	0	0	0	 2 	 10 
104年 9月	0	0	 1 	0	 1 	0	0	 1 	 12 
104年 10月	0	0	0	0	0	0	0	 3 	 7 
104年 11月	0	0	0	0	0	0	0	 4 	 12 
104年 12月	0	0	0	0	0	0	0	 4 	 16 
105年	0	0	0	 6 	0	0	0	 27 	 154 
105年 1月	0	0	0	0	0	0	0	 5 	 15 
