"","受(處)理刑事案件破獲件數─按機關別分"
"","103年<br>(9月至9月)/ 總計 ","103年<br>(9月至9月)/ 竊盜 ","103年<br>(9月至9月)/ 贓物 ","103年<br>(9月至9月)/ 賭博 ","103年<br>(9月至9月)/ 傷害 ","103年<br>(9月至9月)/ 詐欺背信 ","103年<br>(9月至9月)/ 妨害自由 ","103年<br>(9月至9月)/ 殺人 ","103年<br>(9月至9月)/ 駕駛過失 ","103年<br>(9月至9月)/ 妨害家庭及婚姻 ","103年<br>(9月至9月)/ 妨害風化 ","103年<br>(9月至9月)/ 妨害性自主罪 ","103年<br>(9月至9月)/ 恐嚇取財 ","103年<br>(9月至9月)/ 擄人勒贖 ","103年<br>(9月至9月)/ 侵占 ","103年<br>(9月至9月)/ 偽造文書印文 ","103年<br>(9月至9月)/ 違反毒品危害防制條例 ","103年<br>(9月至9月)/ 毀棄損壞 ","103年<br>(9月至9月)/ 妨害公務 ","103年<br>(9月至9月)/ 妨害電腦使用 ","103年<br>(9月至9月)/ 強盜搶奪 ","103年<br>(9月至9月)/ 內亂 ","103年<br>(9月至9月)/ 重利 ","103年<br>(9月至9月)/ 竊佔 ","103年<br>(9月至9月)/ 偽造有價證券 ","103年<br>(9月至9月)/ 妨害秩序 ","103年<br>(9月至9月)/ 違反藥事法 ","103年<br>(9月至9月)/ 違反國家總動員法 ","103年<br>(9月至9月)/ 違反森林法 ","103年<br>(9月至9月)/ 違反著作權法 ","103年<br>(9月至9月)/ 違反專利法 ","103年<br>(9月至9月)/ 違反商標法 ","103年<br>(9月至9月)/ 公共危險 ","103年<br>(9月至9月)/ 侵害墳墓屍體 ","103年<br>(9月至9月)/ 妨害名譽 ","103年<br>(9月至9月)/ 違反就業服務法 ","103年<br>(9月至9月)/ 違反選罷法 ","103年<br>(9月至9月)/ 妨害秘密 ","103年<br>(9月至9月)/ 遺棄 ","103年<br>(9月至9月)/ 違反貪污治罪條例 ","103年<br>(9月至9月)/ 瀆職 ","103年<br>(9月至9月)/ 懲治走私條例 ","103年<br>(9月至9月)/ 妨害兵役 ","103年<br>(9月至9月)/ 偽造貨幣 ","103年<br>(9月至9月)/ 偽造度量衡 ","103年<br>(9月至9月)/ 偽證 ","103年<br>(9月至9月)/ 誣告 ","103年<br>(9月至9月)/ 湮滅證據 ","103年<br>(9月至9月)/ 藏匿頂替 ","103年<br>(9月至9月)/ 脫逃 ","103年<br>(9月至9月)/ 違反槍砲彈藥刀械管制條例 ","103年<br>(9月至9月)/ 其他 ","103年 9月/ 總計 ","103年 9月/ 竊盜 ","103年 9月/ 贓物 ","103年 9月/ 賭博 ","103年 9月/ 傷害 ","103年 9月/ 詐欺背信 ","103年 9月/ 妨害自由 ","103年 9月/ 殺人 ","103年 9月/ 駕駛過失 ","103年 9月/ 妨害家庭及婚姻 ","103年 9月/ 妨害風化 ","103年 9月/ 妨害性自主罪 ","103年 9月/ 恐嚇取財 ","103年 9月/ 擄人勒贖 ","103年 9月/ 侵占 ","103年 9月/ 偽造文書印文 ","103年 9月/ 違反毒品危害防制條例 ","103年 9月/ 毀棄損壞 ","103年 9月/ 妨害公務 ","103年 9月/ 妨害電腦使用 ","103年 9月/ 強盜搶奪 ","103年 9月/ 內亂 ","103年 9月/ 重利 ","103年 9月/ 竊佔 ","103年 9月/ 偽造有價證券 ","103年 9月/ 妨害秩序 ","103年 9月/ 違反藥事法 ","103年 9月/ 違反國家總動員法 ","103年 9月/ 違反森林法 ","103年 9月/ 違反著作權法 ","103年 9月/ 違反專利法 ","103年 9月/ 違反商標法 ","103年 9月/ 公共危險 ","103年 9月/ 侵害墳墓屍體 ","103年 9月/ 妨害名譽 ","103年 9月/ 違反就業服務法 ","103年 9月/ 違反選罷法 ","103年 9月/ 妨害秘密 ","103年 9月/ 遺棄 ","103年 9月/ 違反貪污治罪條例 ","103年 9月/ 瀆職 ","103年 9月/ 懲治走私條例 ","103年 9月/ 妨害兵役 ","103年 9月/ 偽造貨幣 ","103年 9月/ 偽造度量衡 ","103年 9月/ 偽證 ","103年 9月/ 誣告 ","103年 9月/ 湮滅證據 ","103年 9月/ 藏匿頂替 ","103年 9月/ 脫逃 ","103年 9月/ 違反槍砲彈藥刀械管制條例 ","103年 9月/ 其他 "
"機關別總計 ","     22,240","      4,434","         51","        277","        930","      1,433","        449","         40","      1,040","         46","        168","        300","         78","          1","        330","        239","      3,649","        258","         67","         55","        103","          1","        190","         82","          8","          2","         29","          -","         26","        289","          -","        491","      6,135","          -","        300","          2","         16","         28","         12","          -","          -","          -","          -","          4","          -","          1","         42","          1","          2","          -","        136","        495","     22,240","      4,434","         51","        277","        930","      1,433","        449","         40","      1,040","         46","        168","        300","         78","          1","        330","        239","      3,649","        258","         67","         55","        103","          1","        190","         82","          8","          2","         29","          -","         26","        289","          -","        491","      6,135","          -","        300","          2","         16","         28","         12","          -","          -","          -","          -","          4","          -","          1","         42","          1","          2","          -","        136","        495"
"新北市 ","      3,518","        822","          8","         36","        151","        281","         77","          5","        142","         12","         25","         29","          8","          -","         64","         44","        629","         39","         14","         18","         29","          -","         15","          3","          1","          -","          1","          -","          -","         29","          -","         54","        821","          -","         63","          -","          1","          4","          3","          -","          -","          -","          -","          1","          -","          1","          8","          -","          -","          -","         12","         68","      3,518","        822","          8","         36","        151","        281","         77","          5","        142","         12","         25","         29","          8","          -","         64","         44","        629","         39","         14","         18","         29","          -","         15","          3","          1","          -","          1","          -","          -","         29","          -","         54","        821","          -","         63","          -","          1","          4","          3","          -","          -","          -","          -","          1","          -","          1","          8","          -","          -","          -","         12","         68"
"臺北市 ","      3,188","        456","          6","         63","        203","        299","        106","          8","        232","         12","         37","         37","          7","          -","        102","         80","        443","         43","         11","         15","         10","          -","         24","         11","          5","          2","          5","          -","          -","         35","          -","          8","        740","          -","         91","          -","          -","         10","          3","          -","          -","          -","          -","          -","          -","          -","         12","          -","          1","          -","          9","         62","      3,188","        456","          6","         63","        203","        299","        106","          8","        232","         12","         37","         37","          7","          -","        102","         80","        443","         43","         11","         15","         10","          -","         24","         11","          5","          2","          5","          -","          -","         35","          -","          8","        740","          -","         91","          -","          -","         10","          3","          -","          -","          -","          -","          -","          -","          -","         12","          -","          1","          -","          9","         62"
"桃園市 ","      1,579","        434","          2","         13","         16","         70","         10","          2","          6","          2","         11","         12","          1","          -","          4","          5","        407","          1","          3","          3","          2","          -","         17","          -","          -","          -","          1","          -","          -","          2","          -","         19","        501","          -","          4","          -","          1","          4","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","         10","         16","      1,579","        434","          2","         13","         16","         70","         10","          2","          6","          2","         11","         12","          1","          -","          4","          5","        407","          1","          3","          3","          2","          -","         17","          -","          -","          -","          1","          -","          -","          2","          -","         19","        501","          -","          4","          -","          1","          4","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","         10","         16"
"臺中市(99年改制前) ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"臺南市(99年改制前) ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄市(99年改制前) ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"高雄縣 ","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -"
"宜蘭縣 ","        490","         87","          -","          2","         29","         42","         10","          4","         38","          2","          -","          9","          -","          -","          5","          8","         55","          6","          -","          -","          4","          -","          4","          6","          -","          -","          -","          -","          -","          2","          -","          6","        155","          -","          2","          -","          1","          -","          -","          -","          -","          -","          -","          -","          -","          -","          1","          -","          -","          -","          3","          9","        490","         87","          -","          2","         29","         42","         10","          4","         38","          2","          -","          9","          -","          -","          5","          8","         55","          6","          -","          -","          4","          -","          4","          6","          -","          -","          -","          -","          -","          2","          -","          6","        155","          -","          2","          -","          1","          -","          -","          -","          -","          -","          -","          -","          -","          -","          1","          -","          -","          -","          3","          9"
"新竹縣 ","        596","        162","          2","          1","         33","         33","         12","          2","         31","          -","          2","          9","          2","          -","          8","          1","        101","         24","          2","          -","          1","          -","          7","          2","          -","          -","          -","          -","          1","          5","          -","          1","        130","          -","          8","          -","          -","          -","          1","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          1","         14","        596","        162","          2","          1","         33","         33","         12","          2","         31","          -","          2","          9","          2","          -","          8","          1","        101","         24","          2","          -","          1","          -","          7","          2","          -","          -","          -","          -","          1","          5","          -","          1","        130","          -","          8","          -","          -","          -","          1","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          -","          1","         14"
