year,loc,total,male,female,15-19,15-19m,15-19f,20-24,20-24m,20-24f,25-29,25-29m,25-29f,30-34,30-34m,30-34f,35-39,35-39m,35-39f,40-44,40-44m,40-44f,45-49,45-49m,45-49f,50-54,50-54m,50-54f,55-59,55-59m,55-59f,60-64,60-64m,60-64f,65-,65-m,65-f
82,臺灣地區,1.45,1.36,1.59,4.78,3.85,5.72,4.60,5.26,4.10,1.94,1.93,1.96,0.96,1.05,0.80,0.68,0.82,0.45,0.53,0.60,0.40,0.48,0.63,0.19,0.45,0.56,0.22,0.40,0.48,0.17,0.25,0.31,0.06,0.10,0.12,0.03
82,北部區域,1.6,1.5,1.7,5.1,3.8,6.4,5.2,5.5,4.9,2.1,2.2,1.9,1.1,1.3,0.9,0.7,0.9,0.4,0.6,0.7,0.5,0.6,0.8,0.1,0.6,0.8,0.2,0.5,0.6,0.1,0.3,0.3,0,0.0,0.0,0
82,臺北市,1.8,1.6,2.0,6.2,3.0,9.7,6.3,6.6,6.2,2.6,2.9,2.3,1.4,1.5,1.2,1.0,1.2,0.6,0.6,0.6,0.6,0.9,1.2,0.2,1.0,1.3,0.4,0.7,0.9,0,0.4,0.5,0,0.1,0.1,0
82,基隆市,3.4,3.1,3.9,7.6,6.4,8.8,8.1,7.4,8.6,4.9,5.5,4.0,2.6,2.5,2.7,1.0,1.1,0.8,2.7,2.3,3.2,1.1,1.6,0,1.9,2.4,0.5,0.5,0.4,1.0,1.0,1.3,0,0,0,0
82,新竹市,1.4,1.2,1.8,5.1,3.3,7.3,5.1,4.8,5.3,2.1,1.5,2.8,0.7,1.1,0.1,0.5,0.6,0.5,0.8,1.2,0.2,0,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0
82,臺北縣,1.4,1.4,1.4,4.9,4.0,6.0,4.3,4.8,3.9,1.7,1.8,1.6,1.0,1.1,0.7,0.6,0.9,0.2,0.4,0.6,0.1,0.5,0.7,0,0.4,0.4,0.1,0.7,0.9,0,0.1,0.1,0,0,0,0
82,宜蘭縣,1.9,1.5,2.6,5.8,7.0,4.7,6.7,5.2,8.0,1.9,1.7,2.3,1.1,1.1,1.1,0.5,0.6,0.3,0.5,0.6,0.4,0.3,0.4,0,0.6,0.8,0,0.1,0,0.7,0.8,1.0,0,0,0,0
82,桃園縣,1.3,1.2,1.5,3.6,2.3,4.7,4.8,5.5,4.3,1.6,1.7,1.5,0.9,1.3,0.1,0.4,0.4,0.4,0.5,0.5,0.4,0.3,0.3,0.3,0.5,0.7,0.1,0.2,0.3,0,0,0,0,0,0,0
82,新竹縣,0.9,1.1,0.7,1.4,1.1,1.8,3.1,5.8,1.3,1.3,1.5,0.9,0.5,0.4,0.7,1.1,1.6,0.2,0.5,0.3,0.7,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
82,中部區域,1.3,1.2,1.5,4.6,3.7,5.5,4.0,4.8,3.4,1.8,1.6,2.0,0.7,0.7,0.7,0.6,0.6,0.4,0.4,0.6,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.3,0.2,0.3,0,0.0,0.0,0
82,臺中市,1.9,1.7,2.2,5.7,5.8,5.7,5.7,7.3,4.6,3.0,2.4,3.7,1.6,1.4,2.1,0.9,1.1,0.5,0.6,0.8,0.4,0.3,0.2,0.4,0.7,0.9,0.4,0.7,0.9,0,0,0,0,0,0,0
