時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 1 	 1 	0	0	 51 	0	 6 	 266 	0
89年 1月	0	 1 	0	0	 2 	0	0	 15 	0
89年 2月	0	0	0	0	0	0	0	 15 	0
89年 3月	0	0	0	0	0	0	0	 26 	0
89年 4月	0	0	0	0	0	0	0	 26 	0
89年 5月	0	0	0	0	 1 	0	0	 24 	0
89年 6月	0	0	0	0	 1 	0	0	 13 	0
89年 7月	0	0	0	0	 16 	0	0	 21 	0
89年 8月	 1 	0	0	0	 8 	0	 2 	 22 	0
89年 9月	0	0	0	0	 8 	0	 4 	 18 	0
89年 10月	0	0	0	0	 6 	0	0	 24 	0
89年 11月	0	0	0	0	 6 	0	0	 33 	0
89年 12月	0	0	0	0	 3 	0	0	 29 	0
90年	 21 	 1 	0	0	 44 	 2 	 12 	 425 	0
90年 1月	0	0	0	0	 4 	0	0	 40 	0
90年 2月	0	0	0	0	 1 	 2 	0	 39 	0
90年 3月	0	0	0	0	 5 	0	0	 30 	0
90年 4月	 1 	0	0	0	 2 	0	 2 	 45 	0
90年 5月	 1 	 1 	0	0	 12 	0	 2 	 42 	0
90年 6月	0	0	0	0	 8 	0	 6 	 41 	0
90年 7月	0	0	0	0	 2 	0	0	 37 	0
90年 8月	 2 	0	0	0	 6 	0	 2 	 27 	0
90年 9月	0	0	0	0	 1 	0	0	 16 	0
90年 10月	0	0	0	0	 1 	0	0	 37 	0
90年 11月	 16 	0	0	0	0	0	0	 47 	0
90年 12月	 1 	0	0	0	 2 	0	0	 24 	0
91年	 1 	0	0	0	 57 	0	 21 	 540 	0
91年 1月	0	0	0	0	 10 	0	 3 	 40 	0
91年 2月	0	0	0	0	 1 	0	 3 	 31 	0
91年 3月	0	0	0	0	 4 	0	0	 29 	0
91年 4月	0	0	0	0	 4 	0	0	 41 	0
91年 5月	0	0	0	0	 2 	0	 4 	 33 	0
91年 6月	0	0	0	0	0	0	0	 34 	0
91年 7月	0	0	0	0	 4 	0	0	 81 	0
91年 8月	 1 	0	0	0	 3 	0	 5 	 54 	0
91年 9月	0	0	0	0	 3 	0	 2 	 54 	0
91年 10月	0	0	0	0	 5 	0	 3 	 49 	0
91年 11月	0	0	0	0	 8 	0	 1 	 41 	0
91年 12月	0	0	0	0	 13 	0	0	 53 	0
92年	0	 1 	0	0	 40 	0	 52 	 599 	0
92年 1月	0	0	0	0	 8 	0	 2 	 94 	0
92年 2月	0	0	0	0	 15 	0	 8 	 54 	0
92年 3月	0	0	0	0	 5 	0	 10 	 47 	0
92年 4月	0	 1 	0	0	 2 	0	 6 	 47 	0
92年 5月	0	0	0	0	 1 	0	 3 	 35 	0
92年 6月	0	0	0	0	 3 	0	 1 	 43 	0
92年 7月	0	0	0	0	 1 	0	 2 	 49 	0
92年 8月	0	0	0	0	0	0	 4 	 42 	0
92年 9月	0	0	0	0	 2 	0	 2 	 44 	0
