時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 2 	0	0	 18 	0	 1 	0	 37 	 53 
89年 1月	0	0	0	0	0	 1 	0	 4 	 7 
89年 2月	0	0	0	 1 	0	0	0	 2 	 11 
89年 3月	0	0	0	 3 	0	0	0	 7 	 2 
89年 4月	0	0	0	 2 	0	0	0	 4 	 7 
89年 5月	 1 	0	0	 2 	0	0	0	 3 	0
89年 6月	 1 	0	0	 1 	0	0	0	 2 	 2 
89年 7月	0	0	0	0	0	0	0	 2 	 1 
89年 8月	0	0	0	 5 	0	0	0	0	 1 
89年 9月	0	0	0	 2 	0	0	0	 5 	 9 
89年 10月	0	0	0	0	0	0	0	 3 	 6 
89年 11月	0	0	0	 1 	0	0	0	 4 	 3 
89年 12月	0	0	0	 1 	0	0	0	 1 	 4 
90年	 5 	0	0	 27 	0	0	0	 24 	 76 
90年 1月	0	0	0	 4 	0	0	0	 2 	 4 
90年 2月	0	0	0	 3 	0	0	0	 1 	 5 
90年 3月	0	0	0	 3 	0	0	0	 4 	 5 
90年 4月	0	0	0	0	0	0	0	 4 	 12 
90年 5月	 1 	0	0	 1 	0	0	0	 1 	 16 
90年 6月	 1 	0	0	 4 	0	0	0	 4 	 11 
90年 7月	 1 	0	0	 5 	0	0	0	 5 	 7 
90年 8月	 1 	0	0	 1 	0	0	0	0	 3 
90年 9月	0	0	0	 2 	0	0	0	 1 	 4 
90年 10月	0	0	0	0	0	0	0	0	 5 
90年 11月	 1 	0	0	 4 	0	0	0	0	 2 
90年 12月	0	0	0	0	0	0	0	 2 	 2 
91年	 3 	0	0	 37 	0	0	0	 31 	 123 
91年 1月	0	0	0	 4 	0	0	0	 5 	 2 
91年 2月	 1 	0	0	 1 	0	0	0	 4 	 6 
91年 3月	0	0	0	 2 	0	0	0	 1 	 3 
91年 4月	0	0	0	 4 	0	0	0	 2 	 11 
91年 5月	0	0	0	0	0	0	0	 4 	 6 
91年 6月	0	0	0	 1 	0	0	0	0	 9 
91年 7月	 1 	0	0	 6 	0	0	0	 2 	 18 
91年 8月	0	0	0	 4 	0	0	0	 4 	 7 
91年 9月	0	0	0	 4 	0	0	0	 1 	 15 
91年 10月	0	0	0	 2 	0	0	0	 1 	 18 
91年 11月	 1 	0	0	 7 	0	0	0	 4 	 16 
91年 12月	0	0	0	 2 	0	0	0	 3 	 12 
92年	 7 	0	 1 	 22 	0	 1 	0	 29 	 181 
92年 1月	0	0	0	 2 	0	0	0	 5 	 15 
92年 2月	 1 	0	0	 2 	0	0	0	0	 26 
92年 3月	 2 	0	0	 2 	0	0	0	 2 	 11 
92年 4月	0	0	 1 	 5 	0	0	0	 2 	 19 
92年 5月	 1 	0	0	 1 	0	0	0	 1 	 10 
92年 6月	 1 	0	0	 1 	0	0	0	 2 	 17 
92年 7月	0	0	0	0	0	0	0	0	 16 
92年 8月	 1 	0	0	 2 	0	0	0	 2 	 14 
92年 9月	0	0	0	 1 	0	0	0	 1 	 8 
92年 10月	0	0	0	 2 	0	0	0	 3 	 12 
92年 11月	 1 	0	0	 2 	0	0	0	 5 	 16 
92年 12月	0	0	0	 2 	0	 1 	0	 6 	 17 
93年	 4 	0	0	 25 	0	0	0	 61 	 174 
93年 1月	0	0	0	0	0	0	0	 8 	 26 
93年 2月	 1 	0	0	 1 	0	0	0	 6 	 13 
93年 3月	 1 	0	0	 3 	0	0	0	 3 	 12 
93年 4月	0	0	0	 6 	0	0	0	 6 	 7 
93年 5月	 1 	0	0	 2 	0	0	0	 1 	 11 
93年 6月	0	0	0	 1 	0	0	0	 4 	 11 
93年 7月	0	0	0	 4 	0	0	0	 6 	 16 
93年 8月	 1 	0	0	 2 	0	0	0	 8 	 26 
93年 9月	0	0	0	 1 	0	0	0	 6 	 16 
93年 10月	0	0	0	 3 	0	0	0	 3 	 16 
93年 11月	0	0	0	 1 	0	0	0	 9 	 10 
93年 12月	0	0	0	 1 	0	0	0	 1 	 10 
94年	 2 	0	0	 20 	0	 1 	0	 41 	 147 
94年 1月	0	0	0	 2 	0	0	0	 3 	 10 
94年 2月	0	0	0	 1 	0	0	0	 3 	 8 
94年 3月	0	0	0	 3 	0	0	0	 6 	 12 
94年 4月	0	0	0	0	0	0	0	 2 	 9 
94年 5月	0	0	0	0	0	0	0	 4 	 14 
94年 6月	0	0	0	 1 	0	0	0	 1 	 13 
94年 7月	0	0	0	 1 	0	0	0	 3 	 19 
94年 8月	0	0	0	 4 	0	0	0	 4 	 20 
94年 9月	0	0	0	 1 	0	 1 	0	 2 	 10 
94年 10月	 1 	0	0	 1 	0	0	0	 8 	 15 
94年 11月	0	0	0	 6 	0	0	0	 3 	 11 
94年 12月	 1 	0	0	0	0	0	0	 2 	 6 
95年	 4 	0	0	 23 	0	0	0	 28 	 127 
95年 1月	0	0	0	 2 	0	0	0	 3 	 16 
95年 2月	0	0	0	0	0	0	0	 2 	 10 
95年 3月	 3 	0	0	 2 	0	0	0	 2 	 7 
95年 4月	0	0	0	 1 	0	0	0	 2 	 8 
95年 5月	0	0	0	 3 	0	0	0	 3 	 9 
95年 6月	0	0	0	 1 	0	0	0	 3 	 10 
95年 7月	0	0	0	 1 	0	0	0	 5 	 10 
95年 8月	0	0	0	0	0	0	0	 2 	 20 
95年 9月	0	0	0	 3 	0	0	0	 3 	 13 
95年 10月	0	0	0	 4 	0	0	0	0	 7 
95年 11月	0	0	0	 4 	0	0	0	 2 	 9 
95年 12月	 1 	0	0	 2 	0	0	0	 1 	 8 
96年	 2 	0	0	 18 	0	0	0	 21 	 150 
96年 1月	0	0	0	 3 	0	0	0	0	 12 
96年 2月	0	0	0	0	0	0	0	0	 8 
96年 3月	0	0	0	 1 	0	0	0	 7 	 9 
96年 4月	0	0	0	 1 	0	0	0	 1 	 15 
96年 5月	 1 	0	0	 1 	0	0	0	 1 	 17 
96年 6月	0	0	0	 2 	0	0	0	 3 	 12 
96年 7月	0	0	0	 2 	0	0	0	 1 	 16 
96年 8月	0	0	0	 4 	0	0	0	 1 	 17 
96年 9月	 1 	0	0	0	0	0	0	 1 	 12 
96年 10月	0	0	0	0	0	0	0	 4 	 13 
96年 11月	0	0	0	 2 	0	0	0	 2 	 6 
96年 12月	0	0	0	 2 	0	0	0	0	 13 
97年	 4 	0	0	 25 	0	0	0	 25 	 160 
97年 1月	0	0	0	 3 	0	0	0	 3 	 8 
97年 2月	 1 	0	0	 2 	0	0	0	 2 	 19 
97年 3月	 1 	0	0	 2 	0	0	0	 4 	 21 
97年 4月	0	0	0	 1 	0	0	0	0	 14 
97年 5月	0	0	0	 4 	0	0	0	 3 	 7 
97年 6月	0	0	0	 2 	0	0	0	 1 	 9 
97年 7月	 1 	0	0	 2 	0	0	0	 1 	 14 
97年 8月	0	0	0	 2 	0	0	0	 2 	 17 
97年 9月	 1 	0	0	 2 	0	0	0	 4 	 18 
97年 10月	0	0	0	 2 	0	0	0	0	 9 
97年 11月	0	0	0	 1 	0	0	0	 5 	 13 
97年 12月	0	0	0	 2 	0	0	0	0	 11 
98年	 3 	0	0	 14 	0	0	0	 30 	 98 
98年 1月	0	0	0	 2 	0	0	0	 4 	 7 
98年 2月	0	0	0	 1 	0	0	0	 5 	 16 
98年 3月	0	0	0	0	0	0	0	 2 	 4 
98年 4月	 1 	0	0	 2 	0	0	0	 1 	 14 
98年 5月	0	0	0	 2 	0	0	0	 3 	 11 
98年 6月	0	0	0	0	0	0	0	 1 	 10 
98年 7月	 1 	0	0	 1 	0	0	0	 3 	 6 
98年 8月	0	0	0	 2 	0	0	0	 2 	 3 
98年 9月	0	0	0	 1 	0	0	0	 8 	 3 
98年 10月	0	0	0	 1 	0	0	0	0	 7 
98年 11月	0	0	0	 1 	0	0	0	0	 9 
98年 12月	 1 	0	0	 1 	0	0	0	 1 	 8 
99年	 6 	0	0	 10 	 1 	 2 	0	 24 	 96 
99年 1月	0	0	0	0	0	0	0	0	 3 
