時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 245 	 22 	 31 	 35 	 1 	 14 	 19 	 1 
89年 1月	0	 15 	 2 	0	 1 	0	 1 	 3 	0
89年 2月	0	 12 	 1 	 1 	 2 	0	 3 	 1 	0
89年 3月	0	 10 	 4 	0	 3 	0	 1 	 3 	0
89年 4月	0	 28 	 3 	 1 	 3 	0	0	 2 	 1 
89年 5月	0	 25 	0	 1 	 1 	0	 2 	 1 	0
89年 6月	0	 13 	0	 3 	 2 	0	 2 	 2 	0
89年 7月	0	 21 	0	 7 	 1 	0	 1 	 1 	0
89年 8月	0	 27 	 5 	 4 	 5 	0	0	 1 	0
89年 9月	0	 16 	 1 	 2 	 7 	0	0	 2 	0
89年 10月	0	 27 	 3 	 2 	 1 	 1 	 2 	 2 	0
89年 11月	0	 29 	 1 	 7 	 5 	0	 2 	 1 	0
89年 12月	0	 22 	 2 	 3 	 4 	0	0	0	0
90年	0	 281 	 29 	 44 	 45 	 2 	 31 	 52 	 2 
90年 1月	0	 18 	 2 	 4 	 3 	0	0	 1 	0
90年 2月	0	 22 	 1 	 1 	 2 	0	0	 2 	0
90年 3月	0	 21 	 3 	 6 	 4 	0	 2 	 7 	0
90年 4月	0	 21 	0	 4 	 7 	0	 1 	 3 	0
90年 5月	0	 18 	 2 	 3 	 5 	0	 1 	 1 	0
90年 6月	0	 18 	 2 	 5 	 5 	 2 	 2 	 3 	0
90年 7月	0	 34 	 2 	 10 	 3 	0	 2 	 6 	0
90年 8月	0	 29 	 3 	 7 	 3 	0	 3 	 7 	0
90年 9月	0	 15 	 4 	 2 	 4 	0	 5 	 6 	0
90年 10月	0	 35 	 5 	 1 	 2 	0	 5 	 9 	0
90年 11月	0	 23 	 3 	0	 3 	0	 8 	 4 	 2 
90年 12月	0	 27 	 2 	 1 	 4 	0	 2 	 3 	0
91年	 3 	 310 	 30 	 38 	 31 	 1 	 48 	 52 	0
91年 1月	0	 20 	 1 	 4 	0	0	 5 	 8 	0
91年 2月	0	 22 	0	 2 	 2 	0	 5 	 6 	0
91年 3月	 1 	 28 	 1 	 1 	 2 	0	 5 	 5 	0
91年 4月	0	 22 	 3 	 4 	 1 	0	 7 	 6 	0
91年 5月	 2 	 27 	 3 	 2 	 3 	0	 4 	 5 	0
91年 6月	0	 33 	 5 	0	 2 	0	 4 	0	0
91年 7月	0	 30 	 6 	 9 	0	0	 2 	 7 	0
91年 8月	0	 33 	 4 	 12 	 2 	0	 2 	 1 	0
91年 9月	0	 24 	 2 	 3 	 6 	0	 2 	 3 	0
91年 10月	0	 23 	 1 	0	 3 	0	 1 	 1 	0
91年 11月	0	 32 	 3 	0	 5 	 1 	 10 	 5 	0
91年 12月	0	 16 	 1 	 1 	 5 	0	 1 	 5 	0
92年	 5 	 319 	 15 	 15 	 47 	 3 	 34 	 54 	0
92年 1月	0	 24 	 1 	0	 4 	 1 	 5 	 3 	0
92年 2月	0	 33 	 1 	 1 	 3 	0	 5 	 2 	0
92年 3月	 1 	 34 	 2 	 1 	 2 	0	0	 4 	0
92年 4月	0	 36 	 2 	0	 4 	0	 5 	 4 	0
92年 5月	0	 34 	 2 	0	 5 	0	 7 	 6 	0
92年 6月	0	 17 	0	 2 	 3 	 1 	 3 	 4 	0
92年 7月	0	 29 	 2 	 6 	 9 	0	 2 	 7 	0
92年 8月	 2 	 30 	 2 	 3 	 5 	 1 	 2 	 16 	0
92年 9月	 1 	 18 	0	0	 1 	0	 2 	 1 	0
92年 10月	 1 	 29 	 2 	 2 	 4 	0	 1 	 4 	0
92年 11月	0	 17 	0	0	 5 	0	 2 	 3 	0
92年 12月	0	 18 	 1 	0	 2 	0	0	0	0
93年	 1 	 230 	 18 	 8 	 42 	 2 	 21 	 32 	0
93年 1月	0	 14 	 2 	0	 3 	 1 	 1 	0	0
93年 2月	0	 15 	0	0	 5 	0	 1 	 2 	0
93年 3月	0	 21 	 1 	0	 4 	0	 3 	 3 	0
93年 4月	 1 	 35 	 1 	0	 1 	0	0	 3 	0
93年 5月	0	 19 	 1 	 1 	 1 	0	 4 	 2 	0
93年 6月	0	 17 	 2 	0	 5 	0	 1 	 6 	0
93年 7月	0	 14 	 3 	 4 	 4 	0	 2 	 1 	0
93年 8月	0	 17 	 4 	 1 	 2 	0	 2 	 2 	0
93年 9月	0	 20 	 3 	 1 	 5 	0	 2 	 3 	0
93年 10月	0	 19 	 1 	 1 	 1 	0	 1 	 1 	0
93年 11月	0	 17 	0	0	 4 	0	 1 	 4 	0
93年 12月	0	 22 	0	0	 7 	 1 	 3 	 5 	0
94年	 1 	 237 	 14 	 13 	 21 	0	 9 	 24 	0
94年 1月	0	 19 	 1 	0	 3 	0	 1 	 2 	0
94年 2月	0	 8 	 1 	 1 	 2 	0	0	 2 	0
94年 3月	0	 18 	 1 	 1 	 2 	0	 2 	 2 	0
94年 4月	 1 	 30 	 2 	0	0	0	0	 3 	0
94年 5月	0	 22 	 1 	 1 	 2 	0	 1 	 2 	0
94年 6月	0	 20 	0	 1 	 2 	0	0	 2 	0
94年 7月	0	 19 	 1 	 4 	 1 	0	 1 	 1 	0
94年 8月	0	 21 	 1 	 3 	 4 	0	 2 	 5 	0
94年 9月	0	 17 	0	0	 1 	0	0	 1 	0
94年 10月	0	 22 	 2 	0	 1 	0	0	 2 	0
94年 11月	0	 20 	 1 	 1 	 1 	0	 2 	 1 	0
94年 12月	0	 21 	 3 	 1 	 2 	0	0	 1 	0
95年	0	 247 	 10 	 81 	 29 	 1 	 10 	 19 	0
95年 1月	0	 17 	0	 4 	 2 	0	 5 	0	0
95年 2月	0	 16 	 1 	0	 3 	0	 1 	 6 	0
95年 3月	0	 19 	0	 7 	 3 	0	 1 	 2 	0
95年 4月	0	 13 	0	 5 	 2 	0	 1 	 1 	0
95年 5月	0	 26 	 1 	 3 	 6 	0	0	 3 	0
95年 6月	0	 25 	 3 	 4 	 3 	0	0	 1 	0
95年 7月	0	 19 	 1 	 11 	 2 	0	0	 1 	0
95年 8月	0	 13 	 3 	 11 	 1 	0	 1 	 1 	0
95年 9月	0	 22 	 1 	 11 	0	0	0	 2 	0
95年 10月	0	 32 	0	 7 	 4 	0	 1 	 1 	0
95年 11月	0	 18 	0	 12 	 2 	 1 	0	 1 	0
95年 12月	0	 27 	0	 6 	 1 	0	0	0	0
96年	0	 229 	 8 	 162 	 38 	 1 	 4 	 19 	0
96年 1月	0	 16 	0	 15 	 6 	0	0	 1 	0
96年 2月	0	 11 	 1 	 6 	 3 	0	 1 	 2 	0
96年 3月	0	 27 	0	 7 	 1 	 1 	0	 1 	0
96年 4月	0	 24 	0	 11 	 1 	0	0	 3 	0
96年 5月	0	 25 	0	 6 	 1 	0	0	 4 	0
96年 6月	0	 16 	0	 48 	 1 	0	0	 2 	0
96年 7月	0	 11 	0	 29 	 6 	0	0	0	0
96年 8月	0	 22 	 2 	 13 	 5 	0	0	 1 	0
96年 9月	0	 10 	0	 7 	 2 	0	 2 	 2 	0
96年 10月	0	 22 	 1 	 8 	 4 	0	0	 2 	0
96年 11月	0	 24 	 1 	 6 	 5 	0	0	 1 	0
96年 12月	0	 21 	 3 	 6 	 3 	0	 1 	0	0
97年	 3 	 237 	 10 	 102 	 33 	 1 	 13 	 23 	0
97年 1月	0	 12 	 1 	 2 	 3 	0	 3 	0	0
97年 2月	0	 21 	 1 	 4 	 3 	0	0	 2 	0
97年 3月	0	 18 	 1 	 7 	 4 	0	 3 	 3 	0
97年 4月	0	 23 	0	 6 	 2 	0	 1 	 3 	0
97年 5月	0	 26 	 1 	 3 	 4 	0	 1 	0	0
97年 6月	0	 21 	 1 	 4 	 4 	0	 2 	 2 	0
97年 7月	0	 20 	 2 	 10 	 3 	0	0	 1 	0
97年 8月	0	 21 	 1 	 20 	 4 	0	0	 4 	0
