時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 6 	0	0	 20 	 1 	 2 	0	 48 	 143 
89年 1月	0	0	0	 1 	0	 1 	0	 3 	 15 
89年 2月	0	0	0	 2 	0	0	0	 4 	 5 
89年 3月	 1 	0	0	 1 	0	0	0	 3 	 12 
89年 4月	 1 	0	0	 2 	0	0	0	 3 	 11 
89年 5月	 1 	0	0	 2 	0	0	0	 6 	 4 
89年 6月	 1 	0	0	 1 	 1 	0	0	 4 	 6 
89年 7月	0	0	0	 1 	0	0	0	 2 	 17 
89年 8月	 1 	0	0	0	0	0	0	 6 	 10 
89年 9月	0	0	0	0	0	0	0	 7 	 20 
89年 10月	 1 	0	0	 4 	0	0	0	 7 	 19 
89年 11月	0	0	0	 3 	0	0	0	 2 	 16 
89年 12月	0	0	0	 3 	0	 1 	0	 1 	 8 
90年	 20 	0	0	 33 	0	 2 	0	 52 	 147 
90年 1月	0	0	0	 2 	0	0	0	 9 	 17 
90年 2月	 2 	0	0	 1 	0	 1 	0	 6 	 9 
90年 3月	 1 	0	0	 3 	0	0	0	0	 4 
90年 4月	 1 	0	0	 5 	0	0	0	 3 	 8 
90年 5月	 3 	0	0	 4 	0	0	0	 4 	 13 
90年 6月	 2 	0	0	 1 	0	0	0	 4 	 17 
90年 7月	 4 	0	0	 1 	0	0	0	 7 	 12 
90年 8月	 1 	0	0	 4 	0	0	0	 2 	 19 
90年 9月	 1 	0	0	 2 	0	0	0	 4 	 9 
90年 10月	 3 	0	0	 5 	0	0	0	 6 	 14 
90年 11月	 2 	0	0	 3 	0	 1 	0	 2 	 11 
90年 12月	0	0	0	 2 	0	0	0	 5 	 14 
91年	 9 	0	0	 27 	0	 4 	 1 	 25 	 116 
91年 1月	 1 	0	0	 2 	0	0	0	0	 9 
91年 2月	 1 	0	0	 2 	0	0	0	 5 	 7 
91年 3月	 2 	0	0	 2 	0	0	0	 3 	 10 
91年 4月	 2 	0	0	 4 	0	 1 	0	 2 	 9 
91年 5月	0	0	0	 4 	0	0	0	 3 	 8 
91年 6月	0	0	0	 1 	0	0	0	 2 	 8 
91年 7月	0	0	0	 1 	0	0	0	 1 	 10 
91年 8月	0	0	0	 2 	0	0	0	 5 	 8 
91年 9月	 1 	0	0	 1 	0	0	0	0	 7 
91年 10月	 1 	0	0	 2 	0	 1 	0	 3 	 12 
91年 11月	 1 	0	0	 4 	0	 2 	 1 	0	 16 
91年 12月	0	0	0	 2 	0	0	0	 1 	 12 
92年	 17 	0	 1 	 21 	 3 	0	0	 36 	 127 
92年 1月	0	0	0	 3 	 1 	0	0	 3 	 14 
92年 2月	 6 	0	0	 2 	0	0	0	 2 	 9 
92年 3月	 2 	0	0	 1 	0	0	0	 2 	 9 
92年 4月	 3 	0	0	 2 	0	0	0	0	 16 
92年 5月	0	0	 1 	0	0	0	0	 4 	 11 
92年 6月	 1 	0	0	 1 	0	0	0	 1 	 9 
92年 7月	 1 	0	0	 5 	 1 	0	0	 5 	 7 
92年 8月	 3 	0	0	 1 	0	0	0	 4 	 6 
92年 9月	0	0	0	 1 	0	0	0	 1 	 5 
92年 10月	0	0	0	0	0	0	0	 1 	 12 
92年 11月	 1 	0	0	 3 	0	0	0	 12 	 19 
92年 12月	0	0	0	 2 	 1 	0	0	 1 	 10 
93年	 4 	0	 1 	 35 	 1 	0	0	 62 	 179 
93年 1月	0	0	0	 1 	0	0	0	 5 	 10 
93年 2月	 2 	0	0	 3 	0	0	0	 5 	 16 
93年 3月	 1 	0	 1 	 2 	0	0	0	 5 	 14 
93年 4月	0	0	0	 8 	0	0	0	 8 	 12 
93年 5月	0	0	0	 4 	0	0	0	 3 	 11 
93年 6月	0	0	0	 4 	 1 	0	0	 2 	 12 
93年 7月	0	0	0	 2 	0	0	0	 8 	 20 
93年 8月	 1 	0	0	 1 	0	0	0	 6 	 16 
93年 9月	0	0	0	 2 	0	0	0	 5 	 24 
93年 10月	0	0	0	 3 	0	0	0	 8 	 17 
93年 11月	0	0	0	 3 	0	0	0	 6 	 14 
93年 12月	0	0	0	 2 	0	0	0	 1 	 13 
94年	 5 	0	0	 33 	 1 	 1 	0	 48 	 118 
94年 1月	0	0	0	 5 	0	0	0	 4 	 12 
94年 2月	 1 	0	0	 1 	0	0	0	 1 	 5 
94年 3月	 1 	0	0	 4 	0	0	0	 8 	 10 
94年 4月	 1 	0	0	 1 	0	0	0	 4 	 9 
94年 5月	0	0	0	 4 	0	0	0	 4 	 9 
94年 6月	0	0	0	 1 	0	0	0	 2 	 9 
94年 7月	0	0	0	 1 	0	0	0	 6 	 11 
94年 8月	 1 	0	0	 2 	0	0	0	 10 	 21 
94年 9月	 1 	0	0	 7 	0	0	0	 3 	 11 
