時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 2,491 	 342 	 27 	 89 	 1 	 129 	 35 	 13 	 23 
89年 1月	 249 	 20 	 1 	 14 	0	 10 	 2 	0	 1 
89年 2月	 259 	 15 	 3 	 8 	0	 10 	0	0	 3 
89年 3月	 185 	 32 	 1 	 11 	0	 2 	 3 	 2 	 2 
89年 4月	 178 	 28 	 3 	 4 	 1 	 10 	 3 	 1 	 1 
89年 5月	 262 	 27 	 1 	 6 	0	 11 	 1 	 2 	 3 
89年 6月	 181 	 25 	 4 	 4 	0	 9 	 6 	0	0
89年 7月	 194 	 30 	 4 	 7 	0	 17 	 3 	 1 	 2 
89年 8月	 189 	 26 	 1 	 4 	0	 10 	 7 	 2 	 2 
89年 9月	 201 	 39 	 1 	 9 	0	 10 	 1 	0	 2 
89年 10月	 233 	 41 	 4 	 5 	0	 10 	 2 	 1 	 1 
89年 11月	 203 	 28 	 3 	 9 	0	 17 	 3 	 3 	 4 
89年 12月	 157 	 31 	 1 	 8 	0	 13 	 4 	 1 	 2 
90年	 2,778 	 266 	 27 	 67 	 2 	 171 	 44 	 26 	 33 
90年 1月	 349 	 24 	 7 	 8 	0	 18 	 3 	 1 	 6 
90年 2月	 307 	 19 	 3 	 9 	0	 14 	 3 	 2 	0
90年 3月	 183 	 17 	 1 	 8 	0	 11 	 3 	 3 	 2 
90年 4月	 206 	 20 	 1 	 9 	0	 10 	 9 	 1 	 1 
90年 5月	 237 	 27 	 3 	 7 	0	 22 	 1 	 3 	 3 
90年 6月	 190 	 28 	 3 	 6 	 1 	 12 	 6 	0	 5 
90年 7月	 205 	 23 	 2 	 7 	0	 21 	 1 	 2 	 4 
90年 8月	 345 	 31 	 4 	 5 	 1 	 12 	 8 	0	 2 
90年 9月	 168 	 6 	 1 	 2 	0	 10 	 3 	 4 	0
90年 10月	 214 	 12 	0	 3 	0	 14 	 2 	 2 	 6 
90年 11月	 232 	 25 	 1 	 1 	0	 13 	0	 4 	 3 
90年 12月	 142 	 34 	 1 	 2 	0	 14 	 5 	 4 	 1 
91年	 3,345 	 303 	 20 	 57 	 3 	 151 	 78 	 15 	 40 
91年 1月	 154 	 36 	 1 	 3 	0	 15 	0	0	 2 
91年 2月	 523 	 40 	 4 	 5 	0	 8 	 1 	0	 7 
91年 3月	 187 	 25 	 3 	 8 	0	 12 	 1 	 1 	 3 
91年 4月	 215 	 37 	 1 	 1 	0	 11 	 1 	 3 	 4 
91年 5月	 334 	 33 	 1 	 5 	0	 15 	0	 1 	 2 
91年 6月	 226 	 23 	 1 	 9 	0	 17 	 24 	 3 	 1 
91年 7月	 246 	 26 	 4 	 7 	0	 11 	 29 	 2 	 1 
91年 8月	 390 	 14 	 1 	 4 	0	 17 	 6 	 1 	 2 
91年 9月	 223 	 10 	0	 4 	 1 	 9 	 12 	0	 6 
91年 10月	 314 	 29 	 3 	 7 	0	 14 	 3 	 3 	 4 
91年 11月	 291 	 15 	0	 1 	 1 	 13 	0	0	 2 
91年 12月	 242 	 15 	 1 	 3 	 1 	 9 	 1 	 1 	 6 
92年	 3,475 	 304 	 17 	 66 	 3 	 120 	 112 	 9 	 40 
92年 1月	 289 	 14 	 4 	 11 	0	 11 	 5 	0	 2 
92年 2月	 335 	 35 	 2 	 5 	0	 11 	 2 	0	 8 
92年 3月	 286 	 9 	 1 	 6 	0	 7 	 3 	 1 	 8 
92年 4月	 261 	 31 	 2 	 7 	 1 	 7 	 4 	 1 	 4 
92年 5月	 360 	 20 	 1 	 6 	0	 8 	 5 	 2 	 4 
