時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 2 	 41 	 12 	 8 	 43 	 1 	 17 	 17 	 1 
89年 1月	0	 3 	 1 	 1 	 6 	0	 1 	 1 	0
89年 2月	0	0	 1 	0	 3 	0	 6 	 1 	 1 
89年 3月	0	 3 	0	0	 2 	0	 1 	 1 	0
89年 4月	0	 5 	 1 	0	 3 	0	 1 	 2 	0
89年 5月	0	 1 	 2 	0	0	0	0	 1 	0
89年 6月	0	 2 	 1 	0	 3 	0	 1 	 2 	0
89年 7月	0	 3 	 1 	 2 	 5 	0	0	0	0
89年 8月	0	 4 	 1 	 1 	 5 	0	 1 	 3 	0
89年 9月	0	 8 	 2 	 3 	 6 	0	0	 1 	0
89年 10月	0	 9 	 1 	 1 	 8 	0	 2 	 3 	0
89年 11月	 2 	0	0	0	 1 	 1 	 2 	0	0
89年 12月	0	 3 	 1 	0	 1 	0	 2 	 2 	0
90年	 4 	 55 	 7 	 15 	 50 	0	 15 	 14 	 4 
90年 1月	0	 3 	0	 1 	 3 	0	 2 	 1 	0
90年 2月	0	 11 	0	0	 3 	0	0	 1 	0
90年 3月	0	 8 	0	0	 6 	0	0	0	0
90年 4月	 1 	 4 	 1 	0	 4 	0	0	 3 	0
90年 5月	0	 8 	0	 1 	 7 	0	0	 2 	 4 
90年 6月	0	 5 	 2 	0	 3 	0	0	 2 	0
90年 7月	 2 	 5 	 1 	 4 	 5 	0	 1 	 3 	0
90年 8月	0	 4 	 1 	 5 	 2 	0	 3 	 1 	0
90年 9月	 1 	 2 	 1 	 1 	 5 	0	 2 	0	0
90年 10月	0	 1 	0	 1 	 4 	0	 1 	0	0
90年 11月	0	 2 	 1 	 1 	 3 	0	 5 	0	0
90年 12月	0	 2 	0	 1 	 5 	0	 1 	 1 	0
91年	 5 	 51 	 10 	 11 	 45 	0	 26 	 14 	0
91年 1月	 1 	 2 	0	 2 	 2 	0	0	0	0
91年 2月	0	 1 	0	0	 5 	0	 10 	0	0
91年 3月	 2 	 5 	0	0	 2 	0	 3 	 2 	0
91年 4月	0	 5 	 1 	0	0	0	0	0	0
91年 5月	 1 	 1 	 3 	0	 5 	0	 2 	 1 	0
91年 6月	0	 5 	 2 	0	 2 	0	 2 	0	0
91年 7月	0	 7 	 3 	 2 	 4 	0	0	 3 	0
91年 8月	0	 4 	0	 6 	 7 	0	0	 2 	0
91年 9月	0	 7 	0	 1 	 2 	0	0	 1 	0
91年 10月	0	 5 	 1 	0	 7 	0	 1 	 2 	0
91年 11月	 1 	 5 	0	0	 6 	0	 3 	 3 	0
91年 12月	0	 4 	0	0	 3 	0	 5 	0	0
92年	 1 	 50 	 7 	 21 	 35 	 1 	 13 	 4 	 2 
92年 1月	0	 4 	0	0	 3 	0	 3 	0	0
92年 2月	0	 5 	 3 	 3 	 3 	0	 1 	 1 	0
92年 3月	0	 2 	0	 1 	 2 	0	 1 	0	0
92年 4月	0	 4 	0	0	 6 	0	0	 1 	 2 
92年 5月	0	 5 	 1 	0	 2 	0	 1 	0	0
92年 6月	0	 2 	 1 	 1 	 5 	0	 3 	0	0
92年 7月	0	0	 1 	 5 	 1 	0	0	 1 	0
92年 8月	 1 	 4 	0	 3 	 6 	0	0	 1 	0
92年 9月	0	 4 	0	0	 2 	0	 1 	0	0
92年 10月	0	 1 	0	 1 	 2 	 1 	 1 	0	0
92年 11月	0	 8 	 1 	 4 	 2 	0	0	0	0
92年 12月	0	 11 	0	 3 	 1 	0	 2 	0	0
93年	 3 	 42 	 10 	 17 	 59 	 1 	 13 	 11 	 1 
93年 1月	 1 	 1 	 2 	0	 8 	0	 3 	 1 	0
93年 2月	0	 3 	 1 	0	 5 	0	 1 	0	0
93年 3月	0	 3 	 2 	0	 6 	 1 	0	 4 	0
93年 4月	0	 1 	 1 	 2 	 2 	0	0	 2 	0
93年 5月	0	 3 	 1 	0	 3 	0	 2 	 1 	0
93年 6月	0	 5 	 2 	0	 9 	0	 2 	 1 	0
93年 7月	0	 5 	 1 	 10 	 7 	0	 2 	0	0
93年 8月	 1 	 4 	0	 3 	 1 	0	0	 1 	0
93年 9月	0	 5 	0	 2 	 4 	0	 2 	0	 1 
93年 10月	0	 3 	0	0	 4 	0	0	0	0
93年 11月	0	 5 	0	0	 6 	0	 1 	0	0
93年 12月	 1 	 4 	0	0	 4 	0	0	 1 	0
94年	 2 	 83 	 5 	 18 	 24 	 1 	 9 	 21 	0
94年 1月	0	 9 	 1 	 2 	0	0	0	 2 	0
94年 2月	 1 	 5 	0	 1 	0	0	0	 2 	0
94年 3月	0	 15 	0	 1 	 1 	0	 1 	 1 	0
94年 4月	0	0	0	 3 	 3 	 1 	0	 2 	0
94年 5月	0	 8 	 1 	0	 6 	0	 1 	 2 	0
94年 6月	0	 8 	 1 	0	 3 	0	 1 	 3 	0
94年 7月	0	 5 	0	 4 	 3 	0	0	 1 	0
94年 8月	0	 4 	 1 	 4 	 2 	0	 1 	 2 	0
94年 9月	0	 7 	0	0	 3 	0	 3 	 4 	0
94年 10月	0	 11 	0	 3 	 3 	0	 1 	0	0
94年 11月	0	 4 	 1 	0	0	0	 1 	 2 	0
94年 12月	 1 	 7 	0	0	0	0	0	0	0
95年	 5 	 99 	 6 	 30 	 30 	 2 	 16 	 13 	0
95年 1月	0	 9 	 1 	 2 	0	0	 1 	 1 	0
95年 2月	0	 6 	0	0	 3 	0	 7 	 2 	0
95年 3月	 1 	 10 	0	0	 5 	0	 2 	0	0
95年 4月	 2 	 6 	0	 4 	 2 	0	0	 1 	0
95年 5月	0	 6 	 2 	 2 	 5 	 1 	 3 	0	0
95年 6月	0	 6 	0	 6 	 1 	 1 	0	 3 	0
95年 7月	0	 6 	0	 5 	 1 	0	 1 	 2 	0
95年 8月	 1 	 13 	0	 2 	 2 	0	0	 1 	0
95年 9月	0	 8 	0	 2 	 3 	0	 1 	 2 	0
95年 10月	 1 	 10 	 1 	 2 	 2 	0	 1 	 1 	0
95年 11月	0	 11 	 2 	 3 	 3 	0	0	0	0
95年 12月	0	 8 	0	 2 	 3 	0	0	0	0
96年	0	 111 	 2 	 15 	 37 	0	 3 	 6 	0
96年 1月	0	 10 	 1 	 4 	 6 	0	0	 1 	0
96年 2月	0	 7 	0	0	 2 	0	0	0	0
96年 3月	0	 11 	0	 2 	 3 	0	0	0	0
96年 4月	0	 4 	0	 1 	 4 	0	0	 1 	0
96年 5月	0	 10 	0	 3 	 4 	0	0	0	0
96年 6月	0	 5 	0	0	 1 	0	 1 	 2 	0
96年 7月	0	 10 	0	 2 	 5 	0	0	 1 	0
96年 8月	0	 7 	0	0	 4 	0	0	0	0
96年 9月	0	 10 	 1 	 1 	 3 	0	0	0	0
96年 10月	0	 12 	0	 1 	 3 	0	 1 	0	0
96年 11月	0	 10 	0	 1 	 1 	0	 1 	0	0
96年 12月	0	 15 	0	0	 1 	0	0	 1 	0
97年	0	 92 	 1 	 8 	 25 	0	 8 	 9 	0
97年 1月	0	 10 	0	0	0	0	0	0	0
97年 2月	0	 9 	0	 1 	 1 	0	 3 	 1 	0
97年 3月	0	 6 	0	0	 2 	0	 1 	0	0
97年 4月	0	 10 	0	0	 2 	0	0	0	0
97年 5月	0	 7 	0	 1 	0	0	0	0	0
97年 6月	0	 8 	0	 2 	 5 	0	0	0	0
97年 7月	0	 11 	0	0	 2 	0	 1 	 2 	0
97年 8月	0	 8 	0	 2 	 5 	0	 1 	0	0
97年 9月	0	 8 	 1 	 2 	 3 	0	 1 	0	0
97年 10月	0	 4 	0	0	 2 	0	0	 1 	0
97年 11月	0	 7 	0	0	 1 	0	0	 3 	0
97年 12月	0	 4 	0	0	 2 	0	 1 	 2 	0
98年	0	 105 	 3 	 11 	 26 	0	 5 	 36 	0
98年 1月	0	 8 	 3 	 2 	 1 	0	0	 1 	0
98年 2月	0	 9 	0	 1 	 1 	0	 1 	 7 	0
98年 3月	0	 11 	0	 1 	 2 	0	 2 	 1 	0
98年 4月	0	 13 	0	 1 	 3 	0	0	 1 	0
98年 5月	0	 9 	0	 2 	 3 	0	0	 3 	0
98年 6月	0	 6 	0	 3 	 2 	0	 1 	 3 	0
98年 7月	0	 14 	0	 1 	0	0	0	 3 	0
98年 8月	0	 9 	0	0	 7 	0	0	 3 	0
98年 9月	0	 7 	0	0	 2 	0	0	 2 	0
98年 10月	0	 3 	0	0	 3 	0	 1 	 3 	0
98年 11月	0	 9 	0	0	0	0	0	 8 	0
98年 12月	0	 7 	0	0	 2 	0	0	 1 	0
99年	 2 	 152 	 2 	 14 	 35 	0	 4 	 35 	0
99年 1月	 1 	 6 	0	0	0	0	0	 1 	0
99年 2月	0	 8 	 1 	0	 5 	0	0	 2 	0
99年 3月	0	 9 	0	 5 	 3 	0	0	 3 	0
99年 4月	0	 18 	0	 3 	 1 	0	0	 1 	0
99年 5月	0	 9 	0	 2 	 3 	0	0	 2 	0
99年 6月	0	 14 	0	 1 	 3 	0	0	 5 	0
99年 7月	0	 14 	0	 3 	 7 	0	0	 2 	0
99年 8月	0	 15 	0	0	 2 	0	0	 3 	0
99年 9月	0	 20 	0	0	 2 	0	0	 2 	0
99年 10月	 1 	 18 	0	0	 7 	0	 4 	 1 	0
99年 11月	0	 2 	0	0	 1 	0	0	 10 	0
99年 12月	0	 19 	 1 	0	 1 	0	0	 3 	0
100年	 4 	 139 	 8 	 29 	 28 	0	 3 	 37 	0
100年 1月	 1 	 15 	 1 	 3 	 3 	0	0	 2 	0
100年 2月	0	 7 	 1 	 4 	0	0	0	 1 	0
100年 3月	 2 	 11 	 1 	 4 	 2 	0	0	 2 	0
100年 4月	0	 11 	 2 	 5 	 1 	0	 1 	 6 	0
100年 5月	0	 17 	 1 	 2 	 5 	0	 1 	 2 	0
100年 6月	0	 9 	0	 1 	 2 	0	0	 2 	0
100年 7月	0	 13 	0	 4 	 1 	0	0	 2 	0
100年 8月	0	 16 	 1 	 2 	 1 	0	 1 	 5 	0
100年 9月	0	 11 	 1 	 2 	 3 	0	0	 2 	0
100年 10月	0	 13 	0	0	 6 	0	0	 5 	0
100年 11月	 1 	 6 	0	 1 	 2 	0	0	 4 	0
100年 12月	0	 10 	0	 1 	 2 	0	0	 4 	0
101年	 1 	 162 	 8 	 22 	 37 	 1 	 16 	 89 	0
101年 1月	0	 9 	0	0	 1 	0	0	 7 	0
101年 2月	0	 16 	 3 	 2 	 2 	0	 2 	 3 	0
101年 3月	0	 18 	 1 	 1 	 5 	0	 4 	 9 	0
101年 4月	0	 23 	 1 	 1 	 3 	0	 1 	 10 	0
101年 5月	0	 11 	0	 3 	 6 	 1 	 2 	 12 	0
101年 6月	0	 11 	 1 	 2 	 1 	0	 2 	 13 	0
101年 7月	0	 16 	 2 	 2 	 5 	0	0	 5 	0
101年 8月	0	 9 	0	 1 	 1 	0	0	 3 	0
101年 9月	0	 16 	0	 3 	 1 	0	 2 	 4 	0
101年 10月	 1 	 12 	0	 1 	 5 	0	0	 3 	0
101年 11月	0	 11 	0	 1 	 4 	0	0	 10 	0
101年 12月	0	 10 	0	 5 	 3 	0	 3 	 10 	0
102年	 1 	 194 	 6 	 26 	 43 	 3 	 8 	 85 	0
102年 1月	0	 16 	 1 	 3 	 6 	0	 1 	 6 	0
102年 2月	0	 9 	 1 	 1 	 4 	0	 1 	 7 	0
102年 3月	0	 11 	 1 	 3 	 4 	0	0	 8 	0
102年 4月	0	 14 	0	 2 	 2 	0	 3 	 6 	0
102年 5月	0	 23 	0	 1 	 3 	0	 1 	 5 	0
102年 6月	0	 25 	0	 1 	 6 	 3 	0	 11 	0
102年 7月	0	 18 	 1 	 3 	 2 	0	0	 11 	0
102年 8月	0	 12 	0	 2 	 5 	0	0	 1 	0
102年 9月	0	 13 	 1 	 4 	 3 	0	 1 	 3 	0
102年 10月	 1 	 17 	 1 	 2 	 1 	0	 1 	 5 	0
102年 11月	0	 18 	0	 4 	 3 	0	0	 5 	0
102年 12月	0	 18 	0	0	 4 	0	0	 17 	0
103年	 1 	 234 	 8 	 26 	 35 	0	0	 69 	0
103年 1月	0	 20 	 1 	 2 	 6 	0	0	 3 	0
