時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 15 	 9 	0	 32 	 43 	0	 13 	 5 	 4 
89年 1月	 3 	0	0	 3 	 1 	0	 2 	0	 1 
89年 2月	 2 	0	0	 8 	 4 	0	0	0	 1 
89年 3月	0	 1 	0	0	0	0	 1 	0	0
89年 4月	 1 	0	0	 3 	0	0	0	0	0
89年 5月	 1 	 2 	0	 4 	 11 	0	 3 	0	0
89年 6月	 2 	0	0	 3 	 1 	0	 2 	 3 	0
89年 7月	 1 	0	0	 2 	 5 	0	 2 	0	0
89年 8月	0	0	0	 4 	 4 	0	 2 	0	 1 
89年 9月	 1 	0	0	 2 	 9 	0	 1 	0	0
89年 10月	 2 	 3 	0	0	 7 	0	0	 1 	0
89年 11月	0	 2 	0	 1 	0	0	0	0	0
89年 12月	 2 	 1 	0	 2 	 1 	0	0	 1 	 1 
90年	 16 	 10 	0	 36 	 39 	0	 4 	 5 	 1 
90年 1月	 1 	0	0	 7 	 3 	0	 1 	 1 	0
90年 2月	 2 	 3 	0	0	 1 	0	0	0	0
90年 3月	 2 	0	0	0	 2 	0	 2 	0	 1 
90年 4月	 2 	0	0	 6 	 3 	0	0	0	0
90年 5月	 1 	 1 	0	 3 	 4 	0	0	0	0
90年 6月	0	 1 	0	 2 	 8 	0	0	 1 	0
90年 7月	 3 	 2 	0	 4 	 1 	0	0	0	0
90年 8月	 2 	 1 	0	 3 	 6 	0	0	0	0
90年 9月	 1 	0	0	 2 	 3 	0	0	 2 	0
90年 10月	0	0	0	 1 	 1 	0	0	0	0
90年 11月	 1 	 1 	0	 3 	 3 	0	 1 	 1 	0
90年 12月	 1 	 1 	0	 5 	 4 	0	0	0	0
91年	 27 	 10 	0	 56 	 67 	0	 3 	 13 	0
91年 1月	 2 	0	0	 7 	 3 	0	0	0	0
91年 2月	 3 	0	0	 3 	 3 	0	 1 	 7 	0
91年 3月	 2 	0	0	 2 	 8 	0	0	 2 	0
91年 4月	 5 	 1 	0	 7 	0	0	0	0	0
91年 5月	 3 	 3 	0	 3 	 2 	0	0	 1 	0
91年 6月	 2 	 1 	0	 3 	0	0	0	 1 	0
91年 7月	 3 	 1 	0	 5 	 7 	0	0	0	0
