時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	0	0	0	0	 8 	 2 	 6 	 210 	 1 
89年 1月	0	0	0	0	0	 1 	 1 	 13 	0
89年 2月	0	0	0	0	0	0	 2 	 12 	0
89年 3月	0	0	0	0	0	0	0	 12 	0
89年 4月	0	0	0	0	 2 	0	0	 7 	0
89年 5月	0	0	0	0	0	0	0	 17 	0
89年 6月	0	0	0	0	 1 	0	0	 12 	0
89年 7月	0	0	0	0	 1 	0	0	 19 	0
89年 8月	0	0	0	0	0	0	0	 23 	0
89年 9月	0	0	0	0	 2 	0	0	 19 	 1 
89年 10月	0	0	0	0	0	0	0	 28 	0
89年 11月	0	0	0	0	 2 	0	0	 29 	0
89年 12月	0	0	0	0	0	 1 	 3 	 19 	0
90年	0	 2 	0	 3 	 32 	0	 2 	 274 	0
90年 1月	0	 1 	0	0	 2 	0	0	 25 	0
90年 2月	0	0	0	0	 2 	0	0	 25 	0
90年 3月	0	0	0	0	 2 	0	0	 26 	0
90年 4月	0	 1 	0	 2 	 5 	0	0	 30 	0
90年 5月	0	0	0	 1 	 3 	0	0	 29 	0
90年 6月	0	0	0	0	 5 	0	0	 25 	0
90年 7月	0	0	0	0	 4 	0	0	 10 	0
90年 8月	0	0	0	0	 2 	0	 1 	 17 	0
90年 9月	0	0	0	0	0	0	0	 25 	0
90年 10月	0	0	0	0	 5 	0	 1 	 17 	0
90年 11月	0	0	0	0	 1 	0	0	 25 	0
90年 12月	0	0	0	0	 1 	0	0	 20 	0
91年	0	0	0	 1 	 20 	0	 10 	 295 	0
91年 1月	0	0	0	0	 2 	0	0	 24 	0
91年 2月	0	0	0	0	 3 	0	0	 34 	0
91年 3月	0	0	0	0	 4 	0	0	 37 	0
91年 4月	0	0	0	0	0	0	0	 30 	0
91年 5月	0	0	0	0	 3 	0	0	 24 	0
91年 6月	0	0	0	 1 	0	0	0	 23 	0
91年 7月	0	0	0	0	 1 	0	 3 	 23 	0
91年 8月	0	0	0	0	 3 	0	 1 	 24 	0
91年 9月	0	0	0	0	0	0	0	 22 	0
91年 10月	0	0	0	0	0	0	 1 	 16 	0
91年 11月	0	0	0	0	 1 	0	0	 22 	0
91年 12月	0	0	0	0	 3 	0	 5 	 16 	0
92年	0	0	0	 1 	 28 	0	 36 	 291 	0
92年 1月	0	0	0	0	 6 	0	 2 	 13 	0
92年 2月	0	0	0	0	 3 	0	 2 	 16 	0
92年 3月	0	0	0	0	 3 	0	0	 36 	0
92年 4月	0	0	0	0	 1 	0	 8 	 20 	0
92年 5月	0	0	0	0	 1 	0	 1 	 17 	0
92年 6月	0	0	0	0	 2 	0	 7 	 27 	0
92年 7月	0	0	0	0	 4 	0	 7 	 19 	0
92年 8月	0	0	0	 1 	 2 	0	 3 	 27 	0
92年 9月	0	0	0	0	 1 	0	 4 	 31 	0
92年 10月	0	0	0	0	0	0	0	 21 	0
92年 11月	0	0	0	0	 3 	0	 1 	 27 	0
92年 12月	0	0	0	0	 2 	0	 1 	 37 	0
93年	0	0	0	 6 	 34 	0	 13 	 347 	0
