時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 18 	0	0	 10 	 1 	 2 	0	 52 	 88 
89年 1月	 2 	0	0	0	0	0	0	 7 	 8 
89年 2月	0	0	0	0	0	0	0	 2 	 6 
89年 3月	 2 	0	0	 3 	0	0	0	 7 	 5 
89年 4月	0	0	0	 1 	0	 1 	0	 3 	 10 
89年 5月	 3 	0	0	 1 	0	0	0	 5 	 15 
89年 6月	 1 	0	0	0	0	0	0	 5 	 6 
89年 7月	0	0	0	0	0	0	0	 4 	 8 
89年 8月	0	0	0	0	0	0	0	 5 	 4 
89年 9月	0	0	0	 1 	0	 1 	0	 6 	 5 
89年 10月	 6 	0	0	0	0	0	0	 2 	 11 
89年 11月	 1 	0	0	 4 	 1 	0	0	 2 	 5 
89年 12月	 3 	0	0	0	0	0	0	 4 	 5 
90年	 31 	0	0	 9 	0	 1 	0	 34 	 89 
90年 1月	 6 	0	0	0	0	0	0	 3 	 11 
90年 2月	 3 	0	0	0	0	0	0	0	 7 
90年 3月	 5 	0	0	 2 	0	0	0	 3 	 5 
90年 4月	 7 	0	0	0	0	0	0	 6 	 15 
90年 5月	 5 	0	0	0	0	0	0	 2 	 9 
90年 6月	 1 	0	0	0	0	0	0	 5 	 8 
90年 7月	0	0	0	0	0	0	0	 1 	 4 
90年 8月	0	0	0	 2 	0	 1 	0	 1 	 9 
90年 9月	 1 	0	0	 1 	0	0	0	 4 	 3 
90年 10月	 1 	0	0	 2 	0	0	0	 4 	 4 
90年 11月	 1 	0	0	 1 	0	0	0	 2 	 9 
90年 12月	 1 	0	0	 1 	0	0	0	 3 	 5 
91年	 4 	0	0	 9 	0	0	0	 41 	 92 
91年 1月	0	0	0	0	0	0	0	 1 	0
91年 2月	 1 	0	0	 1 	0	0	0	 9 	 6 
91年 3月	 1 	0	0	0	0	0	0	 3 	 8 
91年 4月	0	0	0	 1 	0	0	0	 2 	 8 
91年 5月	0	0	0	 3 	0	0	0	 3 	 8 
91年 6月	0	0	0	0	0	0	0	 3 	 6 
91年 7月	0	0	0	 1 	0	0	0	 1 	 3 
91年 8月	0	0	0	 1 	0	0	0	 10 	 7 
91年 9月	 2 	0	0	0	0	0	0	 4 	 9 
91年 10月	0	0	0	 2 	0	0	0	0	 16 
91年 11月	0	0	0	0	0	0	0	 3 	 13 
91年 12月	0	0	0	0	0	0	0	 2 	 8 
92年	 7 	0	0	 11 	0	0	0	 43 	 119 
92年 1月	0	0	0	0	0	0	0	 5 	 10 
92年 2月	0	0	0	0	0	0	0	 4 	 2 
92年 3月	0	0	0	 1 	0	0	0	 2 	 13 
92年 4月	 2 	0	0	 3 	0	0	0	 2 	 6 
92年 5月	0	0	0	 1 	0	0	0	 3 	 7 
92年 6月	0	0	0	 2 	0	0	0	 2 	 10 
92年 7月	 3 	0	0	 2 	0	0	0	 5 	 6 
92年 8月	0	0	0	 1 	0	0	0	 5 	 5 
92年 9月	0	0	0	0	0	0	0	 1 	 20 
92年 10月	 2 	0	0	0	0	0	0	 5 	 4 
92年 11月	0	0	0	 1 	0	0	0	 5 	 14 
