時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 2,767 	 485 	 31 	 217 	 1 	 106 	 17 	 29 	 47 
89年 1月	 254 	 75 	 5 	 26 	0	 7 	 3 	 1 	 3 
89年 2月	 175 	 52 	 2 	 52 	0	 9 	 1 	 1 	 6 
89年 3月	 171 	 40 	 1 	 18 	0	 11 	0	 3 	 5 
89年 4月	 213 	 58 	 4 	 13 	0	 11 	 1 	 1 	 9 
89年 5月	 260 	 50 	 3 	 15 	0	 12 	 1 	 3 	 4 
89年 6月	 219 	 33 	 3 	 9 	0	 5 	0	 1 	 2 
89年 7月	 210 	 40 	 2 	 11 	0	 10 	 3 	 6 	 5 
89年 8月	 258 	 25 	 2 	 17 	0	 8 	 1 	 4 	 1 
89年 9月	 276 	 30 	 3 	 13 	0	 12 	 3 	 2 	 4 
89年 10月	 289 	 21 	 1 	 19 	0	 6 	 2 	 1 	 3 
89年 11月	 250 	 37 	 2 	 10 	 1 	 10 	0	 5 	 1 
89年 12月	 192 	 24 	 3 	 14 	0	 5 	 2 	 1 	 4 
90年	 3,110 	 712 	 57 	 192 	 1 	 86 	 29 	 37 	 67 
90年 1月	 399 	 49 	 9 	 27 	0	 4 	 3 	 3 	 3 
90年 2月	 273 	 61 	 4 	 20 	0	 2 	0	 1 	 7 
90年 3月	 234 	 43 	 2 	 15 	 1 	 3 	 1 	 1 	 2 
90年 4月	 232 	 63 	 7 	 19 	0	 8 	 3 	 6 	 6 
90年 5月	 286 	 65 	 3 	 20 	0	 8 	 3 	 4 	 8 
90年 6月	 244 	 62 	 6 	 15 	0	 10 	 2 	 2 	 4 
90年 7月	 293 	 76 	 5 	 19 	0	 14 	 2 	 3 	 8 
90年 8月	 243 	 84 	 10 	 18 	0	 6 	 3 	 6 	 9 
90年 9月	 226 	 44 	 6 	 13 	0	 12 	 3 	 1 	 5 
90年 10月	 239 	 56 	 3 	 12 	0	 6 	 4 	 2 	 4 
90年 11月	 213 	 47 	 1 	 8 	0	 7 	 2 	 4 	 8 
90年 12月	 228 	 62 	 1 	 6 	0	 6 	 3 	 4 	 3 
91年	 4,309 	 986 	 56 	 103 	 5 	 154 	 76 	 32 	 77 
91年 1月	 232 	 83 	0	 2 	 2 	 9 	 3 	 5 	 3 
91年 2月	 406 	 103 	 6 	 22 	0	 8 	 4 	 2 	 9 
91年 3月	 271 	 116 	0	 11 	0	 15 	 9 	 1 	 3 
91年 4月	 267 	 105 	 2 	 7 	0	 9 	 2 	 3 	 6 
91年 5月	 320 	 83 	 1 	 5 	0	 13 	 3 	 3 	 4 
91年 6月	 473 	 108 	 6 	 4 	0	 7 	 3 	 2 	 5 
91年 7月	 394 	 58 	 11 	 10 	 1 	 11 	 3 	 2 	 5 
91年 8月	 414 	 68 	 14 	 6 	0	 16 	 6 	 3 	 6 
91年 9月	 409 	 54 	 8 	 5 	 2 	 19 	 7 	0	 8 
91年 10月	 531 	 83 	 3 	 6 	0	 17 	 12 	 4 	 12 
91年 11月	 349 	 66 	 1 	 6 	0	 19 	 12 	 2 	 7 
91年 12月	 243 	 59 	 4 	 19 	0	 11 	 12 	 5 	 9 
92年	 4,055 	 785 	 31 	 97 	 2 	 111 	 164 	 34 	 67 
92年 1月	 504 	 89 	 12 	 20 	0	 8 	 27 	 4 	 10 
92年 2月	 310 	 52 	 2 	 26 	0	 8 	 16 	 2 	 6 
92年 3月	 241 	 76 	0	 13 	0	 12 	 34 	 2 	 5 
92年 4月	 393 	 87 	 2 	 7 	0	 8 	 9 	 2 	 5 
92年 5月	 319 	 74 	 1 	 2 	 1 	 6 	 11 	 3 	 6 
92年 6月	 582 	 86 	 3 	 3 	0	 13 	 6 	 1 	 10 
92年 7月	 254 	 52 	0	 4 	0	 8 	 14 	 4 	 5 
92年 8月	 326 	 65 	 2 	 9 	0	 9 	 5 	 4 	 7 
92年 9月	 250 	 46 	 1 	 4 	0	 2 	 3 	 4 	 1 
92年 10月	 305 	 43 	 2 	 4 	0	 16 	 10 	 1 	 7 
92年 11月	 283 	 57 	 2 	 1 	0	 14 	 13 	 1 	 1 
92年 12月	 288 	 58 	 4 	 4 	 1 	 7 	 16 	 6 	 4 
93年	 3,786 	 742 	 32 	 84 	 4 	 124 	 280 	 27 	 60 
93年 1月	 293 	 70 	 5 	 11 	0	 6 	 7 	 6 	 1 
93年 2月	 256 	 64 	 5 	 11 	0	 9 	 29 	 1 	 5 
93年 3月	 264 	 41 	 2 	 18 	 1 	 14 	 15 	 4 	 7 
93年 4月	 408 	 53 	 3 	 4 	 1 	 3 	 85 	 3 	 7 
93年 5月	 297 	 38 	 2 	 4 	0	 16 	 27 	 2 	 5 
93年 6月	 336 	 45 	 1 	 9 	0	 7 	 48 	 1 	 7 
93年 7月	 282 	 53 	 3 	 3 	 1 	 13 	 10 	 3 	 2 
93年 8月	 350 	 62 	 3 	 7 	0	 12 	 8 	0	 3 
93年 9月	 316 	 63 	 2 	 8 	0	 7 	 14 	 4 	 8 
93年 10月	 399 	 88 	 2 	 4 	0	 18 	 14 	0	 2 
93年 11月	 324 	 78 	 1 	 4 	0	 10 	 6 	 2 	 6 
93年 12月	 261 	 87 	 3 	 1 	 1 	 9 	 17 	 1 	 7 
94年	 2,782 	 675 	 28 	 50 	 2 	 84 	 261 	 32 	 49 
94年 1月	 267 	 92 	 4 	 3 	0	 9 	 16 	0	 1 
94年 2月	 223 	 42 	 1 	 14 	 1 	 6 	 11 	 2 	 8 
94年 3月	 285 	 68 	 1 	 4 	0	 1 	 19 	 1 	 3 
94年 4月	 172 	 88 	 4 	 4 	0	 5 	 8 	 1 	 3 
94年 5月	 299 	 53 	 2 	 3 	0	 6 	 43 	 3 	 10 
94年 6月	 220 	 46 	 2 	 4 	 1 	 8 	 59 	 8 	 3 
94年 7月	 174 	 46 	 3 	 4 	0	 9 	 18 	 3 	 5 
94年 8月	 235 	 51 	 4 	 4 	0	 3 	 58 	 1 	 2 
94年 9月	 219 	 56 	 2 	 3 	0	 9 	 13 	 2 	 4 
