時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 2 	 19 	 25 	 25 	 31 	 2 	 7 	 26 	0
89年 1月	0	0	 1 	 2 	 1 	0	 1 	 1 	0
89年 2月	0	 1 	0	 3 	0	0	0	 4 	0
89年 3月	0	 5 	 6 	 1 	 2 	0	0	 2 	0
89年 4月	0	 2 	 4 	 1 	 3 	0	 1 	 1 	0
89年 5月	0	0	 3 	0	 4 	0	 1 	 2 	0
89年 6月	0	 1 	 1 	 2 	 1 	0	0	0	0
89年 7月	0	 2 	0	 2 	 3 	 1 	 2 	 4 	0
89年 8月	0	 1 	 1 	 8 	 5 	 1 	0	0	0
89年 9月	0	 2 	 2 	 3 	 4 	0	0	 3 	0
89年 10月	 1 	 2 	 2 	0	 3 	0	 1 	 5 	0
89年 11月	 1 	 3 	 3 	 2 	 3 	0	 1 	 2 	0
89年 12月	0	0	 2 	 1 	 2 	0	0	 2 	0
90年	 1 	 25 	 31 	 64 	 61 	 1 	 18 	 28 	0
90年 1月	0	 3 	 5 	0	 6 	0	 3 	 1 	0
90年 2月	0	 2 	 1 	 1 	 3 	 1 	 1 	 1 	0
90年 3月	0	 2 	 3 	 1 	 5 	0	 1 	 4 	0
90年 4月	0	 2 	0	 1 	 6 	0	 2 	 4 	0
90年 5月	0	 4 	 2 	 2 	 6 	0	0	 3 	0
90年 6月	0	0	 2 	 2 	 8 	0	 2 	 3 	0
90年 7月	0	0	 3 	 4 	 5 	0	0	 1 	0
90年 8月	0	 1 	 2 	 12 	 7 	0	 2 	 5 	0
90年 9月	0	 5 	 2 	 3 	 6 	0	 1 	 3 	0
90年 10月	0	0	0	 2 	 4 	0	 2 	 2 	0
90年 11月	0	 1 	 7 	 34 	 5 	0	 2 	 1 	0
90年 12月	 1 	 5 	 4 	 2 	0	0	 2 	0	0
91年	 2 	 90 	 14 	 37 	 52 	 1 	 19 	 23 	0
91年 1月	0	 8 	 1 	 2 	 2 	0	 1 	 2 	0
91年 2月	0	 2 	 1 	0	 4 	0	 2 	 4 	0
91年 3月	 1 	 6 	 1 	 2 	 2 	 1 	 3 	0	0
91年 4月	0	 7 	 1 	 3 	 2 	0	 1 	 1 	0
91年 5月	 1 	 8 	0	 3 	 1 	0	 1 	 1 	0
91年 6月	0	 7 	0	 1 	 9 	0	0	 1 	0
91年 7月	0	 2 	 1 	 10 	 3 	0	 3 	 5 	0
91年 8月	0	 13 	 2 	 4 	 5 	0	 2 	 5 	0
91年 9月	0	 9 	 2 	 5 	 3 	0	 1 	 1 	0
91年 10月	0	 10 	 2 	 3 	 7 	0	 3 	0	0
91年 11月	0	 11 	 1 	 3 	 6 	0	 2 	 2 	0
91年 12月	0	 7 	 2 	 1 	 8 	0	0	 1 	0
92年	 1 	 74 	 18 	 18 	 77 	 5 	 23 	 18 	0
92年 1月	0	 11 	 2 	 3 	 10 	0	 3 	 2 	0
92年 2月	0	 4 	0	 1 	 15 	0	0	 3 	0
92年 3月	 1 	 5 	0	0	 3 	 1 	 1 	 1 	0
92年 4月	0	 9 	 2 	 1 	 7 	 1 	0	0	0
92年 5月	0	 9 	 2 	0	 2 	0	0	 1 	0
92年 6月	0	 4 	 4 	0	 18 	 1 	 4 	0	0
92年 7月	0	 6 	 4 	 7 	 3 	 1 	 3 	0	0
92年 8月	0	 7 	0	 5 	 3 	0	 1 	 1 	0
92年 9月	0	 3 	 1 	0	 6 	 1 	 2 	 3 	0
