時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 42 	 4 	 19 	 35 	 403 	 1,062 	0	0	 12 
89年 1月	 2 	0	 1 	 1 	 43 	 148 	0	0	 1 
89年 2月	 1 	0	 2 	 3 	 50 	 209 	0	0	 3 
89年 3月	 1 	0	 2 	 4 	 17 	 69 	0	0	 1 
89年 4月	 1 	0	 3 	 2 	 26 	 66 	0	0	 2 
89年 5月	0	0	 1 	 3 	 21 	 70 	0	0	 2 
89年 6月	0	0	 1 	 2 	 24 	 61 	0	0	0
89年 7月	 1 	0	 2 	 4 	 28 	 75 	0	0	 1 
89年 8月	0	 1 	 1 	 7 	 27 	 78 	0	0	0
89年 9月	0	 2 	 1 	 4 	 40 	 65 	0	0	0
89年 10月	 2 	 1 	 1 	 2 	 51 	 94 	0	0	 1 
89年 11月	 3 	0	 3 	 2 	 42 	 67 	0	0	0
89年 12月	 31 	0	 1 	 1 	 34 	 60 	0	0	 1 
90年	 158 	0	 16 	 52 	 506 	 598 	 1 	0	 95 
90年 1月	 85 	0	 2 	 4 	 44 	 71 	0	0	 1 
90年 2月	 16 	0	0	 3 	 52 	 74 	0	0	0
90年 3月	 4 	0	0	0	 37 	 54 	0	0	 1 
90年 4月	 6 	0	0	 6 	 36 	 62 	0	0	 1 
90年 5月	 3 	0	0	 10 	 52 	 63 	0	0	 1 
90年 6月	 2 	0	 1 	 2 	 29 	 29 	 1 	0	 2 
90年 7月	 6 	0	 4 	 7 	 49 	 46 	0	0	 20 
90年 8月	 5 	0	 1 	 3 	 54 	 65 	0	0	 28 
90年 9月	 10 	0	 3 	 4 	 38 	 59 	0	0	 4 
90年 10月	 3 	0	 1 	 4 	 59 	 34 	0	0	 10 
90年 11月	 15 	0	 2 	 5 	 30 	 26 	0	0	 23 
90年 12月	 3 	0	 2 	 4 	 26 	 15 	0	0	 4 
91年	 103 	0	 35 	 40 	 482 	 282 	 9 	0	 407 
91年 1月	 1 	0	0	 3 	 17 	 18 	0	0	 8 
91年 2月	 7 	0	 1 	 5 	 28 	 11 	0	0	 26 
91年 3月	 7 	0	 4 	 2 	 35 	 21 	0	0	 36 
91年 4月	 2 	0	 2 	 2 	 33 	 13 	0	0	 28 
91年 5月	 4 	0	 3 	 3 	 37 	 14 	 2 	0	 21 
91年 6月	 12 	0	 1 	 4 	 44 	 21 	0	0	 31 
91年 7月	0	0	 1 	 2 	 42 	 33 	 2 	0	 49 
91年 8月	 1 	0	 3 	 7 	 48 	 31 	 1 	0	 46 
91年 9月	 23 	0	 4 	 5 	 50 	 29 	0	0	 37 
91年 10月	 29 	0	 5 	 5 	 63 	 25 	 1 	0	 56 
91年 11月	 15 	0	 7 	 1 	 40 	 32 	 2 	0	 39 
91年 12月	 2 	0	 4 	 1 	 45 	 34 	 1 	0	 30 
92年	 221 	 3 	 21 	 50 	 735 	 355 	 9 	0	 337 
92年 1月	 18 	0	 7 	 5 	 53 	 37 	 2 	0	 40 
92年 2月	 6 	0	0	 2 	 30 	 21 	 2 	0	 40 
92年 3月	 2 	0	 1 	 7 	 58 	 26 	 1 	0	 54 
92年 4月	 1 	 1 	 3 	 5 	 56 	 31 	 4 	0	 67 
92年 5月	 44 	0	0	 2 	 94 	 28 	0	0	 23 
92年 6月	 10 	 1 	 1 	 5 	 73 	 32 	0	0	 21 
92年 7月	 21 	 1 	0	 8 	 64 	 34 	0	0	 14 
92年 8月	 19 	0	0	 4 	 54 	 20 	0	0	 17 
92年 9月	 39 	0	0	 2 	 63 	 39 	0	0	 20 
92年 10月	 3 	0	 4 	 3 	 74 	 24 	0	0	 15 
92年 11月	 1 	0	 3 	 1 	 56 	 38 	0	0	 14 
92年 12月	 57 	0	 2 	 6 	 60 	 25 	0	0	 12 
93年	 91 	 1 	 24 	 40 	 1,345 	 613 	 21 	0	 155 
93年 1月	 10 	0	 4 	 4 	 82 	 38 	0	0	 21 
93年 2月	 4 	0	 3 	 6 	 107 	 49 	0	0	 12 
93年 3月	 13 	0	 2 	 6 	 129 	 39 	0	0	 9 
93年 4月	0	0	 2 	 1 	 95 	 62 	 13 	0	 14 
93年 5月	 1 	0	 1 	 2 	 104 	 38 	 2 	0	 17 
93年 6月	 22 	0	 1 	 2 	 128 	 56 	 1 	0	 34 
93年 7月	 3 	 1 	 2 	 1 	 133 	 67 	0	0	 16 
93年 8月	0	0	 2 	 4 	 113 	 52 	 4 	0	 5 
93年 9月	 26 	0	 2 	 6 	 144 	 40 	 1 	0	 4 
93年 10月	 11 	0	 1 	 2 	 116 	 51 	0	0	 2 
93年 11月	0	0	 2 	 1 	 104 	 68 	0	0	 7 
93年 12月	 1 	0	 2 	 5 	 90 	 53 	0	0	 14 
94年	 18 	 4 	 17 	 26 	 1,388 	 721 	 5 	0	 162 
94年 1月	 1 	0	 1 	 2 	 146 	 93 	0	0	 17 
94年 2月	 1 	0	 2 	 2 	 100 	 52 	0	0	 13 
94年 3月	 1 	 1 	0	 1 	 98 	 42 	0	0	 12 
94年 4月	 1 	0	 1 	0	 85 	 63 	 1 	0	 16 
94年 5月	 7 	 2 	 2 	 1 	 135 	 56 	0	0	 33 
94年 6月	 2 	0	 2 	 3 	 134 	 67 	 1 	0	 31 
94年 7月	 2 	0	 1 	 1 	 184 	 101 	0	0	 15 
94年 8月	0	 1 	 1 	 2 	 112 	 64 	0	0	 6 
94年 9月	0	0	0	 4 	 120 	 53 	 1 	0	 7 
94年 10月	0	0	 2 	 2 	 92 	 46 	0	0	 9 
94年 11月	 2 	0	 4 	 5 	 98 	 42 	 2 	0	 2 
94年 12月	 1 	0	 1 	 3 	 84 	 42 	0	0	 1 
95年	 31 	 3 	 15 	 42 	 1,308 	 428 	 2 	0	 1 
95年 1月	 4 	 1 	 1 	 4 	 138 	 56 	0	0	0
95年 2月	 2 	0	 2 	0	 109 	 23 	 1 	0	0
95年 3月	 5 	0	 1 	 2 	 97 	 16 	0	0	0
95年 4月	 7 	 1 	0	 2 	 104 	 59 	0	0	0
95年 5月	 2 	0	0	 6 	 117 	 22 	0	0	0
95年 6月	0	0	 2 	 3 	 76 	 17 	0	0	0
95年 7月	 2 	0	 1 	 4 	 131 	 36 	 1 	0	0
95年 8月	 3 	0	 3 	 3 	 154 	 47 	0	0	0
95年 9月	 2 	0	 2 	 3 	 121 	 51 	0	0	 1 
95年 10月	 2 	 1 	 1 	 2 	 83 	 26 	0	0	0
95年 11月	 1 	0	 1 	 4 	 107 	 31 	0	0	0
95年 12月	 1 	0	 1 	 9 	 71 	 44 	0	0	0
96年	 39 	0	 25 	 48 	 1,231 	 836 	 6 	 1 	0
96年 1月	 2 	0	 2 	 3 	 64 	 40 	0	0	0
96年 2月	 18 	0	0	 2 	 138 	 66 	0	 1 	0
96年 3月	 3 	0	 4 	 2 	 86 	 75 	0	0	0
96年 4月	 1 	0	 1 	 1 	 64 	 45 	 1 	0	0
96年 5月	 1 	0	 3 	 9 	 76 	 76 	 1 	0	0
96年 6月	0	0	 1 	 3 	 75 	 65 	 1 	0	0
96年 7月	 5 	0	 2 	 6 	 152 	 105 	 1 	0	0
96年 8月	0	0	 4 	 6 	 159 	 101 	 1 	0	0
96年 9月	 2 	0	 2 	 5 	 95 	 48 	0	0	0
96年 10月	0	0	 2 	 2 	 95 	 55 	0	0	0
96年 11月	 1 	0	 3 	 6 	 117 	 61 	 1 	0	0
96年 12月	 6 	0	 1 	 3 	 110 	 99 	0	0	0
97年	 14 	0	 58 	 88 	 1,380 	 789 	 13 	0	 12 
97年 1月	 1 	0	 3 	 8 	 100 	 35 	 1 	0	0
97年 2月	 1 	0	 4 	 4 	 113 	 70 	 1 	0	0
97年 3月	 1 	0	 3 	 10 	 121 	 63 	 2 	0	0
97年 4月	 1 	0	 1 	 6 	 99 	 63 	 2 	0	0
97年 5月	 2 	0	 6 	 8 	 123 	 85 	0	0	0
97年 6月	 1 	0	 10 	 8 	 132 	 64 	 2 	0	0
97年 7月	 1 	0	 5 	 8 	 204 	 121 	 3 	0	0
97年 8月	 2 	0	 5 	 8 	 156 	 83 	 1 	0	0
97年 9月	 1 	0	 10 	 5 	 100 	 65 	0	0	0
97年 10月	 1 	0	 4 	 12 	 85 	 65 	0	0	 12 
97年 11月	 1 	0	 2 	 6 	 78 	 53 	0	0	0
97年 12月	 1 	0	 5 	 5 	 69 	 22 	 1 	0	0
98年	 42 	 2 	 36 	 83 	 1,026 	 729 	 10 	 2 	0
98年 1月	 5 	 1 	 1 	 4 	 99 	 37 	0	0	0
98年 2月	 5 	0	 3 	 4 	 79 	 40 	0	0	0
98年 3月	 3 	 1 	 3 	 6 	 93 	 55 	0	 1 	0
98年 4月	 3 	0	 5 	 14 	 99 	 73 	0	0	0
98年 5月	 4 	0	 4 	 6 	 103 	 71 	 3 	0	0
98年 6月	 5 	0	 1 	 11 	 71 	 58 	0	0	0
98年 7月	 2 	0	 2 	 8 	 164 	 111 	 1 	0	0
98年 8月	 2 	0	 2 	 8 	 94 	 60 	 2 	 1 	0
98年 9月	 2 	0	 7 	 6 	 75 	 56 	0	0	0
98年 10月	 3 	0	 2 	 7 	 70 	 55 	 3 	0	0
98年 11月	 6 	0	 5 	 6 	 43 	 51 	0	0	0
98年 12月	 2 	0	 1 	 3 	 36 	 62 	 1 	0	0
99年	 39 	 1 	 50 	 119 	 1,056 	 1,310 	 47 	0	 1 
99年 1月	 3 	0	 3 	 5 	 64 	 62 	 1 	0	0
99年 2月	 1 	0	 5 	 2 	 121 	 106 	 1 	0	0
99年 3月	 4 	0	 3 	 5 	 108 	 105 	0	0	0
99年 4月	 5 	0	 2 	 4 	 100 	 104 	 1 	0	0
99年 5月	 4 	 1 	 11 	 8 	 85 	 103 	 4 	0	0
99年 6月	 1 	0	 3 	 15 	 67 	 80 	 1 	0	0
99年 7月	 7 	0	 5 	 19 	 128 	 167 	 3 	0	0
99年 8月	 1 	0	 2 	 7 	 75 	 128 	 11 	0	0
99年 9月	 2 	0	 2 	 4 	 88 	 109 	 8 	0	0
99年 10月	 3 	0	 3 	 1 	 75 	 141 	 9 	0	0
99年 11月	 3 	0	 2 	 6 	 64 	 102 	 5 	0	0
99年 12月	 5 	0	 9 	 43 	 81 	 103 	 3 	0	 1 
100年	 45 	0	 43 	 78 	 955 	 1,303 	 55 	 2 	0
100年 1月	 3 	0	 4 	 3 	 57 	 93 	 3 	 1 	0
100年 2月	 3 	0	 1 	 4 	 62 	 78 	 14 	 1 	0
100年 3月	 3 	0	 6 	 11 	 80 	 137 	 8 	0	0
100年 4月	 5 	0	 7 	 10 	 58 	 110 	 1 	0	0
100年 5月	 2 	0	 4 	 11 	 64 	 94 	 3 	0	0
100年 6月	 2 	0	 3 	 6 	 64 	 84 	 3 	0	0
100年 7月	0	0	 3 	 3 	 170 	 212 	 7 	0	0
100年 8月	 4 	0	 4 	 4 	 101 	 152 	 5 	0	0
100年 9月	 3 	0	 2 	 7 	 67 	 75 	 2 	0	0
100年 10月	 15 	0	 3 	 7 	 93 	 108 	 3 	0	0
100年 11月	 3 	0	 3 	 8 	 93 	 92 	 5 	0	0
100年 12月	 2 	0	 3 	 4 	 46 	 68 	 1 	0	0
101年	 24 	0	 49 	 69 	 1,006 	 1,569 	 69 	0	0
101年 1月	 3 	0	 3 	 17 	 85 	 130 	 7 	0	0
101年 2月	 3 	0	 1 	 7 	 107 	 208 	 14 	0	0
101年 3月	 4 	0	 4 	 8 	 90 	 127 	 5 	0	0
101年 4月	 2 	0	 8 	 1 	 90 	 118 	 2 	0	0
101年 5月	0	0	 5 	 8 	 91 	 147 	 1 	0	0
101年 6月	 1 	0	 2 	 1 	 53 	 98 	 1 	0	0
101年 7月	 2 	0	 3 	 4 	 85 	 138 	 9 	0	0
101年 8月	 1 	0	 3 	 4 	 98 	 167 	 11 	0	0
101年 9月	 2 	0	 3 	 2 	 81 	 114 	 4 	0	0
101年 10月	 3 	0	 9 	 3 	 67 	 130 	 4 	0	0
101年 11月	 2 	0	 3 	 8 	 87 	 120 	 6 	0	0
101年 12月	 1 	0	 5 	 6 	 72 	 72 	 5 	0	0
102年	 20 	0	 63 	 50 	 866 	 1,094 	 97 	0	0
102年 1月	 1 	0	 6 	 4 	 76 	 89 	 9 	0	0
102年 2月	0	0	 2 	 4 	 143 	 189 	 10 	0	0
102年 3月	 1 	0	 3 	 3 	 87 	 74 	 5 	0	0
102年 4月	 1 	0	 3 	 4 	 52 	 68 	 6 	0	0
102年 5月	 6 	0	 3 	 7 	 97 	 98 	 8 	0	0
102年 6月	 1 	0	 9 	 5 	 55 	 85 	 13 	0	0
102年 7月	 2 	0	 5 	 7 	 60 	 89 	 17 	0	0
102年 8月	 1 	0	 5 	 3 	 65 	 84 	 12 	0	0
102年 9月	 2 	0	 9 	 3 	 56 	 86 	 4 	0	0
102年 10月	 1 	0	 5 	 3 	 74 	 84 	 5 	0	0
102年 11月	 3 	0	 5 	 2 	 60 	 95 	 6 	0	0
102年 12月	 1 	0	 8 	 5 	 41 	 53 	 2 	0	0
103年	 11 	0	 49 	 33 	 607 	 1,152 	 45 	 1 	0
103年 1月	0	0	 6 	 2 	 56 	 86 	 5 	 1 	0
103年 2月	0	0	 3 	 4 	 70 	 86 	 4 	0	0
103年 3月	0	0	 3 	 4 	 41 	 101 	 2 	0	0
103年 4月	 1 	0	 1 	 5 	 48 	 104 	 4 	0	0
103年 5月	 1 	0	 5 	 2 	 61 	 100 	 2 	0	0
103年 6月	0	0	 10 	 4 	 44 	 91 	 1 	0	0
103年 7月	 2 	0	 5 	 2 	 42 	 106 	 9 	0	0
103年 8月	 2 	0	 3 	 1 	 56 	 124 	 12 	0	0
103年 9月	 3 	0	 3 	 4 	 54 	 112 	 3 	0	0
103年 10月	 1 	0	 4 	 1 	 50 	 84 	 1 	0	0
103年 11月	 1 	0	 5 	 1 	 43 	 87 	 2 	0	0
103年 12月	0	0	 1 	 3 	 42 	 71 	0	0	0
104年	 18 	 1 	 64 	 40 	 701 	 1,663 	 44 	 1 	0
104年 1月	0	0	 5 	 3 	 31 	 55 	0	0	0
104年 2月	 1 	0	 6 	 2 	 57 	 153 	 3 	0	0
104年 3月	 4 	0	 4 	 5 	 56 	 160 	 5 	0	0
104年 4月	 2 	0	 4 	 5 	 72 	 162 	 2 	 1 	0
104年 5月	 1 	0	 7 	 1 	 56 	 119 	 2 	0	0
104年 6月	 4 	0	 5 	 3 	 61 	 140 	 3 	0	0
104年 7月	 2 	0	 7 	 2 	 55 	 142 	 9 	0	0
104年 8月	0	0	 3 	 4 	 85 	 181 	 10 	0	0
104年 9月	 1 	0	 2 	 3 	 48 	 138 	 2 	0	0
104年 10月	 1 	 1 	 5 	 6 	 54 	 104 	 1 	0	0
104年 11月	0	0	 10 	 4 	 64 	 153 	 5 	0	0
104年 12月	 2 	0	 6 	 2 	 62 	 156 	 2 	0	0
105年	 19 	0	 88 	 53 	 761 	 2,089 	 26 	0	0
105年 1月	 2 	0	 7 	 2 	 44 	 129 	 3 	0	0
105年 2月	0	0	 8 	 6 	 27 	 66 	0	0	0
105年 3月	 1 	0	 5 	 4 	 61 	 111 	 3 	0	0
105年 4月	 1 	0	 9 	 6 	 94 	 259 	 3 	0	0
105年 5月	 2 	0	 7 	 4 	 84 	 209 	0	0	0
105年 6月	 2 	0	 7 	 2 	 52 	 164 	 2 	0	0
105年 7月	0	0	 8 	 5 	 79 	 260 	 9 	0	0
105年 8月	0	0	 9 	 5 	 54 	 185 	 2 	0	0
105年 9月	0	0	 4 	 6 	 29 	 63 	0	0	0
105年 10月	 4 	0	 9 	 4 	 77 	 235 	 2 	0	0
105年 11月	 4 	0	 6 	 2 	 81 	 212 	 2 	0	0
105年 12月	 3 	0	 9 	 7 	 79 	 196 	0	0	0
