時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	0	 15 	0	 2 	 135 	0	 3 	 389 	0
89年 1月	0	0	0	0	 7 	0	0	 38 	0
89年 2月	0	0	0	 1 	 10 	0	0	 32 	0
89年 3月	0	0	0	0	 10 	0	0	 27 	0
89年 4月	0	0	0	0	 3 	0	0	 43 	0
89年 5月	0	 8 	0	0	 12 	0	0	 28 	0
89年 6月	0	 1 	0	0	 14 	0	 1 	 33 	0
89年 7月	0	 2 	0	0	 20 	0	 1 	 25 	0
89年 8月	0	 1 	0	0	 7 	0	 1 	 29 	0
89年 9月	0	0	0	 1 	 15 	0	0	 36 	0
89年 10月	0	 1 	0	0	 9 	0	0	 45 	0
89年 11月	0	 1 	0	0	 7 	0	0	 33 	0
89年 12月	0	 1 	0	0	 21 	0	0	 20 	0
90年	 28 	 9 	0	 5 	 156 	 6 	 2 	 871 	0
90年 1月	0	 1 	0	0	 19 	 2 	0	 89 	0
90年 2月	0	0	0	0	 12 	 2 	 1 	 95 	0
90年 3月	0	0	0	0	 24 	 1 	0	 54 	0
90年 4月	0	0	0	0	 11 	0	0	 65 	0
90年 5月	0	 1 	0	0	 11 	0	0	 68 	0
90年 6月	0	 1 	0	 3 	 18 	 1 	0	 78 	0
90年 7月	0	 3 	0	 1 	 19 	0	0	 66 	0
90年 8月	 1 	 2 	0	0	 7 	0	0	 63 	0
90年 9月	0	 1 	0	0	 6 	0	0	 68 	0
90年 10月	0	0	0	0	 9 	0	0	 64 	0
90年 11月	 26 	0	0	0	 12 	0	0	 94 	0
90年 12月	 1 	0	0	 1 	 8 	0	 1 	 67 	0
91年	 1 	 5 	0	 2 	 58 	 1 	 33 	 780 	0
91年 1月	0	0	0	 1 	 3 	0	0	 71 	0
91年 2月	 1 	0	0	0	 4 	0	0	 115 	0
91年 3月	0	 3 	0	0	 20 	0	 15 	 67 	0
91年 4月	0	 1 	0	0	 3 	0	0	 49 	0
91年 5月	0	0	0	 1 	 2 	 1 	0	 62 	0
91年 6月	0	0	0	0	 1 	0	 1 	 58 	0
91年 7月	0	0	0	0	 7 	0	 2 	 62 	0
91年 8月	0	0	0	0	0	0	0	 53 	0
91年 9月	0	0	0	0	 7 	0	 2 	 58 	0
91年 10月	0	0	0	0	 4 	0	 5 	 67 	0
91年 11月	0	 1 	0	0	 4 	0	0	 57 	0
91年 12月	0	0	0	0	 3 	0	 8 	 61 	0
92年	0	 1 	0	 1 	 54 	 1 	 110 	 628 	0
92年 1月	0	0	0	0	 4 	 1 	 7 	 72 	0
92年 2月	0	0	0	0	 5 	0	 11 	 63 	0
92年 3月	0	0	0	 1 	 1 	0	 11 	 46 	0
92年 4月	0	0	0	0	 3 	0	 5 	 45 	0
92年 5月	0	0	0	0	 8 	0	 11 	 52 	0
92年 6月	0	0	0	0	 9 	0	 9 	 41 	0
92年 7月	0	0	0	0	 4 	0	 12 	 54 	0
92年 8月	0	0	0	0	 3 	0	 5 	 41 	0
92年 9月	0	0	0	0	 1 	0	 11 	 65 	0
92年 10月	0	 1 	0	0	 4 	0	 7 	 42 	0
92年 11月	0	0	0	0	 4 	0	 14 	 43 	0
92年 12月	0	0	0	0	 8 	0	 7 	 64 	0
93年	 1 	 4 	0	 3 	 15 	0	 31 	 753 	0
93年 1月	0	0	0	0	0	0	0	 90 	0
93年 2月	 1 	0	0	0	0	0	0	 86 	0
93年 3月	0	0	0	0	0	0	 2 	 54 	0
93年 4月	0	0	0	0	0	0	 2 	 41 	0
93年 5月	0	0	0	0	0	0	 2 	 52 	0
93年 6月	0	0	0	0	 7 	0	 5 	 57 	0
93年 7月	0	0	0	 3 	 2 	0	 4 	 54 	0
93年 8月	0	 1 	0	0	0	0	 1 	 60 	0
93年 9月	0	0	0	0	 1 	0	 1 	 82 	0
93年 10月	0	 1 	0	0	 5 	0	 9 	 65 	0
93年 11月	0	 2 	0	0	0	0	 4 	 59 	0
93年 12月	0	0	0	0	0	0	 1 	 53 	0
94年	0	 2 	0	 5 	 33 	0	 39 	 515 	0
94年 1月	0	0	0	0	0	0	0	 44 	0
94年 2月	0	0	0	 1 	 3 	0	 8 	 41 	0
