年別,臺灣地區,臺北縣,宜蘭縣,桃園縣,新竹縣,苗栗縣,臺中縣,彰化縣,南投縣,雲林縣,嘉義縣,臺南縣,高雄縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,臺中市,嘉義市,臺南市,臺北市,高雄市,
69.0,48064.3298969,61802.6086957,38747.1559633,44713.8888889,42877.2222222,41239.028777,42628.0808081,41214.5794393,37880.6640625,33442.3236515,41250.3171247,38515.3518124,41394.8024948,37434.4195519,37665.5462185,45932.2245322,30815.5913978,52401.7857143,0,51734.4357977,0,50878.0793319,62613.876652,51687.3333333,
70.0,55624.0083507,69528.8172043,46849.5049505,52664.2147117,50145.5426357,46742.7777778,46842.0731707,43410.6813996,48319.5652174,36420.1232033,48369.2810458,42389.4291755,50547.008547,43681.027668,46422.2916667,50325.877193,42104.379562,57006.352459,0,60170.8074534,0,50562.1242485,76181.0933941,61130.7522124,
71.0,58069.6202532,66922.7272727,47936.3449692,50322.1774194,48139.2789374,44220.0371058,52161.5234375,44582.9944547,51566.4705882,43600.8316008,49037.2093023,47595.1002227,52189.380531,45935.3579176,51938.8773389,52628.1596452,40514.6067416,56317.9487179,59140.8477842,62568.0,58607.2052402,58558.9211618,83221.559633,62528.9532294,
72.0,62821.0191083,69745.5723542,44771.1065574,57144.7478992,51222.4952741,52912.248996,54714.2857143,49838.1578947,54444.8897796,45055.7692308,51578.2894737,52655.8951965,52216.4882227,53645.7983193,50831.3199105,55314.4766147,47462.5,67635.443038,66625.625,67111.6370809,67764.0969163,58594.1883768,89639.4077449,71102.5404157,
73.0,67146.3675214,74073.9696312,49477.8443114,66353.814433,59267.5889328,52104.1825095,57738.8663968,54376.9230769,57629.2307692,47655.257732,51840.3017241,58035.3333333,57545.1271186,53063.4573304,63347.9120879,59920.4761905,57603.6290323,71547.7876106,75160.0831601,72070.8333333,66065.1785714,67001.5184382,92049.6598639,75890.9512761,
74.0,69823.9651416,74036.7965368,57293.0327869,67245.1111111,62085.7731959,61826.8442623,61677.2256729,56403.7807183,60917.1656687,50035.0951374,52044.0347072,60327.2941176,61053.4216336,58538.8286334,62657.5431034,58918.1818182,58218.426501,72942.6339286,73331.8,77931.3432836,71788.0952381,67677.6785714,97867.1296296,74824.5454545,
75.0,75436.6445916,78621.978022,61886.7617108,73161.2288136,67162.8458498,65996.4583333,69752.2198732,61798.4615385,56465.6626506,56483.2229581,59953.3799534,62947.7958237,66741.0313901,66968.1922197,57037.4407583,68900.7142857,62412.4434389,78722.39819,84825.6521739,88611.2068966,70325.9009009,72913.258427,101390.186916,84767.6056338,
76.0,83103.6281179,85451.0250569,72792.1700224,81507.2527473,75102.3012552,71510.359408,73115.0826446,68588.0715706,71897.5824176,63592.8909953,65716.5517241,67630.8056872,71266.8997669,72743.5835351,65989.6,71743.2762836,60328.8209607,84319.2560175,94146.799117,107411.136891,78090.2325581,81568.7214612,109718.414918,88775.5813953,
77.0,95907.2429907,102015.151515,81146.3203463,90245.8715596,80902.5,81706.5957447,83922.2462203,77403.7735849,78011.8303571,70057.1084337,71427.4074074,78734.3825666,79593.3014354,86005.5023923,80738.3378016,84197.3333333,78150.6234414,99619.8598131,101458.426966,111559.775281,79770.7259953,95194.0639269,132225.0,103688.647343,
78.0,109410.352941,119209.026128,86266.9662921,108377.35426,98884.1666667,94659.0534979,99963.7813212,82990.4051173,91211.3744076,82561.7788462,79764.5408163,90637.3096447,96538.1995134,92755.9808612,85444.9468085,105761.202186,87648.1132075,112053.956835,125692.086331,123532.236842,107961.99095,110346.713615,143617.241379,114177.958237,
