年別,臺灣地區,臺北縣,宜蘭縣,桃園縣,新竹縣,苗栗縣,臺中縣,彰化縣,南投縣,雲林縣,嘉義縣,臺南縣,高雄縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,臺中市,嘉義市,臺南市,臺北市,高雄市,
69.0,233112.0,284292.0,211172.0,225358.0,231537.0,229289.0,211009.0,220498.0,193949.0,161192.0,195114.0,180637.0,199109.0,183803.0,179288.0,220934.0,171951.0,264105.0,0,265915.0,0,243706.0,284267.0,232593.0,
70.0,266439.0,323309.0,236590.0,264901.0,258751.0,252411.0,230463.0,235720.0,244497.0,177366.0,222015.0,200502.0,236560.0,221026.0,222827.0,229486.0,230732.0,278191.0,0,290625.0,0,252305.0,334435.0,276311.0,
71.0,275250.0,309183.0,233450.0,249598.0,253694.0,238346.0,267067.0,241194.0,262989.0,209720.0,231946.0,213702.0,235896.0,211762.0,249826.0,237353.0,216348.0,263568.0,306941.0,297198.0,268421.0,282254.0,362846.0,280755.0,
72.0,295887.0,322922.0,218483.0,272009.0,270967.0,263503.0,275760.0,265139.0,271680.0,210861.0,235197.0,241164.0,243851.0,255354.0,227216.0,248362.0,254399.0,320592.0,319803.0,340256.0,307649.0,292385.0,393517.0,307874.0,
73.0,314245.0,341481.0,247884.0,321816.0,299894.0,274068.0,285230.0,289829.0,299672.0,231128.0,240539.0,261159.0,271613.0,242500.0,288233.0,251666.0,285714.0,323396.0,361520.0,345940.0,295972.0,308877.0,405939.0,327090.0,
74.0,320492.0,342050.0,279590.0,302603.0,301116.0,301715.0,297901.0,298376.0,305195.0,236666.0,239923.0,256391.0,276572.0,269864.0,290731.0,239797.0,281195.0,326783.0,366659.0,365498.0,301510.0,303196.0,422786.0,329228.0,
75.0,341728.0,357730.0,303864.0,345321.0,339844.0,316783.0,329928.0,321352.0,281199.0,255869.0,257200.0,271305.0,297665.0,292651.0,240698.0,289383.0,275863.0,347953.0,390198.0,411156.0,312247.0,324464.0,433950.0,361110.0,
76.0,366487.0,375130.0,325381.0,370858.0,358989.0,338244.0,353877.0,344998.0,327134.0,268362.0,285867.0,285402.0,305735.0,300431.0,247461.0,293430.0,276306.0,385339.0,426485.0,462942.0,335788.0,357271.0,470692.0,381735.0,
77.0,410483.0,437645.0,374896.0,393472.0,388332.0,384021.0,388560.0,369216.0,349493.0,290737.0,289281.0,325173.0,332700.0,359503.0,301154.0,315740.0,313384.0,426373.0,451490.0,496441.0,340621.0,416950.0,534189.0,429271.0,
78.0,464994.0,501870.0,383888.0,483363.0,474644.0,460043.0,438841.0,389225.0,384912.0,343457.0,312677.0,357111.0,396772.0,387720.0,321273.0,387086.0,371628.0,467265.0,524136.0,563307.0,477192.0,470077.0,583086.0,492107.0,
