時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 5,172 	 2,803 	 21 	 293 	 10 	 382 	 46 	 76 	 56 
89年 1月	 426 	 302 	 1 	 28 	 1 	 18 	 5 	 2 	 6 
89年 2月	 317 	 191 	 1 	 37 	 1 	 16 	 7 	 2 	 5 
89年 3月	 324 	 266 	0	 39 	0	 21 	 3 	 3 	 5 
89年 4月	 328 	 268 	0	 30 	0	 16 	 1 	 1 	 5 
89年 5月	 417 	 247 	 2 	 26 	0	 30 	 3 	 4 	 7 
89年 6月	 443 	 189 	0	 28 	 1 	 29 	 5 	 5 	 2 
89年 7月	 474 	 233 	 5 	 23 	 1 	 39 	 2 	 6 	 6 
89年 8月	 470 	 241 	 3 	 16 	0	 50 	 5 	 10 	 4 
89年 9月	 568 	 240 	 1 	 14 	 2 	 38 	 4 	 10 	 5 
89年 10月	 502 	 209 	 2 	 19 	 1 	 37 	 3 	 11 	 5 
89年 11月	 491 	 208 	 3 	 19 	 1 	 44 	 5 	 14 	 5 
89年 12月	 412 	 209 	 3 	 14 	 2 	 44 	 3 	 8 	 1 
90年	 5,371 	 2,879 	 87 	 151 	 1 	 358 	 43 	 75 	 44 
90年 1月	 530 	 267 	 16 	 44 	0	 25 	 7 	 3 	 5 
90年 2月	 359 	 164 	 7 	 14 	0	 20 	 1 	 5 	 3 
90年 3月	 439 	 219 	 5 	 11 	0	 25 	 2 	 7 	 4 
90年 4月	 504 	 223 	 6 	 13 	0	 37 	 2 	 8 	 5 
90年 5月	 394 	 265 	 5 	 17 	0	 44 	 4 	 12 	 5 
90年 6月	 489 	 206 	 8 	 7 	 1 	 28 	 1 	 7 	 2 
90年 7月	 522 	 278 	 5 	 7 	0	 27 	 5 	 2 	 3 
90年 8月	 504 	 332 	 13 	 10 	0	 41 	 10 	 9 	 3 
90年 9月	 435 	 259 	 9 	 7 	0	 20 	 3 	 7 	 4 
90年 10月	 463 	 251 	 3 	 9 	0	 31 	 1 	 10 	 5 
90年 11月	 394 	 243 	 6 	 9 	0	 32 	 3 	 1 	 1 
90年 12月	 338 	 172 	 4 	 3 	0	 28 	 4 	 4 	 4 
91年	 6,301 	 2,379 	 79 	 226 	 5 	 379 	 128 	 77 	 43 
91年 1月	 278 	 208 	0	 7 	 1 	 25 	 1 	 11 	 4 
91年 2月	 776 	 186 	 9 	 21 	0	 16 	 3 	 3 	 4 
91年 3月	 325 	 179 	 11 	 9 	0	 34 	 5 	 3 	 1 
91年 4月	 310 	 173 	 11 	 31 	0	 31 	 2 	 4 	 4 
91年 5月	 387 	 208 	 6 	 11 	 1 	 34 	 12 	 9 	 3 
91年 6月	 619 	 251 	 6 	 7 	 1 	 31 	 10 	 8 	 4 
91年 7月	 804 	 195 	 13 	 19 	0	 44 	 13 	 10 	 1 
91年 8月	 630 	 202 	 11 	 40 	 1 	 33 	 35 	 5 	 6 
91年 9月	 449 	 210 	 1 	 38 	 1 	 34 	 11 	 4 	 7 
91年 10月	 562 	 221 	 4 	 22 	0	 31 	 11 	 9 	 1 
91年 11月	 510 	 181 	 2 	 10 	0	 35 	 15 	 4 	 3 
91年 12月	 651 	 165 	 5 	 11 	0	 31 	 10 	 7 	 5 
92年	 6,345 	 2,348 	 70 	 384 	 2 	 323 	 280 	 86 	 35 
92年 1月	 720 	 217 	 6 	 28 	0	 32 	 12 	 9 	 3 
92年 2月	 501 	 162 	 8 	 94 	0	 21 	 8 	 5 	 5 
92年 3月	 462 	 203 	 5 	 21 	0	 28 	 20 	 7 	 2 
92年 4月	 665 	 188 	 3 	 18 	0	 21 	 14 	 4 	 8 
92年 5月	 602 	 207 	 2 	 18 	0	 15 	 22 	 5 	 4 
92年 6月	 668 	 214 	 3 	 26 	0	 25 	 8 	 10 	 3 
92年 7月	 446 	 172 	 8 	 20 	 1 	 43 	 24 	 5 	 1 
92年 8月	 484 	 226 	 5 	 41 	0	 31 	 12 	 10 	 2 
92年 9月	 475 	 235 	 10 	 15 	0	 31 	 16 	 2 	0
92年 10月	 505 	 187 	 14 	 34 	0	 17 	 32 	 9 	 3 
92年 11月	 358 	 185 	 5 	 16 	0	 31 	 74 	 12 	 1 
92年 12月	 459 	 152 	 1 	 53 	 1 	 28 	 38 	 8 	 3 
93年	 7,222 	 2,233 	 52 	 446 	 2 	 345 	 892 	 76 	 24 
93年 1月	 449 	 124 	 1 	 65 	 1 	 32 	 33 	 2 	 1 
93年 2月	 561 	 146 	 7 	 58 	0	 18 	 34 	 6 	 3 
93年 3月	 506 	 207 	 5 	 99 	0	 31 	 55 	 5 	 2 
93年 4月	 469 	 187 	 5 	 31 	0	 26 	 54 	 9 	 2 
93年 5月	 508 	 162 	 3 	 25 	0	 22 	 69 	 7 	 2 
93年 6月	 575 	 166 	 6 	 22 	0	 24 	 69 	 5 	 2 
93年 7月	 769 	 237 	 6 	 30 	0	 32 	 84 	 7 	0
93年 8月	 644 	 201 	 4 	 25 	0	 31 	 109 	 6 	 1 
93年 9月	 793 	 215 	 4 	 36 	0	 37 	 102 	 10 	 5 
93年 10月	 773 	 242 	 6 	 17 	0	 36 	 120 	 9 	 1 
93年 11月	 671 	 204 	 4 	 11 	 1 	 31 	 122 	 3 	 3 
93年 12月	 504 	 142 	 1 	 27 	0	 25 	 41 	 7 	 2 
94年	 6,799 	 1,617 	 50 	 530 	0	 401 	 1,016 	 118 	 30 
94年 1月	 586 	 165 	 2 	 51 	0	 29 	 38 	 5 	 2 
94年 2月	 476 	 97 	 2 	 85 	0	 17 	 39 	 10 	 1 
94年 3月	 641 	 176 	 4 	 28 	0	 30 	 129 	 12 	 3 
94年 4月	 561 	 162 	 4 	 21 	0	 24 	 58 	 6 	 3 
94年 5月	 518 	 177 	 1 	 46 	0	 30 	 63 	 7 	 3 
94年 6月	 565 	 149 	 1 	 50 	0	 32 	 90 	 17 	 2 
94年 7月	 685 	 118 	 4 	 50 	0	 38 	 103 	 13 	 2 
94年 8月	 675 	 129 	 6 	 55 	0	 48 	 139 	 7 	 4 
94年 9月	 563 	 137 	 21 	 49 	0	 37 	 119 	 11 	 3 
94年 10月	 563 	 106 	 3 	 42 	0	 40 	 71 	 6 	 2 
94年 11月	 506 	 84 	 1 	 26 	0	 44 	 97 	 10 	 2 
94年 12月	 460 	 117 	 1 	 27 	0	 32 	 70 	 14 	 3 
95年	 6,177 	 999 	 65 	 673 	0	 401 	 1,988 	 119 	 29 
95年 1月	 631 	 119 	 12 	 64 	0	 29 	 138 	 3 	0
95年 2月	 354 	 98 	 2 	 153 	0	 23 	 225 	 6 	 2 
95年 3月	 400 	 104 	 4 	 171 	0	 25 	 103 	 10 	 2 
95年 4月	 634 	 92 	 3 	 25 	0	 23 	 160 	 3 	 3 
95年 5月	 695 	 77 	 10 	 25 	0	 37 	 161 	 14 	 4 
95年 6月	 569 	 92 	 8 	 5 	0	 42 	 144 	 13 	 2 
95年 7月	 618 	 76 	 2 	 31 	0	 37 	 185 	 8 	 5 
95年 8月	 660 	 78 	 8 	 29 	0	 30 	 175 	 11 	0
95年 9月	 563 	 85 	 5 	 22 	0	 43 	 252 	 13 	 2 
95年 10月	 388 	 74 	 6 	 47 	0	 31 	 188 	 10 	 4 
95年 11月	 411 	 49 	 3 	 70 	0	 45 	 177 	 14 	 3 
95年 12月	 254 	 55 	 2 	 31 	0	 36 	 80 	 14 	 2 
96年	 6,994 	 936 	 33 	 601 	 2 	 380 	 1,829 	 122 	 17 
96年 1月	 313 	 52 	 2 	 30 	 1 	 34 	 191 	 9 	 1 
96年 2月	 540 	 50 	 4 	 98 	0	 21 	 205 	 9 	 3 
96年 3月	 608 	 79 	 1 	 103 	0	 35 	 107 	 16 	 2 
96年 4月	 630 	 88 	 2 	 48 	0	 32 	 245 	 9 	 1 
96年 5月	 700 	 90 	 5 	 39 	0	 31 	 178 	 10 	 2 
96年 6月	 879 	 76 	 7 	 24 	0	 42 	 130 	 9 	0
96年 7月	 569 	 74 	 2 	 25 	 1 	 32 	 112 	 13 	 1 
96年 8月	 617 	 95 	 1 	 42 	0	 35 	 112 	 7 	 2 
96年 9月	 499 	 72 	 1 	 55 	0	 34 	 100 	 7 	 2 
96年 10月	 486 	 64 	 3 	 36 	0	 29 	 150 	 8 	 2 
96年 11月	 577 	 86 	 2 	 53 	0	 32 	 121 	 9 	0
96年 12月	 576 	 110 	 3 	 48 	0	 23 	 178 	 16 	 1 
97年	 6,112 	 1,076 	 43 	 547 	0	 286 	 1,868 	 112 	 28 
97年 1月	 533 	 91 	 2 	 59 	0	 25 	 132 	 8 	 2 
97年 2月	 596 	 104 	 5 	 108 	0	 17 	 195 	 7 	0
97年 3月	 548 	 87 	 2 	 79 	0	 23 	 127 	 12 	 1 
97年 4月	 669 	 132 	 6 	 19 	0	 26 	 142 	 13 	 1 
97年 5月	 671 	 122 	 4 	 25 	0	 26 	 149 	 5 	 1 
97年 6月	 510 	 124 	 7 	 13 	0	 29 	 199 	 8 	 2 
97年 7月	 526 	 134 	 4 	 16 	0	 22 	 84 	 13 	 3 
97年 8月	 500 	 66 	 5 	 40 	0	 31 	 173 	 9 	 1 
97年 9月	 417 	 51 	 3 	 46 	0	 18 	 148 	 10 	 8 
97年 10月	 442 	 61 	 1 	 56 	0	 18 	 185 	 12 	 3 
97年 11月	 433 	 61 	 3 	 40 	0	 32 	 169 	 8 	0
97年 12月	 267 	 43 	 1 	 46 	0	 19 	 165 	 7 	 6 
98年	 3,653 	 410 	 18 	 603 	0	 304 	 1,628 	 117 	 19 
98年 1月	 455 	 66 	 2 	 126 	0	 15 	 133 	 6 	 2 
98年 2月	 389 	 39 	 7 	 83 	0	 21 	 196 	 6 	 2 
98年 3月	 358 	 33 	0	 42 	0	 23 	 120 	 8 	 2 
98年 4月	 292 	 41 	0	 27 	0	 18 	 125 	 5 	 1 
98年 5月	 261 	 29 	 1 	 25 	0	 31 	 172 	 10 	 2 
98年 6月	 276 	 23 	 1 	 20 	0	 28 	 190 	 8 	 2 
98年 7月	 299 	 19 	 2 	 40 	0	 26 	 90 	 8 	 2 
98年 8月	 306 	 39 	0	 42 	0	 35 	 132 	 15 	 1 
98年 9月	 302 	 22 	 1 	 64 	0	 31 	 150 	 11 	0
98年 10月	 254 	 35 	 1 	 61 	0	 27 	 146 	 16 	 1 
98年 11月	 302 	 32 	 2 	 28 	0	 30 	 91 	 15 	 3 
98年 12月	 159 	 32 	 1 	 45 	0	 19 	 83 	 9 	 1 
99年	 4,238 	 765 	 61 	 649 	 2 	 365 	 1,035 	 136 	 13 
99年 1月	 186 	 65 	 1 	 32 	0	 37 	 78 	 9 	0
99年 2月	 865 	 86 	 27 	 174 	0	 21 	 101 	 6 	 2 
99年 3月	 318 	 52 	 9 	 45 	0	 34 	 145 	 13 	 2 
99年 4月	 444 	 47 	 6 	 20 	0	 27 	 130 	 10 	 1 
99年 5月	 407 	 54 	 2 	 53 	0	 36 	 96 	 11 	 1 
99年 6月	 353 	 50 	 1 	 27 	0	 30 	 55 	 13 	 1 
99年 7月	 299 	 66 	 2 	 63 	0	 24 	 66 	 13 	0
99年 8月	 308 	 76 	 1 	 53 	 1 	 33 	 69 	 13 	 2 
99年 9月	 296 	 68 	 2 	 60 	0	 34 	 90 	 19 	 2 
99年 10月	 294 	 77 	 5 	 46 	0	 29 	 51 	 15 	 1 
99年 11月	 299 	 82 	 5 	 59 	0	 30 	 107 	 8 	0
99年 12月	 169 	 42 	0	 17 	 1 	 30 	 47 	 6 	 1 
100年	 2,945 	 296 	 51 	 764 	0	 385 	 630 	 162 	 11 
100年 1月	 494 	 57 	 11 	 114 	0	 28 	 43 	 12 	 2 
100年 2月	 353 	 33 	 28 	 125 	0	 30 	 40 	 10 	 1 
