時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 174 	 33 	 122 	 45 	0	 6 	 18 	 2 
89年 1月	0	 10 	 1 	 5 	 2 	0	0	0	0
89年 2月	0	 10 	 2 	 11 	 3 	0	0	 2 	0
89年 3月	0	 11 	 1 	 7 	 3 	0	0	 2 	0
89年 4月	0	 17 	 2 	 15 	 3 	0	0	 2 	 2 
89年 5月	0	 16 	 3 	 9 	 2 	0	 1 	 2 	0
89年 6月	0	 13 	 3 	 17 	 4 	0	 1 	 3 	0
89年 7月	0	 15 	 6 	 23 	 7 	0	 1 	 1 	0
89年 8月	0	 9 	 3 	 14 	 4 	0	0	0	0
89年 9月	0	 18 	 4 	 3 	 7 	0	 1 	0	0
89年 10月	0	 17 	 3 	 3 	 7 	0	 1 	 4 	0
89年 11月	0	 21 	 3 	 9 	 2 	0	 1 	 1 	0
89年 12月	0	 17 	 2 	 6 	 1 	0	0	 1 	0
90年	0	 131 	 23 	 136 	 62 	 4 	 16 	 32 	0
90年 1月	0	 10 	 4 	 3 	 8 	0	 1 	 1 	0
90年 2月	0	 10 	 1 	 12 	 4 	 1 	 1 	0	0
90年 3月	0	 14 	 2 	 9 	 4 	0	 1 	 3 	0
90年 4月	0	 9 	 3 	 6 	 3 	0	 1 	 3 	0
90年 5月	0	 19 	0	 2 	 2 	 1 	 4 	 4 	0
90年 6月	0	 13 	 3 	 6 	 5 	 1 	 1 	 1 	0
90年 7月	0	 8 	 3 	 22 	 7 	0	 2 	 4 	0
90年 8月	0	 16 	 3 	 23 	 7 	0	 1 	 2 	0
90年 9月	0	 9 	 2 	 5 	 4 	 1 	 1 	 1 	0
90年 10月	0	 11 	 2 	 14 	 12 	0	 2 	 6 	0
90年 11月	0	 7 	0	 29 	 3 	0	 1 	 3 	0
90年 12月	0	 5 	0	 5 	 3 	0	0	 4 	0
91年	 1 	 154 	 15 	 142 	 58 	0	 6 	 50 	 3 
91年 1月	0	 12 	 2 	 13 	 1 	0	 1 	0	0
91年 2月	0	 4 	 2 	 8 	 5 	0	0	 1 	0
91年 3月	0	 14 	0	 9 	 5 	0	0	 6 	0
91年 4月	0	 14 	 2 	 17 	 6 	0	0	 4 	0
91年 5月	0	 16 	 2 	 8 	 2 	0	0	 3 	0
91年 6月	0	 12 	 1 	 5 	 4 	0	 1 	 5 	 1 
91年 7月	0	 13 	 2 	 25 	 7 	0	0	 8 	0
91年 8月	0	 15 	0	 39 	 4 	0	 1 	 7 	0
91年 9月	0	 13 	 2 	 4 	 2 	0	0	 2 	 2 
91年 10月	0	 16 	0	 9 	 12 	0	 1 	 5 	0
91年 11月	 1 	 16 	 2 	 4 	 5 	0	 2 	 3 	0
91年 12月	0	 9 	0	 1 	 5 	0	0	 6 	0
92年	0	 155 	 21 	 156 	 130 	 6 	 12 	 36 	 1 
92年 1月	0	 16 	 2 	 7 	 10 	 1 	 3 	 4 	0
