時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 9 	0	0	 48 	0	 3 	 1 	 198 	 289 
89年 1月	 5 	0	0	 1 	0	0	0	 22 	 14 
89年 2月	0	0	0	 3 	0	0	0	 24 	 14 
89年 3月	0	0	0	 3 	0	0	0	 20 	 6 
89年 4月	0	0	0	 4 	0	0	0	 5 	 9 
89年 5月	 1 	0	0	 5 	0	0	 1 	 28 	 16 
89年 6月	0	0	0	 4 	0	0	0	 20 	 7 
89年 7月	 1 	0	0	 10 	0	0	0	 10 	 49 
89年 8月	0	0	0	 7 	0	 2 	0	 14 	 38 
89年 9月	0	0	0	 2 	0	0	0	 14 	 39 
89年 10月	0	0	0	 2 	0	0	0	 23 	 34 
89年 11月	 1 	0	0	 4 	0	 1 	0	 11 	 45 
89年 12月	 1 	0	0	 3 	0	0	0	 7 	 18 
90年	 33 	0	0	 40 	0	 1 	0	 193 	 360 
90年 1月	 4 	0	0	 6 	0	 1 	0	 30 	 32 
90年 2月	 1 	0	0	 2 	0	0	0	 24 	 26 
90年 3月	 2 	0	0	 4 	0	0	0	 13 	 33 
90年 4月	 1 	0	0	 4 	0	0	0	 17 	 20 
90年 5月	 4 	0	0	 5 	0	0	0	 14 	 44 
90年 6月	 1 	0	0	0	0	0	0	 21 	 21 
90年 7月	 7 	0	0	 3 	0	0	0	 18 	 27 
90年 8月	 2 	0	0	 4 	0	0	0	 13 	 44 
90年 9月	 5 	0	0	 4 	0	0	0	 8 	 32 
90年 10月	 2 	0	0	 3 	0	0	0	 12 	 31 
90年 11月	 4 	0	0	 4 	0	0	0	 15 	 29 
90年 12月	0	0	0	 1 	0	0	0	 8 	 21 
91年	 24 	0	0	 29 	0	 2 	 2 	 145 	 354 
91年 1月	0	0	0	0	0	0	0	 4 	 28 
91年 2月	 1 	0	0	 7 	0	0	 1 	 35 	 28 
91年 3月	 2 	0	0	 4 	0	0	0	 12 	 19 
91年 4月	0	0	0	 1 	0	0	0	 8 	 35 
91年 5月	 5 	0	0	 4 	0	0	0	 8 	 28 
91年 6月	 2 	0	0	 1 	0	 1 	 1 	 7 	 18 
91年 7月	 2 	0	0	 1 	0	0	0	 16 	 20 
91年 8月	 1 	0	0	 2 	0	 1 	0	 11 	 44 
91年 9月	 3 	0	0	 2 	0	0	0	 5 	 24 
91年 10月	 1 	0	0	 2 	0	0	0	 13 	 37 
91年 11月	 5 	0	0	 5 	0	0	0	 16 	 44 
91年 12月	 2 	0	0	0	0	0	0	 10 	 29 
92年	 22 	0	0	 23 	0	 2 	 1 	 135 	 338 
92年 1月	 4 	0	0	 3 	0	0	0	 12 	 32 
92年 2月	 3 	0	0	 3 	0	 1 	0	 8 	 17 
92年 3月	 1 	0	0	 2 	0	0	0	 9 	 35 
92年 4月	 2 	0	0	 2 	0	0	0	 9 	 32 
92年 5月	 1 	0	0	 1 	0	0	0	 9 	 16 
92年 6月	0	0	0	0	0	0	0	 11 	 24 
92年 7月	 1 	0	0	 3 	0	0	0	 16 	 32 
92年 8月	 2 	0	0	 3 	0	0	 1 	 5 	 33 
92年 9月	 4 	0	0	 2 	0	0	0	 7 	 27 
92年 10月	 2 	0	0	0	0	0	0	 18 	 24 
92年 11月	0	0	0	 1 	0	0	0	 17 	 33 
92年 12月	 2 	0	0	 3 	0	 1 	0	 14 	 33 
93年	 23 	0	0	 35 	0	 3 	 1 	 187 	 512 
93年 1月	0	0	0	 4 	0	0	0	 13 	 36 
93年 2月	 1 	0	0	 5 	0	 1 	0	 13 	 30 
93年 3月	 3 	0	0	 5 	0	0	0	 14 	 43 
93年 4月	 2 	0	0	 1 	0	 1 	 1 	 10 	 58 
93年 5月	 1 	0	0	 3 	0	0	0	 14 	 39 
93年 6月	 2 	0	0	 4 	0	0	0	 22 	 37 
93年 7月	 7 	0	0	 1 	0	0	0	 21 	 52 
93年 8月	0	0	0	 2 	0	0	0	 18 	 49 
93年 9月	 2 	0	0	 4 	0	0	0	 22 	 63 
93年 10月	 2 	0	0	 4 	0	0	0	 16 	 40 
93年 11月	 2 	0	0	 2 	0	0	0	 17 	 32 
93年 12月	 1 	0	0	0	0	 1 	0	 7 	 33 
94年	 6 	0	 1 	 43 	0	 3 	 1 	 100 	 595 
94年 1月	 1 	0	0	 3 	0	0	 1 	 13 	 40 
94年 2月	 1 	0	0	0	0	0	0	 6 	 30 
94年 3月	0	0	0	 5 	0	 1 	0	 6 	 42 
94年 4月	0	0	0	 1 	0	0	0	 9 	 40 
94年 5月	0	0	0	 2 	0	 1 	0	 10 	 41 
94年 6月	 1 	0	0	 6 	0	0	0	 11 	 29 
94年 7月	0	0	0	 3 	0	0	0	 13 	 45 
94年 8月	0	0	0	 6 	0	0	0	 7 	 88 
94年 9月	0	0	0	 4 	0	0	0	 11 	 62 
94年 10月	 1 	0	 1 	 4 	0	 1 	0	 3 	 78 
94年 11月	 1 	0	0	 4 	0	0	0	 6 	 60 
94年 12月	 1 	0	0	 5 	0	0	0	 5 	 40 
95年	 9 	0	0	 44 	0	0	 2 	 111 	 950 
95年 1月	 1 	0	0	 2 	0	0	0	 20 	 51 
95年 2月	0	0	0	 3 	0	0	0	 10 	 55 
95年 3月	0	0	0	 5 	0	0	0	 10 	 63 
95年 4月	 2 	0	0	 5 	0	0	0	 16 	 58 
95年 5月	0	0	0	 2 	0	0	0	 9 	 72 
95年 6月	0	0	0	 2 	0	0	0	 8 	 66 
95年 7月	 2 	0	0	 5 	0	0	0	 8 	 103 
95年 8月	0	0	0	 6 	0	0	 1 	 10 	 121 
95年 9月	0	0	0	 1 	0	0	 1 	 4 	 104 
95年 10月	0	0	0	 1 	0	0	0	 3 	 80 
95年 11月	 4 	0	0	 6 	0	0	0	 8 	 77 
95年 12月	0	0	0	 6 	0	0	0	 5 	 100 
96年	 14 	0	0	 35 	0	0	0	 64 	 1,505 
96年 1月	 3 	0	0	 4 	0	0	0	 3 	 79 
96年 2月	 3 	0	0	 3 	0	0	0	 7 	 110 
96年 3月	 2 	0	0	 2 	0	0	0	 7 	 116 
96年 4月	0	0	0	 2 	0	0	0	 1 	 93 
96年 5月	0	0	0	 3 	0	0	0	 10 	 110 
96年 6月	0	0	0	 5 	0	0	0	 5 	 105 
96年 7月	 1 	0	0	 2 	0	0	0	 10 	 148 
96年 8月	 2 	0	0	 4 	0	0	0	 3 	 203 
96年 9月	0	0	0	 4 	0	0	0	 7 	 139 
96年 10月	 2 	0	0	 1 	0	0	0	 5 	 158 
96年 11月	 1 	0	0	 2 	0	0	0	 3 	 149 
96年 12月	0	0	0	 3 	0	0	0	 3 	 95 
97年	 7 	0	 1 	 39 	0	 4 	 1 	 74 	 808 
97年 1月	 3 	0	0	 2 	0	0	0	 4 	 140 
97年 2月	 1 	0	0	 1 	0	0	0	 6 	 107 
97年 3月	0	0	0	 1 	0	0	 1 	 8 	 132 
97年 4月	0	0	0	 3 	0	0	0	 6 	 86 
97年 5月	 1 	0	0	0	0	0	0	 5 	 63 
