時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	 6 	 93 	 82 	 272 	 145 	 8 	 41 	 43 	 3 
89年 1月	0	 10 	 5 	 10 	 18 	 2 	 5 	 3 	 1 
89年 2月	0	 2 	 6 	 32 	 13 	0	 8 	 3 	0
89年 3月	0	 6 	 10 	 26 	 7 	 2 	 2 	 1 	0
89年 4月	0	 5 	 2 	 34 	 9 	0	 1 	 3 	0
89年 5月	0	 5 	 11 	 24 	 15 	0	 3 	 5 	0
89年 6月	 2 	 10 	 6 	 25 	 16 	 1 	 4 	 4 	0
89年 7月	0	 12 	 10 	 30 	 12 	 1 	 8 	 7 	 1 
89年 8月	0	 11 	 7 	 35 	 13 	0	 2 	 4 	0
89年 9月	0	 8 	 6 	 13 	 10 	0	 2 	 1 	0
89年 10月	 2 	 7 	 9 	 13 	 10 	 2 	0	 4 	 1 
89年 11月	 2 	 9 	 5 	 14 	 13 	0	 1 	 4 	0
89年 12月	0	 8 	 5 	 16 	 9 	0	 5 	 4 	0
90年	 11 	 79 	 58 	 258 	 244 	 5 	 58 	 66 	 3 
90年 1月	 1 	 6 	 5 	 9 	 21 	0	 2 	 3 	0
90年 2月	0	 1 	 5 	 16 	 16 	0	 3 	 2 	0
90年 3月	 2 	 9 	 4 	 23 	 25 	0	 2 	 3 	0
90年 4月	0	 8 	 4 	 10 	 28 	0	 3 	 5 	0
90年 5月	0	 6 	 4 	 18 	 25 	 1 	 2 	 13 	0
90年 6月	 1 	 9 	 4 	 18 	 23 	 1 	 4 	 8 	 1 
90年 7月	0	 5 	 7 	 46 	 16 	0	 16 	 4 	0
90年 8月	0	 7 	 7 	 34 	 19 	0	 10 	 5 	0
90年 9月	 3 	 8 	 4 	 10 	 12 	 1 	 2 	 11 	0
90年 10月	 1 	 3 	 4 	 30 	 18 	 2 	 6 	 6 	 1 
90年 11月	 2 	 10 	 5 	 30 	 16 	0	 1 	 3 	 1 
90年 12月	 1 	 7 	 5 	 14 	 25 	0	 7 	 3 	0
91年	 14 	 67 	 46 	 358 	 243 	 7 	 69 	 57 	 1 
91年 1月	 2 	0	 1 	 30 	 6 	 2 	 4 	 2 	0
91年 2月	 2 	 1 	 4 	 12 	 10 	0	 6 	 4 	0
91年 3月	 3 	 5 	 11 	 24 	 14 	0	 4 	 9 	0
91年 4月	0	 9 	 7 	 21 	 19 	0	 2 	 5 	0
91年 5月	0	 5 	 2 	 23 	 18 	 2 	 4 	 6 	0
91年 6月	0	 4 	 5 	 5 	 27 	0	 8 	 1 	0
91年 7月	 3 	 16 	 3 	 69 	 23 	 1 	 9 	 6 	0
91年 8月	0	 5 	 3 	 66 	 28 	0	 8 	 5 	0
91年 9月	 1 	 6 	 3 	 15 	 24 	0	 7 	 4 	0
91年 10月	 1 	 4 	 3 	 26 	 22 	 2 	 6 	 3 	0
91年 11月	 2 	 9 	 3 	 29 	 27 	0	 6 	 8 	0
91年 12月	0	 3 	 1 	 38 	 25 	0	 5 	 4 	 1 
92年	 9 	 98 	 25 	 198 	 242 	 12 	 67 	 63 	 6 
92年 1月	 3 	 13 	 1 	 26 	 30 	 1 	 14 	 3 	 3 
92年 2月	 1 	 5 	 2 	 17 	 20 	0	 4 	 2 	 1 
92年 3月	 1 	 1 	0	 6 	 26 	 1 	 2 	 2 	0
92年 4月	0	 7 	 1 	 15 	 23 	 3 	 2 	 5 	 1 
92年 5月	 1 	 12 	 3 	 23 	 35 	 3 	 6 	 6 	0
92年 6月	0	 11 	 4 	 12 	 24 	0	 5 	 6 	0
92年 7月	 2 	 11 	 3 	 35 	 17 	0	 4 	 10 	0
92年 8月	0	 3 	 1 	 15 	 14 	 1 	 5 	 6 	0
92年 9月	0	 5 	 1 	 28 	 13 	 1 	 4 	 11 	0
92年 10月	 1 	 10 	 1 	 5 	 15 	 2 	 11 	 4 	0
92年 11月	0	 11 	 4 	 6 	 13 	0	 7 	 1 	0
92年 12月	0	 9 	 4 	 10 	 12 	0	 3 	 7 	 1 
93年	 11 	 61 	 18 	 193 	 230 	 5 	 53 	 57 	 5 
93年 1月	0	 4 	 2 	 12 	 27 	 2 	 6 	 2 	0
93年 2月	 1 	 2 	0	 13 	 17 	0	 5 	 6 	0
93年 3月	 1 	 5 	 4 	 19 	 23 	0	 6 	 4 	0
93年 4月	 1 	 7 	 1 	 15 	 11 	0	 2 	 5 	 1 
93年 5月	0	 7 	 1 	 8 	 17 	0	 3 	 3 	0
93年 6月	 2 	 9 	 1 	 8 	 17 	 1 	 6 	 5 	0
93年 7月	0	 7 	 5 	 37 	 19 	 2 	 4 	 1 	0
93年 8月	 1 	 4 	0	 32 	 20 	0	 3 	 8 	 2 
93年 9月	 1 	 4 	0	 6 	 20 	0	 7 	 5 	 1 
93年 10月	 3 	 4 	0	 10 	 19 	0	 5 	 5 	 1 
93年 11月	0	 4 	 1 	 22 	 22 	0	 5 	 3 	0
93年 12月	 1 	 4 	 3 	 11 	 18 	0	 1 	 10 	0
