時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 18 	0	 9 	 50 	 99 	 464 	 1 	0	 8 
89年 1月	 3 	0	 2 	 3 	 16 	 100 	0	0	0
89年 2月	 5 	0	0	 3 	 7 	 68 	0	0	 4 
89年 3月	 2 	0	0	 2 	 5 	 36 	0	0	0
89年 4月	0	0	0	 3 	 5 	 24 	0	0	0
89年 5月	0	0	 1 	 4 	 5 	 57 	0	0	 2 
89年 6月	0	0	0	 4 	 6 	 43 	 1 	0	0
89年 7月	0	0	0	 6 	 7 	 36 	0	0	0
89年 8月	 2 	0	 2 	 5 	 6 	 25 	0	0	0
89年 9月	 1 	0	 1 	 3 	 13 	 31 	0	0	0
89年 10月	 4 	0	 1 	 4 	 13 	 17 	0	0	0
89年 11月	0	0	 1 	 8 	 9 	 16 	0	0	 2 
89年 12月	 1 	0	 1 	 5 	 7 	 11 	0	0	0
90年	 32 	 2 	 11 	 36 	 157 	 248 	0	0	 22 
90年 1月	 8 	0	 1 	 5 	 25 	 63 	0	0	 1 
90年 2月	 1 	0	0	 2 	 13 	 18 	0	0	0
90年 3月	0	0	 1 	 4 	 6 	 23 	0	0	0
90年 4月	0	0	 2 	 2 	 12 	 20 	0	0	 2 
90年 5月	 2 	0	 3 	 3 	 14 	 21 	0	0	 1 
90年 6月	 1 	0	 1 	 1 	 14 	 16 	0	0	0
90年 7月	 1 	0	 1 	 1 	 3 	 9 	0	0	 5 
90年 8月	 4 	0	0	 1 	 7 	 11 	0	0	 1 
90年 9月	0	0	0	 4 	 10 	 12 	0	0	 7 
90年 10月	 5 	 1 	 1 	 4 	 21 	 25 	0	0	 1 
90年 11月	 5 	0	 1 	 4 	 17 	 15 	0	0	 3 
90年 12月	 5 	 1 	0	 5 	 15 	 15 	0	0	 1 
91年	 55 	 3 	 13 	 29 	 306 	 264 	0	0	 11 
91年 1月	 1 	 1 	0	 2 	 18 	 16 	0	0	 1 
91年 2月	 2 	 1 	 2 	 4 	 58 	 67 	0	0	 5 
91年 3月	 2 	0	0	 2 	 31 	 31 	0	0	 1 
91年 4月	 2 	0	0	 2 	 28 	 29 	0	0	 1 
91年 5月	 7 	0	 4 	 1 	 31 	 14 	0	0	0
91年 6月	 2 	0	 1 	 1 	 18 	 15 	0	0	0
91年 7月	 4 	0	0	 3 	 16 	 13 	0	0	 1 
91年 8月	 4 	0	 1 	 5 	 23 	 16 	0	0	0
91年 9月	 9 	 1 	 1 	 1 	 23 	 20 	0	0	0
91年 10月	 5 	0	 2 	 1 	 20 	 17 	0	0	 2 
91年 11月	 2 	0	 1 	 3 	 11 	 15 	0	0	0
91年 12月	 15 	0	 1 	 4 	 29 	 11 	0	0	0
92年	 55 	 2 	 19 	 32 	 185 	 131 	 1 	0	 28 
