時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 2 	0	0	 10 	0	 3 	0	 29 	 100 
89年 1月	 1 	0	0	 1 	0	0	0	 4 	 5 
89年 2月	0	0	0	0	0	0	0	 2 	 3 
89年 3月	0	0	0	 1 	0	0	0	 3 	 8 
89年 4月	0	0	0	 1 	0	0	0	 1 	 3 
89年 5月	0	0	0	0	0	0	0	 3 	 6 
89年 6月	0	0	0	0	0	0	0	 4 	 13 
89年 7月	0	0	0	 3 	0	0	0	 2 	 10 
89年 8月	0	0	0	 1 	0	0	0	 4 	 12 
89年 9月	 1 	0	0	0	0	 1 	0	 2 	 8 
89年 10月	0	0	0	0	0	0	0	 1 	 12 
89年 11月	0	0	0	 3 	0	 1 	0	 1 	 11 
89年 12月	0	0	0	0	0	 1 	0	 2 	 9 
90年	 13 	0	0	 8 	0	0	 1 	 46 	 118 
90年 1月	0	0	0	 2 	0	0	0	 8 	 29 
90年 2月	 1 	0	0	0	0	0	0	 2 	 6 
90年 3月	 2 	0	0	 1 	0	0	0	 2 	 8 
90年 4月	 1 	0	0	0	0	0	 1 	 3 	 9 
90年 5月	 1 	0	0	0	0	0	0	 1 	 4 
90年 6月	 1 	0	0	0	0	0	0	0	 8 
90年 7月	 1 	0	0	0	0	0	0	 1 	 5 
90年 8月	 1 	0	0	0	0	0	0	 5 	 9 
90年 9月	 1 	0	0	 1 	0	0	0	 8 	 10 
90年 10月	 2 	0	0	 1 	0	0	0	 8 	 9 
90年 11月	 2 	0	0	 2 	0	0	0	 6 	 8 
90年 12月	0	0	0	 1 	0	0	0	 2 	 13 
91年	 8 	0	0	 2 	0	0	0	 57 	 152 
91年 1月	0	0	0	 1 	0	0	0	 3 	 14 
91年 2月	0	0	0	0	0	0	0	 4 	 15 
91年 3月	0	0	0	0	0	0	0	 9 	 9 
91年 4月	0	0	0	0	0	0	0	 9 	 7 
91年 5月	 1 	0	0	0	0	0	0	 4 	 14 
91年 6月	0	0	0	0	0	0	0	0	 9 
91年 7月	0	0	0	0	0	0	0	 4 	 14 
91年 8月	 2 	0	0	0	0	0	0	 8 	 12 
91年 9月	 4 	0	0	0	0	0	0	 4 	 19 
91年 10月	0	0	0	0	0	0	0	 6 	 11 
91年 11月	0	0	0	0	0	0	0	 2 	 19 
91年 12月	 1 	0	0	 1 	0	0	0	 4 	 9 
92年	 6 	0	0	 5 	0	 1 	0	 51 	 121 
92年 1月	0	0	0	 1 	0	0	0	 5 	 25 
92年 2月	0	0	0	0	0	 1 	0	 3 	 16 
92年 3月	 3 	0	0	 1 	0	0	0	 4 	 10 
92年 4月	 1 	0	0	 1 	0	0	0	 9 	 9 
92年 5月	0	0	0	0	0	0	0	 7 	 5 
92年 6月	 1 	0	0	0	0	0	0	0	 6 
92年 7月	0	0	0	0	0	0	0	 2 	 7 
92年 8月	0	0	0	 1 	0	0	0	 4 	 9 
92年 9月	0	0	0	0	0	0	0	 3 	 5 
92年 10月	0	0	0	0	0	0	0	 6 	 10 
92年 11月	0	0	0	0	0	0	0	 5 	 10 
92年 12月	 1 	0	0	 1 	0	0	0	 3 	 9 
93年	 3 	0	0	 3 	0	 1 	0	 117 	 180 
93年 1月	0	0	0	0	0	0	0	 11 	 29 
93年 2月	 1 	0	0	0	0	 1 	0	 9 	 25 
93年 3月	0	0	0	0	0	0	0	 6 	 17 
93年 4月	 1 	0	0	 1 	0	0	0	 5 	 10 
93年 5月	0	0	0	0	0	0	0	 9 	 10 
93年 6月	0	0	0	0	0	0	0	 3 	 16 
93年 7月	0	0	0	 1 	0	0	0	 19 	 9 
93年 8月	 1 	0	0	0	0	0	0	 14 	 7 
93年 9月	0	0	0	0	0	0	0	 10 	 20 
93年 10月	0	0	0	 1 	0	0	0	 9 	 12 
93年 11月	0	0	0	0	0	0	0	 10 	 6 
93年 12月	0	0	0	0	0	0	0	 12 	 19 
94年	 1 	0	0	 3 	0	0	0	 82 	 137 
94年 1月	0	0	0	0	0	0	0	 19 	 14 
94年 2月	0	0	0	0	0	0	0	 4 	 10 
94年 3月	 1 	0	0	 1 	0	0	0	 11 	 7 
94年 4月	0	0	0	0	0	0	0	 10 	 6 
94年 5月	0	0	0	0	0	0	0	 4 	 5 
94年 6月	0	0	0	0	0	0	0	 3 	 9 
94年 7月	0	0	0	 1 	0	0	0	 6 	 13 
94年 8月	0	0	0	0	0	0	0	 4 	 33 
94年 9月	0	0	0	0	0	0	0	 4 	 10 
94年 10月	0	0	0	0	0	0	0	 5 	 13 
94年 11月	0	0	0	 1 	0	0	0	 5 	 12 
94年 12月	0	0	0	0	0	0	0	 7 	 5 
95年	0	0	0	 3 	0	0	0	 53 	 115 
95年 1月	0	0	0	0	0	0	0	 12 	 8 
95年 2月	0	0	0	 1 	0	0	0	 3 	 13 
95年 3月	0	0	0	0	0	0	0	 3 	 10 
95年 4月	0	0	0	0	0	0	0	 5 	 6 
95年 5月	0	0	0	0	0	0	0	 7 	 7 
95年 6月	0	0	0	 1 	0	0	0	 4 	 7 
95年 7月	0	0	0	0	0	0	0	 3 	 10 
95年 8月	0	0	0	0	0	0	0	 2 	 16 
95年 9月	0	0	0	 1 	0	0	0	 5 	 11 
95年 10月	0	0	0	0	0	0	0	 1 	 7 
95年 11月	0	0	0	0	0	0	0	 4 	 13 
95年 12月	0	0	0	0	0	0	0	 4 	 7 
96年	 6 	0	0	 1 	 3 	0	0	 64 	 136 
96年 1月	 1 	0	0	0	0	0	0	 2 	 7 
96年 2月	0	0	0	0	0	0	0	 6 	 16 
96年 3月	0	0	0	0	0	0	0	 8 	 9 
96年 4月	 1 	0	0	0	 1 	0	0	 4 	 14 
96年 5月	 2 	0	0	0	 2 	0	0	 2 	 20 
96年 6月	0	0	0	0	0	0	0	 6 	 12 
96年 7月	 1 	0	0	0	0	0	0	 11 	 13 
96年 8月	0	0	0	0	0	0	0	 3 	 17 
96年 9月	0	0	0	0	0	0	0	 5 	 6 
96年 10月	 1 	0	0	 1 	0	0	0	 5 	 15 
96年 11月	0	0	0	0	0	0	0	 3 	 6 
96年 12月	0	0	0	0	0	0	0	 9 	 1 
97年	 2 	0	0	0	0	0	0	 33 	 89 
97年 1月	0	0	0	0	0	0	0	0	 11 
97年 2月	0	0	0	0	0	0	0	 2 	 8 
97年 3月	0	0	0	0	0	0	0	 2 	 5 
97年 4月	 1 	0	0	0	0	0	0	 9 	 4 
97年 5月	0	0	0	0	0	0	0	 5 	 18 
97年 6月	0	0	0	0	0	0	0	 3 	 7 
97年 7月	0	0	0	0	0	0	0	 2 	 10 
97年 8月	0	0	0	0	0	0	0	 2 	 2 
97年 9月	0	0	0	0	0	0	0	 2 	 12 
97年 10月	 1 	0	0	0	0	0	0	 3 	 5 
97年 11月	0	0	0	0	0	0	0	 1 	 5 
97年 12月	0	0	0	0	0	0	0	 2 	 2 
98年	 2 	0	0	 5 	 1 	0	0	 53 	 87 
98年 1月	0	0	0	0	0	0	0	 2 	 13 
98年 2月	0	0	0	0	0	0	0	 9 	 15 
98年 3月	0	0	0	 1 	0	0	0	 5 	 2 
98年 4月	 1 	0	0	 2 	0	0	0	 5 	 12 
98年 5月	0	0	0	 1 	0	0	0	 2 	 7 
98年 6月	0	0	0	0	 1 	0	0	 2 	 2 
98年 7月	0	0	0	0	0	0	0	 15 	 15 
98年 8月	0	0	0	0	0	0	0	 5 	 9 
98年 9月	0	0	0	0	0	0	0	 2 	 4 
98年 10月	0	0	0	0	0	0	0	0	 1 
98年 11月	0	0	0	 1 	0	0	0	 5 	 4 
98年 12月	 1 	0	0	0	0	0	0	 1 	 3 
99年	 4 	0	0	 6 	0	0	0	 55 	 95 
99年 1月	 1 	0	0	0	0	0	0	 2 	0
99年 2月	0	0	0	 1 	0	0	0	 10 	 8 
99年 3月	 1 	0	0	0	0	0	0	 10 	 5 
99年 4月	0	0	0	 1 	0	0	0	 9 	 9 
99年 5月	0	0	0	 1 	0	0	0	 4 	 10 
99年 6月	0	0	0	0	0	0	0	0	 11 
99年 7月	0	0	0	 1 	0	0	0	 3 	 8 
99年 8月	 2 	0	0	0	0	0	0	 3 	 13 
99年 9月	0	0	0	0	0	0	0	 2 	 7 
99年 10月	0	0	0	0	0	0	0	 1 	 15 
99年 11月	0	0	0	 1 	0	0	0	 3 	 5 
99年 12月	0	0	0	 1 	0	0	0	 8 	 4 
100年	 3 	0	0	 15 	0	0	 1 	 44 	 89 
100年 1月	0	0	0	0	0	0	0	 8 	 2 
100年 2月	0	0	0	0	0	0	0	 8 	 9 
100年 3月	0	0	0	 3 	0	0	0	 3 	 11 
100年 4月	0	0	0	 2 	0	0	0	 2 	 6 
100年 5月	 1 	0	0	 2 	0	0	0	 1 	 14 
100年 6月	 1 	0	0	 1 	0	0	0	 5 	 5 
100年 7月	0	0	0	 1 	0	0	0	 3 	 7 
100年 8月	 1 	0	0	 3 	0	0	 1 	 3 	 7 
100年 9月	0	0	0	 1 	0	0	0	 1 	 6 
100年 10月	0	0	0	0	0	0	0	 3 	 5 
100年 11月	0	0	0	0	0	0	0	 3 	 8 
100年 12月	0	0	0	 2 	0	0	0	 4 	 9 
101年	 5 	0	0	 8 	0	0	0	 34 	 87 
101年 1月	 1 	0	0	 1 	0	0	0	 6 	 12 
101年 2月	0	0	0	0	0	0	0	 5 	 11 
101年 3月	 1 	0	0	0	0	0	0	 2 	 3 
101年 4月	0	0	0	 1 	0	0	0	 2 	 5 
101年 5月	 1 	0	0	0	0	0	0	 1 	 7 
101年 6月	0	0	0	 2 	0	0	0	0	 5 
101年 7月	0	0	0	0	0	0	0	 2 	 6 
101年 8月	0	0	0	 1 	0	0	0	 2 	 14 
101年 9月	0	0	0	0	0	0	0	 4 	 1 
101年 10月	 2 	0	0	 1 	0	0	0	 2 	 7 
101年 11月	0	0	0	 2 	0	0	0	 4 	 9 
101年 12月	0	0	0	0	0	0	0	 4 	 7 
102年	 2 	0	0	 2 	0	0	0	 47 	 77 
102年 1月	0	0	0	0	0	0	0	 9 	 12 
102年 2月	0	0	0	0	0	0	0	 7 	 6 
102年 3月	 1 	0	0	0	0	0	0	 2 	 5 
102年 4月	0	0	0	0	0	0	0	 4 	 4 
102年 5月	0	0	0	0	0	0	0	 3 	 6 
102年 6月	0	0	0	0	0	0	0	 2 	 6 
102年 7月	0	0	0	0	0	0	0	 5 	 11 
102年 8月	 1 	0	0	0	0	0	0	 7 	 11 
102年 9月	0	0	0	0	0	0	0	 1 	 1 
102年 10月	0	0	0	 2 	0	0	0	 2 	 3 
102年 11月	0	0	0	0	0	0	0	 5 	 6 
102年 12月	0	0	0	0	0	0	0	0	 6 
103年	 2 	0	0	 1 	 1 	0	0	 44 	 108 
103年 1月	0	0	0	0	0	0	0	 7 	 10 
103年 2月	0	0	0	 1 	0	0	0	 3 	 10 
103年 3月	0	0	0	0	0	0	0	 1 	 8 
103年 4月	0	0	0	0	0	0	0	 2 	 5 
103年 5月	 1 	0	0	0	0	0	0	 6 	 3 
103年 6月	0	0	0	0	0	0	0	 2 	 7 
103年 7月	0	0	0	0	0	0	0	 3 	 13 
103年 8月	0	0	0	0	0	0	0	 4 	 16 
103年 9月	 1 	0	0	0	 1 	0	0	 5 	 10 
103年 10月	0	0	0	0	0	0	0	 3 	 13 
103年 11月	0	0	0	0	0	0	0	 3 	 2 
103年 12月	0	0	0	0	0	0	0	 5 	 11 
104年	 2 	0	0	 6 	0	0	 1 	 44 	 73 
104年 1月	0	0	0	0	0	0	0	 2 	 4 
104年 2月	 1 	0	0	0	0	0	0	 12 	 5 
104年 3月	0	0	0	0	0	0	0	 3 	 6 
104年 4月	 1 	0	0	 1 	0	0	0	 2 	 8 
104年 5月	0	0	0	0	0	0	0	 2 	 4 
