時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	0	0	0	 3 	 27 	 2 	 1 	 220 	0
89年 1月	0	0	0	0	0	0	0	 10 	0
89年 2月	0	0	0	0	0	0	0	 10 	0
89年 3月	0	0	0	0	 1 	 1 	0	 10 	0
89年 4月	0	0	0	0	 2 	 1 	0	 12 	0
89年 5月	0	0	0	0	 1 	0	0	 16 	0
89年 6月	0	0	0	0	 1 	0	0	 13 	0
89年 7月	0	0	0	0	 4 	0	 1 	 16 	0
89年 8月	0	0	0	 3 	 2 	0	0	 19 	0
89年 9月	0	0	0	0	 4 	0	0	 19 	0
89年 10月	0	0	0	0	 4 	0	0	 25 	0
89年 11月	0	0	0	0	 4 	0	0	 25 	0
89年 12月	0	0	0	0	 4 	0	0	 45 	0
90年	 1 	 2 	0	0	 57 	0	 3 	 413 	0
90年 1月	0	0	0	0	 3 	0	0	 38 	0
90年 2月	0	0	0	0	 5 	0	0	 25 	0
90年 3月	0	0	0	0	 5 	0	 1 	 41 	0
90年 4月	0	0	0	0	 10 	0	0	 36 	0
90年 5月	0	 1 	0	0	0	0	0	 34 	0
90年 6月	0	 1 	0	0	 6 	0	0	 33 	0
90年 7月	0	0	0	0	 5 	0	0	 30 	0
90年 8月	0	0	0	0	 3 	0	 1 	 44 	0
90年 9月	0	0	0	0	 1 	0	0	 22 	0
90年 10月	0	0	0	0	 6 	0	0	 29 	0
90年 11月	 1 	0	0	0	 6 	0	 1 	 53 	0
90年 12月	0	0	0	0	 7 	0	0	 28 	0
91年	0	0	0	 1 	 55 	0	 16 	 449 	0
91年 1月	0	0	0	0	 3 	0	 3 	 40 	0
91年 2月	0	0	0	0	 3 	0	0	 33 	0
91年 3月	0	0	0	0	 6 	0	 3 	 16 	0
91年 4月	0	0	0	0	 2 	0	 2 	 15 	0
91年 5月	0	0	0	0	 1 	0	0	 28 	0
91年 6月	0	0	0	0	 13 	0	0	 29 	0
91年 7月	0	0	0	 1 	 2 	0	 3 	 76 	0
91年 8月	0	0	0	0	 6 	0	0	 46 	0
91年 9月	0	0	0	0	 5 	0	0	 37 	0
91年 10月	0	0	0	0	 2 	0	 4 	 40 	0
91年 11月	0	0	0	0	 5 	0	0	 49 	0
91年 12月	0	0	0	0	 7 	0	 1 	 40 	0
92年	0	0	0	0	 41 	0	 10 	 481 	0
