時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 4 	0	0	 2 	 111 	 5 	 6 	 1,115 	0
89年 1月	 1 	0	0	0	 6 	0	0	 78 	0
89年 2月	0	0	0	0	 1 	 1 	 1 	 32 	0
89年 3月	 2 	0	0	0	 2 	0	 1 	 51 	0
89年 4月	0	0	0	 2 	 3 	0	0	 72 	0
89年 5月	0	0	0	0	 6 	0	0	 96 	0
89年 6月	0	0	0	0	 2 	0	0	 86 	0
89年 7月	0	0	0	0	 11 	 1 	0	 97 	0
89年 8月	 1 	0	0	0	 15 	0	0	 100 	0
89年 9月	0	0	0	0	 22 	 2 	 1 	 103 	0
89年 10月	0	0	0	0	 9 	0	 1 	 105 	0
89年 11月	0	0	0	0	 11 	 1 	0	 141 	0
89年 12月	0	0	0	0	 23 	0	 2 	 154 	0
90年	 7 	0	0	0	 252 	 5 	 10 	 2,381 	0
90年 1月	0	0	0	0	 11 	 1 	0	 199 	0
90年 2月	0	0	0	0	 17 	0	 2 	 137 	0
90年 3月	0	0	0	0	 23 	0	0	 132 	0
90年 4月	 1 	0	0	0	 22 	0	0	 144 	0
90年 5月	0	0	0	0	 19 	 1 	 3 	 201 	0
90年 6月	 1 	0	0	0	 24 	0	 1 	 191 	0
90年 7月	 1 	0	0	0	 27 	 1 	0	 147 	0
90年 8月	0	0	0	0	 34 	0	0	 220 	0
90年 9月	0	0	0	0	 16 	 1 	0	 244 	0
90年 10月	 1 	0	0	0	 27 	0	 1 	 203 	0
90年 11月	 1 	0	0	0	 21 	0	 2 	 353 	0
90年 12月	 2 	0	0	0	 11 	 1 	 1 	 210 	0
91年	0	0	0	0	 146 	 7 	 13 	 1,846 	0
91年 1月	0	0	0	0	 19 	0	 2 	 213 	0
91年 2月	0	0	0	0	 16 	0	 3 	 171 	0
91年 3月	0	0	0	0	 6 	0	0	 196 	0
91年 4月	0	0	0	0	 9 	0	 1 	 117 	0
91年 5月	0	0	0	0	 14 	 2 	0	 128 	0
91年 6月	0	0	0	0	 21 	0	 1 	 145 	0
91年 7月	0	0	0	0	 13 	 3 	 2 	 162 	0
91年 8月	0	0	0	0	 10 	0	 3 	 180 	0
91年 9月	0	0	0	0	 8 	 2 	0	 139 	0
91年 10月	0	0	0	0	 9 	0	0	 137 	0
91年 11月	0	0	0	0	 7 	0	0	 138 	0
91年 12月	0	0	0	0	 14 	0	 1 	 120 	0
92年	 1 	0	0	0	 144 	 1 	 16 	 1,619 	 1 
92年 1月	0	0	0	0	 38 	0	 2 	 178 	0
92年 2月	0	0	0	0	 21 	0	 3 	 155 	0
92年 3月	0	0	0	0	 27 	0	 3 	 143 	0
92年 4月	0	0	0	0	 5 	0	 1 	 143 	0
92年 5月	0	0	0	0	 10 	0	 1 	 77 	 1 
92年 6月	0	0	0	0	 4 	 1 	0	 154 	0
92年 7月	0	0	0	0	 12 	0	 3 	 145 	0
92年 8月	 1 	0	0	0	 8 	0	 1 	 93 	0
92年 9月	0	0	0	0	 3 	0	0	 123 	0
92年 10月	0	0	0	0	 2 	0	0	 102 	0
92年 11月	0	0	0	0	 6 	0	0	 139 	0
92年 12月	0	0	0	0	 8 	0	 2 	 167 	0
93年	0	0	0	 1 	 76 	0	 23 	 1,516 	0
93年 1月	0	0	0	0	 8 	0	 1 	 176 	0
93年 2月	0	0	0	0	 1 	0	0	 127 	0
93年 3月	0	0	0	0	 1 	0	0	 99 	0
93年 4月	0	0	0	0	 2 	0	0	 119 	0
93年 5月	0	0	0	 1 	0	0	 1 	 117 	0
93年 6月	0	0	0	0	0	0	0	 97 	0
93年 7月	0	0	0	0	 6 	0	 1 	 118 	0
93年 8月	0	0	0	0	 15 	0	0	 113 	0
93年 9月	0	0	0	0	 3 	0	 1 	 96 	0
93年 10月	0	0	0	0	 16 	0	 5 	 110 	0
93年 11月	0	0	0	0	 9 	0	 2 	 210 	0
93年 12月	0	0	0	0	 15 	0	 12 	 134 	0
94年	0	 3 	0	 1 	 74 	0	 35 	 2,149 	0
94年 1月	0	0	0	0	 4 	0	 2 	 161 	0
94年 2月	0	0	0	0	 18 	0	 4 	 231 	0
94年 3月	0	0	0	0	 2 	0	 4 	 154 	0
94年 4月	0	0	0	0	 7 	0	 1 	 159 	0
94年 5月	0	0	0	0	 16 	0	 10 	 240 	0
94年 6月	0	0	0	0	 3 	0	 3 	 105 	0
94年 7月	0	0	0	0	 3 	0	 2 	 225 	0
94年 8月	0	0	0	0	 11 	0	 2 	 163 	0
94年 9月	0	 2 	0	0	0	0	 4 	 134 	0
94年 10月	0	0	0	0	 2 	0	0	 194 	0
94年 11月	0	 1 	0	 1 	 6 	0	 1 	 221 	0
94年 12月	0	0	0	0	 2 	0	 2 	 162 	0
95年	 4 	 4 	0	 1 	 83 	0	 9 	 3,134 	0
95年 1月	0	0	0	0	 7 	0	0	 184 	0
95年 2月	 1 	0	0	 1 	0	0	0	 273 	0
95年 3月	0	 2 	0	0	 7 	0	 1 	 417 	0
95年 4月	 1 	0	0	0	 19 	0	 2 	 257 	0
95年 5月	 1 	0	0	0	 1 	0	 1 	 199 	0
95年 6月	0	0	0	0	 4 	0	0	 290 	0
95年 7月	0	0	0	0	 4 	0	 1 	 233 	0
95年 8月	0	0	0	0	 10 	0	0	 157 	0
95年 9月	 1 	0	0	0	 2 	0	0	 220 	0
95年 10月	0	0	0	0	 6 	0	0	 273 	0
95年 11月	0	 2 	0	0	 5 	0	 2 	 337 	0
95年 12月	0	0	0	0	 18 	0	 2 	 294 	0
96年	0	 2 	0	0	 128 	0	 21 	 6,230 	0
96年 1月	0	0	0	0	 2 	0	 2 	 439 	0
96年 2月	0	 1 	0	0	 2 	0	0	 397 	0
96年 3月	0	0	0	0	 5 	0	 1 	 457 	0
96年 4月	0	0	0	0	 23 	0	 3 	 472 	0
96年 5月	0	 1 	0	0	 9 	0	 1 	 632 	0
96年 6月	0	0	0	0	 20 	0	 4 	 427 	0
96年 7月	0	0	0	0	 7 	0	0	 578 	0
96年 8月	0	0	0	0	 20 	0	 2 	 481 	0
96年 9月	0	0	0	0	 6 	0	 1 	 646 	0
96年 10月	0	0	0	0	 24 	0	 2 	 626 	0
96年 11月	0	0	0	0	 7 	0	 1 	 614 	0
96年 12月	0	0	0	0	 3 	0	 4 	 461 	0
97年	0	0	0	0	 128 	0	 24 	 6,430 	0
97年 1月	0	0	0	0	 17 	0	 1 	 392 	0
97年 2月	0	0	0	0	 7 	0	 4 	 453 	0
97年 3月	0	0	0	0	 4 	0	 2 	 378 	0
97年 4月	0	0	0	0	 2 	0	 1 	 454 	0
97年 5月	0	0	0	0	 3 	0	 2 	 614 	0
97年 6月	0	0	0	0	 17 	0	 10 	 641 	0
97年 7月	0	0	0	0	 6 	0	 1 	 440 	0
97年 8月	0	0	0	0	 17 	0	0	 697 	0
