時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 24 	0	 1 	 27 	0	 3 	 1 	 136 	 365 
89年 1月	 7 	0	0	0	0	0	0	 19 	 63 
89年 2月	 1 	0	0	0	0	0	0	 16 	 39 
89年 3月	0	0	0	 2 	0	 1 	0	 18 	 8 
89年 4月	 2 	0	0	 4 	0	0	0	 4 	 32 
89年 5月	 1 	0	0	 3 	0	0	0	 8 	 28 
89年 6月	 1 	0	 1 	 1 	0	0	0	 9 	 39 
89年 7月	 2 	0	0	0	0	 1 	0	 9 	 27 
89年 8月	 2 	0	0	 5 	0	0	0	 13 	 28 
89年 9月	 3 	0	0	0	0	0	0	 10 	 15 
89年 10月	 3 	0	0	 2 	0	 1 	0	 9 	 25 
89年 11月	 1 	0	0	 4 	0	0	0	 12 	 29 
89年 12月	 1 	0	0	 6 	0	0	 1 	 9 	 32 
90年	 64 	0	0	 30 	 1 	0	 1 	 127 	 356 
90年 1月	 3 	0	0	 6 	0	0	0	 8 	 45 
90年 2月	 2 	0	0	 2 	0	0	0	 6 	 27 
90年 3月	 7 	0	0	 2 	0	0	0	 10 	 29 
90年 4月	 4 	0	0	 3 	0	0	 1 	 11 	 16 
90年 5月	 7 	0	0	 2 	0	0	0	 9 	 29 
90年 6月	 3 	0	0	 4 	0	0	0	 9 	 16 
90年 7月	 8 	0	0	 2 	0	0	0	 11 	 17 
90年 8月	 8 	0	0	 4 	0	0	0	 9 	 20 
90年 9月	 7 	0	0	 1 	0	0	0	 8 	 16 
90年 10月	 7 	0	0	0	 1 	0	0	 6 	 46 
90年 11月	 6 	0	0	 3 	0	0	0	 18 	 65 
90年 12月	 2 	0	0	 1 	0	0	0	 22 	 30 
91年	 36 	0	0	 20 	0	 5 	0	 117 	 262 
91年 1月	 2 	0	0	 6 	0	0	0	 8 	 15 
91年 2月	 3 	0	0	 1 	0	 2 	0	 19 	 11 
91年 3月	 1 	0	0	 3 	0	 1 	0	 7 	 17 
91年 4月	 1 	0	0	 1 	0	0	0	 6 	 26 
91年 5月	 1 	0	0	 1 	0	0	0	 3 	 22 
91年 6月	 3 	0	0	0	0	 1 	0	 3 	 16 
91年 7月	 1 	0	0	0	0	 1 	0	 2 	 33 
91年 8月	 5 	0	0	0	0	0	0	 9 	 21 
91年 9月	 6 	0	0	 2 	0	0	0	 13 	 18 
91年 10月	 3 	0	0	 1 	0	0	0	 15 	 26 
91年 11月	 6 	0	0	 2 	0	0	0	 14 	 27 
91年 12月	 4 	0	0	 3 	0	0	0	 18 	 30 
92年	 35 	0	0	 20 	0	 3 	0	 160 	 208 
92年 1月	 4 	0	0	 2 	0	0	0	 12 	 22 
92年 2月	 5 	0	0	0	0	0	0	 8 	 18 
92年 3月	 6 	0	0	0	0	0	0	 11 	 16 
92年 4月	 3 	0	0	 3 	0	0	0	 21 	 20 
92年 5月	 2 	0	0	 6 	0	 1 	0	 8 	 14 
92年 6月	 1 	0	0	 3 	0	0	0	 7 	 26 
92年 7月	 3 	0	0	0	0	 1 	0	 13 	 19 
92年 8月	 2 	0	0	 1 	0	 1 	0	 11 	 16 
92年 9月	 2 	0	0	0	0	0	0	 13 	 10 
92年 10月	 2 	0	0	0	0	0	0	 19 	 10 
92年 11月	 2 	0	0	 2 	0	0	0	 23 	 20 
92年 12月	 3 	0	0	 3 	0	0	0	 14 	 17 
93年	 14 	0	0	 19 	0	 1 	0	 349 	 388 
93年 1月	 2 	0	0	 2 	0	0	0	 26 	 19 
93年 2月	 3 	0	0	 2 	0	0	0	 17 	 32 
93年 3月	 2 	0	0	 2 	0	0	0	 25 	 17 
93年 4月	 2 	0	0	 4 	0	0	0	 17 	 15 
93年 5月	 1 	0	0	 1 	0	0	0	 20 	 53 
93年 6月	0	0	0	 1 	0	 1 	0	 15 	 15 
93年 7月	 1 	0	0	 1 	0	0	0	 66 	 27 
93年 8月	0	0	0	 1 	0	0	0	 27 	 77 
93年 9月	 1 	0	0	0	0	0	0	 50 	 50 
93年 10月	0	0	0	 3 	0	0	0	 26 	 16 
93年 11月	0	0	0	 1 	0	0	0	 35 	 33 
93年 12月	 2 	0	0	 1 	0	0	0	 25 	 34 
94年	 11 	0	0	 27 	0	 1 	 1 	 307 	 434 
94年 1月	 3 	0	0	 1 	0	0	 1 	 40 	 28 
94年 2月	 1 	0	0	0	0	0	0	 11 	 11 
94年 3月	 1 	0	0	 1 	0	0	0	 28 	 22 
94年 4月	 2 	0	0	 4 	0	0	0	 19 	 21 
94年 5月	 1 	0	0	 2 	0	0	0	 30 	 28 
94年 6月	0	0	0	0	0	 1 	0	 26 	 34 
94年 7月	 1 	0	0	 1 	0	0	0	 28 	 59 
94年 8月	0	0	0	 5 	0	0	0	 16 	 114 
94年 9月	0	0	0	 3 	0	0	0	 33 	 37 
94年 10月	 1 	0	0	 5 	0	0	0	 27 	 33 
94年 11月	 1 	0	0	 2 	0	0	0	 24 	 20 
94年 12月	0	0	0	 3 	0	0	0	 25 	 27 
95年	 7 	0	0	 14 	0	 1 	 1 	 225 	 340 
95年 1月	0	0	0	0	0	0	0	 18 	 14 
95年 2月	0	0	0	 1 	0	0	0	 18 	 15 
95年 3月	 1 	0	0	 3 	0	0	0	 16 	 12 
95年 4月	0	0	0	 1 	0	0	0	 26 	 20 
95年 5月	 2 	0	0	 1 	0	 1 	0	 21 	 25 
95年 6月	 1 	0	0	0	0	0	 1 	 16 	 34 
95年 7月	 1 	0	0	 2 	0	0	0	 22 	 72 
95年 8月	0	0	0	 1 	0	0	0	 24 	 57 
95年 9月	0	0	0	 1 	0	0	0	 26 	 17 
95年 10月	 1 	0	0	0	0	0	0	 22 	 24 
95年 11月	 1 	0	0	 3 	0	0	0	 13 	 25 
95年 12月	0	0	0	 1 	0	0	0	 3 	 25 
96年	 2 	0	0	 16 	0	 2 	 1 	 137 	 520 
96年 1月	0	0	0	0	0	0	0	 6 	 22 
96年 2月	0	0	0	0	0	0	0	 8 	 17 
96年 3月	0	0	0	 1 	0	0	0	 7 	 19 
96年 4月	0	0	0	0	0	0	0	 11 	 11 
96年 5月	0	0	0	 1 	0	 1 	0	 13 	 28 
96年 6月	 2 	0	0	 4 	0	0	0	 17 	 21 
96年 7月	0	0	0	 3 	0	 1 	0	 17 	 105 
96年 8月	0	0	0	 1 	0	0	0	 10 	 205 
96年 9月	0	0	0	0	0	0	0	 15 	 26 
96年 10月	0	0	0	 1 	0	0	0	 10 	 26 
96年 11月	0	0	0	 1 	0	0	0	 10 	 24 
96年 12月	0	0	0	 4 	0	0	 1 	 13 	 16 
97年	 5 	0	0	 12 	0	0	0	 161 	 241 
97年 1月	0	0	0	 2 	0	0	0	 24 	 20 
97年 2月	0	0	0	0	0	0	0	 20 	 14 
97年 3月	0	0	0	0	0	0	0	 16 	 15 
97年 4月	 1 	0	0	0	0	0	0	 18 	 28 
97年 5月	 1 	0	0	 1 	0	0	0	 13 	 17 
97年 6月	0	0	0	 3 	0	0	0	 9 	 12 
97年 7月	 2 	0	0	0	0	0	0	 13 	 46 
97年 8月	 1 	0	0	 2 	0	0	0	 10 	 32 
97年 9月	0	0	0	 3 	0	0	0	 15 	 13 
97年 10月	0	0	0	0	0	0	0	 6 	 21 
97年 11月	0	0	0	0	0	0	0	 10 	 9 
97年 12月	0	0	0	 1 	0	0	0	 7 	 14 
98年	 3 	0	0	 2 	0	 1 	0	 140 	 263 
98年 1月	0	0	0	0	0	0	0	 16 	 13 
98年 2月	0	0	0	0	0	0	0	 27 	 26 
98年 3月	 1 	0	0	0	0	0	0	 10 	 29 
98年 4月	0	0	0	 2 	0	0	0	 6 	 21 
98年 5月	0	0	0	0	0	0	0	 5 	 12 
98年 6月	0	0	0	0	0	0	0	 13 	 9 
98年 7月	0	0	0	0	0	0	0	 11 	 27 
98年 8月	0	0	0	0	0	0	0	 11 	 38 
98年 9月	 1 	0	0	0	0	0	0	 12 	 23 
98年 10月	0	0	0	0	0	 1 	0	 8 	 19 
98年 11月	 1 	0	0	0	0	0	0	 11 	 29 
98年 12月	0	0	0	0	0	0	0	 10 	 17 
99年	 5 	0	0	 8 	0	0	 1 	 145 	 224 
99年 1月	 1 	0	0	0	0	0	0	 7 	 15 
99年 2月	0	0	0	 1 	0	0	0	 43 	 12 
99年 3月	0	0	0	0	0	0	0	 3 	 15 
99年 4月	0	0	0	0	0	0	0	 9 	 28 
99年 5月	0	0	0	0	0	0	0	 11 	 16 
99年 6月	0	0	0	 4 	0	0	0	 15 	 11 
99年 7月	 2 	0	0	 1 	0	0	 1 	 9 	 34 
99年 8月	0	0	0	 1 	0	0	0	 6 	 37 
99年 9月	 1 	0	0	0	0	0	0	 7 	 19 
99年 10月	0	0	0	0	0	0	0	 16 	 12 
99年 11月	 1 	0	0	 1 	0	0	0	 10 	 16 
