時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	0	 1 	0	0	 12 	0	0	 64 	 1 
89年 1月	0	 1 	0	0	0	0	0	 2 	0
89年 2月	0	0	0	0	0	0	0	 4 	0
89年 3月	0	0	0	0	0	0	0	 3 	0
89年 4月	0	0	0	0	0	0	0	 5 	0
89年 5月	0	0	0	0	 3 	0	0	 3 	 1 
89年 6月	0	0	0	0	0	0	0	 2 	0
89年 7月	0	0	0	0	 3 	0	0	 7 	0
89年 8月	0	0	0	0	0	0	0	 10 	0
89年 9月	0	0	0	0	0	0	0	 7 	0
89年 10月	0	0	0	0	 6 	0	0	 10 	0
89年 11月	0	0	0	0	0	0	0	 9 	0
89年 12月	0	0	0	0	0	0	0	 2 	0
90年	0	 1 	0	0	 4 	0	0	 68 	0
90年 1月	0	 1 	0	0	0	0	0	 4 	0
90年 2月	0	0	0	0	0	0	0	 3 	0
90年 3月	0	0	0	0	0	0	0	 5 	0
90年 4月	0	0	0	0	0	0	0	 6 	0
90年 5月	0	0	0	0	0	0	0	 5 	0
90年 6月	0	0	0	0	0	0	0	 8 	0
90年 7月	0	0	0	0	0	0	0	 4 	0
90年 8月	0	0	0	0	 3 	0	0	 6 	0
90年 9月	0	0	0	0	0	0	0	 10 	0
90年 10月	0	0	0	0	0	0	0	 7 	0
90年 11月	0	0	0	0	 1 	0	0	 5 	0
90年 12月	0	0	0	0	0	0	0	 5 	0
91年	0	0	0	0	 6 	0	 4 	 72 	0
91年 1月	0	0	0	0	0	0	0	 4 	0
91年 2月	0	0	0	0	0	0	0	 6 	0
91年 3月	0	0	0	0	 1 	0	0	 2 	0
91年 4月	0	0	0	0	0	0	0	 7 	0
91年 5月	0	0	0	0	0	0	 2 	 9 	0
91年 6月	0	0	0	0	0	0	 1 	 7 	0
91年 7月	0	0	0	0	 2 	0	0	 8 	0
91年 8月	0	0	0	0	0	0	0	 5 	0
91年 9月	0	0	0	0	 1 	0	0	 4 	0
91年 10月	0	0	0	0	 2 	0	0	 9 	0
91年 11月	0	0	0	0	0	0	0	 4 	0
91年 12月	0	0	0	0	0	0	 1 	 7 	0
92年	0	0	0	0	 9 	0	 6 	 67 	0
92年 1月	0	0	0	0	0	0	0	 8 	0
92年 2月	0	0	0	0	0	0	0	 6 	0
92年 3月	0	0	0	0	 5 	0	0	 1 	0
92年 4月	0	0	0	0	 3 	0	0	 2 	0
92年 5月	0	0	0	0	0	0	 1 	0	0
92年 6月	0	0	0	0	0	0	0	 2 	0
92年 7月	0	0	0	0	 1 	0	 2 	 6 	0
92年 8月	0	0	0	0	0	0	 1 	 10 	0
92年 9月	0	0	0	0	0	0	 1 	 8 	0
92年 10月	0	0	0	0	0	0	 1 	 10 	0
92年 11月	0	0	0	0	0	0	0	 8 	0
92年 12月	0	0	0	0	0	0	0	 6 	0
93年	0	0	0	0	 4 	0	 2 	 127 	0
93年 1月	0	0	0	0	0	0	0	 11 	0
93年 2月	0	0	0	0	 1 	0	 1 	 14 	0
93年 3月	0	0	0	0	0	0	 1 	 18 	0
93年 4月	0	0	0	0	 1 	0	0	 14 	0
93年 5月	0	0	0	0	0	0	0	 13 	0
93年 6月	0	0	0	0	 1 	0	0	 5 	0
93年 7月	0	0	0	0	 1 	0	0	 8 	0
93年 8月	0	0	0	0	0	0	0	 13 	0
93年 9月	0	0	0	0	0	0	0	 13 	0
93年 10月	0	0	0	0	0	0	0	 8 	0
93年 11月	0	0	0	0	0	0	0	 3 	0
93年 12月	0	0	0	0	0	0	0	 7 	0
94年	0	 1 	0	0	0	0	 3 	 80 	0
94年 1月	0	0	0	0	0	0	0	 13 	0
94年 2月	0	0	0	0	0	0	0	 9 	0
94年 3月	0	0	0	0	0	0	0	 3 	0
94年 4月	0	0	0	0	0	0	0	 3 	0
94年 5月	0	0	0	0	0	0	0	 3 	0
94年 6月	0	 1 	0	0	0	0	 1 	 7 	0
94年 7月	0	0	0	0	0	0	0	 9 	0
94年 8月	0	0	0	0	0	0	 1 	 6 	0
94年 9月	0	0	0	0	0	0	0	 4 	0
94年 10月	0	0	0	0	0	0	0	 7 	0
94年 11月	0	0	0	0	0	0	 1 	 9 	0
94年 12月	0	0	0	0	0	0	0	 7 	0
95年	0	 1 	0	0	 5 	0	 6 	 111 	0
95年 1月	0	0	0	0	0	0	0	 8 	0
95年 2月	0	0	0	0	0	0	0	 12 	0
95年 3月	0	0	0	0	0	0	0	 6 	0
95年 4月	0	 1 	0	0	0	0	0	 11 	0
95年 5月	0	0	0	0	0	0	0	 10 	0
95年 6月	0	0	0	0	0	0	0	 7 	0
95年 7月	0	0	0	0	0	0	0	 9 	0
95年 8月	0	0	0	0	 4 	0	 1 	 5 	0
95年 9月	0	0	0	0	 1 	0	0	 10 	0
95年 10月	0	0	0	0	0	0	 1 	 12 	0
95年 11月	0	0	0	0	0	0	 3 	 16 	0
95年 12月	0	0	0	0	0	0	 1 	 5 	0
96年	0	0	0	0	 5 	0	 9 	 140 	0
96年 1月	0	0	0	0	0	0	0	 15 	0
96年 2月	0	0	0	0	0	0	 2 	 10 	0
96年 3月	0	0	0	0	0	0	0	 6 	0
96年 4月	0	0	0	0	0	0	 1 	 13 	0
96年 5月	0	0	0	0	0	0	0	 11 	0
96年 6月	0	0	0	0	 2 	0	 2 	 5 	0
96年 7月	0	0	0	0	0	0	0	 9 	0
96年 8月	0	0	0	0	 1 	0	0	 9 	0
96年 9月	0	0	0	0	 1 	0	0	 20 	0
96年 10月	0	0	0	0	 1 	0	 4 	 22 	0
96年 11月	0	0	0	0	0	0	0	 7 	0
96年 12月	0	0	0	0	0	0	0	 13 	0
97年	0	0	0	0	 1 	0	 5 	 143 	 1 
97年 1月	0	0	0	0	0	0	0	 9 	0
97年 2月	0	0	0	0	0	0	0	 9 	0
97年 3月	0	0	0	0	0	0	0	 9 	0
97年 4月	0	0	0	0	0	0	0	 12 	0
97年 5月	0	0	0	0	0	0	0	 16 	0
97年 6月	0	0	0	0	0	0	 2 	 17 	0
97年 7月	0	0	0	0	0	0	 1 	 11 	0
97年 8月	0	0	0	0	0	0	0	 11 	0
97年 9月	0	0	0	0	0	0	 2 	 12 	 1 
97年 10月	0	0	0	0	 1 	0	0	 10 	0
97年 11月	0	0	0	0	0	0	0	 15 	0
97年 12月	0	0	0	0	0	0	0	 12 	0
98年	0	0	0	0	 2 	0	 8 	 189 	0
98年 1月	0	0	0	0	0	0	0	 24 	0
98年 2月	0	0	0	0	0	0	 2 	 24 	0
98年 3月	0	0	0	0	 1 	0	 1 	 15 	0
98年 4月	0	0	0	0	0	0	0	 21 	0
98年 5月	0	0	0	0	0	0	0	 29 	0
98年 6月	0	0	0	0	 1 	0	0	 19 	0
98年 7月	0	0	0	0	0	0	0	 17 	0
98年 8月	0	0	0	0	0	0	 3 	 4 	0
98年 9月	0	0	0	0	0	0	0	 1 	0
98年 10月	0	0	0	0	0	0	 2 	 11 	0
98年 11月	0	0	0	0	0	0	0	 16 	0
98年 12月	0	0	0	0	0	0	0	 8 	0
99年	0	 4 	0	0	 10 	0	 3 	 256 	0
99年 1月	0	0	0	0	0	0	0	 20 	0
99年 2月	0	 1 	0	0	0	0	0	 22 	0
99年 3月	0	 1 	0	0	 5 	0	 1 	 13 	0
99年 4月	0	0	0	0	 1 	0	 1 	 16 	0
99年 5月	0	 1 	0	0	 1 	0	0	 20 	0
