時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 11,783 	 3,761 	 40 	 179 	 3 	 112 	 84 	 27 	 31 
89年 1月	 1,244 	 319 	 1 	 24 	 1 	 6 	 3 	 2 	 2 
89年 2月	 1,028 	 207 	 1 	 19 	0	 4 	 4 	 2 	 4 
89年 3月	 769 	 318 	 1 	 17 	0	 3 	 4 	 1 	 1 
89年 4月	 746 	 274 	 7 	 12 	 1 	 5 	 4 	0	 2 
89年 5月	 936 	 292 	0	 16 	0	 5 	 3 	 2 	 3 
89年 6月	 830 	 276 	 2 	 7 	0	 8 	 4 	 3 	 4 
89年 7月	 1,169 	 435 	 6 	 18 	0	 14 	 4 	 2 	 6 
89年 8月	 980 	 326 	 1 	 23 	0	 9 	 8 	 2 	 3 
89年 9月	 1,280 	 364 	 2 	 13 	0	 11 	 7 	 3 	 1 
89年 10月	 1,091 	 289 	 12 	 11 	 1 	 19 	 8 	 4 	 2 
89年 11月	 920 	 302 	 3 	 10 	0	 15 	 23 	 4 	 3 
89年 12月	 790 	 359 	 4 	 9 	0	 13 	 12 	 2 	0
90年	 10,639 	 4,640 	 46 	 114 	 2 	 235 	 106 	 59 	 36 
90年 1月	 1,264 	 353 	 16 	 14 	 1 	 15 	 10 	 5 	 2 
90年 2月	 795 	 219 	 3 	 15 	0	 19 	 6 	 2 	 5 
90年 3月	 754 	 256 	 5 	 20 	0	 14 	 7 	 4 	 1 
90年 4月	 814 	 395 	 5 	 9 	0	 16 	 7 	 6 	 1 
90年 5月	 835 	 414 	 2 	 6 	0	 31 	 10 	 6 	 6 
90年 6月	 801 	 375 	 5 	 12 	0	 19 	 4 	 6 	 2 
90年 7月	 895 	 500 	 4 	 9 	0	 24 	 15 	 5 	 2 
90年 8月	 926 	 440 	 1 	 7 	0	 19 	 10 	 7 	 2 
90年 9月	 793 	 314 	 2 	 3 	 1 	 21 	 8 	 2 	 2 
90年 10月	 1,015 	 409 	0	 7 	0	 20 	 6 	 2 	 2 
90年 11月	 923 	 422 	0	 5 	0	 20 	 9 	 4 	 4 
90年 12月	 824 	 543 	 3 	 7 	0	 17 	 14 	 10 	 7 
