時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 14 	 40 	 133 	 23 	0	 12 	 14 	0
89年 1月	0	 2 	 2 	 8 	 3 	0	 2 	 1 	0
89年 2月	0	0	 2 	 2 	 3 	0	 1 	0	0
89年 3月	0	0	 2 	 9 	 1 	0	0	 1 	0
89年 4月	0	 1 	 2 	 6 	 3 	0	0	 1 	0
89年 5月	0	0	 8 	 9 	 3 	0	0	0	0
89年 6月	0	 1 	 2 	 12 	0	0	 2 	0	0
89年 7月	0	0	 6 	 14 	 3 	0	 1 	 1 	0
89年 8月	0	 1 	 5 	 12 	0	0	 2 	0	0
89年 9月	0	 1 	 5 	 14 	 2 	0	 1 	 3 	0
89年 10月	0	 2 	 4 	 10 	 2 	0	 2 	 4 	0
89年 11月	0	 4 	0	 11 	 1 	0	0	 2 	0
89年 12月	0	 2 	 2 	 26 	 2 	0	 1 	 1 	0
90年	 1 	 68 	 38 	 349 	 28 	0	 17 	 23 	 4 
90年 1月	0	 1 	0	 6 	 4 	0	 1 	 2 	0
90年 2月	0	 4 	 3 	 13 	 2 	0	0	 1 	0
90年 3月	0	 11 	 5 	 14 	 2 	0	0	 2 	0
90年 4月	0	 4 	 5 	 21 	 1 	0	 2 	 1 	 1 
90年 5月	0	 9 	 2 	 17 	 2 	0	 4 	 3 	 3 
90年 6月	0	 5 	 4 	 32 	 4 	0	0	 3 	0
90年 7月	0	 4 	0	 21 	 2 	0	 1 	 1 	0
90年 8月	0	 6 	 3 	 67 	 3 	0	 1 	 4 	0
90年 9月	0	 5 	 3 	 18 	 2 	0	 2 	 1 	0
90年 10月	0	 4 	 2 	 45 	0	0	 3 	 1 	0
90年 11月	 1 	 4 	 6 	 53 	 1 	0	0	 2 	0
90年 12月	0	 11 	 5 	 42 	 5 	0	 3 	 2 	0
91年	 1 	 108 	 36 	 414 	 46 	 1 	 8 	 35 	 1 
91年 1月	0	 3 	 2 	 32 	 2 	0	0	 3 	0
91年 2月	0	 4 	 3 	 12 	 4 	0	0	 3 	0
91年 3月	0	 15 	 7 	 25 	 4 	0	 2 	 4 	0
91年 4月	0	 10 	 1 	 55 	 3 	0	 1 	 2 	0
91年 5月	0	 8 	 3 	 30 	 6 	0	0	 4 	0
91年 6月	 1 	 10 	 2 	 18 	 5 	0	0	 4 	0
91年 7月	0	 11 	 3 	 53 	 3 	 1 	 1 	 1 	0
91年 8月	0	 14 	 3 	 62 	 2 	0	0	 3 	0
91年 9月	0	 9 	 2 	 24 	 7 	0	0	 2 	0
91年 10月	0	 10 	 5 	 31 	 6 	0	 3 	 3 	 1 
91年 11月	0	 7 	 2 	 41 	 1 	0	0	 3 	0
91年 12月	0	 7 	 3 	 31 	 3 	0	 1 	 3 	0
92年	 2 	 115 	 32 	 350 	 63 	 5 	 15 	 29 	 5 
92年 1月	 1 	 5 	 2 	 39 	 4 	0	0	 3 	0
92年 2月	0	 9 	 3 	 10 	 2 	0	 2 	 6 	0
92年 3月	0	 8 	 3 	 39 	 4 	 1 	 1 	 3 	0
92年 4月	0	 5 	 2 	 45 	 6 	0	 2 	 1 	 4 
92年 5月	0	 4 	 2 	 27 	 5 	0	 1 	 1 	0
92年 6月	0	 13 	 4 	 14 	 5 	0	 3 	 2 	0
92年 7月	0	 12 	 4 	 58 	 6 	0	0	0	 1 
92年 8月	0	 10 	 3 	 39 	 7 	 1 	0	 2 	0
