時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 183 	 4 	 35 	 93 	 684 	 833 	 1 	0	 10 
89年 1月	 10 	 1 	 4 	 7 	 99 	 138 	0	0	 2 
89年 2月	 8 	0	0	 6 	 75 	 105 	0	0	 1 
89年 3月	 2 	0	 4 	 5 	 46 	 56 	0	0	 1 
89年 4月	 4 	0	 1 	 5 	 35 	 47 	 1 	0	0
89年 5月	 3 	 1 	 2 	 6 	 47 	 68 	0	0	 1 
89年 6月	 85 	0	 1 	 5 	 59 	 74 	0	0	 2 
89年 7月	 26 	 1 	 1 	 9 	 63 	 91 	0	0	 1 
89年 8月	 12 	 1 	 6 	 5 	 53 	 58 	0	0	0
89年 9月	 10 	0	 1 	 8 	 46 	 43 	0	0	 1 
89年 10月	 9 	0	 8 	 8 	 70 	 71 	0	0	0
89年 11月	0	0	 1 	 11 	 50 	 49 	0	0	0
89年 12月	 14 	0	 6 	 18 	 41 	 33 	0	0	 1 
90年	 192 	 9 	 54 	 121 	 743 	 359 	 2 	0	 52 
90年 1月	 56 	0	 5 	 6 	 55 	 39 	0	0	 1 
90年 2月	 79 	0	 3 	 5 	 26 	 23 	0	0	0
90年 3月	 10 	0	 3 	 8 	 35 	 35 	0	0	0
90年 4月	 5 	0	 1 	 15 	 34 	 21 	0	0	 2 
90年 5月	 14 	0	 7 	 11 	 49 	 34 	0	0	 4 
90年 6月	 8 	 1 	 3 	 11 	 46 	 40 	0	0	0
90年 7月	 2 	 1 	 8 	 9 	 55 	 35 	0	0	 5 
90年 8月	 3 	 1 	 7 	 13 	 88 	 31 	0	0	 10 
90年 9月	 2 	 5 	 2 	 6 	 111 	 44 	 1 	0	 5 
90年 10月	0	 1 	 3 	 10 	 80 	 15 	0	0	 14 
90年 11月	 9 	0	 3 	 17 	 77 	 25 	0	0	 9 
90年 12月	 4 	0	 9 	 10 	 87 	 17 	 1 	0	 2 
91年	 290 	 12 	 134 	 174 	 778 	 473 	 3 	0	 52 
91年 1月	 2 	 1 	 9 	 15 	 42 	 11 	0	0	 5 
91年 2月	 50 	 1 	 3 	 8 	 45 	 18 	 2 	0	 1 
91年 3月	 7 	 1 	 7 	 11 	 36 	 21 	 1 	0	 6 
91年 4月	 31 	 1 	 10 	 13 	 30 	 19 	0	0	 2 
91年 5月	 40 	0	 8 	 9 	 59 	 37 	0	0	 1 
91年 6月	 46 	 1 	 11 	 20 	 48 	 36 	0	0	 11 
91年 7月	 29 	 1 	 13 	 18 	 64 	 68 	0	0	 3 
91年 8月	 29 	 2 	 6 	 30 	 73 	 68 	0	0	 6 
91年 9月	 14 	 3 	 17 	 15 	 100 	 60 	0	0	 11 
91年 10月	 15 	 1 	 13 	 8 	 95 	 53 	0	0	 5 
91年 11月	 12 	0	 23 	 18 	 98 	 40 	0	0	0
91年 12月	 15 	0	 14 	 9 	 88 	 42 	0	0	 1 
92年	 231 	 7 	 87 	 234 	 889 	 367 	 7 	0	 50 
92年 1月	 5 	 1 	 7 	 18 	 103 	 35 	0	0	 2 
92年 2月	 15 	0	 8 	 17 	 43 	 17 	0	0	 1 
92年 3月	 13 	 1 	 3 	 24 	 80 	 45 	0	0	 3 
92年 4月	 44 	0	 5 	 12 	 85 	 25 	0	0	0
92年 5月	 5 	 1 	 6 	 23 	 101 	 26 	0	0	 2 
92年 6月	 27 	 1 	 13 	 16 	 90 	 26 	0	0	0
92年 7月	 26 	0	 5 	 22 	 81 	 29 	 3 	0	 4 
92年 8月	 9 	0	 2 	 14 	 73 	 48 	 2 	0	 2 
92年 9月	 8 	0	 6 	 21 	 59 	 23 	0	0	 3 
92年 10月	 7 	0	 9 	 27 	 59 	 32 	 1 	0	 14 
92年 11月	 16 	 1 	 16 	 21 	 67 	 40 	0	0	 11 
92年 12月	 56 	 2 	 7 	 19 	 48 	 21 	 1 	0	 8 
93年	 226 	 8 	 121 	 128 	 1,401 	 555 	 5 	0	 158 
93年 1月	 32 	 2 	 11 	 12 	 78 	 33 	0	0	 12 
93年 2月	 7 	0	 9 	 9 	 94 	 40 	0	0	 17 
93年 3月	 26 	 1 	 8 	 14 	 94 	 36 	0	0	 13 
93年 4月	 21 	 1 	 18 	 14 	 79 	 31 	 2 	0	 8 
93年 5月	 13 	 1 	 6 	 17 	 99 	 27 	0	0	 5 
93年 6月	 10 	0	 9 	 8 	 67 	 29 	0	0	 10 
93年 7月	 4 	0	 5 	 13 	 114 	 58 	 1 	0	 10 
93年 8月	 6 	 1 	 6 	 6 	 147 	 82 	 1 	0	 18 
93年 9月	 16 	 1 	 12 	 2 	 147 	 56 	0	0	 13 
93年 10月	 15 	 1 	 11 	 12 	 138 	 64 	 1 	0	 16 
93年 11月	 69 	0	 10 	 8 	 196 	 62 	0	0	 20 
93年 12月	 7 	0	 16 	 13 	 148 	 37 	0	0	 16 
94年	 107 	 9 	 95 	 120 	 1,979 	 618 	 4 	 1 	 90 
94年 1月	 6 	 1 	 8 	 17 	 236 	 77 	 2 	 1 	 4 
94年 2月	 11 	0	 8 	 13 	 159 	 58 	0	0	0
94年 3月	 7 	0	 15 	 16 	 197 	 50 	0	0	 2 
94年 4月	 10 	 2 	 11 	 13 	 167 	 48 	0	0	 29 
94年 5月	 12 	 1 	 9 	 9 	 171 	 54 	0	0	 27 
94年 6月	 19 	 1 	 7 	 11 	 123 	 40 	0	0	 22 
94年 7月	 8 	 1 	 4 	 9 	 183 	 68 	0	0	 3 
94年 8月	 7 	 1 	 8 	 6 	 201 	 69 	 1 	0	 3 
94年 9月	 12 	0	 10 	 9 	 149 	 55 	0	0	0
94年 10月	 7 	 1 	 5 	 4 	 160 	 43 	 1 	0	0
94年 11月	 5 	0	 4 	 7 	 144 	 39 	0	0	0
94年 12月	 3 	 1 	 6 	 6 	 89 	 17 	0	0	0
95年	 230 	 14 	 82 	 107 	 2,004 	 536 	 11 	 2 	 1 
95年 1月	 30 	 1 	 5 	 9 	 185 	 49 	0	0	0
95年 2月	 10 	 3 	 9 	 13 	 136 	 38 	0	 1 	0
95年 3月	 11 	 1 	 7 	 14 	 119 	 20 	 2 	0	0
95年 4月	 11 	 2 	 2 	 8 	 111 	 26 	 1 	0	 1 
95年 5月	 8 	0	 15 	 10 	 129 	 33 	0	0	0
95年 6月	 5 	0	 4 	 14 	 148 	 36 	0	0	0
95年 7月	 9 	 1 	 4 	 9 	 184 	 56 	 2 	0	0
95年 8月	 2 	 1 	 9 	 4 	 306 	 89 	 2 	0	0
95年 9月	 23 	0	 8 	 4 	 254 	 51 	 1 	0	0
95年 10月	 28 	 2 	 7 	 9 	 146 	 41 	 3 	0	0
95年 11月	 9 	 3 	 5 	 7 	 137 	 46 	0	0	0
95年 12月	 84 	0	 7 	 6 	 149 	 51 	0	 1 	0
96年	 111 	 2 	 127 	 138 	 2,087 	 713 	 16 	 2 	0
96年 1月	 11 	0	 11 	 14 	 116 	 45 	 1 	0	0
96年 2月	 15 	 2 	 5 	 11 	 205 	 62 	0	0	0
96年 3月	 11 	0	 11 	 9 	 142 	 48 	 1 	 1 	0
96年 4月	 15 	0	 14 	 12 	 101 	 28 	 1 	0	0
96年 5月	 12 	0	 11 	 17 	 170 	 51 	 1 	 1 	0
96年 6月	 5 	0	0	 10 	 164 	 55 	 3 	0	0
96年 7月	 5 	0	 16 	 11 	 178 	 76 	 1 	0	0
96年 8月	 3 	0	 17 	 13 	 207 	 65 	 2 	0	0
96年 9月	 6 	0	 11 	 9 	 222 	 71 	 1 	0	0
96年 10月	 11 	0	 12 	 14 	 189 	 88 	 1 	0	0
96年 11月	 6 	0	 11 	 10 	 189 	 61 	 2 	0	0
96年 12月	 11 	0	 8 	 8 	 204 	 63 	 2 	0	0
97年	 110 	 1 	 54 	 108 	 1,823 	 513 	 11 	 1 	0
97年 1月	 3 	0	 6 	 15 	 139 	 39 	 2 	0	0
97年 2月	 5 	0	 4 	 15 	 144 	 38 	0	 1 	0
97年 3月	 6 	0	 8 	 1 	 185 	 29 	0	0	0
97年 4月	 21 	0	 2 	 9 	 177 	 42 	 3 	0	0
97年 5月	 8 	0	 4 	 13 	 176 	 43 	 1 	0	0
97年 6月	 33 	 1 	 6 	 12 	 149 	 45 	0	0	0
97年 7月	 5 	0	 7 	 12 	 192 	 70 	0	0	0
97年 8月	 3 	0	 6 	 11 	 229 	 74 	 3 	0	0
97年 9月	 5 	0	 4 	 6 	 102 	 40 	0	0	0
97年 10月	 8 	0	 3 	 9 	 116 	 42 	 1 	0	0
97年 11月	 2 	0	 2 	 3 	 128 	 30 	0	0	0
97年 12月	 11 	0	 2 	 2 	 86 	 21 	 1 	0	0
98年	 63 	 2 	 37 	 68 	 1,355 	 560 	 22 	 1 	0
98年 1月	 2 	 1 	 5 	 10 	 107 	 25 	 1 	0	0
98年 2月	 4 	0	 3 	 2 	 103 	 46 	 1 	0	0
98年 3月	 8 	0	 2 	 1 	 122 	 54 	 2 	0	0
98年 4月	 7 	0	0	 8 	 125 	 49 	 5 	 1 	0
98年 5月	 2 	0	 5 	 8 	 117 	 42 	0	0	0
98年 6月	 3 	0	 3 	 5 	 56 	 30 	 2 	0	0
98年 7月	 12 	0	 3 	 7 	 193 	 80 	 4 	0	0
98年 8月	 8 	 1 	 5 	 5 	 161 	 58 	 3 	0	0
98年 9月	 5 	0	 6 	 3 	 91 	 34 	 3 	0	0
98年 10月	 7 	0	 1 	 8 	 127 	 40 	0	0	0
98年 11月	 2 	0	 3 	 7 	 110 	 63 	0	0	0
98年 12月	 3 	0	 1 	 4 	 43 	 39 	 1 	0	0
99年	 45 	 1 	 37 	 60 	 1,006 	 698 	 60 	0	0
99年 1月	 2 	0	 6 	 5 	 71 	 33 	 2 	0	0
99年 2月	 1 	0	 1 	 9 	 76 	 44 	 1 	0	0
99年 3月	 6 	0	0	 2 	 105 	 64 	 11 	0	0
99年 4月	 5 	0	 4 	 2 	 124 	 58 	 3 	0	0
99年 5月	 3 	0	 3 	 7 	 87 	 68 	 3 	0	0
99年 6月	 2 	0	 2 	 4 	 61 	 33 	 5 	0	0
99年 7月	 9 	0	 5 	 4 	 132 	 76 	 17 	0	0
99年 8月	 3 	0	 4 	 3 	 97 	 95 	 6 	0	0
99年 9月	 2 	 1 	 4 	 10 	 66 	 54 	 5 	0	0
99年 10月	 7 	0	 3 	 6 	 85 	 57 	 2 	0	0
99年 11月	 4 	0	 2 	 4 	 74 	 85 	 3 	0	0
99年 12月	 1 	0	 3 	 4 	 28 	 31 	 2 	0	0
100年	0	0	0	0	0	0	0	0	0
100年 1月	0	0	0	0	0	0	0	0	0
100年 2月	0	0	0	0	0	0	0	0	0
100年 3月	0	0	0	0	0	0	0	0	0
100年 4月	0	0	0	0	0	0	0	0	0
100年 5月	0	0	0	0	0	0	0	0	0
100年 6月	0	0	0	0	0	0	0	0	0
100年 7月	0	0	0	0	0	0	0	0	0
100年 8月	0	0	0	0	0	0	0	0	0
100年 9月	0	0	0	0	0	0	0	0	0
100年 10月	0	0	0	0	0	0	0	0	0
100年 11月	0	0	0	0	0	0	0	0	0
100年 12月	0	0	0	0	0	0	0	0	0
