時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 373 	 13 	 53 	 155 	 1,667 	 2,440 	 1 	0	 28 
89年 1月	 13 	 2 	 4 	 16 	 224 	 413 	0	0	 3 
89年 2月	 13 	 4 	0	 8 	 195 	 383 	0	0	 5 
89年 3月	 6 	 1 	 6 	 10 	 119 	 198 	0	0	 3 
89年 4月	 15 	 1 	 4 	 12 	 138 	 148 	 1 	0	 1 
89年 5月	 25 	 1 	 3 	 11 	 129 	 212 	0	0	 2 
89年 6月	 89 	 1 	 1 	 11 	 107 	 156 	0	0	 3 
89年 7月	 44 	 1 	 1 	 13 	 128 	 183 	0	0	 3 
89年 8月	 23 	 1 	 7 	 9 	 139 	 162 	0	0	 2 
89年 9月	 22 	0	 4 	 12 	 110 	 154 	0	0	 2 
89年 10月	 24 	0	 10 	 13 	 158 	 184 	0	0	0
89年 11月	 60 	 1 	 4 	 16 	 121 	 149 	0	0	 3 
89年 12月	 39 	0	 9 	 24 	 99 	 98 	0	0	 1 
90年	 274 	 12 	 97 	 211 	 1,495 	 1,058 	 3 	0	 98 
90年 1月	 68 	0	 7 	 13 	 132 	 150 	 1 	0	 2 
90年 2月	 93 	0	 6 	 11 	 73 	 106 	0	0	 1 
90年 3月	 14 	0	 8 	 19 	 100 	 125 	0	0	0
90年 4月	 12 	0	 3 	 20 	 80 	 79 	0	0	 5 
90年 5月	 17 	0	 10 	 17 	 123 	 124 	0	0	 5 
90年 6月	 10 	 2 	 6 	 13 	 99 	 104 	0	0	 2 
90年 7月	 5 	 1 	 11 	 15 	 109 	 80 	0	0	 26 
90年 8月	 13 	 2 	 10 	 24 	 171 	 80 	0	0	 22 
90年 9月	 5 	 5 	 3 	 10 	 166 	 83 	 1 	0	 7 
90年 10月	 4 	 2 	 9 	 23 	 160 	 40 	0	0	 14 
90年 11月	 14 	0	 11 	 25 	 138 	 48 	0	0	 10 
90年 12月	 19 	0	 13 	 21 	 144 	 39 	 1 	0	 4 
91年	 384 	 16 	 214 	 276 	 1,769 	 715 	 4 	0	 132 
91年 1月	 7 	 1 	 11 	 23 	 95 	 26 	0	0	 7 
91年 2月	 70 	 1 	 8 	 13 	 151 	 44 	 2 	0	 9 
91年 3月	 11 	 1 	 9 	 20 	 110 	 39 	 1 	0	 14 
91年 4月	 33 	 1 	 18 	 17 	 116 	 58 	0	0	 8 
91年 5月	 45 	0	 15 	 17 	 136 	 54 	0	0	 5 
91年 6月	 49 	 2 	 16 	 28 	 138 	 55 	0	0	 13 
91年 7月	 36 	 2 	 23 	 29 	 148 	 84 	0	0	 7 
91年 8月	 41 	 3 	 9 	 39 	 186 	 88 	0	0	 14 
91年 9月	 22 	 3 	 28 	 27 	 181 	 80 	 1 	0	 24 
91年 10月	 18 	 2 	 24 	 19 	 177 	 74 	0	0	 16 
91年 11月	 19 	0	 30 	 24 	 169 	 59 	0	0	 8 
91年 12月	 33 	0	 23 	 20 	 162 	 54 	0	0	 7 
92年	 368 	 11 	 143 	 323 	 1,941 	 548 	 7 	0	 51 
92年 1月	 25 	 1 	 20 	 26 	 266 	 60 	0	0	 2 
92年 2月	 35 	0	 10 	 24 	 111 	 31 	0	0	 1 
92年 3月	 21 	 1 	 5 	 30 	 176 	 64 	0	0	 3 
92年 4月	 48 	 2 	 10 	 20 	 187 	 33 	0	0	0
92年 5月	 19 	 1 	 10 	 26 	 215 	 47 	0	0	 2 
92年 6月	 38 	 1 	 19 	 26 	 179 	 44 	0	0	0
92年 7月	 32 	0	 10 	 30 	 151 	 43 	 3 	0	 4 
92年 8月	 17 	 1 	 11 	 25 	 153 	 60 	 2 	0	 2 
92年 9月	 30 	0	 14 	 28 	 118 	 40 	0	0	 3 
92年 10月	 10 	0	 11 	 39 	 150 	 38 	 1 	0	 14 
92年 11月	 25 	 2 	 16 	 25 	 124 	 57 	0	0	 11 
92年 12月	 68 	 2 	 7 	 24 	 111 	 31 	 1 	0	 9 
93年	 308 	 16 	 163 	 202 	 3,016 	 857 	 12 	0	 160 
93年 1月	 36 	 2 	 15 	 18 	 177 	 63 	0	0	 12 
93年 2月	 22 	0	 10 	 13 	 184 	 54 	0	0	 17 
93年 3月	 29 	 1 	 10 	 16 	 189 	 45 	 1 	0	 13 
93年 4月	 30 	 3 	 23 	 21 	 175 	 46 	 2 	0	 8 
93年 5月	 23 	 1 	 8 	 29 	 205 	 40 	0	0	 5 
93年 6月	 20 	0	 13 	 12 	 195 	 55 	0	0	 11 
93年 7月	 6 	 3 	 8 	 15 	 270 	 72 	 1 	0	 10 
93年 8月	 12 	 2 	 12 	 11 	 313 	 105 	 1 	0	 19 
93年 9月	 23 	 1 	 22 	 11 	 318 	 89 	0	0	 13 
93年 10月	 21 	 2 	 15 	 19 	 278 	 90 	 3 	0	 16 
93年 11月	 75 	 1 	 11 	 19 	 402 	 122 	 3 	0	 20 
93年 12月	 11 	0	 16 	 18 	 310 	 76 	 1 	0	 16 
94年	 202 	 12 	 162 	 206 	 3,786 	 1,092 	 7 	 2 	 215 
94年 1月	 11 	 1 	 10 	 21 	 462 	 136 	 2 	 1 	 4 
94年 2月	 15 	 1 	 10 	 21 	 281 	 95 	0	0	 2 
94年 3月	 23 	0	 19 	 23 	 358 	 103 	0	0	 5 
94年 4月	 15 	 2 	 17 	 23 	 321 	 95 	0	0	 50 
94年 5月	 17 	 1 	 18 	 13 	 371 	 90 	0	 1 	 55 
94年 6月	 27 	 1 	 10 	 16 	 301 	 88 	 1 	0	 48 
94年 7月	 18 	 1 	 8 	 16 	 336 	 134 	0	0	 4 
94年 8月	 17 	 2 	 16 	 17 	 342 	 101 	 1 	0	 15 
94年 9月	 17 	0	 18 	 20 	 294 	 99 	0	0	 6 
94年 10月	 20 	 1 	 13 	 10 	 274 	 60 	 1 	0	 12 
94年 11月	 13 	0	 13 	 14 	 271 	 62 	0	0	 12 
94年 12月	 9 	 2 	 10 	 12 	 175 	 29 	 2 	0	 2 
