時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 57 	 38 	0	 304 	 172 	0	 63 	 7 	 8 
89年 1月	 9 	 3 	0	 22 	 7 	0	 9 	 2 	 1 
89年 2月	 2 	 1 	0	 24 	 14 	0	 4 	0	0
89年 3月	 4 	 3 	0	 15 	 2 	0	 4 	 1 	 3 
89年 4月	 2 	 3 	0	 18 	 6 	0	 7 	0	0
89年 5月	 5 	 4 	0	 12 	 4 	0	 2 	0	0
89年 6月	 2 	 2 	0	 16 	 5 	0	 5 	0	0
89年 7月	 3 	 5 	0	 73 	 29 	0	 6 	0	 2 
89年 8月	 7 	 3 	0	 37 	 37 	0	 2 	 4 	 1 
89年 9月	 5 	 2 	0	 18 	 10 	0	 1 	0	0
89年 10月	 5 	 3 	0	 25 	 23 	0	 9 	0	 1 
89年 11月	 8 	 5 	0	 16 	 19 	0	 5 	0	0
89年 12月	 5 	 4 	0	 28 	 16 	0	 9 	0	0
90年	 75 	 51 	0	 239 	 446 	0	 47 	 19 	 7 
90年 1月	 5 	 3 	0	 43 	 59 	0	 4 	 2 	0
90年 2月	 12 	 4 	0	 16 	 34 	0	 4 	 3 	0
90年 3月	 5 	 1 	0	 13 	 37 	0	 3 	 1 	 2 
90年 4月	 8 	 5 	0	 20 	 20 	0	0	 3 	 1 
90年 5月	 8 	 5 	0	 20 	 26 	0	 6 	 5 	 1 
90年 6月	 8 	 5 	0	 11 	 52 	0	 4 	0	 2 
90年 7月	 4 	 4 	0	 20 	 67 	0	 6 	0	 1 
90年 8月	 3 	 6 	0	 22 	 17 	0	 4 	 1 	0
90年 9月	 7 	 4 	0	 14 	 23 	0	 5 	 1 	0
90年 10月	 4 	 7 	0	 21 	 58 	0	 5 	 1 	0
90年 11月	 7 	 4 	0	 16 	 12 	0	 4 	 1 	0
90年 12月	 4 	 3 	0	 23 	 41 	0	 2 	 1 	0
91年	 83 	 49 	0	 330 	 594 	0	 71 	 36 	 9 
91年 1月	 13 	 5 	0	 14 	 14 	0	 3 	 3 	0
91年 2月	 4 	 4 	0	 58 	 109 	0	 5 	 1 	 1 
91年 3月	 5 	 4 	0	 27 	 61 	0	 3 	0	 1 
91年 4月	 5 	 4 	0	 11 	 27 	0	 3 	 2 	 2 
91年 5月	 6 	 4 	0	 15 	 18 	0	 12 	 2 	 1 
91年 6月	 5 	 6 	0	 20 	 30 	0	 15 	0	 1 
91年 7月	 8 	 2 	0	 20 	 61 	0	 9 	 2 	 1 
