時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 13 	 2 	0	 4 	 249 	 9 	 29 	 1,179 	0
89年 1月	0	0	0	 1 	 6 	0	 2 	 78 	0
89年 2月	0	0	0	 1 	 2 	0	 2 	 58 	0
89年 3月	 1 	0	0	0	 20 	0	 3 	 40 	0
89年 4月	 1 	0	0	0	 19 	 1 	 2 	 49 	0
89年 5月	 7 	0	0	0	 23 	0	 2 	 56 	0
89年 6月	 1 	 1 	0	0	 14 	 1 	0	 69 	0
89年 7月	 2 	0	0	0	 18 	 1 	 2 	 117 	0
89年 8月	 1 	 1 	0	0	 10 	 1 	 1 	 120 	0
89年 9月	0	0	0	0	 18 	 1 	0	 149 	0
89年 10月	0	0	0	 1 	 54 	 1 	 7 	 122 	0
89年 11月	0	0	0	 1 	 20 	 1 	 7 	 147 	0
89年 12月	0	0	0	0	 45 	 2 	 1 	 174 	0
90年	 21 	 3 	0	 9 	 383 	 4 	 27 	 2,456 	0
90年 1月	0	0	0	 3 	 26 	 1 	 1 	 194 	0
90年 2月	0	0	0	0	 29 	0	 1 	 158 	0
90年 3月	0	0	0	0	 26 	0	 4 	 191 	0
90年 4月	0	0	0	0	 30 	0	 4 	 213 	0
90年 5月	 1 	0	0	 1 	 43 	 1 	 1 	 192 	0
90年 6月	0	 1 	0	0	 47 	0	 2 	 150 	0
90年 7月	 2 	0	0	 2 	 23 	0	 3 	 218 	0
90年 8月	 4 	0	0	0	 47 	0	 3 	 206 	0
90年 9月	 3 	0	0	 2 	 24 	0	 3 	 242 	0
90年 10月	 4 	0	0	0	 29 	 1 	 1 	 241 	0
90年 11月	 4 	 1 	0	0	 36 	 1 	0	 215 	0
90年 12月	 3 	 1 	0	 1 	 23 	0	 4 	 236 	0
91年	 13 	 1 	0	 1 	 468 	 18 	 56 	 3,230 	 4 
91年 1月	 1 	0	0	0	 50 	 1 	 2 	 261 	0
91年 2月	 1 	0	0	0	 32 	0	 2 	 247 	0
91年 3月	0	0	0	0	 52 	 4 	 3 	 297 	0
91年 4月	0	0	0	0	 34 	 1 	 8 	 288 	0
91年 5月	 1 	0	0	0	 44 	 4 	 3 	 285 	0
91年 6月	 1 	0	0	0	 18 	0	 6 	 237 	0
91年 7月	 1 	0	0	0	 35 	 1 	 5 	 258 	0
91年 8月	 4 	0	0	0	 47 	 2 	 6 	 285 	0
91年 9月	 2 	0	0	0	 50 	 2 	 5 	 271 	0
91年 10月	 1 	0	0	0	 39 	0	 10 	 266 	0
91年 11月	 1 	0	0	0	 32 	 1 	 1 	 295 	 4 
91年 12月	0	 1 	0	 1 	 35 	 2 	 5 	 240 	0
92年	 18 	 6 	0	 9 	 269 	 10 	 156 	 3,529 	0
92年 1月	 7 	0	0	 1 	 66 	 3 	 10 	 278 	0
92年 2月	 6 	0	0	 3 	 34 	 1 	 14 	 211 	0
92年 3月	 1 	0	0	 1 	 32 	 5 	 27 	 229 	0
92年 4月	0	0	0	 1 	 22 	 1 	 8 	 275 	0
92年 5月	 1 	 2 	0	0	 21 	0	 9 	 254 	0
92年 6月	 1 	 3 	0	0	 16 	0	 22 	 336 	0
92年 7月	 2 	0	0	0	 17 	0	 14 	 337 	0
92年 8月	0	0	0	 2 	 21 	0	 12 	 381 	0
92年 9月	0	0	0	0	 14 	0	 7 	 350 	0
92年 10月	0	 1 	0	0	 6 	0	 8 	 347 	0
92年 11月	0	0	0	 1 	 9 	0	 11 	 287 	0
92年 12月	0	0	0	0	 11 	0	 14 	 244 	0
93年	 8 	 5 	0	 10 	 90 	0	 79 	 4,259 	0
93年 1月	 2 	0	0	 1 	 3 	0	 5 	 294 	0
93年 2月	 1 	0	0	 2 	 8 	0	 7 	 259 	0
93年 3月	 2 	0	0	0	 4 	0	 9 	 254 	0
93年 4月	0	0	0	 3 	 5 	0	 8 	 293 	0
93年 5月	 1 	 1 	0	0	 11 	0	 5 	 393 	0
93年 6月	 1 	 1 	0	0	 6 	0	 5 	 372 	0
93年 7月	0	0	0	 1 	 7 	0	 8 	 300 	0
93年 8月	 1 	0	0	0	 8 	0	 3 	 400 	0
93年 9月	0	 1 	0	0	 5 	0	 1 	 442 	0
93年 10月	0	0	0	 1 	 11 	0	 13 	 405 	0
93年 11月	0	 2 	0	0	 13 	0	 5 	 427 	0
93年 12月	0	0	0	 2 	 9 	0	 10 	 420 	0
94年	 3 	 5 	0	 6 	 155 	0	 83 	 4,896 	0
94年 1月	0	0	0	0	 9 	0	 6 	 498 	0
94年 2月	0	0	0	 1 	 10 	0	 6 	 390 	0
94年 3月	0	0	0	 3 	 15 	0	 8 	 432 	0
94年 4月	0	 1 	0	0	 9 	0	 9 	 388 	0
94年 5月	 1 	 1 	0	0	 24 	0	 8 	 456 	0
94年 6月	0	 1 	0	0	 15 	0	 10 	 416 	0
94年 7月	0	0	0	0	 21 	0	 4 	 419 	0
94年 8月	 1 	0	0	0	 13 	0	 8 	 400 	0
94年 9月	0	0	0	0	 6 	0	 7 	 349 	0
94年 10月	0	 1 	0	 2 	 8 	0	 9 	 398 	0
94年 11月	 1 	 1 	0	0	 11 	0	 6 	 377 	0
94年 12月	0	0	0	0	 14 	0	 2 	 373 	0
95年	 2 	 1 	0	 6 	 232 	0	 88 	 4,998 	0
95年 1月	0	0	0	0	 22 	0	 1 	 455 	0
95年 2月	0	0	0	 1 	 6 	0	 2 	 460 	0
95年 3月	0	0	0	0	 14 	0	0	 445 	0
95年 4月	0	0	0	 2 	 18 	0	 11 	 389 	0
95年 5月	0	0	0	0	 8 	0	 10 	 389 	0
95年 6月	0	0	0	0	 30 	0	 11 	 326 	0
95年 7月	 1 	0	0	 1 	 10 	0	 2 	 396 	0
95年 8月	0	0	0	0	 29 	0	 5 	 416 	0
95年 9月	0	0	0	0	 26 	0	 8 	 409 	0
95年 10月	0	0	0	 2 	 18 	0	 8 	 429 	0
95年 11月	 1 	 1 	0	0	 18 	0	 9 	 407 	0
95年 12月	0	0	0	0	 33 	0	 21 	 477 	0
96年	 2 	 7 	0	 14 	 434 	0	 157 	 6,035 	0
96年 1月	0	 1 	0	 1 	 52 	0	 11 	 643 	0
96年 2月	0	 1 	0	0	 26 	0	 11 	 561 	0
96年 3月	 1 	 1 	0	 4 	 55 	0	 13 	 513 	0
96年 4月	 1 	0	0	 1 	 41 	0	 26 	 465 	0
96年 5月	0	0	0	 3 	 25 	0	 8 	 501 	0
96年 6月	0	 2 	0	0	 32 	0	 7 	 423 	0
96年 7月	0	0	0	0	 16 	0	 6 	 481 	0
96年 8月	0	 1 	0	 1 	 25 	0	 13 	 488 	0
96年 9月	0	0	0	0	 17 	0	 2 	 670 	0
96年 10月	0	 1 	0	0	 83 	0	 27 	 504 	0
96年 11月	0	0	0	 1 	 31 	0	 14 	 406 	0
96年 12月	0	0	0	 3 	 31 	0	 19 	 380 	0
97年	 2 	0	0	 10 	 259 	0	 207 	 4,694 	0
97年 1月	0	0	0	0	 26 	0	 30 	 396 	0
97年 2月	0	0	0	0	 12 	0	 6 	 497 	0
97年 3月	0	0	0	 3 	 16 	0	 14 	 421 	0
97年 4月	0	0	0	 3 	 16 	0	 17 	 478 	0
97年 5月	0	0	0	 2 	 18 	0	 19 	 390 	0
97年 6月	0	0	0	0	 33 	0	 32 	 447 	0
97年 7月	0	0	0	0	 16 	0	 11 	 442 	0
97年 8月	 1 	0	0	 1 	 29 	0	 12 	 511 	0
97年 9月	0	0	0	0	 24 	0	 25 	 326 	0
97年 10月	 1 	0	0	0	 24 	0	 18 	 272 	0
97年 11月	0	0	0	0	 17 	0	 5 	 244 	0
97年 12月	0	0	0	 1 	 28 	0	 18 	 270 	0
98年	 1 	 2 	0	 7 	 316 	0	 145 	 2,152 	0
98年 1月	0	0	0	0	 10 	0	 2 	 407 	0
98年 2月	0	0	0	 2 	 14 	0	 3 	 328 	0
98年 3月	0	0	0	0	 35 	0	 21 	 325 	0
98年 4月	0	0	0	0	 23 	0	 6 	 327 	0
98年 5月	 1 	0	0	0	 24 	0	 14 	 115 	0
98年 6月	0	0	0	 1 	 31 	0	 35 	 71 	0
98年 7月	0	 1 	0	 2 	 30 	0	 9 	 92 	0
98年 8月	0	0	0	0	 29 	0	 5 	 80 	0
98年 9月	0	0	0	0	 33 	0	 17 	 75 	0
98年 10月	0	0	0	 2 	 33 	0	 25 	 100 	0
98年 11月	0	 1 	0	0	 28 	0	 2 	 146 	0
98年 12月	0	0	0	0	 26 	0	 6 	 86 	0
99年	 1 	 67 	0	 11 	 197 	0	 124 	 2,306 	0
99年 1月	0	0	0	 1 	 13 	0	 2 	 243 	0
99年 2月	0	0	0	 2 	 15 	0	 6 	 236 	0
99年 3月	0	0	0	0	 21 	0	 26 	 237 	0
99年 4月	0	 3 	0	0	 16 	0	 9 	 199 	0
99年 5月	 1 	 17 	0	 1 	 12 	0	 7 	 203 	0
