時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
89年	 5 	 106 	0	0	 4 	0	 1 	0	0
89年 1月	0	 10 	0	0	0	0	0	0	0
89年 2月	0	 17 	0	0	0	0	0	0	0
89年 3月	0	 8 	0	0	0	0	0	0	0
89年 4月	0	 12 	0	0	0	0	0	0	0
89年 5月	0	 7 	0	0	0	0	0	0	0
89年 6月	0	 2 	0	0	0	0	0	0	0
89年 7月	 1 	 7 	0	0	0	0	0	0	0
89年 8月	0	 5 	0	0	 1 	0	0	0	0
89年 9月	0	 7 	0	0	0	0	0	0	0
89年 10月	 1 	 7 	0	0	 1 	0	0	0	0
89年 11月	 2 	 9 	0	0	0	0	0	0	0
89年 12月	 1 	 15 	0	0	 2 	0	 1 	0	0
90年	 14 	 106 	 16 	 2 	 7 	 2 	0	0	0
90年 1月	0	 12 	0	0	 1 	0	0	0	0
90年 2月	0	 7 	0	0	0	0	0	0	0
90年 3月	 1 	 8 	0	0	 1 	0	0	0	0
90年 4月	 2 	 10 	0	0	0	0	0	0	0
90年 5月	 2 	 6 	0	0	0	0	0	0	0
90年 6月	 1 	 2 	0	0	0	 1 	0	0	0
90年 7月	 2 	 10 	0	 1 	 1 	0	0	0	0
90年 8月	0	 5 	0	0	 1 	 1 	0	0	0
90年 9月	0	 14 	0	0	0	0	0	0	0
90年 10月	 2 	 11 	0	 1 	 2 	0	0	0	0
90年 11月	 3 	 11 	 12 	0	 1 	0	0	0	0
90年 12月	 1 	 10 	 4 	0	0	0	0	0	0
91年	 13 	 24 	 83 	 1 	 8 	0	 1 	 1 	0
91年 1月	0	 14 	 21 	0	0	0	0	 1 	0
91年 2月	 2 	 3 	 2 	0	0	0	0	0	0
91年 3月	 3 	 2 	0	0	0	0	0	0	0
91年 4月	 2 	0	 1 	0	 1 	0	 1 	0	0
91年 5月	0	 1 	 16 	0	0	0	0	0	0
91年 6月	0	 1 	 39 	0	0	0	0	0	0
91年 7月	 2 	 2 	 4 	0	0	0	0	0	0
91年 8月	0	0	0	0	 2 	0	0	0	0
91年 9月	0	 1 	0	 1 	 2 	0	0	0	0
91年 10月	 1 	0	0	0	 1 	0	0	0	0
91年 11月	 2 	0	0	0	 1 	0	0	0	0
91年 12月	 1 	0	0	0	 1 	0	0	0	0
92年	 20 	 5 	 1 	 1 	 11 	0	 2 	0	0
92年 1月	 1 	 1 	0	0	0	0	 1 	0	0
92年 2月	0	0	0	0	0	0	0	0	0
92年 3月	 1 	0	0	0	 1 	0	0	0	0
92年 4月	 3 	 1 	0	0	 1 	0	0	0	0
92年 5月	 1 	0	0	0	0	0	0	0	0
92年 6月	 3 	 1 	0	0	0	0	 1 	0	0
92年 7月	 1 	0	 1 	0	 1 	0	0	0	0
92年 8月	 1 	0	0	0	 2 	0	0	0	0
92年 9月	 3 	 1 	0	0	 2 	0	0	0	0
92年 10月	 2 	0	0	 1 	 2 	0	0	0	0
92年 11月	 4 	0	0	0	 1 	0	0	0	0
92年 12月	0	 1 	0	0	 1 	0	0	0	0
93年	 34 	 4 	 49 	 4 	 8 	 4 	 1 	 2 	0
93年 1月	 2 	0	0	0	 1 	0	0	0	0
93年 2月	 4 	0	0	0	 1 	0	 1 	0	0
93年 3月	 5 	0	 13 	 1 	0	0	0	0	0
93年 4月	 3 	 1 	0	0	0	0	0	0	0
93年 5月	 4 	0	0	0	 1 	0	0	0	0
93年 6月	 2 	0	0	0	0	0	0	 1 	0
93年 7月	 2 	 1 	0	 1 	 4 	 1 	0	0	0
93年 8月	 3 	0	0	0	 1 	0	0	0	0
93年 9月	 1 	0	0	 2 	0	0	0	 1 	0
93年 10月	 1 	 2 	0	0	0	 1 	0	0	0
93年 11月	 3 	0	 4 	0	0	0	0	0	0
93年 12月	 4 	0	 32 	0	0	 2 	0	0	0
94年	 29 	 9 	 94 	 6 	 14 	0	 1 	 1 	0
94年 1月	 1 	0	0	 1 	 1 	0	0	0	0
94年 2月	 1 	 1 	0	 1 	 3 	0	0	0	0
94年 3月	 3 	0	0	0	 2 	0	0	0	0
94年 4月	 4 	 2 	0	 1 	 1 	0	0	 1 	0
94年 5月	 4 	0	0	0	 1 	0	0	0	0
94年 6月	 3 	0	0	0	 1 	0	0	0	0
94年 7月	 2 	 2 	0	 1 	0	0	0	0	0
94年 8月	 3 	 1 	 2 	 1 	 1 	0	 1 	0	0
94年 9月	 3 	 1 	0	0	0	0	0	0	0
94年 10月	 1 	0	 10 	0	 2 	0	0	0	0
94年 11月	 3 	 1 	 43 	 1 	 1 	0	0	0	0
94年 12月	 1 	 1 	 39 	0	 1 	0	0	0	0
95年	 51 	 5 	 44 	 2 	 16 	0	 1 	 2 	0
95年 1月	 2 	0	 1 	0	 2 	0	0	0	0
95年 2月	 4 	 2 	 1 	0	 1 	0	0	0	0
95年 3月	 6 	0	0	0	 2 	0	0	0	0
95年 4月	 5 	0	 2 	0	0	0	0	0	0
95年 5月	 4 	0	 8 	0	 1 	0	0	0	0
95年 6月	 5 	0	 31 	0	 2 	0	0	0	0
95年 7月	 1 	0	0	0	 4 	0	0	0	0
95年 8月	 8 	0	 1 	 1 	0	0	0	0	0
95年 9月	 3 	 2 	0	 1 	 1 	0	 1 	0	0
95年 10月	 7 	0	0	0	 1 	0	0	 1 	0
95年 11月	 3 	 1 	0	0	 1 	0	0	0	0
95年 12月	 3 	0	0	0	 1 	0	0	 1 	0
96年	 84 	 5 	 6 	 6 	 9 	 2 	 1 	 6 	0
96年 1月	 7 	0	0	0	 1 	 1 	 1 	0	0
96年 2月	 2 	0	0	0	 2 	 1 	0	0	0
96年 3月	 6 	 1 	0	 1 	 2 	0	0	 1 	0
96年 4月	 7 	0	 1 	0	0	0	0	0	0
96年 5月	 4 	0	0	0	 1 	0	0	0	0
96年 6月	 10 	 1 	0	 1 	 2 	0	0	0	0
96年 7月	 9 	0	0	0	0	0	0	 1 	0
96年 8月	 8 	 1 	0	 2 	0	0	0	 2 	0
96年 9月	 3 	 1 	 1 	 2 	0	0	0	0	0
96年 10月	 8 	0	0	0	 1 	0	0	0	0
96年 11月	 10 	 1 	0	0	0	0	0	 1 	0
96年 12月	 10 	0	 4 	0	0	0	0	 1 	0
97年	 75 	 4 	 17 	 7 	 12 	 3 	 2 	 1 	0
97年 1月	 1 	0	 16 	0	 2 	0	0	0	0
97年 2月	 3 	 3 	 1 	0	 1 	0	0	0	0
97年 3月	 13 	0	0	 1 	 1 	 1 	 1 	0	0
97年 4月	 3 	0	0	0	0	0	0	0	0
97年 5月	 5 	0	0	0	0	0	0	0	0
97年 6月	 6 	 1 	0	0	 4 	0	0	0	0
97年 7月	 6 	0	0	 1 	 1 	 1 	0	0	0
97年 8月	 10 	0	0	0	0	0	 1 	0	0
97年 9月	 6 	0	0	 2 	 1 	 1 	0	0	0
97年 10月	 11 	0	0	 1 	 1 	0	0	0	0
97年 11月	 6 	0	0	 1 	0	0	0	0	0
97年 12月	 5 	0	0	 1 	 1 	0	0	 1 	0
98年	 74 	 2 	 1 	 22 	 4 	0	 1 	 1 	0
98年 1月	 6 	0	0	0	 1 	0	0	 1 	0
98年 2月	 6 	0	0	0	 1 	0	0	0	0
98年 3月	 8 	0	0	0	0	0	0	0	0
98年 4月	 8 	0	0	 5 	 1 	0	 1 	0	0
98年 5月	 4 	0	0	 4 	0	0	0	0	0
98年 6月	 6 	0	0	 1 	0	0	0	0	0
98年 7月	 7 	0	0	0	0	0	0	0	0
98年 8月	 7 	0	0	0	0	0	0	0	0
98年 9月	 2 	0	0	 3 	0	0	0	0	0
98年 10月	 5 	 2 	0	 2 	0	0	0	0	0
98年 11月	 5 	0	0	 2 	 1 	0	0	0	0
98年 12月	 10 	0	 1 	 5 	0	0	0	0	0
99年	 92 	0	 113 	 16 	 3 	0	0	0	0
99年 1月	 6 	0	0	 1 	0	0	0	0	0
99年 2月	 6 	0	0	 2 	 1 	0	0	0	0
99年 3月	 9 	0	0	0	0	0	0	0	0
99年 4月	 6 	0	0	 3 	 1 	0	0	0	0
99年 5月	 9 	0	0	 3 	0	0	0	0	0
99年 6月	 6 	0	 1 	0	 1 	0	0	0	0
99年 7月	 6 	0	0	 1 	0	0	0	0	0
99年 8月	 10 	0	0	 1 	0	0	0	0	0
99年 9月	 11 	0	 1 	 2 	0	0	0	0	0
99年 10月	 6 	0	 12 	 2 	0	0	0	0	0
99年 11月	 7 	0	 87 	 1 	0	0	0	0	0
99年 12月	 10 	0	 12 	0	0	0	0	0	0
100年	 134 	 1 	 9 	 16 	 4 	0	0	0	0
100年 1月	 6 	 1 	 4 	 1 	 1 	0	0	0	0
100年 2月	 7 	0	 3 	 1 	0	0	0	0	0
100年 3月	 10 	0	0	 2 	0	0	0	0	0
100年 4月	 8 	0	0	 2 	0	0	0	0	0
100年 5月	 7 	0	0	 5 	0	0	0	0	0
100年 6月	 7 	0	 1 	0	0	0	0	0	0
100年 7月	 19 	0	0	0	0	0	0	0	0
100年 8月	 20 	0	0	 3 	 2 	0	0	0	0
100年 9月	 15 	0	0	0	0	0	0	0	0
100年 10月	 5 	0	0	0	0	0	0	0	0
100年 11月	 13 	0	0	 2 	0	0	0	0	0
100年 12月	 17 	0	 1 	0	 1 	0	0	0	0
101年	 175 	 2 	 13 	 21 	 9 	 1 	 1 	 4 	0
101年 1月	 9 	0	 11 	 1 	0	0	0	 1 	0
101年 2月	 11 	0	0	 1 	0	0	0	0	0
101年 3月	 17 	0	 2 	 1 	 2 	0	0	0	0
101年 4月	 12 	0	0	0	0	0	0	0	0
101年 5月	 23 	0	0	0	0	0	0	0	0
101年 6月	 8 	0	0	 2 	 1 	0	0	0	0
101年 7月	 8 	 1 	0	 1 	 1 	0	0	 1 	0
101年 8月	 13 	0	0	 2 	0	 1 	0	 1 	0
101年 9月	 20 	0	0	 6 	0	0	0	 1 	0
101年 10月	 15 	0	0	 5 	 3 	0	 1 	0	0
101年 11月	 17 	0	0	0	 1 	0	0	0	0
101年 12月	 22 	 1 	0	 2 	 1 	0	0	0	0
102年	 199 	 3 	0	 21 	 7 	 1 	 1 	 1 	0
102年 1月	 15 	0	0	 1 	0	0	0	0	0
102年 2月	 10 	0	0	 1 	0	0	0	0	0
102年 3月	 17 	0	0	 4 	 1 	0	0	0	0
102年 4月	 13 	 1 	0	 1 	 1 	0	0	0	0
102年 5月	 19 	0	0	 2 	 2 	0	0	 1 	0
102年 6月	 17 	0	0	0	0	0	0	0	0
102年 7月	 20 	 1 	0	 1 	0	0	0	0	0
102年 8月	 16 	0	0	 2 	0	0	0	0	0
102年 9月	 13 	0	0	 3 	 1 	0	0	0	0
102年 10月	 15 	0	0	 1 	0	 1 	0	0	0
102年 11月	 19 	 1 	0	 5 	0	0	 1 	0	0
