時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 7 	0	0	 15 	 1 	 1 	0	 135 	 153 
89年 1月	0	0	0	0	0	0	0	 15 	 19 
89年 2月	0	0	0	 1 	0	0	0	 10 	 7 
89年 3月	 1 	0	0	0	0	0	0	 7 	 4 
89年 4月	0	0	0	 2 	0	0	0	 11 	 15 
89年 5月	 1 	0	0	 2 	0	0	0	 10 	 10 
89年 6月	0	0	0	 2 	0	 1 	0	 8 	 20 
89年 7月	0	0	0	0	0	0	0	 11 	 13 
89年 8月	0	0	0	 1 	 1 	0	0	 10 	 13 
89年 9月	0	0	0	 1 	0	0	0	 8 	 13 
89年 10月	 2 	0	0	 1 	0	0	0	 13 	 20 
89年 11月	 1 	0	0	 3 	0	0	0	 12 	 9 
89年 12月	 2 	0	0	 2 	0	0	0	 20 	 10 
90年	 22 	0	0	 15 	0	0	0	 115 	 238 
90年 1月	 1 	0	0	 4 	0	0	0	 12 	 9 
90年 2月	 1 	0	0	0	0	0	0	 16 	 11 
90年 3月	 1 	0	0	0	0	0	0	 6 	 22 
90年 4月	 3 	0	0	 1 	0	0	0	 14 	 19 
90年 5月	 3 	0	0	0	0	0	0	 10 	 19 
90年 6月	 1 	0	0	0	0	0	0	 10 	 16 
90年 7月	 5 	0	0	 2 	0	0	0	 11 	 9 
90年 8月	 3 	0	0	 1 	0	0	0	 7 	 26 
90年 9月	0	0	0	 2 	0	0	0	 8 	 16 
90年 10月	 4 	0	0	 2 	0	0	0	 9 	 25 
90年 11月	0	0	0	 3 	0	0	0	 3 	 33 
90年 12月	0	0	0	0	0	0	0	 9 	 33 
91年	 11 	0	0	 29 	0	0	0	 123 	 799 
91年 1月	0	0	0	 2 	0	0	0	 5 	 26 
91年 2月	0	0	0	 1 	0	0	0	 5 	 42 
91年 3月	0	0	0	 1 	0	0	0	 6 	 47 
91年 4月	 3 	0	0	 1 	0	0	0	 5 	 97 
91年 5月	 2 	0	0	 1 	0	0	0	 4 	 104 
91年 6月	 1 	0	0	 3 	0	0	0	 10 	 41 
91年 7月	0	0	0	 5 	0	0	0	 4 	 113 
91年 8月	0	0	0	 3 	0	0	0	 12 	 83 
91年 9月	 1 	0	0	 1 	0	0	0	 3 	 59 
91年 10月	 2 	0	0	 4 	0	0	0	 5 	 46 
91年 11月	 1 	0	0	 4 	0	0	0	 56 	 90 
91年 12月	 1 	0	0	 3 	0	0	0	 8 	 51 
92年	 18 	0	0	 23 	0	0	0	 116 	 600 
92年 1月	 1 	0	0	 2 	0	0	0	 14 	 86 
92年 2月	 2 	0	0	 1 	0	0	0	 3 	 61 
92年 3月	 3 	0	0	 3 	0	0	0	 9 	 47 
92年 4月	 1 	0	0	 2 	0	0	0	 11 	 46 
92年 5月	 2 	0	0	 3 	0	0	0	 13 	 37 
92年 6月	0	0	0	 3 	0	0	0	 4 	 33 
92年 7月	 1 	0	0	 2 	0	0	0	 7 	 61 
92年 8月	 4 	0	0	0	0	0	0	 8 	 60 
92年 9月	0	0	0	 2 	0	0	0	 12 	 42 
92年 10月	 3 	0	0	 1 	0	0	0	 9 	 42 
92年 11月	0	0	0	 1 	0	0	0	 13 	 66 
92年 12月	 1 	0	0	 3 	0	0	0	 13 	 19 
93年	 11 	0	0	 21 	0	 1 	 1 	 170 	 711 
93年 1月	 2 	0	0	 1 	0	0	0	 13 	 38 
93年 2月	0	0	0	 3 	0	0	0	 9 	 41 
93年 3月	 1 	0	0	 3 	0	0	0	 13 	 67 
93年 4月	 2 	0	0	0	0	 1 	0	 4 	 59 
93年 5月	 1 	0	0	 5 	0	0	 1 	 7 	 62 
93年 6月	 4 	0	0	 1 	0	0	0	 9 	 58 
93年 7月	0	0	0	 1 	0	0	0	 20 	 82 
93年 8月	0	0	0	 4 	0	0	0	 23 	 48 
93年 9月	0	0	0	0	0	0	0	 23 	 91 
93年 10月	0	0	0	 1 	0	0	0	 18 	 64 
93年 11月	 1 	0	0	0	0	0	0	 13 	 60 
93年 12月	0	0	0	 2 	0	0	0	 18 	 41 
94年	 10 	0	0	 28 	0	 1 	0	 134 	 520 
94年 1月	0	0	0	0	0	0	0	 9 	 45 
94年 2月	0	0	0	 2 	0	0	0	 13 	 42 
94年 3月	0	0	0	 2 	0	0	0	 5 	 37 
94年 4月	 1 	0	0	 2 	0	0	0	 21 	 61 
94年 5月	 3 	0	0	 2 	0	0	0	 14 	 52 
94年 6月	 1 	0	0	 3 	0	0	0	 12 	 35 
94年 7月	 1 	0	0	0	0	 1 	0	 16 	 44 
94年 8月	 2 	0	0	 1 	0	0	0	 12 	 68 
94年 9月	0	0	0	 3 	0	0	0	 10 	 48 
94年 10月	 2 	0	0	 3 	0	0	0	 5 	 43 
94年 11月	0	0	0	 4 	0	0	0	 10 	 24 
94年 12月	0	0	0	 6 	0	0	0	 7 	 21 
95年	 6 	0	0	 37 	0	 1 	0	 100 	 543 
95年 1月	 1 	0	0	 1 	0	0	0	 10 	 32 
95年 2月	 1 	0	0	 2 	0	0	0	 20 	 29 
95年 3月	 2 	0	0	 4 	0	0	0	 11 	 27 
95年 4月	0	0	0	 4 	0	0	0	 13 	 24 
95年 5月	0	0	0	 6 	0	0	0	 6 	 41 
95年 6月	0	0	0	 4 	0	0	0	 8 	 46 
95年 7月	0	0	0	 3 	0	0	0	 4 	 65 
95年 8月	0	0	0	 4 	0	0	0	 7 	 66 
95年 9月	 2 	0	0	 6 	0	0	0	 4 	 42 
95年 10月	0	0	0	 2 	0	0	0	 9 	 54 
95年 11月	0	0	0	 1 	0	 1 	0	 4 	 61 
95年 12月	0	0	0	0	0	0	0	 4 	 56 
96年	 3 	0	 1 	 38 	0	 1 	 1 	 66 	 1,014 
96年 1月	0	0	0	 4 	0	0	0	 5 	 78 
96年 2月	 2 	0	0	 5 	0	0	0	 6 	 61 
96年 3月	0	0	0	 4 	0	0	0	 5 	 90 
96年 4月	0	0	0	 1 	0	0	0	 2 	 77 
96年 5月	0	0	0	 1 	0	0	0	 6 	 116 
96年 6月	0	0	0	 2 	0	0	0	 5 	 73 
96年 7月	 1 	0	0	 4 	0	0	0	 5 	 116 
96年 8月	0	0	 1 	 1 	0	0	0	 5 	 121 
96年 9月	0	0	0	 2 	0	0	0	 9 	 88 
96年 10月	0	0	0	 7 	0	0	0	 6 	 62 
96年 11月	0	0	0	 4 	0	0	0	 4 	 77 
96年 12月	0	0	0	 3 	0	 1 	 1 	 8 	 55 
97年	 3 	0	0	 33 	0	0	0	 77 	 490 
97年 1月	 1 	0	0	 2 	0	0	0	 11 	 61 
97年 2月	0	0	0	 2 	0	0	0	 7 	 72 
97年 3月	0	0	0	 4 	0	0	0	 10 	 71 
97年 4月	0	0	0	 1 	0	0	0	 8 	 42 
97年 5月	 1 	0	0	 5 	0	0	0	 8 	 49 
97年 6月	0	0	0	 2 	0	0	0	 7 	 27 
97年 7月	0	0	0	 3 	0	0	0	 4 	 29 
97年 8月	 1 	0	0	 1 	0	0	0	 5 	 30 
97年 9月	0	0	0	 3 	0	0	0	 3 	 42 
97年 10月	0	0	0	 5 	0	0	0	 5 	 30 
97年 11月	0	0	0	 3 	0	0	0	 4 	 17 
