時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 19,933 	 2,500 	 243 	 371 	 5 	 1,311 	 925 	 179 	 60 
89年 1月	 1,794 	 247 	 18 	 39 	 1 	 108 	 76 	 17 	 8 
89年 2月	 1,153 	 164 	 9 	 27 	0	 68 	 30 	 12 	 3 
89年 3月	 1,512 	 207 	 14 	 44 	 1 	 94 	 54 	 15 	 7 
89年 4月	 1,548 	 192 	 16 	 29 	 1 	 96 	 72 	 16 	 3 
89年 5月	 1,918 	 200 	 17 	 53 	 1 	 129 	 77 	 13 	 2 
89年 6月	 1,734 	 190 	 12 	 29 	0	 108 	 51 	 18 	 5 
89年 7月	 1,861 	 278 	 29 	 16 	0	 121 	 93 	 20 	 2 
89年 8月	 1,773 	 266 	 39 	 31 	 1 	 127 	 97 	 17 	 4 
89年 9月	 1,714 	 172 	 17 	 24 	0	 118 	 53 	 14 	 7 
89年 10月	 1,697 	 223 	 22 	 33 	0	 121 	 106 	 17 	 7 
89年 11月	 1,715 	 184 	 23 	 22 	0	 122 	 98 	 8 	 4 
89年 12月	 1,514 	 177 	 27 	 24 	0	 99 	 118 	 12 	 8 
90年	 17,842 	 2,199 	 216 	 237 	 8 	 1,410 	 1,156 	 177 	 46 
90年 1月	 2,015 	 192 	 15 	 17 	0	 90 	 121 	 15 	 4 
90年 2月	 1,454 	 153 	 17 	 41 	0	 112 	 123 	 12 	 3 
90年 3月	 1,419 	 181 	 19 	 26 	 1 	 108 	 107 	 18 	 8 
90年 4月	 1,445 	 166 	 20 	 20 	 1 	 118 	 113 	 13 	 5 
90年 5月	 1,303 	 180 	 14 	 18 	 1 	 115 	 99 	 15 	 2 
90年 6月	 1,297 	 139 	 33 	 23 	0	 104 	 82 	 14 	 6 
90年 7月	 1,574 	 167 	 14 	 14 	0	 127 	 91 	 12 	0
90年 8月	 1,708 	 209 	 15 	 17 	 2 	 138 	 86 	 12 	 5 
90年 9月	 1,228 	 136 	 19 	 13 	0	 120 	 70 	 12 	 3 
90年 10月	 1,593 	 212 	 22 	 20 	0	 144 	 62 	 16 	 5 
90年 11月	 1,384 	 249 	 15 	 16 	 1 	 121 	 95 	 22 	 3 
90年 12月	 1,422 	 215 	 13 	 12 	 2 	 113 	 107 	 16 	 2 
91年	 18,597 	 2,460 	 237 	 224 	 12 	 1,393 	 1,500 	 197 	 86 
91年 1月	 1,321 	 212 	 8 	 14 	 2 	 90 	 103 	 11 	 4 
91年 2月	 1,998 	 251 	 34 	 29 	0	 86 	 61 	 19 	 7 
91年 3月	 1,120 	 204 	 31 	 24 	0	 123 	 92 	 17 	 6 
91年 4月	 1,264 	 197 	 32 	 20 	 1 	 122 	 107 	 16 	 6 
91年 5月	 1,317 	 209 	 18 	 21 	 1 	 97 	 143 	 17 	 7 
91年 6月	 1,536 	 191 	 15 	 17 	0	 131 	 135 	 18 	 8 
91年 7月	 1,899 	 178 	 23 	 16 	 4 	 124 	 169 	 22 	 6 
91年 8月	 1,751 	 221 	 17 	 24 	 1 	 128 	 142 	 20 	 7 
91年 9月	 1,548 	 212 	 13 	 17 	0	 97 	 128 	 13 	 11 
91年 10月	 1,700 	 221 	 21 	 15 	 1 	 157 	 115 	 12 	 3 
91年 11月	 1,618 	 184 	 19 	 14 	 1 	 122 	 149 	 10 	 9 
91年 12月	 1,525 	 180 	 6 	 13 	 1 	 116 	 156 	 22 	 12 
92年	 18,437 	 2,475 	 159 	 203 	 9 	 1,294 	 1,640 	 209 	 76 
92年 1月	 1,623 	 232 	 46 	 24 	 2 	 97 	 77 	 25 	 6 
92年 2月	 1,281 	 166 	 10 	 24 	0	 84 	 87 	 8 	 8 
92年 3月	 1,369 	 184 	 14 	 25 	 1 	 134 	 126 	 14 	 7 
92年 4月	 1,400 	 239 	 16 	 22 	0	 99 	 137 	 17 	 8 
92年 5月	 1,510 	 189 	 6 	 17 	 2 	 92 	 123 	 12 	 8 
92年 6月	 1,637 	 222 	 13 	 17 	0	 125 	 192 	 14 	 6 
92年 7月	 1,338 	 164 	 3 	 23 	 2 	 120 	 198 	 15 	 10 
92年 8月	 1,747 	 213 	 10 	 18 	0	 131 	 151 	 17 	 7 
92年 9月	 2,218 	 264 	 14 	 11 	0	 111 	 114 	 20 	 6 
92年 10月	 1,427 	 182 	 10 	 6 	0	 114 	 139 	 24 	 3 
92年 11月	 1,278 	 164 	 9 	 9 	0	 102 	 130 	 21 	 1 
92年 12月	 1,609 	 256 	 8 	 7 	 2 	 85 	 166 	 22 	 6 
93年	 20,195 	 2,563 	 119 	 120 	 11 	 1,045 	 2,264 	 173 	 56 
93年 1月	 1,645 	 251 	 8 	 9 	0	 68 	 85 	 7 	 4 
93年 2月	 1,507 	 206 	 13 	 18 	 1 	 85 	 133 	 7 	 5 
93年 3月	 1,265 	 195 	 8 	 7 	0	 77 	 150 	 15 	 4 
93年 4月	 1,491 	 195 	 10 	 12 	 1 	 66 	 133 	 10 	 7 
93年 5月	 1,593 	 223 	 15 	 6 	0	 77 	 255 	 14 	 7 
