時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 289 	 7 	 442 	 581 	 955 	 4,086 	 3 	0	 52 
89年 1月	 21 	0	 26 	 33 	 94 	 560 	0	0	 14 
89年 2月	 13 	0	 24 	 28 	 61 	 431 	0	0	 3 
89年 3月	 36 	 2 	 37 	 39 	 79 	 344 	0	0	 8 
89年 4月	 24 	 1 	 35 	 49 	 55 	 277 	0	0	 3 
89年 5月	 10 	0	 50 	 38 	 66 	 374 	0	0	 3 
89年 6月	 12 	0	 20 	 38 	 78 	 302 	0	0	 10 
89年 7月	 24 	0	 35 	 49 	 72 	 312 	0	0	 1 
89年 8月	 17 	 2 	 34 	 79 	 104 	 260 	 1 	0	 2 
89年 9月	 57 	 2 	 38 	 48 	 86 	 278 	 1 	0	 2 
89年 10月	 41 	0	 56 	 72 	 106 	 331 	0	0	 2 
89年 11月	 15 	0	 45 	 57 	 62 	 347 	 1 	0	 2 
89年 12月	 19 	0	 42 	 51 	 92 	 270 	0	0	 2 
90年	 308 	 10 	 523 	 503 	 1,036 	 2,416 	 12 	0	 370 
90年 1月	 22 	0	 51 	 46 	 100 	 301 	 2 	0	 15 
90年 2月	 31 	0	 61 	 50 	 89 	 222 	 1 	0	 10 
90年 3月	 18 	0	 48 	 40 	 77 	 239 	 2 	0	 11 
90年 4月	 21 	0	 50 	 47 	 81 	 235 	 4 	0	 9 
90年 5月	 28 	 3 	 40 	 43 	 107 	 244 	 1 	0	 5 
90年 6月	 18 	0	 37 	 29 	 84 	 229 	0	0	 6 
90年 7月	 21 	 2 	 43 	 49 	 81 	 138 	0	0	 40 
90年 8月	 22 	 1 	 29 	 44 	 90 	 190 	 1 	0	 57 
90年 9月	 26 	0	 43 	 43 	 90 	 161 	0	0	 41 
90年 10月	 30 	 2 	 29 	 43 	 81 	 173 	0	0	 53 
90年 11月	 40 	0	 44 	 37 	 86 	 169 	 1 	0	 61 
90年 12月	 31 	 2 	 48 	 32 	 70 	 115 	0	0	 62 
91年	 263 	 8 	 481 	 430 	 971 	 1,578 	 28 	0	 808 
91年 1月	 16 	0	 50 	 28 	 39 	 52 	 1 	0	 19 
91年 2月	 27 	 1 	 26 	 29 	 115 	 204 	0	0	 91 
91年 3月	 20 	0	 54 	 37 	 66 	 132 	 2 	0	 56 
91年 4月	 22 	0	 55 	 39 	 98 	 136 	 4 	0	 35 
91年 5月	 5 	 1 	 37 	 37 	 73 	 141 	 2 	0	 41 
91年 6月	 31 	0	 37 	 36 	 84 	 123 	 1 	0	 197 
91年 7月	 14 	 2 	 38 	 34 	 89 	 151 	0	0	 70 
91年 8月	 19 	0	 37 	 47 	 92 	 124 	 6 	0	 67 
91年 9月	 16 	0	 42 	 32 	 62 	 112 	 3 	0	 61 
91年 10月	 23 	 4 	 28 	 31 	 89 	 173 	 2 	0	 63 
91年 11月	 33 	0	 38 	 40 	 84 	 116 	 5 	0	 42 
91年 12月	 37 	0	 39 	 40 	 80 	 114 	 2 	0	 66 
92年	 457 	 13 	 547 	 536 	 1,020 	 1,296 	 18 	0	 546 
92年 1月	 22 	 2 	 47 	 37 	 109 	 151 	 1 	0	 61 
92年 2月	 14 	 1 	 39 	 35 	 54 	 100 	 3 	0	 47 
92年 3月	 8 	0	 43 	 32 	 77 	 143 	 2 	0	 50 
92年 4月	 20 	 1 	 31 	 53 	 100 	 132 	 1 	0	 54 
92年 5月	 72 	 2 	 36 	 40 	 102 	 106 	 2 	0	 51 
92年 6月	 50 	 2 	 54 	 44 	 99 	 96 	0	0	 61 
92年 7月	 13 	0	 47 	 44 	 66 	 107 	0	0	 57 
92年 8月	 44 	0	 47 	 52 	 65 	 81 	 1 	0	 43 
92年 9月	 25 	0	 48 	 52 	 70 	 112 	0	0	 41 
92年 10月	 57 	 3 	 51 	 55 	 92 	 104 	 1 	0	 37 
92年 11月	 42 	0	 56 	 51 	 99 	 76 	 4 	0	 20 
92年 12月	 90 	 2 	 48 	 41 	 87 	 88 	 3 	0	 24 
93年	 377 	 15 	 457 	 520 	 1,468 	 1,538 	 27 	0	 537 
93年 1月	 19 	0	 37 	 48 	 163 	 148 	 5 	0	 30 
93年 2月	 30 	 4 	 37 	 51 	 109 	 91 	 3 	0	 70 
93年 3月	 24 	0	 47 	 54 	 95 	 115 	0	0	 21 
93年 4月	 15 	 1 	 27 	 28 	 84 	 112 	 4 	0	 22 
93年 5月	 15 	 5 	 32 	 40 	 101 	 86 	 3 	0	 22 
93年 6月	 156 	 1 	 36 	 45 	 111 	 104 	 1 	0	 34 
93年 7月	 26 	 3 	 37 	 40 	 140 	 111 	 1 	0	 25 
93年 8月	 9 	0	 41 	 38 	 122 	 137 	 3 	0	 38 
93年 9月	 32 	0	 33 	 37 	 115 	 139 	 1 	0	 46 
93年 10月	 13 	0	 40 	 41 	 139 	 152 	 1 	0	 45 
93年 11月	 24 	 1 	 46 	 48 	 163 	 188 	 4 	0	 84 
93年 12月	 14 	0	 44 	 50 	 126 	 155 	 1 	0	 100 
94年	 328 	 12 	 454 	 522 	 2,320 	 2,554 	 22 	 1 	 80 
94年 1月	 12 	 2 	 17 	 37 	 224 	 286 	 2 	0	 18 
94年 2月	 12 	0	 21 	 19 	 161 	 186 	 2 	 1 	 16 
94年 3月	 11 	 1 	 33 	 26 	 142 	 166 	 2 	0	 8 
94年 4月	 4 	0	 31 	 27 	 161 	 191 	 1 	0	 21 
94年 5月	 8 	 4 	 30 	 46 	 153 	 198 	 1 	0	 10 
94年 6月	 36 	 1 	 38 	 42 	 203 	 213 	0	0	 2 
94年 7月	 6 	0	 42 	 51 	 223 	 282 	0	0	 3 
94年 8月	 23 	 1 	 62 	 67 	 179 	 298 	 2 	0	 1 
94年 9月	 9 	 1 	 42 	 52 	 211 	 210 	 3 	0	 1 
94年 10月	 30 	0	 47 	 56 	 249 	 190 	 6 	0	0
94年 11月	 95 	 1 	 50 	 53 	 217 	 195 	 3 	0	0
94年 12月	 82 	 1 	 41 	 46 	 197 	 139 	0	0	0
95年	 329 	 7 	 576 	 561 	 2,539 	 2,155 	 77 	0	 10 
95年 1月	 24 	0	 50 	 39 	 320 	 188 	 7 	0	0
95年 2月	 12 	0	 41 	 38 	 195 	 143 	 5 	0	 6 
95年 3月	 7 	0	 44 	 51 	 153 	 154 	 9 	0	 1 
95年 4月	 16 	0	 41 	 48 	 195 	 181 	 4 	0	 2 
95年 5月	 17 	0	 45 	 51 	 216 	 191 	 6 	0	0
95年 6月	 40 	0	 46 	 38 	 189 	 174 	 6 	0	0
95年 7月	 26 	 2 	 46 	 50 	 186 	 158 	 2 	0	0
95年 8月	 40 	0	 44 	 44 	 249 	 211 	 12 	0	 1 
95年 9月	 20 	 2 	 54 	 39 	 212 	 182 	 7 	0	0
95年 10月	 58 	 2 	 48 	 53 	 197 	 157 	 8 	0	0
95年 11月	 50 	 1 	 53 	 43 	 208 	 193 	 6 	0	0
95年 12月	 19 	0	 64 	 67 	 219 	 223 	 5 	0	0
96年	 535 	 8 	 806 	 729 	 2,559 	 3,016 	 84 	 1 	0
96年 1月	 82 	0	 56 	 36 	 199 	 187 	 7 	0	0
96年 2月	 19 	0	 41 	 43 	 256 	 330 	 9 	0	0
96年 3月	 38 	 2 	 66 	 74 	 243 	 305 	 11 	0	0
96年 4月	 26 	 1 	 47 	 39 	 188 	 210 	 7 	0	0
96年 5月	 23 	0	 67 	 68 	 191 	 273 	 3 	0	0
96年 6月	 46 	 1 	 72 	 63 	 192 	 194 	 5 	0	0
96年 7月	 130 	0	 81 	 69 	 248 	 273 	 9 	0	0
96年 8月	 30 	 1 	 83 	 61 	 216 	 266 	 6 	0	0
96年 9月	 20 	 1 	 77 	 75 	 177 	 236 	 10 	0	0
96年 10月	 74 	0	 76 	 76 	 232 	 284 	 4 	0	0
96年 11月	 33 	 1 	 70 	 64 	 213 	 264 	 5 	0	0
96年 12月	 14 	 1 	 70 	 61 	 204 	 194 	 8 	 1 	0
97年	 707 	 8 	 1,022 	 784 	 2,231 	 2,926 	 118 	 1 	 1 
97年 1月	 110 	 1 	 69 	 77 	 309 	 340 	 10 	0	0
97年 2月	 36 	 1 	 59 	 54 	 203 	 285 	 4 	0	0
97年 3月	 31 	 1 	 70 	 79 	 229 	 282 	 7 	0	0
97年 4月	 59 	0	 80 	 70 	 183 	 217 	 2 	0	0
97年 5月	 41 	 1 	 86 	 59 	 169 	 254 	 6 	0	0
97年 6月	 66 	 1 	 111 	 60 	 136 	 209 	 7 	0	0
97年 7月	 120 	 1 	 84 	 54 	 186 	 305 	 21 	0	 1 
97年 8月	 50 	0	 87 	 49 	 172 	 244 	 8 	0	0
97年 9月	 29 	 1 	 96 	 66 	 192 	 241 	 11 	0	0
97年 10月	 36 	0	 97 	 56 	 169 	 222 	 16 	0	0
97年 11月	 73 	0	 95 	 71 	 156 	 163 	 8 	0	0
97年 12月	 56 	 1 	 88 	 89 	 127 	 164 	 18 	 1 	0
98年	 509 	 3 	 1,194 	 916 	 1,611 	 2,818 	 133 	 1 	0
98年 1月	 74 	0	 77 	 53 	 190 	 267 	 13 	0	0
98年 2月	 23 	0	 89 	 71 	 203 	 248 	 24 	0	0
98年 3月	 70 	0	 106 	 96 	 167 	 241 	 15 	 1 	0
98年 4月	 31 	 1 	 103 	 83 	 163 	 247 	 12 	0	0
98年 5月	 26 	0	 96 	 68 	 151 	 248 	 5 	0	0
98年 6月	 85 	0	 114 	 82 	 85 	 228 	 2 	0	0
98年 7月	 39 	0	 99 	 64 	 142 	 233 	 12 	0	0
98年 8月	 30 	0	 105 	 74 	 140 	 251 	 18 	0	0
98年 9月	 47 	 1 	 83 	 84 	 94 	 167 	 11 	0	0
98年 10月	 48 	0	 104 	 90 	 113 	 252 	 8 	0	0
98年 11月	 22 	 1 	 108 	 69 	 79 	 229 	 7 	0	0
98年 12月	 14 	0	 110 	 82 	 84 	 207 	 6 	0	0
99年	 317 	 1 	 1,281 	 885 	 1,099 	 3,202 	 153 	 2 	0
99年 1月	 16 	0	 110 	 89 	 71 	 246 	 9 	0	0
99年 2月	 30 	0	 64 	 53 	 153 	 389 	 29 	 1 	0
99年 3月	 19 	0	 129 	 91 	 96 	 338 	 6 	0	0
99年 4月	 16 	0	 102 	 59 	 101 	 224 	 12 	0	0
99年 5月	 23 	0	 105 	 75 	 91 	 268 	 12 	 1 	0
99年 6月	 22 	0	 98 	 75 	 95 	 233 	 11 	0	0
99年 7月	 29 	0	 109 	 66 	 94 	 278 	 4 	0	0
99年 8月	 14 	0	 108 	 75 	 101 	 315 	 16 	0	0
