時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 5 	 11 	0	 1 	 779 	 31 	 283 	 3,984 	0
89年 1月	0	 4 	0	0	 30 	 2 	 30 	 353 	0
89年 2月	0	0	0	0	 16 	 1 	 12 	 208 	0
89年 3月	0	 3 	0	0	 24 	 3 	 12 	 339 	0
89年 4月	 3 	 1 	0	0	 48 	 6 	 9 	 267 	0
89年 5月	0	0	0	0	 60 	 5 	 19 	 347 	0
89年 6月	0	0	0	0	 68 	 2 	 25 	 289 	0
89年 7月	0	0	0	0	 87 	 4 	 28 	 354 	0
89年 8月	0	 1 	0	0	 80 	 2 	 31 	 363 	0
89年 9月	 1 	 1 	0	0	 89 	 3 	 32 	 318 	0
89年 10月	0	 1 	0	0	 104 	 2 	 26 	 339 	0
89年 11月	0	0	0	0	 80 	0	 28 	 340 	0
89年 12月	 1 	0	0	 1 	 93 	 1 	 31 	 467 	0
90年	 4 	 8 	0	0	 826 	 18 	 288 	 6,728 	0
90年 1月	0	0	0	0	 74 	0	 31 	 440 	0
90年 2月	0	0	0	0	 92 	 2 	 31 	 515 	0
90年 3月	0	0	0	0	 63 	 1 	 37 	 743 	0
90年 4月	 1 	 1 	0	0	 58 	 3 	 30 	 810 	0
90年 5月	 1 	 1 	0	0	 69 	 3 	 26 	 804 	0
90年 6月	0	0	0	0	 60 	 3 	 28 	 499 	0
90年 7月	0	0	0	0	 63 	0	 21 	 469 	0
90年 8月	 1 	 3 	0	0	 80 	0	 29 	 548 	0
90年 9月	0	 2 	0	0	 67 	0	 11 	 376 	0
90年 10月	0	 1 	0	0	 81 	 2 	 14 	 497 	0
90年 11月	0	0	0	0	 70 	 2 	 15 	 499 	0
90年 12月	 1 	0	0	0	 49 	 2 	 15 	 528 	0
91年	 2 	 2 	0	 2 	 555 	 21 	 403 	 6,923 	0
91年 1月	0	 1 	0	 1 	 50 	 1 	 22 	 458 	0
91年 2月	0	0	0	0	 38 	 3 	 21 	 384 	0
91年 3月	0	0	0	0	 48 	 3 	 17 	 712 	0
91年 4月	 1 	0	0	0	 52 	0	 42 	 738 	0
91年 5月	0	0	0	0	 60 	 1 	 66 	 771 	0
91年 6月	0	 1 	0	0	 55 	 5 	 31 	 676 	0
91年 7月	0	0	0	0	 44 	 2 	 16 	 767 	0
91年 8月	0	0	0	 1 	 62 	0	 27 	 695 	0
91年 9月	0	0	0	0	 32 	 1 	 36 	 443 	0
91年 10月	0	0	0	0	 35 	 1 	 20 	 551 	0
91年 11月	0	0	0	0	 36 	 2 	 37 	 381 	0
91年 12月	 1 	0	0	0	 43 	 2 	 68 	 347 	0
