時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 40 	0	0	 289 	0	 3 	0	 123 	 677 
89年 1月	 7 	0	0	 23 	0	0	0	 12 	 74 
89年 2月	 5 	0	0	 19 	0	0	0	 11 	 41 
89年 3月	 7 	0	0	 36 	0	 1 	0	 19 	 31 
89年 4月	 5 	0	0	 28 	0	0	0	 8 	 35 
89年 5月	 1 	0	0	 33 	0	0	0	 10 	 50 
89年 6月	 1 	0	0	 16 	0	0	0	 3 	 69 
89年 7月	0	0	0	 25 	0	0	0	 13 	 56 
89年 8月	 3 	0	0	 25 	0	 1 	0	 4 	 55 
89年 9月	 3 	0	0	 29 	0	0	0	 9 	 80 
89年 10月	 3 	0	0	 17 	0	 1 	0	 13 	 78 
89年 11月	 1 	0	0	 17 	0	0	0	 13 	 46 
89年 12月	 4 	0	0	 21 	0	0	0	 8 	 62 
90年	 108 	0	0	 231 	 1 	 5 	 1 	 119 	 957 
90年 1月	 4 	0	0	 18 	0	0	0	 6 	 77 
90年 2月	 3 	0	0	 26 	0	 1 	0	 14 	 72 
90年 3月	 8 	0	0	 19 	0	 1 	0	 14 	 54 
90年 4月	 10 	0	0	 22 	0	 1 	0	 7 	 60 
90年 5月	 17 	0	0	 18 	 1 	0	0	 14 	 76 
90年 6月	 14 	0	0	 14 	0	 1 	0	 8 	 62 
90年 7月	 11 	0	0	 25 	0	0	0	 9 	 86 
90年 8月	 10 	0	0	 23 	0	 1 	 1 	 15 	 125 
90年 9月	 12 	0	0	 15 	0	0	0	 8 	 69 
90年 10月	 10 	0	0	 18 	0	0	0	 10 	 91 
90年 11月	 6 	0	0	 11 	0	0	0	 9 	 105 
90年 12月	 3 	0	0	 22 	0	0	0	 5 	 80 
91年	 59 	0	0	 174 	0	 6 	 1 	 134 	 1,228 
91年 1月	 2 	0	0	 16 	0	 1 	0	 4 	 63 
91年 2月	 2 	0	0	 8 	0	0	0	 13 	 84 
91年 3月	 3 	0	0	 29 	0	0	0	 8 	 116 
91年 4月	 3 	0	0	 14 	0	 1 	0	 14 	 108 
91年 5月	 1 	0	0	 19 	0	0	0	 8 	 105 
91年 6月	 7 	0	0	 18 	0	0	0	 12 	 85 
91年 7月	 6 	0	0	 19 	0	 2 	0	 12 	 133 
91年 8月	 8 	0	0	 8 	0	0	 1 	 8 	 163 
91年 9月	 10 	0	0	 8 	0	 1 	0	 14 	 120 
91年 10月	 4 	0	0	 12 	0	0	0	 15 	 91 
91年 11月	 6 	0	0	 13 	0	0	0	 11 	 95 
91年 12月	 7 	0	0	 10 	0	 1 	0	 15 	 65 
92年	 67 	0	 1 	 202 	0	 4 	 2 	 187 	 888 
92年 1月	 5 	0	0	 14 	0	0	0	 15 	 59 
92年 2月	 3 	0	0	 6 	0	0	0	 11 	 57 
92年 3月	 9 	0	0	 18 	0	0	0	 19 	 80 
92年 4月	 4 	0	0	 31 	0	 1 	0	 15 	 70 
92年 5月	 5 	0	0	 15 	0	 1 	0	 15 	 68 
92年 6月	 6 	0	0	 18 	0	0	 2 	 15 	 91 
92年 7月	 4 	0	0	 16 	0	 1 	0	 15 	 89 
92年 8月	 2 	0	0	 13 	0	0	0	 13 	 78 
92年 9月	 5 	0	0	 13 	0	0	0	 18 	 66 
92年 10月	 5 	0	 1 	 27 	0	0	0	 23 	 68 
92年 11月	 11 	0	0	 14 	0	 1 	0	 12 	 82 
92年 12月	 8 	0	0	 17 	0	0	0	 16 	 80 
93年	 51 	0	 1 	 180 	0	 2 	 2 	 319 	 1,650 
93年 1月	 6 	0	0	 17 	0	0	0	 18 	 124 
93年 2月	 5 	0	0	 16 	0	0	0	 20 	 150 
93年 3月	 5 	0	0	 19 	0	 1 	0	 13 	 118 
93年 4月	 5 	0	0	 15 	0	0	0	 18 	 103 
93年 5月	 2 	0	0	 13 	0	0	 1 	 17 	 102 
93年 6月	 3 	0	0	 10 	0	0	0	 15 	 101 
93年 7月	 7 	0	0	 11 	0	0	0	 40 	 165 
93年 8月	 3 	0	 1 	 18 	0	 1 	0	 40 	 196 
93年 9月	 5 	0	0	 21 	0	0	0	 45 	 218 
93年 10月	 3 	0	0	 14 	0	0	0	 27 	 134 
93年 11月	 4 	0	0	 11 	0	0	 1 	 33 	 123 
93年 12月	 3 	0	0	 15 	0	0	0	 33 	 116 
94年	 31 	0	 2 	 136 	0	 5 	0	 360 	 1,765 
94年 1月	 3 	0	 1 	 10 	0	0	0	 47 	 118 
94年 2月	 2 	0	0	 11 	0	0	0	 23 	 92 
94年 3月	0	0	0	 5 	0	0	0	 27 	 138 
94年 4月	 1 	0	0	 12 	0	0	0	 23 	 141 
94年 5月	 1 	0	0	 6 	0	 1 	0	 35 	 137 
94年 6月	 2 	0	0	 11 	0	0	0	 33 	 109 
94年 7月	 1 	0	0	 15 	0	0	0	 32 	 159 
94年 8月	 1 	0	0	 15 	0	 3 	0	 28 	 233 
94年 9月	 4 	0	0	 15 	0	0	0	 30 	 185 
94年 10月	 6 	0	0	 12 	0	0	0	 31 	 162 
94年 11月	 7 	0	0	 9 	0	0	0	 31 	 164 
94年 12月	 3 	0	 1 	 15 	0	 1 	0	 20 	 127 
95年	 32 	0	 1 	 170 	0	 4 	0	 321 	 1,817 
95年 1月	 6 	0	0	 12 	0	0	0	 43 	 122 
95年 2月	 3 	0	0	 12 	0	0	0	 26 	 123 
95年 3月	 3 	0	0	 13 	0	 1 	0	 18 	 153 
95年 4月	 3 	0	 1 	 13 	0	 1 	0	 31 	 158 
95年 5月	 4 	0	0	 15 	0	 1 	0	 38 	 160 
95年 6月	 2 	0	0	 9 	0	0	0	 24 	 152 
95年 7月	 3 	0	0	 16 	0	0	0	 27 	 175 
95年 8月	 2 	0	0	 18 	0	0	0	 28 	 184 
95年 9月	 3 	0	0	 19 	0	0	0	 28 	 128 
95年 10月	0	0	0	 16 	0	0	0	 14 	 152 
95年 11月	 1 	0	0	 14 	0	 1 	0	 24 	 168 
95年 12月	 2 	0	0	 13 	0	0	0	 20 	 142 
96年	 19 	0	 7 	 158 	 3 	0	 1 	 213 	 1,783 
96年 1月	 3 	0	0	 11 	 1 	0	0	 16 	 195 
96年 2月	 3 	0	0	 11 	0	0	0	 21 	 86 
96年 3月	 3 	0	0	 15 	0	0	0	 33 	 158 
96年 4月	 1 	0	 3 	 15 	 1 	0	0	 13 	 142 
96年 5月	 2 	0	 1 	 19 	0	0	0	 29 	 163 
96年 6月	 1 	0	0	 11 	0	0	0	 12 	 162 
96年 7月	 1 	0	0	 16 	0	0	0	 19 	 193 
96年 8月	 1 	0	0	 12 	0	0	0	 17 	 162 
96年 9月	 3 	0	0	 12 	 1 	0	0	 15 	 155 
96年 10月	0	0	 2 	 15 	0	0	0	 8 	 144 
96年 11月	 1 	0	 1 	 16 	0	0	0	 21 	 128 
96年 12月	0	0	0	 5 	0	0	 1 	 9 	 95 
97年	 8 	0	 1 	 124 	 1 	 4 	 1 	 188 	 976 
97年 1月	0	0	0	 14 	0	0	0	 21 	 112 
97年 2月	0	0	0	 11 	0	 1 	0	 21 	 82 
97年 3月	0	0	0	 7 	0	 1 	0	 29 	 130 
97年 4月	 1 	0	0	 11 	0	 1 	 1 	 22 	 89 
97年 5月	0	0	0	 12 	0	0	0	 15 	 57 
97年 6月	 2 	0	0	 11 	0	0	0	 13 	 68 
97年 7月	 2 	0	0	 8 	0	0	0	 18 	 98 
97年 8月	 1 	0	0	 10 	0	 1 	0	 12 	 73 
97年 9月	 1 	0	0	 12 	 1 	0	0	 11 	 70 
97年 10月	 1 	0	0	 9 	0	0	0	 8 	 78 
97年 11月	0	0	 1 	 12 	0	0	0	 10 	 69 
97年 12月	0	0	0	 7 	0	0	0	 8 	 50 
98年	 10 	 1 	 8 	 153 	 2 	 3 	 2 	 158 	 633 
98年 1月	 2 	0	 1 	 12 	0	0	0	 13 	 64 
98年 2月	 1 	0	 1 	 13 	 1 	0	0	 25 	 62 
98年 3月	0	0	0	 9 	0	0	0	 11 	 76 
98年 4月	0	0	0	 10 	0	0	 1 	 16 	 51 
98年 5月	 2 	0	0	 9 	0	0	0	 17 	 93 
98年 6月	 1 	0	0	 5 	0	 1 	0	 8 	 32 
98年 7月	0	0	 3 	 12 	0	0	0	 12 	 47 
98年 8月	 2 	0	0	 17 	0	0	0	 12 	 48 
98年 9月	0	0	0	 15 	 1 	0	0	 8 	 44 
98年 10月	 1 	0	0	 17 	0	 1 	 1 	 9 	 43 
98年 11月	0	 1 	 2 	 12 	0	0	0	 19 	 41 
98年 12月	 1 	0	 1 	 22 	0	 1 	0	 8 	 32 
99年	 8 	0	 13 	 160 	 1 	 2 	0	 96 	 469 
99年 1月	0	0	0	 11 	0	0	0	 8 	 34 
99年 2月	 1 	0	 2 	 15 	 1 	0	0	 18 	 34 
99年 3月	0	0	 1 	 17 	0	 1 	0	 8 	 49 
99年 4月	0	0	 1 	 16 	0	0	0	 11 	 31 
99年 5月	 1 	0	 2 	 16 	0	0	0	 8 	 39 
99年 6月	 1 	0	 2 	 11 	0	0	0	 5 	 38 
99年 7月	0	0	 1 	 11 	0	 1 	0	 6 	 37 
99年 8月	0	0	 2 	 9 	0	0	0	 6 	 48 
99年 9月	0	0	0	 18 	0	0	0	 2 	 41 
99年 10月	 2 	0	0	 14 	0	0	0	 10 	 44 
99年 11月	 2 	0	 2 	 11 	0	0	0	 8 	 33 
99年 12月	 1 	0	0	 11 	0	0	0	 6 	 41 
100年	 7 	0	 8 	 112 	0	 2 	 1 	 90 	 583 
100年 1月	 1 	0	 1 	 13 	0	0	0	 5 	 111 
100年 2月	0	0	0	 8 	0	 1 	0	 17 	 34 
100年 3月	 1 	0	 2 	 5 	0	0	 1 	 3 	 52 
100年 4月	 1 	0	 1 	 6 	0	0	0	 4 	 33 
100年 5月	0	0	0	 7 	0	0	0	 10 	 50 
100年 6月	0	0	0	 7 	0	0	0	 4 	 36 
100年 7月	 1 	0	 1 	 8 	0	0	0	 9 	 48 
100年 8月	0	0	0	 13 	0	0	0	 11 	 71 
100年 9月	0	0	 1 	 4 	0	0	0	 5 	 43 
100年 10月	 1 	0	 1 	 15 	0	0	0	 9 	 41 
100年 11月	0	0	 1 	 16 	0	 1 	0	 10 	 31 
100年 12月	 2 	0	0	 10 	0	0	0	 3 	 33 
101年	 3 	 1 	 5 	 112 	 3 	 2 	0	 118 	 603 
101年 1月	0	0	0	 14 	0	0	0	 12 	 28 
101年 2月	 1 	0	 1 	 9 	0	0	0	 11 	 40 
101年 3月	0	0	0	 12 	 1 	0	0	 9 	 36 
101年 4月	 1 	0	 1 	 4 	 1 	0	0	 9 	 44 
101年 5月	0	 1 	0	 14 	 1 	0	0	 8 	 43 
101年 6月	0	0	0	 11 	0	0	0	 14 	 30 
101年 7月	0	0	0	 4 	0	0	0	 10 	 86 
101年 8月	0	0	 1 	 13 	0	0	0	 11 	 93 
101年 9月	0	0	0	 7 	0	0	0	 11 	 43 
101年 10月	 1 	0	 1 	 3 	0	 1 	0	 11 	 46 
101年 11月	0	0	0	 10 	0	 1 	0	 8 	 54 
101年 12月	0	0	 1 	 11 	0	0	0	 4 	 60 
102年	 4 	0	 8 	 151 	 4 	 2 	0	 102 	 707 
102年 1月	 1 	0	 1 	 9 	0	0	0	 5 	 65 
102年 2月	0	0	0	 8 	0	0	0	 28 	 100 
102年 3月	0	0	 1 	 7 	 2 	0	0	 10 	 42 
102年 4月	 2 	0	0	 9 	0	0	0	 5 	 45 
102年 5月	0	0	 1 	 12 	0	 1 	0	 7 	 45 
102年 6月	0	0	 1 	 11 	 1 	0	0	 4 	 52 
102年 7月	 1 	0	 1 	 18 	0	 1 	0	 7 	 99 
102年 8月	0	0	 1 	 20 	 1 	0	0	 6 	 89 
102年 9月	0	0	 1 	 14 	0	0	0	 8 	 42 
