時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
89年	 2 	 41 	0	 1 	 3 	0	 1 	 9 	0
89年 1月	 2 	 15 	0	0	0	0	0	 1 	0
89年 2月	0	 6 	0	0	0	0	0	 1 	0
89年 3月	0	 2 	0	0	 1 	0	0	0	0
89年 4月	0	 1 	0	0	0	0	0	0	0
89年 5月	0	 3 	0	0	 1 	0	0	 1 	0
89年 6月	0	 1 	0	 1 	0	0	0	 2 	0
89年 7月	0	 3 	0	0	0	0	0	0	0
89年 8月	0	 3 	0	0	0	0	0	 1 	0
89年 9月	0	 2 	0	0	0	0	0	0	0
89年 10月	0	 3 	0	0	 1 	0	0	 1 	0
89年 11月	0	0	0	0	0	0	0	 1 	0
89年 12月	0	 2 	0	0	0	0	 1 	 1 	0
90年	 18 	 28 	 1 	 5 	 2 	0	 1 	 6 	0
90年 1月	0	 2 	0	0	0	0	0	0	0
90年 2月	 2 	 5 	0	0	0	0	0	0	0
90年 3月	 1 	0	0	0	0	0	0	0	0
90年 4月	 1 	 3 	0	 1 	0	0	0	 1 	0
90年 5月	 3 	 3 	0	0	0	0	0	 1 	0
90年 6月	 1 	 1 	0	0	 1 	0	0	0	0
90年 7月	 1 	 2 	0	 1 	0	0	0	 1 	0
90年 8月	 2 	 1 	0	 1 	0	0	0	 2 	0
90年 9月	 1 	 2 	0	 1 	0	0	0	0	0
90年 10月	0	 2 	0	0	 1 	0	 1 	0	0
90年 11月	 2 	 5 	0	0	0	0	0	 1 	0
90年 12月	 4 	 2 	 1 	 1 	0	0	0	0	0
91年	 15 	 9 	 226 	 3 	 4 	0	0	 2 	0
91年 1月	0	0	 19 	0	 1 	0	0	0	0
91年 2月	 1 	 4 	 3 	0	0	0	0	0	0
91年 3月	 1 	0	0	0	0	0	0	0	0
91年 4月	 1 	 2 	0	0	0	0	0	 1 	0
91年 5月	 2 	 2 	 53 	0	0	0	0	0	0
91年 6月	 1 	0	 143 	 1 	0	0	0	0	0
91年 7月	 2 	0	 8 	0	0	0	0	0	0
91年 8月	0	 1 	0	0	 1 	0	0	0	0
91年 9月	 3 	0	0	0	0	0	0	0	0
91年 10月	 2 	0	0	 1 	 1 	0	0	 1 	0
91年 11月	0	0	0	0	 1 	0	0	0	0
91年 12月	 2 	0	0	 1 	0	0	0	0	0
92年	 21 	0	0	 2 	 2 	0	0	 2 	 7 
92年 1月	0	0	0	0	0	0	0	0	0
92年 2月	 1 	0	0	0	0	0	0	0	 4 
92年 3月	 2 	0	0	0	0	0	0	0	 2 
92年 4月	 2 	0	0	0	0	0	0	0	 1 
92年 5月	 2 	0	0	0	0	0	0	 1 	0
92年 6月	 1 	0	0	0	0	0	0	0	0
92年 7月	 3 	0	0	 1 	0	0	0	0	0
92年 8月	 3 	0	0	0	0	0	0	0	0
92年 9月	 3 	0	0	0	0	0	0	0	0
92年 10月	 1 	0	0	 1 	0	0	0	 1 	0
92年 11月	 2 	0	0	0	 1 	0	0	0	0
92年 12月	 1 	0	0	0	 1 	0	0	0	0
93年	 17 	 2 	 25 	 5 	 3 	0	0	0	0
93年 1月	0	 1 	0	 1 	 1 	0	0	0	0
93年 2月	0	 1 	0	 1 	0	0	0	0	0
93年 3月	 3 	0	 4 	0	0	0	0	0	0
93年 4月	0	0	0	0	0	0	0	0	0
93年 5月	 1 	0	 1 	0	0	0	0	0	0
93年 6月	 1 	0	0	0	0	0	0	0	0
93年 7月	 3 	0	0	0	 1 	0	0	0	0
93年 8月	 3 	0	0	 1 	 1 	0	0	0	0
93年 9月	 5 	0	0	0	0	0	0	0	0
93年 10月	0	0	0	 1 	0	0	0	0	0
93年 11月	 1 	0	 2 	0	0	0	0	0	0
93年 12月	0	0	 18 	 1 	0	0	0	0	0
94年	 26 	 2 	 71 	 3 	 1 	0	0	0	 1 
94年 1月	 1 	 1 	0	0	 1 	0	0	0	 1 
94年 2月	0	0	0	0	0	0	0	0	0
94年 3月	 3 	0	0	0	0	0	0	0	0
94年 4月	 3 	0	 1 	0	0	0	0	0	0
94年 5月	 3 	0	 1 	0	0	0	0	0	0
94年 6月	 3 	0	0	 1 	0	0	0	0	0
94年 7月	 2 	0	 1 	 1 	0	0	0	0	0
94年 8月	0	 1 	0	 1 	0	0	0	0	0
94年 9月	 2 	0	 2 	0	0	0	0	0	0
94年 10月	 1 	0	 5 	0	0	0	0	0	0
94年 11月	 7 	0	 41 	0	0	0	0	0	0
94年 12月	 1 	0	 20 	0	0	0	0	0	0
95年	 105 	 5 	 68 	 10 	 21 	0	 3 	 3 	 4 
95年 1月	0	 1 	 3 	0	0	0	0	0	0
95年 2月	 1 	0	0	0	0	0	0	0	0
95年 3月	 4 	0	0	0	0	0	0	0	0
95年 4月	 1 	0	0	0	0	0	0	0	0
95年 5月	 1 	0	 2 	0	0	0	0	0	0
95年 6月	0	0	 39 	0	 1 	0	0	0	0
95年 7月	 2 	0	 3 	0	0	0	0	0	0
95年 8月	 6 	0	0	 1 	 1 	0	0	0	0
95年 9月	 6 	0	 1 	0	 1 	0	0	0	0
95年 10月	 5 	0	0	 1 	0	0	0	0	0
95年 11月	 66 	 4 	 18 	 5 	 13 	0	 3 	 3 	 3 
95年 12月	 13 	0	 2 	 3 	 5 	0	0	0	 1 
96年	 296 	 3 	 63 	 21 	 42 	 6 	 1 	 1 	 23 
96年 1月	 15 	0	0	 1 	 1 	 1 	0	0	 2 
96年 2月	 14 	0	0	 2 	 2 	0	0	0	 13 
96年 3月	 25 	0	 24 	 1 	 1 	0	0	0	 6 
96年 4月	 18 	0	 10 	 3 	 4 	 1 	0	0	0
96年 5月	 23 	0	0	 1 	 4 	0	0	0	0
96年 6月	 23 	0	0	 2 	 7 	 1 	 1 	 1 	0
96年 7月	 23 	0	0	 2 	 3 	 1 	0	0	0
96年 8月	 36 	 2 	 1 	 2 	 7 	0	0	0	 1 
96年 9月	 23 	0	0	 1 	 4 	0	0	0	0
96年 10月	 34 	 1 	 3 	 3 	 4 	 1 	0	0	0
96年 11月	 29 	0	 2 	0	 3 	 1 	0	0	 1 
96年 12月	 33 	0	 23 	 3 	 2 	0	0	0	0
97年	 380 	 1 	 53 	 22 	 24 	 3 	 2 	 3 	 18 
97年 1月	 25 	0	 46 	 3 	 4 	0	0	0	 1 
97年 2月	 25 	0	 5 	 1 	0	0	0	0	 1 
97年 3月	 33 	0	 1 	 2 	 1 	 1 	0	 1 	 5 
97年 4月	 19 	0	 1 	 2 	 1 	 1 	0	0	0
97年 5月	 27 	 1 	0	 2 	 3 	0	0	0	 1 
97年 6月	 36 	0	0	 4 	0	0	0	0	0
97年 7月	 32 	0	0	 1 	 6 	0	 1 	0	0
97年 8月	 30 	0	0	 1 	 3 	0	0	0	0
97年 9月	 39 	0	0	 2 	 1 	0	0	 1 	 6 
97年 10月	 34 	0	0	 1 	 1 	0	0	 1 	 3 
97年 11月	 40 	0	0	 1 	 2 	 1 	 1 	0	0
97年 12月	 40 	0	0	 2 	 2 	0	0	0	 1 
98年	 462 	 2 	0	 56 	 35 	0	 5 	 1 	 14 
98年 1月	 17 	0	0	 2 	 2 	0	0	0	 1 
98年 2月	 36 	0	0	 1 	 4 	0	0	0	 3 
98年 3月	 45 	 1 	0	 6 	 7 	0	0	0	 2 
98年 4月	 46 	0	0	 3 	0	0	 1 	0	 1 
98年 5月	 29 	0	0	 8 	 3 	0	0	0	0
98年 6月	 45 	0	0	 4 	 1 	0	0	 1 	 1 
98年 7月	 36 	0	0	 6 	 1 	0	 1 	0	 2 
98年 8月	 32 	0	0	 3 	0	0	 1 	0	 1 
98年 9月	 35 	0	0	 4 	 4 	0	0	0	0
98年 10月	 49 	0	0	 5 	 4 	0	 2 	0	 2 
98年 11月	 44 	 1 	0	 8 	 2 	0	0	0	 1 
98年 12月	 48 	0	0	 6 	 7 	0	0	0	0
99年	 678 	 1 	 153 	 42 	 43 	 3 	 4 	 4 	 4 
99年 1月	 39 	0	0	 2 	 4 	0	 1 	0	 3 
99年 2月	 44 	0	0	 1 	 1 	0	0	 1 	0
99年 3月	 53 	0	0	 3 	 3 	 1 	0	0	0
99年 4月	 58 	0	0	 4 	 2 	 1 	0	0	0
99年 5月	 66 	0	0	 5 	 3 	0	0	 1 	0
99年 6月	 55 	 1 	0	 5 	 5 	0	 1 	0	0
99年 7月	 57 	0	 1 	 6 	 3 	0	0	0	0
99年 8月	 69 	0	0	 4 	 3 	0	0	0	0
99年 9月	 49 	0	0	 2 	 4 	 1 	 1 	 1 	 1 
99年 10月	 70 	0	 14 	 2 	 3 	0	0	0	0
99年 11月	 51 	0	 117 	 3 	 6 	0	0	 1 	0
99年 12月	 67 	0	 21 	 5 	 6 	0	 1 	0	0
100年	0	0	0	0	0	0	0	0	0
100年 1月	0	0	0	0	0	0	0	0	0
100年 2月	0	0	0	0	0	0	0	0	0
100年 3月	0	0	0	0	0	0	0	0	0
100年 4月	0	0	0	0	0	0	0	0	0
100年 5月	0	0	0	0	0	0	0	0	0
100年 6月	0	0	0	0	0	0	0	0	0
100年 7月	0	0	0	0	0	0	0	0	0
100年 8月	0	0	0	0	0	0	0	0	0
100年 9月	0	0	0	0	0	0	0	0	0
100年 10月	0	0	0	0	0	0	0	0	0
100年 11月	0	0	0	0	0	0	0	0	0
100年 12月	0	0	0	0	0	0	0	0	0
101年	0	0	0	0	0	0	0	0	0
101年 1月	0	0	0	0	0	0	0	0	0
101年 2月	0	0	0	0	0	0	0	0	0
101年 3月	0	0	0	0	0	0	0	0	0
101年 4月	0	0	0	0	0	0	0	0	0
101年 5月	0	0	0	0	0	0	0	0	0
101年 6月	0	0	0	0	0	0	0	0	0
101年 7月	0	0	0	0	0	0	0	0	0
101年 8月	0	0	0	0	0	0	0	0	0
101年 9月	0	0	0	0	0	0	0	0	0
101年 10月	0	0	0	0	0	0	0	0	0
101年 11月	0	0	0	0	0	0	0	0	0
101年 12月	0	0	0	0	0	0	0	0	0
102年	0	0	0	0	0	0	0	0	0
102年 1月	0	0	0	0	0	0	0	0	0
102年 2月	0	0	0	0	0	0	0	0	0
102年 3月	0	0	0	0	0	0	0	0	0
102年 4月	0	0	0	0	0	0	0	0	0
102年 5月	0	0	0	0	0	0	0	0	0
102年 6月	0	0	0	0	0	0	0	0	0
102年 7月	0	0	0	0	0	0	0	0	0
102年 8月	0	0	0	0	0	0	0	0	0
102年 9月	0	0	0	0	0	0	0	0	0
102年 10月	0	0	0	0	0	0	0	0	0
102年 11月	0	0	0	0	0	0	0	0	0
102年 12月	0	0	0	0	0	0	0	0	0
103年	0	0	0	0	0	0	0	0	0
103年 1月	0	0	0	0	0	0	0	0	0
103年 2月	0	0	0	0	0	0	0	0	0
103年 3月	0	0	0	0	0	0	0	0	0
103年 4月	0	0	0	0	0	0	0	0	0
103年 5月	0	0	0	0	0	0	0	0	0
103年 6月	0	0	0	0	0	0	0	0	0
103年 7月	0	0	0	0	0	0	0	0	0
103年 8月	0	0	0	0	0	0	0	0	0
103年 9月	0	0	0	0	0	0	0	0	0
103年 10月	0	0	0	0	0	0	0	0	0
103年 11月	0	0	0	0	0	0	0	0	0
103年 12月	0	0	0	0	0	0	0	0	0
104年	0	0	0	0	0	0	0	0	0
104年 1月	0	0	0	0	0	0	0	0	0
104年 2月	0	0	0	0	0	0	0	0	0
104年 3月	0	0	0	0	0	0	0	0	0
104年 4月	0	0	0	0	0	0	0	0	0
104年 5月	0	0	0	0	0	0	0	0	0
104年 6月	0	0	0	0	0	0	0	0	0
104年 7月	0	0	0	0	0	0	0	0	0
104年 8月	0	0	0	0	0	0	0	0	0
104年 9月	0	0	0	0	0	0	0	0	0
104年 10月	0	0	0	0	0	0	0	0	0
104年 11月	0	0	0	0	0	0	0	0	0
104年 12月	0	0	0	0	0	0	0	0	0
105年	0	0	0	0	0	0	0	0	0
105年 1月	0	0	0	0	0	0	0	0	0
105年 2月	0	0	0	0	0	0	0	0	0
105年 3月	0	0	0	0	0	0	0	0	0
105年 4月	0	0	0	0	0	0	0	0	0
105年 5月	0	0	0	0	0	0	0	0	0
105年 6月	0	0	0	0	0	0	0	0	0
105年 7月	0	0	0	0	0	0	0	0	0
105年 8月	0	0	0	0	0	0	0	0	0
105年 9月	0	0	0	0	0	0	0	0	0
105年 10月	0	0	0	0	0	0	0	0	0
105年 11月	0	0	0	0	0	0	0	0	0
105年 12月	0	0	0	0	0	0	0	0	0
