時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 3,674 	 558 	 43 	 67 	0	 148 	 114 	 62 	 68 
89年 1月	 300 	 55 	 2 	 11 	0	 17 	 8 	 7 	 5 
89年 2月	 251 	 33 	 5 	 7 	0	 2 	 8 	 4 	 9 
89年 3月	 245 	 34 	 2 	 3 	0	 9 	 4 	 5 	 4 
89年 4月	 214 	 51 	 4 	 11 	0	 14 	 6 	 8 	 2 
89年 5月	 301 	 54 	 2 	 6 	0	 15 	 5 	 7 	 9 
89年 6月	 246 	 44 	 2 	 3 	0	 12 	 5 	 6 	 3 
89年 7月	 298 	 42 	 3 	 6 	0	 8 	 4 	 6 	 6 
89年 8月	 358 	 64 	 9 	 7 	0	 12 	 12 	 4 	 11 
89年 9月	 383 	 47 	 7 	 2 	0	 13 	 20 	 2 	 1 
89年 10月	 321 	 47 	0	 5 	0	 18 	 17 	 7 	 4 
89年 11月	 388 	 48 	 4 	 3 	0	 13 	 14 	 2 	 7 
89年 12月	 369 	 39 	 3 	 3 	0	 15 	 11 	 4 	 7 
90年	 4,440 	 854 	 43 	 97 	 1 	 136 	 70 	 37 	 53 
90年 1月	 449 	 48 	 3 	 5 	0	 13 	 1 	 7 	 3 
90年 2月	 428 	 41 	 2 	 3 	0	 7 	 9 	0	 4 
90年 3月	 336 	 49 	 3 	 5 	 1 	 14 	 10 	 1 	 6 
90年 4月	 303 	 54 	 14 	 1 	0	 8 	 6 	 2 	 3 
90年 5月	 308 	 78 	 3 	 1 	0	 21 	 8 	0	 7 
90年 6月	 268 	 105 	 9 	 6 	0	 7 	 4 	 2 	 7 
90年 7月	 410 	 113 	 2 	 3 	0	 13 	 2 	 3 	 1 
90年 8月	 347 	 58 	 1 	 23 	0	 8 	 5 	 2 	 6 
90年 9月	 349 	 82 	 1 	 17 	0	 11 	 5 	 5 	 6 
90年 10月	 580 	 70 	 3 	 11 	0	 11 	 7 	 6 	 3 
90年 11月	 401 	 68 	 2 	 10 	0	 16 	 8 	 3 	 4 
90年 12月	 261 	 88 	0	 12 	0	 7 	 5 	 6 	 3 
91年	 5,003 	 865 	 48 	 122 	0	 169 	 247 	 33 	 46 
91年 1月	 315 	 105 	 4 	 18 	0	 13 	 7 	 4 	 4 
91年 2月	 548 	 76 	 9 	 10 	0	 11 	 8 	 1 	 5 
91年 3月	 291 	 73 	 1 	 22 	0	 12 	 3 	 1 	 2 
91年 4月	 396 	 62 	 8 	 9 	0	 12 	 11 	 6 	 2 
91年 5月	 299 	 42 	 5 	 10 	0	 7 	 70 	 3 	 2 
91年 6月	 436 	 52 	 6 	 6 	0	 14 	 17 	 2 	 1 
91年 7月	 472 	 66 	 7 	 8 	0	 11 	 10 	 2 	 4 
91年 8月	 517 	 80 	0	 8 	0	 16 	 14 	 1 	 3 
91年 9月	 283 	 70 	 3 	 7 	0	 22 	 12 	 5 	 4 
91年 10月	 648 	 80 	 2 	 14 	0	 26 	 17 	 3 	 7 
91年 11月	 498 	 87 	 1 	 6 	0	 8 	 36 	 1 	 8 
91年 12月	 300 	 72 	 2 	 4 	0	 17 	 42 	 4 	 4 
92年	 5,107 	 830 	 116 	 91 	0	 232 	 860 	 36 	 60 
92年 1月	 531 	 100 	 4 	 6 	0	 23 	 34 	 5 	 10 
92年 2月	 369 	 104 	 3 	 13 	0	 21 	 77 	 1 	 5 
92年 3月	 370 	 66 	0	 10 	0	 10 	 50 	 4 	 4 
92年 4月	 516 	 68 	 2 	 14 	0	 16 	 19 	 3 	 12 
92年 5月	 402 	 48 	0	 7 	0	 19 	 41 	 4 	 5 
92年 6月	 531 	 68 	 1 	 12 	0	 18 	 127 	 2 	 4 
92年 7月	 467 	 76 	 3 	 12 	0	 37 	 55 	 2 	 3 
92年 8月	 390 	 90 	 3 	 6 	0	 20 	 27 	 4 	 4 
92年 9月	 431 	 72 	 30 	 6 	0	 12 	 108 	 2 	 4 
92年 10月	 443 	 67 	 65 	 2 	0	 20 	 130 	 5 	 4 
