時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 57 	 14 	 39 	 38 	 2 	 8 	 12 	 2 
89年 1月	0	 7 	0	 4 	 4 	0	 1 	 1 	 1 
89年 2月	0	 4 	 3 	 6 	 5 	0	 1 	0	0
89年 3月	0	 3 	 2 	 6 	 2 	 1 	0	0	0
89年 4月	0	 5 	 3 	 3 	 3 	 1 	0	 2 	0
89年 5月	0	 9 	0	 1 	 4 	0	0	 1 	0
89年 6月	0	 4 	0	 2 	 2 	0	 1 	 2 	0
89年 7月	0	 4 	0	 3 	 3 	0	 1 	 3 	0
89年 8月	0	 6 	 1 	 7 	 5 	0	 1 	0	0
89年 9月	0	 4 	 2 	 1 	 4 	0	0	0	0
89年 10月	0	 2 	 1 	 1 	 2 	0	 2 	 2 	 1 
89年 11月	0	 5 	 1 	 3 	 2 	0	0	0	0
89年 12月	0	 4 	 1 	 2 	 2 	0	 1 	 1 	0
90年	0	 59 	 11 	 80 	 50 	 1 	 8 	 24 	0
90年 1月	0	 9 	 1 	 1 	 4 	0	0	 1 	0
90年 2月	0	 4 	0	 6 	 1 	0	0	0	0
90年 3月	0	 2 	 1 	0	 5 	0	0	 1 	0
90年 4月	0	 5 	0	 3 	 2 	0	 2 	0	0
90年 5月	0	 3 	 1 	 3 	 7 	 1 	0	 1 	0
90年 6月	0	 6 	 2 	 3 	 2 	0	0	 2 	0
90年 7月	0	 2 	 3 	 2 	 4 	0	0	 3 	0
90年 8月	0	 5 	0	 11 	 7 	0	 2 	 4 	0
90年 9月	0	 4 	 1 	 12 	 4 	0	 2 	 3 	0
90年 10月	0	 8 	0	 11 	 6 	0	0	 3 	0
90年 11月	0	 6 	 1 	 16 	 7 	0	 1 	 5 	0
90年 12月	0	 5 	 1 	 12 	 1 	0	 1 	 1 	0
91年	 1 	 47 	 8 	 113 	 59 	0	 6 	 13 	 2 
91年 1月	0	 5 	 1 	 13 	 9 	0	0	 1 	0
91年 2月	0	 5 	 2 	 12 	 2 	0	0	 2 	0
91年 3月	0	 5 	0	 11 	 3 	0	0	 1 	0
91年 4月	 1 	 3 	0	 14 	 4 	0	 1 	 2 	0
91年 5月	0	 1 	0	 7 	 3 	0	 1 	 1 	0
91年 6月	0	 3 	 2 	 9 	 4 	0	0	 2 	0
91年 7月	0	 5 	 1 	 8 	 6 	0	 2 	 1 	0
91年 8月	0	 4 	 1 	 14 	 7 	0	0	 2 	0
91年 9月	0	 5 	0	 3 	 2 	0	 1 	0	0
91年 10月	0	 5 	0	 6 	 14 	0	0	0	 1 
91年 11月	0	 4 	0	 6 	 1 	0	 1 	 1 	0
91年 12月	0	 2 	 1 	 10 	 4 	0	0	0	 1 
92年	 1 	 72 	 16 	 96 	 59 	 3 	 5 	 6 	 1 
92年 1月	0	 1 	 2 	 10 	 5 	0	0	 1 	0
92年 2月	0	 5 	 1 	 13 	 15 	 2 	0	0	0
92年 3月	0	 3 	0	 8 	 1 	0	 2 	0	0
92年 4月	0	 2 	 1 	 5 	 7 	0	0	0	0
92年 5月	0	 2 	 2 	 3 	 3 	0	 1 	 1 	0
92年 6月	0	 12 	0	 12 	 6 	0	0	0	0
92年 7月	0	 13 	 2 	 18 	 3 	 1 	 1 	0	0
92年 8月	0	 11 	 2 	 9 	 5 	0	 1 	 1 	0
92年 9月	0	 11 	 1 	 6 	 1 	0	0	0	0
92年 10月	 1 	 2 	 3 	 2 	 4 	0	0	 1 	 1 
92年 11月	0	 8 	 2 	 4 	 5 	0	0	 2 	0
92年 12月	0	 2 	0	 6 	 4 	0	0	0	0
93年	0	 95 	 9 	 83 	 55 	 1 	 3 	 11 	0
93年 1月	0	 3 	 1 	 14 	 6 	0	 1 	 1 	0
93年 2月	0	 7 	 1 	 15 	 3 	0	 1 	 1 	0
93年 3月	0	 8 	 2 	 5 	 4 	0	0	 1 	0
93年 4月	0	 3 	0	 10 	 7 	 1 	0	 1 	0
93年 5月	0	 19 	0	 8 	0	0	0	 3 	0
93年 6月	0	 6 	 1 	 6 	 5 	0	0	 2 	0
93年 7月	0	 7 	0	 6 	 8 	0	0	 1 	0
93年 8月	0	 8 	0	 4 	 2 	0	0	0	0
93年 9月	0	 6 	0	 3 	 4 	0	0	0	0
93年 10月	0	 11 	0	 4 	 6 	0	0	0	0
93年 11月	0	 10 	 3 	 4 	 7 	0	0	 1 	0
93年 12月	0	 7 	 1 	 4 	 3 	0	 1 	0	0
94年	 4 	 62 	 7 	 87 	 88 	0	 5 	 15 	0
94年 1月	0	 1 	 1 	 5 	 3 	0	0	0	0
94年 2月	0	0	 1 	 4 	 1 	0	0	0	0
94年 3月	 1 	 4 	0	 8 	 4 	0	0	 1 	0
94年 4月	0	 5 	0	 10 	 6 	0	0	 2 	0
94年 5月	0	 1 	0	 5 	 12 	0	 1 	0	0
94年 6月	0	 5 	 2 	 3 	 22 	0	0	 1 	0
94年 7月	 1 	 13 	 1 	 24 	 5 	0	0	0	0
94年 8月	 2 	 7 	0	 13 	 14 	0	 1 	 1 	0
94年 9月	0	 5 	0	 1 	 1 	0	 1 	 1 	0
94年 10月	0	 3 	 2 	 5 	 8 	0	 1 	 5 	0
94年 11月	0	 10 	0	 2 	 8 	0	0	 4 	0
94年 12月	0	 8 	0	 7 	 4 	0	 1 	0	0
95年	 2 	 282 	 8 	 154 	 46 	0	 5 	 18 	 1 
95年 1月	0	 3 	0	 4 	 5 	0	 1 	0	0
95年 2月	0	 8 	0	 2 	 3 	0	 1 	 1 	0
95年 3月	0	 35 	 1 	 8 	 3 	0	0	0	0
95年 4月	 1 	 34 	 1 	 11 	 3 	0	 1 	 1 	0
95年 5月	 1 	 32 	 2 	 7 	 2 	0	0	 9 	0
95年 6月	0	 27 	 1 	 17 	 3 	0	0	0	0
95年 7月	0	 19 	0	 27 	 3 	0	 1 	 1 	0
95年 8月	0	 27 	 1 	 17 	 7 	0	 1 	 1 	 1 
95年 9月	0	 34 	0	 14 	 7 	0	0	0	0
95年 10月	0	 13 	 1 	 8 	 5 	0	0	 1 	0
95年 11月	0	 17 	0	 11 	 2 	0	0	 2 	0
