時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 155 	 3 	 30 	 226 	 486 	 793 	0	0	 19 
89年 1月	 4 	 1 	 2 	 5 	 40 	 104 	0	0	 6 
89年 2月	 4 	0	0	 9 	 53 	 115 	0	0	 4 
89年 3月	 4 	0	 1 	 13 	 13 	 55 	0	0	 1 
89年 4月	 3 	0	 2 	 43 	 23 	 51 	0	0	0
89年 5月	 8 	0	 2 	 40 	 43 	 69 	0	0	 1 
89年 6月	 35 	0	 4 	 22 	 33 	 74 	0	0	 4 
89年 7月	 3 	0	 6 	 4 	 41 	 42 	0	0	 1 
89年 8月	 39 	0	 3 	 6 	 38 	 48 	0	0	 1 
89年 9月	 38 	0	 2 	 14 	 24 	 34 	0	0	0
89年 10月	 2 	0	 3 	 24 	 55 	 63 	0	0	0
89年 11月	 9 	 2 	 3 	 32 	 61 	 87 	0	0	0
89年 12月	 6 	0	 2 	 14 	 62 	 51 	0	0	 1 
90年	 89 	0	 34 	 71 	 430 	 341 	0	0	 103 
90年 1月	 7 	0	 1 	 7 	 49 	 44 	0	0	 2 
90年 2月	 1 	0	0	 20 	 37 	 37 	0	0	0
90年 3月	 2 	0	 6 	 3 	 38 	 33 	0	0	 1 
90年 4月	 1 	0	 4 	 2 	 44 	 32 	0	0	0
90年 5月	 3 	0	 3 	 4 	 54 	 51 	0	0	 2 
90年 6月	 2 	0	 2 	 3 	 26 	 30 	0	0	 1 
90年 7月	 5 	0	 3 	 2 	 25 	 39 	0	0	 16 
90年 8月	 18 	0	 2 	 6 	 32 	 13 	0	0	 12 
90年 9月	 6 	0	 4 	 4 	 31 	 17 	0	0	 22 
90年 10月	 13 	0	 2 	 5 	 41 	 25 	0	0	 7 
90年 11月	 2 	0	 3 	 5 	 36 	 7 	0	0	 23 
90年 12月	 29 	0	 4 	 10 	 17 	 13 	0	0	 17 
91年	 136 	 4 	 42 	 74 	 391 	 203 	 4 	0	 152 
91年 1月	0	0	 2 	 4 	 20 	 13 	0	0	 1 
91年 2月	 32 	0	 3 	 5 	 32 	 15 	0	0	 2 
91年 3月	 5 	0	 1 	 6 	 29 	 15 	0	0	 9 
91年 4月	 15 	 1 	0	 3 	 33 	 27 	0	0	 21 
91年 5月	 3 	 1 	 2 	 5 	 41 	 16 	0	0	 12 
91年 6月	 14 	0	 2 	 7 	 24 	 11 	0	0	 19 
91年 7月	 4 	 1 	 5 	 7 	 24 	 11 	 1 	0	 14 
91年 8月	 12 	0	 7 	 6 	 33 	 23 	 1 	0	 15 
91年 9月	 13 	 1 	 6 	 12 	 34 	 14 	0	0	 14 
91年 10月	 8 	0	 9 	 11 	 30 	 20 	 1 	0	 21 
91年 11月	 9 	0	 2 	 2 	 41 	 23 	 1 	0	 16 
91年 12月	 21 	0	 3 	 6 	 50 	 15 	0	0	 8 
92年	 226 	 1 	 55 	 80 	 518 	 194 	 6 	0	 164 
92年 1月	 1 	0	 3 	 12 	 65 	 23 	0	0	 17 
92年 2月	 36 	0	 3 	 5 	 38 	 63 	0	0	 17 
92年 3月	 3 	0	 2 	 6 	 40 	 8 	0	0	 11 
92年 4月	 19 	0	 4 	 7 	 45 	 19 	 1 	0	 12 
92年 5月	 9 	0	 5 	 6 	 36 	 9 	0	0	 10 
92年 6月	 11 	0	 2 	 6 	 37 	 13 	 1 	0	 5 
92年 7月	 29 	0	 8 	 8 	 52 	 14 	 1 	0	 17 
92年 8月	0	0	 5 	 10 	 41 	 8 	 2 	0	 11 
92年 9月	 14 	 1 	 5 	 5 	 41 	 14 	0	0	 19 
92年 10月	 20 	0	 7 	 8 	 43 	 9 	0	0	 10 
92年 11月	 7 	0	 5 	 1 	 41 	 4 	0	0	 20 
92年 12月	 77 	0	 6 	 6 	 39 	 10 	 1 	0	 15 
93年	 161 	 2 	 42 	 72 	 697 	 234 	 12 	0	 86 
93年 1月	 12 	 1 	 5 	 3 	 45 	 15 	0	0	 30 
93年 2月	 2 	0	 3 	 11 	 51 	 15 	 2 	0	 3 
93年 3月	 25 	0	 8 	 10 	 42 	 18 	 2 	0	 5 
93年 4月	 9 	0	 5 	 12 	 68 	 11 	 1 	0	 6 
93年 5月	 2 	0	 3 	 2 	 65 	 15 	0	0	 4 
93年 6月	 5 	0	 2 	 3 	 41 	 9 	 1 	0	 6 
93年 7月	 2 	0	 4 	 5 	 66 	 21 	0	0	 14 
93年 8月	 1 	 1 	 3 	 4 	 79 	 27 	 3 	0	 4 
93年 9月	 15 	0	 4 	 5 	 60 	 23 	 1 	0	 7 
93年 10月	 42 	0	 1 	 4 	 64 	 30 	 1 	0	 2 
93年 11月	 2 	0	 4 	 7 	 66 	 27 	0	0	 4 
93年 12月	 44 	0	0	 6 	 50 	 23 	 1 	0	 1 
94年	 46 	 2 	 30 	 75 	 872 	 325 	 12 	0	 49 
94年 1月	 14 	 1 	 2 	 4 	 67 	 27 	 3 	0	 5 
94年 2月	 3 	0	 2 	 5 	 38 	 31 	0	0	 16 
94年 3月	 1 	0	 2 	 10 	 52 	 16 	 1 	0	 5 
94年 4月	 2 	0	 4 	 6 	 68 	 26 	 1 	0	 3 
94年 5月	 3 	0	 3 	 5 	 98 	 31 	 1 	0	 4 
94年 6月	 9 	0	0	 4 	 65 	 32 	 1 	0	 2 
94年 7月	 2 	0	 3 	 9 	 76 	 20 	 2 	0	 1 
94年 8月	 2 	0	 1 	 10 	 86 	 45 	 2 	0	 2 
94年 9月	 1 	0	 3 	 3 	 65 	 25 	0	0	 11 
