時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 25 	 14 	0	 87 	 64 	0	 145 	 12 	 1 
89年 1月	 3 	 1 	0	 16 	 2 	0	 3 	0	0
89年 2月	 1 	 2 	0	 10 	 3 	0	 1 	 3 	0
89年 3月	 1 	0	0	 3 	 5 	0	 12 	 2 	0
89年 4月	 2 	 2 	0	 8 	 3 	0	 10 	0	0
89年 5月	 4 	 1 	0	 5 	 1 	0	 22 	 1 	0
89年 6月	 1 	0	0	 4 	 2 	0	 21 	 1 	0
89年 7月	 1 	 4 	0	 7 	 1 	0	 6 	0	0
89年 8月	 2 	0	0	 13 	 3 	0	 1 	0	0
89年 9月	 4 	0	0	 4 	 2 	0	 3 	 1 	 1 
89年 10月	 3 	0	0	 6 	 15 	0	 17 	 1 	0
89年 11月	 2 	 3 	0	 9 	 15 	0	 12 	 3 	0
89年 12月	 1 	 1 	0	 2 	 12 	0	 37 	0	0
90年	 18 	 5 	0	 93 	 147 	0	 39 	 3 	 3 
90年 1月	 1 	0	0	 8 	 13 	0	 4 	 1 	0
90年 2月	 2 	0	0	 11 	 42 	0	 3 	0	 1 
90年 3月	0	 1 	0	 2 	 12 	0	 2 	0	0
90年 4月	 1 	0	0	 13 	 3 	0	0	0	0
90年 5月	 1 	 1 	0	 4 	 10 	0	 1 	 1 	0
90年 6月	 2 	0	0	 5 	 4 	0	 15 	0	0
90年 7月	 4 	0	0	 5 	 2 	0	 1 	 1 	0
90年 8月	0	0	0	 18 	 5 	0	 1 	0	 1 
90年 9月	 1 	 2 	0	 7 	 20 	0	 9 	0	 1 
90年 10月	 1 	0	0	 10 	 13 	0	 2 	0	0
90年 11月	 2 	0	0	 4 	 16 	0	0	0	0
90年 12月	 3 	 1 	0	 6 	 7 	0	 1 	0	0
91年	 22 	 3 	0	 117 	 130 	0	 56 	 6 	 7 
91年 1月	0	0	0	 3 	 1 	0	 2 	0	0
91年 2月	0	 2 	0	 19 	 22 	0	 1 	0	 1 
91年 3月	 1 	0	0	 2 	 1 	0	 11 	0	0
91年 4月	 6 	0	0	 11 	 4 	0	 13 	0	 1 
91年 5月	 1 	0	0	 3 	 14 	0	 1 	0	 2 
91年 6月	0	0	0	 6 	 17 	0	 5 	0	0
91年 7月	 3 	0	0	 18 	 21 	0	 1 	0	0
91年 8月	 3 	0	0	 11 	 2 	0	0	0	0
91年 9月	 3 	0	0	 11 	 3 	0	0	 1 	 2 
91年 10月	 1 	0	0	 16 	 7 	0	 2 	0	 1 
91年 11月	 1 	 1 	0	 13 	 32 	0	0	 1 	0
91年 12月	 3 	0	0	 4 	 6 	0	 20 	 4 	0
92年	 22 	 13 	0	 107 	 120 	0	 317 	 6 	 4 
92年 1月	 2 	0	0	 9 	 33 	0	 12 	 3 	 1 
92年 2月	 4 	 1 	0	 4 	 7 	0	 25 	0	0
92年 3月	 1 	 2 	0	 5 	 6 	0	 7 	0	 2 
92年 4月	 2 	0	0	 11 	 15 	0	 2 	 1 	 1 
92年 5月	 4 	0	0	 18 	 16 	0	 5 	 1 	0
92年 6月	 2 	0	0	 15 	 3 	0	 28 	0	0
92年 7月	0	 4 	0	 9 	 3 	0	 23 	 1 	0
92年 8月	 1 	 3 	0	 14 	 4 	0	 89 	0	0
92年 9月	 1 	 1 	0	 7 	 19 	0	 32 	0	0
92年 10月	 1 	0	0	 10 	 5 	0	 18 	0	0
92年 11月	 2 	0	0	 2 	 1 	0	 23 	0	0
92年 12月	 2 	 2 	0	 3 	 8 	0	 53 	0	0
93年	 15 	 10 	0	 97 	 110 	0	 234 	 1 	0
93年 1月	 1 	 1 	0	 7 	 4 	0	 57 	0	0
93年 2月	 1 	0	0	 18 	 5 	0	 45 	0	0
93年 3月	 3 	 1 	0	 2 	 2 	0	 24 	0	0
93年 4月	0	 1 	0	 7 	 6 	0	 2 	0	0
93年 5月	 1 	 1 	0	 1 	 12 	0	 43 	0	0
93年 6月	 1 	 1 	0	 4 	 5 	0	 23 	0	0
93年 7月	0	 1 	0	 4 	 3 	0	 29 	0	0
93年 8月	 3 	0	0	 2 	 13 	0	 2 	0	0
93年 9月	0	 1 	0	 17 	 38 	0	 2 	 1 	0
93年 10月	 1 	 2 	0	 15 	 3 	0	 2 	0	0
93年 11月	 2 	0	0	 16 	 12 	0	 2 	0	0
93年 12月	 2 	 1 	0	 4 	 7 	0	 3 	0	0
94年	 33 	 17 	 16 	 120 	 144 	0	 131 	 10 	 1 
94年 1月	 6 	 3 	 1 	 1 	 13 	0	 1 	 1 	 1 
94年 2月	 2 	0	 1 	 5 	 10 	0	0	0	0
94年 3月	 1 	0	0	 4 	 1 	0	 2 	0	0
94年 4月	 1 	 2 	 1 	 35 	 1 	0	 15 	0	0
94年 5月	 4 	 2 	 2 	 4 	 26 	0	 14 	 3 	0
94年 6月	 1 	 1 	 3 	 7 	 6 	0	 12 	0	0
94年 7月	 4 	 1 	 3 	 4 	 4 	0	 18 	 1 	0
94年 8月	 6 	 2 	0	 11 	 19 	0	 16 	 3 	0
94年 9月	0	 1 	 1 	 8 	 7 	0	 22 	0	0
94年 10月	 4 	 1 	 2 	 2 	 27 	0	 4 	 1 	0
94年 11月	 1 	 3 	0	 23 	 17 	0	 19 	0	0
94年 12月	 3 	 1 	 2 	 16 	 13 	0	 8 	 1 	0
95年	 51 	 27 	 29 	 96 	 63 	0	 171 	 4 	0
95年 1月	 1 	0	 3 	 13 	 7 	0	 1 	 1 	0
95年 2月	 1 	0	0	 8 	 6 	0	 19 	0	0
95年 3月	 8 	 1 	 4 	 6 	 2 	0	 14 	0	0
95年 4月	 6 	0	 2 	 4 	 2 	0	 9 	0	0
95年 5月	 10 	 2 	 4 	 8 	 1 	0	 22 	0	0
95年 6月	 4 	 2 	 2 	 10 	 12 	0	 7 	0	0
95年 7月	 6 	 1 	 2 	 8 	 20 	0	 22 	0	0
95年 8月	 6 	 4 	 1 	 7 	 2 	0	 9 	 1 	0
95年 9月	 4 	 1 	 3 	 11 	 2 	0	 17 	0	0
95年 10月	0	 7 	 1 	 14 	 3 	0	 19 	0	0
95年 11月	 2 	 6 	 5 	 4 	 2 	0	 21 	0	0
95年 12月	 3 	 3 	 2 	 3 	 4 	0	 11 	 2 	0
96年	 137 	 22 	 69 	 68 	 81 	0	 132 	 5 	 1 
96年 1月	 5 	 2 	 4 	 7 	 2 	0	 6 	0	0
96年 2月	 1 	 1 	 3 	 11 	 23 	0	 23 	0	0
96年 3月	 5 	 1 	 4 	 3 	 2 	0	 17 	 1 	 1 
96年 4月	 5 	 2 	 1 	 3 	 15 	0	0	 1 	0
96年 5月	 3 	 1 	 6 	 2 	 1 	0	 1 	 2 	0
96年 6月	 2 	 2 	0	 1 	 4 	0	 3 	0	0
96年 7月	 3 	 2 	 6 	 14 	 6 	0	 27 	 1 	0
96年 8月	 3 	0	 6 	 3 	0	0	 18 	0	0
96年 9月	 8 	0	 3 	 6 	 1 	0	 14 	0	0
96年 10月	 41 	 3 	 3 	 6 	 20 	0	 14 	0	0
96年 11月	 47 	 5 	 31 	 11 	 4 	0	 8 	0	0
96年 12月	 14 	 3 	 2 	 1 	 3 	0	 1 	0	0
97年	 92 	 15 	 53 	 83 	 53 	0	 219 	 5 	 3 
97年 1月	 3 	 2 	 2 	 9 	 4 	0	 4 	 1 	0
97年 2月	 3 	0	0	 7 	 1 	0	 12 	 1 	0
97年 3月	 10 	0	 5 	 12 	 6 	0	 11 	0	0
97年 4月	 15 	 3 	 4 	 9 	 15 	0	 28 	 1 	0
97年 5月	 9 	0	 5 	 4 	 1 	0	 12 	0	0
97年 6月	 13 	 2 	 22 	 5 	 6 	0	 8 	0	0
97年 7月	 5 	 2 	 2 	 2 	 3 	0	 34 	 1 	0
97年 8月	 6 	 1 	 8 	 11 	 6 	0	 5 	 1 	0
97年 9月	 11 	 1 	 4 	 11 	0	0	 26 	0	 1 
97年 10月	 10 	 2 	 1 	 2 	0	0	 35 	0	 1 
97年 11月	 3 	 1 	0	 3 	 4 	0	 34 	0	 1 
97年 12月	 4 	 1 	0	 8 	 7 	0	 10 	0	0
98年	 88 	 16 	 38 	 44 	 81 	0	 119 	 7 	0
98年 1月	 3 	 1 	0	 3 	 2 	0	 25 	0	0
98年 2月	 8 	0	 5 	 4 	 4 	0	 2 	0	0
98年 3月	 10 	 1 	 15 	 8 	 15 	0	 9 	0	0
98年 4月	 16 	 2 	 8 	 4 	 9 	0	 36 	 1 	0
98年 5月	 23 	 3 	 1 	 3 	 4 	0	 11 	 1 	0
98年 6月	 7 	0	 1 	 2 	 2 	0	 8 	 1 	0
98年 7月	 4 	 2 	 2 	 1 	 7 	0	 5 	 1 	0
98年 8月	 5 	 1 	 2 	 5 	 12 	0	 4 	0	0
98年 9月	 5 	 2 	 1 	 4 	 4 	0	 4 	 1 	0
98年 10月	 2 	 2 	0	 1 	 8 	0	 4 	 2 	0
98年 11月	 2 	 2 	 2 	 5 	 5 	0	 4 	0	0
98年 12月	 3 	0	 1 	 4 	 9 	0	 7 	0	0
99年	 87 	 15 	 25 	 29 	 58 	0	 109 	 12 	0
99年 1月	 3 	0	 2 	 4 	0	0	 5 	 2 	0
99年 2月	 2 	0	 1 	 3 	 2 	0	 10 	0	0
99年 3月	 6 	 1 	 3 	 3 	 4 	0	 7 	0	0
99年 4月	 13 	0	 6 	 1 	 11 	0	 6 	 1 	0
99年 5月	 13 	 1 	 4 	 3 	 3 	0	 16 	 1 	0
99年 6月	 11 	 4 	 2 	 1 	 4 	0	 3 	0	0
99年 7月	 5 	 1 	 2 	 3 	 1 	0	 21 	 1 	0
99年 8月	 12 	 1 	0	 6 	 5 	0	 10 	 1 	0
99年 9月	 10 	 2 	 4 	0	 11 	0	 6 	 3 	0
99年 10月	 5 	 3 	0	 1 	 13 	0	 20 	 1 	0
99年 11月	 4 	0	 1 	 3 	 2 	0	 5 	 2 	0
99年 12月	 3 	 2 	0	 1 	 2 	0	0	0	0
100年	0	0	0	0	0	0	0	0	0
100年 1月	0	0	0	0	0	0	0	0	0
100年 2月	0	0	0	0	0	0	0	0	0
100年 3月	0	0	0	0	0	0	0	0	0
100年 4月	0	0	0	0	0	0	0	0	0
100年 5月	0	0	0	0	0	0	0	0	0
100年 6月	0	0	0	0	0	0	0	0	0
100年 7月	0	0	0	0	0	0	0	0	0
100年 8月	0	0	0	0	0	0	0	0	0
100年 9月	0	0	0	0	0	0	0	0	0
100年 10月	0	0	0	0	0	0	0	0	0
100年 11月	0	0	0	0	0	0	0	0	0
100年 12月	0	0	0	0	0	0	0	0	0
101年	0	0	0	0	0	0	0	0	0
101年 1月	0	0	0	0	0	0	0	0	0
101年 2月	0	0	0	0	0	0	0	0	0
101年 3月	0	0	0	0	0	0	0	0	0
101年 4月	0	0	0	0	0	0	0	0	0
101年 5月	0	0	0	0	0	0	0	0	0
101年 6月	0	0	0	0	0	0	0	0	0
101年 7月	0	0	0	0	0	0	0	0	0
101年 8月	0	0	0	0	0	0	0	0	0
101年 9月	0	0	0	0	0	0	0	0	0
101年 10月	0	0	0	0	0	0	0	0	0
101年 11月	0	0	0	0	0	0	0	0	0
101年 12月	0	0	0	0	0	0	0	0	0
102年	0	0	0	0	0	0	0	0	0
102年 1月	0	0	0	0	0	0	0	0	0
102年 2月	0	0	0	0	0	0	0	0	0
102年 3月	0	0	0	0	0	0	0	0	0
102年 4月	0	0	0	0	0	0	0	0	0
102年 5月	0	0	0	0	0	0	0	0	0
102年 6月	0	0	0	0	0	0	0	0	0
102年 7月	0	0	0	0	0	0	0	0	0
102年 8月	0	0	0	0	0	0	0	0	0
102年 9月	0	0	0	0	0	0	0	0	0
102年 10月	0	0	0	0	0	0	0	0	0
102年 11月	0	0	0	0	0	0	0	0	0
102年 12月	0	0	0	0	0	0	0	0	0
103年	0	0	0	0	0	0	0	0	0
103年 1月	0	0	0	0	0	0	0	0	0
103年 2月	0	0	0	0	0	0	0	0	0
103年 3月	0	0	0	0	0	0	0	0	0
103年 4月	0	0	0	0	0	0	0	0	0
103年 5月	0	0	0	0	0	0	0	0	0
103年 6月	0	0	0	0	0	0	0	0	0
103年 7月	0	0	0	0	0	0	0	0	0
103年 8月	0	0	0	0	0	0	0	0	0
103年 9月	0	0	0	0	0	0	0	0	0
103年 10月	0	0	0	0	0	0	0	0	0
103年 11月	0	0	0	0	0	0	0	0	0
103年 12月	0	0	0	0	0	0	0	0	0
104年	0	0	0	0	0	0	0	0	0
104年 1月	0	0	0	0	0	0	0	0	0
104年 2月	0	0	0	0	0	0	0	0	0
104年 3月	0	0	0	0	0	0	0	0	0
104年 4月	0	0	0	0	0	0	0	0	0
104年 5月	0	0	0	0	0	0	0	0	0
104年 6月	0	0	0	0	0	0	0	0	0
104年 7月	0	0	0	0	0	0	0	0	0
104年 8月	0	0	0	0	0	0	0	0	0
104年 9月	0	0	0	0	0	0	0	0	0
104年 10月	0	0	0	0	0	0	0	0	0
104年 11月	0	0	0	0	0	0	0	0	0
104年 12月	0	0	0	0	0	0	0	0	0
105年	0	0	0	0	0	0	0	0	0
105年 1月	0	0	0	0	0	0	0	0	0
105年 2月	0	0	0	0	0	0	0	0	0
105年 3月	0	0	0	0	0	0	0	0	0
105年 4月	0	0	0	0	0	0	0	0	0
105年 5月	0	0	0	0	0	0	0	0	0
105年 6月	0	0	0	0	0	0	0	0	0
105年 7月	0	0	0	0	0	0	0	0	0
105年 8月	0	0	0	0	0	0	0	0	0
105年 9月	0	0	0	0	0	0	0	0	0
