時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
89年	 2 	 4 	0	0	 44 	 6 	 24 	 505 	0
89年 1月	0	 1 	0	0	 10 	0	 4 	 54 	0
89年 2月	0	0	0	0	 1 	0	 1 	 28 	0
89年 3月	 1 	 1 	0	0	 2 	 1 	 1 	 39 	0
89年 4月	0	 1 	0	0	 1 	0	0	 40 	0
89年 5月	0	 1 	0	0	 11 	0	0	 46 	0
89年 6月	0	0	0	0	0	0	0	 39 	0
89年 7月	0	0	0	0	 3 	 1 	0	 37 	0
89年 8月	0	0	0	0	 2 	 1 	0	 54 	0
89年 9月	0	0	0	0	0	 2 	 3 	 40 	0
89年 10月	 1 	0	0	0	 3 	0	 7 	 46 	0
89年 11月	0	0	0	0	 2 	0	 7 	 46 	0
89年 12月	0	0	0	0	 9 	 1 	 1 	 36 	0
90年	 3 	 2 	0	0	 45 	 2 	 16 	 565 	0
90年 1月	0	0	0	0	 5 	0	 1 	 58 	0
90年 2月	0	0	0	0	0	0	0	 41 	0
90年 3月	0	0	0	0	0	0	 4 	 55 	0
90年 4月	0	 1 	0	0	 4 	0	 2 	 41 	0
90年 5月	0	0	0	0	 5 	0	 1 	 60 	0
90年 6月	0	0	0	0	 5 	 2 	 3 	 42 	0
90年 7月	0	 1 	0	0	0	0	0	 43 	0
90年 8月	0	0	0	0	 1 	0	0	 49 	0
90年 9月	0	0	0	0	 2 	0	 2 	 46 	0
90年 10月	 1 	0	0	0	 6 	0	 1 	 46 	0
90年 11月	 2 	0	0	0	 8 	0	0	 47 	0
90年 12月	0	0	0	0	 9 	0	 2 	 37 	0
91年	 2 	 1 	0	0	 72 	 2 	 45 	 493 	0
91年 1月	 1 	0	0	0	 3 	 1 	 2 	 43 	0
91年 2月	0	0	0	0	 4 	0	 1 	 31 	0
91年 3月	0	0	0	0	 9 	0	0	 54 	0
91年 4月	 1 	0	0	0	 6 	0	0	 48 	0
91年 5月	0	0	0	0	 9 	0	0	 35 	0
91年 6月	0	0	0	0	 6 	0	 9 	 30 	0
91年 7月	0	0	0	0	 9 	0	 3 	 22 	0
91年 8月	0	0	0	0	 7 	 1 	 4 	 48 	0
91年 9月	0	0	0	0	 6 	0	 7 	 42 	0
91年 10月	0	0	0	0	 6 	0	 5 	 48 	0
91年 11月	0	0	0	0	 1 	0	 4 	 43 	0
91年 12月	0	 1 	0	0	 6 	0	 10 	 49 	0
92年	 3 	 4 	0	0	 47 	 1 	 41 	 804 	0
92年 1月	0	0	0	0	 11 	0	 4 	 71 	0
92年 2月	0	 3 	0	0	 8 	0	 5 	 89 	0
92年 3月	0	 1 	0	0	 7 	 1 	 1 	 67 	0
92年 4月	0	0	0	0	 4 	0	 2 	 57 	0
92年 5月	0	0	0	0	 1 	0	0	 55 	0
92年 6月	 1 	0	0	0	 2 	0	0	 65 	0
92年 7月	 1 	0	0	0	 3 	0	 1 	 61 	0
92年 8月	0	0	0	0	 4 	0	 15 	 75 	0
92年 9月	0	0	0	0	 1 	0	 4 	 67 	0
92年 10月	 1 	0	0	0	 1 	0	 4 	 66 	0
92年 11月	0	0	0	0	0	0	 1 	 65 	0
92年 12月	0	0	0	0	 5 	0	 4 	 66 	0
93年	 1 	0	0	0	 23 	0	 33 	 576 	0
93年 1月	0	0	0	0	 2 	0	 8 	 58 	0
93年 2月	0	0	0	0	 1 	0	 3 	 66 	0
93年 3月	0	0	0	0	 3 	0	0	 58 	0
93年 4月	0	0	0	0	 4 	0	 2 	 44 	0
93年 5月	0	0	0	0	0	0	 1 	 53 	0
93年 6月	0	0	0	0	 2 	0	0	 43 	0
93年 7月	0	0	0	0	 2 	0	 2 	 30 	0
93年 8月	0	0	0	0	 3 	0	 4 	 34 	0
93年 9月	0	0	0	0	0	0	 7 	 49 	0
93年 10月	 1 	0	0	0	 3 	0	 3 	 56 	0
93年 11月	0	0	0	0	 1 	0	 3 	 48 	0
93年 12月	0	0	0	0	 2 	0	0	 37 	0
94年	 1 	 1 	0	0	 39 	0	 22 	 580 	0
94年 1月	0	0	0	0	 3 	0	0	 42 	0
94年 2月	0	0	0	0	 4 	0	 1 	 30 	0
94年 3月	0	0	0	0	 4 	0	 1 	 51 	0
94年 4月	0	0	0	0	0	0	 7 	 55 	0
94年 5月	0	0	0	0	 2 	0	 2 	 56 	0
94年 6月	0	0	0	0	 6 	0	 1 	 46 	0
94年 7月	0	0	0	0	 6 	0	0	 52 	0
94年 8月	0	 1 	0	0	 1 	0	 2 	 45 	0
94年 9月	 1 	0	0	0	 6 	0	 3 	 44 	0
94年 10月	0	0	0	0	 2 	0	0	 49 	0
94年 11月	0	0	0	0	 4 	0	 3 	 48 	0
94年 12月	0	0	0	0	 1 	0	 2 	 62 	0
95年	 12 	 3 	0	0	 35 	0	 22 	 1,050 	0
95年 1月	0	0	0	0	 2 	0	 1 	 67 	0
95年 2月	0	0	0	0	 4 	0	 2 	 111 	0
95年 3月	0	0	0	0	0	0	 1 	 90 	0
95年 4月	0	 1 	0	0	 4 	0	 1 	 92 	0
95年 5月	0	0	0	0	 2 	0	0	 97 	0
95年 6月	0	 1 	0	0	 2 	0	 1 	 79 	0
95年 7月	0	0	0	0	0	0	0	 78 	0
95年 8月	 1 	0	0	0	 3 	0	 5 	 83 	0
95年 9月	0	 1 	0	0	 2 	0	 3 	 75 	0
95年 10月	 1 	0	0	0	 9 	0	 4 	 101 	0
95年 11月	 8 	0	0	0	 4 	0	 2 	 78 	0
95年 12月	 2 	0	0	0	 3 	0	 2 	 99 	0
96年	0	 1 	0	0	 47 	0	 43 	 1,606 	0
96年 1月	0	0	0	0	 3 	0	 8 	 152 	0
96年 2月	0	0	0	0	 4 	0	 3 	 107 	0
96年 3月	0	0	0	0	 3 	0	 4 	 131 	0
96年 4月	0	0	0	0	 5 	0	 4 	 104 	0
96年 5月	0	0	0	0	 2 	0	 3 	 119 	0
96年 6月	0	0	0	0	0	0	0	 61 	0
96年 7月	0	0	0	0	 3 	0	 2 	 76 	0
96年 8月	0	 1 	0	0	 3 	0	 6 	 93 	0
96年 9月	0	0	0	0	 5 	0	 3 	 89 	0
96年 10月	0	0	0	0	 13 	0	 6 	 280 	0
96年 11月	0	0	0	0	 3 	0	 2 	 301 	0
96年 12月	0	0	0	0	 3 	0	 2 	 93 	0
97年	 6 	0	0	0	 44 	0	 59 	 1,550 	0
97年 1月	0	0	0	0	 1 	0	 7 	 87 	0
97年 2月	0	0	0	0	0	0	 1 	 97 	0
97年 3月	 1 	0	0	0	 10 	0	 6 	 137 	0
97年 4月	0	0	0	0	 7 	0	 12 	 135 	0
97年 5月	0	0	0	0	 4 	0	 3 	 125 	0
97年 6月	0	0	0	0	0	0	 3 	 124 	0
97年 7月	 4 	0	0	0	 4 	0	 5 	 120 	0
97年 8月	0	0	0	0	 5 	0	 9 	 199 	0
97年 9月	0	0	0	0	 7 	0	 3 	 170 	0
97年 10月	0	0	0	0	 3 	0	 5 	 133 	0
97年 11月	 1 	0	0	0	 2 	0	 3 	 101 	0
97年 12月	0	0	0	0	 1 	0	 2 	 122 	0
98年	0	 2 	0	 1 	 40 	0	 34 	 1,637 	 1 
98年 1月	0	0	0	0	 2 	0	 4 	 94 	0
98年 2月	0	0	0	0	 3 	0	 2 	 126 	0
98年 3月	0	0	0	0	 2 	0	 2 	 117 	 1 
98年 4月	0	0	0	0	 3 	0	 2 	 141 	0
98年 5月	0	0	0	0	 1 	0	 4 	 149 	0
98年 6月	0	0	0	0	 1 	0	0	 149 	0
98年 7月	0	0	0	0	 5 	0	 2 	 135 	0
98年 8月	0	0	0	0	 6 	0	 5 	 118 	0
98年 9月	0	0	0	 1 	 8 	0	 1 	 174 	0
98年 10月	0	0	0	0	 4 	0	 3 	 161 	0
98年 11月	0	 1 	0	0	 2 	0	 8 	 127 	0
98年 12月	0	 1 	0	0	 3 	0	 1 	 146 	0
99年	 1 	 22 	0	0	 39 	0	 22 	 1,948 	0
99年 1月	0	 2 	0	0	 6 	0	 5 	 151 	0
99年 2月	0	0	0	0	 4 	0	 2 	 164 	0
99年 3月	0	0	0	0	 3 	0	 1 	 229 	0
99年 4月	0	 5 	0	0	 3 	0	 2 	 172 	0
99年 5月	0	 5 	0	0	 2 	0	 3 	 172 	0
99年 6月	0	0	0	0	 3 	0	0	 159 	0
99年 7月	0	 5 	0	0	 5 	0	 2 	 148 	0
99年 8月	0	 3 	0	0	 3 	0	0	 187 	0
99年 9月	0	 2 	0	0	 3 	0	 2 	 156 	0
99年 10月	0	0	0	0	 3 	0	 3 	 155 	0
99年 11月	0	0	0	0	 3 	0	0	 98 	0
99年 12月	 1 	0	0	0	 1 	0	 2 	 157 	0
100年	0	0	0	0	0	0	0	0	0
100年 1月	0	0	0	0	0	0	0	0	0
100年 2月	0	0	0	0	0	0	0	0	0
100年 3月	0	0	0	0	0	0	0	0	0
100年 4月	0	0	0	0	0	0	0	0	0
100年 5月	0	0	0	0	0	0	0	0	0
100年 6月	0	0	0	0	0	0	0	0	0
100年 7月	0	0	0	0	0	0	0	0	0
