時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 5,980 	 1,061 	 93 	 193 	 3 	 724 	 233 	 186 	 139 
89年 1月	 483 	 96 	 6 	 22 	0	 61 	 14 	 17 	 9 
89年 2月	 427 	 71 	 11 	 19 	0	 35 	 17 	 10 	 14 
89年 3月	 387 	 73 	 8 	 15 	0	 58 	 17 	 11 	 8 
89年 4月	 396 	 96 	 12 	 19 	0	 66 	 17 	 15 	 7 
89年 5月	 501 	 102 	 9 	 16 	0	 76 	 14 	 14 	 15 
89年 6月	 398 	 77 	 3 	 8 	0	 57 	 14 	 15 	 10 
89年 7月	 515 	 81 	 6 	 16 	 1 	 63 	 13 	 22 	 16 
89年 8月	 616 	 113 	 13 	 19 	0	 45 	 20 	 19 	 17 
89年 9月	 576 	 86 	 10 	 17 	0	 61 	 29 	 17 	 9 
89年 10月	 526 	 88 	 5 	 13 	 1 	 67 	 27 	 18 	 12 
89年 11月	 587 	 95 	 6 	 14 	0	 77 	 26 	 16 	 11 
89年 12月	 568 	 83 	 4 	 15 	 1 	 58 	 25 	 12 	 11 
90年	 7,384 	 1,605 	 96 	 202 	 2 	 826 	 200 	 189 	 118 
90年 1月	 762 	 101 	 9 	 18 	0	 50 	 11 	 21 	 9 
90年 2月	 641 	 87 	 9 	 18 	0	 74 	 19 	 9 	 11 
90年 3月	 508 	 106 	 8 	 17 	 1 	 65 	 17 	 16 	 11 
90年 4月	 504 	 124 	 20 	 9 	0	 62 	 11 	 11 	 9 
90年 5月	 521 	 134 	 6 	 15 	0	 81 	 25 	 11 	 18 
90年 6月	 468 	 183 	 14 	 15 	0	 63 	 13 	 11 	 10 
90年 7月	 727 	 182 	 5 	 9 	0	 83 	 7 	 8 	 11 
90年 8月	 686 	 120 	 2 	 29 	0	 66 	 13 	 18 	 9 
90年 9月	 614 	 134 	 3 	 23 	0	 77 	 20 	 25 	 7 
90年 10月	 823 	 108 	 8 	 15 	0	 79 	 28 	 18 	 6 
90年 11月	 651 	 162 	 10 	 16 	0	 65 	 20 	 18 	 10 
90年 12月	 479 	 164 	 2 	 18 	 1 	 61 	 16 	 23 	 7 
91年	 8,662 	 1,813 	 92 	 205 	 1 	 739 	 389 	 164 	 128 
91年 1月	 494 	 191 	 9 	 33 	 1 	 52 	 14 	 10 	 11 
91年 2月	 1,115 	 225 	 13 	 22 	0	 41 	 13 	 12 	 8 
91年 3月	 539 	 144 	 3 	 33 	0	 64 	 9 	 11 	 7 
91年 4月	 645 	 148 	 12 	 13 	0	 75 	 17 	 16 	 7 
91年 5月	 583 	 111 	 10 	 15 	0	 48 	 78 	 14 	 7 
91年 6月	 660 	 122 	 10 	 8 	0	 52 	 26 	 16 	 4 
91年 7月	 869 	 110 	 11 	 12 	0	 65 	 22 	 13 	 12 
91年 8月	 818 	 149 	 3 	 19 	0	 73 	 44 	 19 	 9 
91年 9月	 532 	 143 	 7 	 12 	0	 68 	 26 	 15 	 14 
91年 10月	 1,054 	 165 	 4 	 21 	0	 89 	 32 	 12 	 20 
91年 11月	 811 	 178 	 5 	 10 	0	 52 	 54 	 8 	 19 
91年 12月	 542 	 127 	 5 	 7 	0	 60 	 54 	 18 	 10 
92年	 8,441 	 1,586 	 152 	 143 	 2 	 672 	 1,063 	 125 	 119 
92年 1月	 897 	 183 	 6 	 13 	0	 63 	 45 	 8 	 18 
92年 2月	 651 	 161 	 4 	 18 	 1 	 53 	 90 	 3 	 8 
92年 3月	 642 	 106 	 11 	 15 	0	 48 	 57 	 11 	 11 
92年 4月	 876 	 160 	 7 	 21 	0	 60 	 35 	 11 	 16 
92年 5月	 721 	 130 	 3 	 15 	0	 45 	 56 	 11 	 11 
92年 6月	 908 	 135 	 1 	 20 	 1 	 68 	 156 	 14 	 15 
92年 7月	 717 	 142 	 6 	 15 	0	 84 	 85 	 6 	 7 
92年 8月	 634 	 144 	 3 	 7 	0	 61 	 39 	 18 	 9 
92年 9月	 642 	 139 	 30 	 10 	0	 52 	 128 	 7 	 6 
92年 10月	 694 	 123 	 71 	 5 	0	 47 	 145 	 12 	 5 
92年 11月	 539 	 80 	 5 	 1 	0	 38 	 140 	 15 	 5 
92年 12月	 520 	 83 	 5 	 3 	0	 53 	 87 	 9 	 8 
93年	 7,614 	 1,054 	 165 	 129 	 1 	 443 	 861 	 85 	 77 
93年 1月	 606 	 95 	 4 	 5 	0	 37 	 68 	 3 	 3 
93年 2月	 572 	 81 	 3 	 20 	0	 39 	 60 	 8 	 3 
93年 3月	 587 	 65 	 88 	 38 	0	 31 	 73 	 5 	 3 
93年 4月	 526 	 89 	 49 	 5 	0	 35 	 33 	 8 	 3 
93年 5月	 569 	 85 	 3 	 6 	 1 	 48 	 85 	 8 	 9 
93年 6月	 697 	 94 	 1 	 11 	0	 26 	 117 	 12 	 7 
93年 7月	 686 	 62 	0	 4 	0	 38 	 98 	 5 	 10 
93年 8月	 631 	 89 	 2 	 8 	0	 28 	 77 	 11 	 7 
93年 9月	 790 	 100 	0	 12 	0	 32 	 82 	 6 	 7 
93年 10月	 675 	 112 	 6 	 8 	0	 41 	 37 	 5 	 11 
93年 11月	 641 	 97 	 5 	 10 	0	 41 	 68 	 9 	 7 
93年 12月	 634 	 85 	 4 	 2 	0	 47 	 63 	 5 	 7 
94年	 8,354 	 1,257 	 64 	 113 	 5 	 492 	 2,056 	 137 	 54 
94年 1月	 780 	 123 	 3 	 12 	0	 33 	 82 	 8 	 6 
94年 2月	 545 	 60 	 5 	 12 	0	 31 	 92 	 6 	 4 
94年 3月	 767 	 107 	 5 	 9 	 1 	 46 	 279 	 9 	 4 
94年 4月	 993 	 88 	 1 	 8 	0	 30 	 156 	 1 	 3 
94年 5月	 741 	 90 	 5 	 11 	0	 36 	 184 	 8 	 3 
94年 6月	 626 	 85 	 14 	 5 	 1 	 44 	 169 	 11 	 4 
94年 7月	 691 	 118 	 9 	 4 	 1 	 38 	 210 	 18 	 6 
94年 8月	 919 	 132 	 9 	 12 	0	 43 	 254 	 13 	 9 
94年 9月	 581 	 111 	 2 	 8 	0	 42 	 114 	 16 	 4 
94年 10月	 627 	 137 	 3 	 8 	 1 	 51 	 162 	 12 	 4 
94年 11月	 630 	 114 	 6 	 11 	 1 	 47 	 163 	 18 	 3 
94年 12月	 454 	 92 	 2 	 13 	0	 51 	 191 	 17 	 4 
95年	 8,528 	 1,123 	 64 	 366 	 3 	 587 	 2,072 	 181 	 59 
95年 1月	 957 	 84 	 8 	 32 	 2 	 34 	 194 	 6 	 4 
95年 2月	 789 	 100 	 3 	 97 	0	 32 	 212 	 15 	 11 
95年 3月	 514 	 87 	 3 	 83 	0	 48 	 190 	 20 	 4 
95年 4月	 679 	 95 	 2 	 37 	0	 56 	 96 	 15 	 6 
95年 5月	 660 	 100 	 4 	 11 	0	 48 	 224 	 12 	 3 
95年 6月	 762 	 142 	 9 	 13 	0	 55 	 156 	 19 	 2 
95年 7月	 813 	 126 	 13 	 13 	0	 54 	 149 	 13 	 4 
95年 8月	 980 	 110 	 11 	 15 	 1 	 45 	 289 	 14 	 9 
95年 9月	 754 	 80 	 6 	 11 	0	 63 	 162 	 27 	 3 
