時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 306 	 74 	 112 	 84 	 3 	 25 	 37 	 2 
89年 1月	0	 24 	 3 	 11 	 7 	0	 2 	 1 	 1 
89年 2月	0	 25 	 8 	 10 	 9 	0	 4 	 3 	0
89年 3月	0	 26 	 8 	 12 	 7 	 1 	0	 1 	0
89年 4月	0	 24 	 8 	 6 	 5 	 1 	 2 	 4 	0
89年 5月	0	 32 	 9 	 5 	 8 	0	 1 	 1 	0
89年 6月	0	 24 	 3 	 7 	 5 	0	 2 	 4 	0
89年 7月	0	 32 	 2 	 20 	 6 	0	 1 	 6 	0
89年 8月	0	 32 	 5 	 16 	 13 	0	 3 	 2 	0
89年 9月	0	 20 	 10 	 9 	 6 	0	 3 	 4 	0
89年 10月	0	 11 	 5 	 3 	 9 	 1 	 4 	 3 	 1 
89年 11月	0	 31 	 7 	 6 	 4 	0	 1 	 6 	0
89年 12月	0	 25 	 6 	 7 	 5 	0	 2 	 2 	0
90年	 5 	 276 	 65 	 202 	 142 	 3 	 21 	 61 	0
90年 1月	0	 21 	 7 	 4 	 15 	0	0	 6 	0
90年 2月	0	 24 	 2 	 11 	 6 	0	 1 	 3 	0
90年 3月	0	 21 	 13 	 6 	 17 	 1 	 1 	 3 	0
90年 4月	 1 	 19 	 4 	 15 	 5 	0	 5 	 5 	0
90年 5月	0	 23 	 6 	 12 	 12 	 1 	0	 5 	0
90年 6月	0	 21 	 4 	 16 	 7 	0	 1 	 4 	0
90年 7月	 1 	 20 	 7 	 22 	 12 	0	 1 	 4 	0
90年 8月	0	 25 	 3 	 37 	 23 	 1 	 3 	 7 	0
90年 9月	 2 	 13 	 5 	 20 	 10 	0	 3 	 4 	0
90年 10月	0	 26 	 6 	 15 	 11 	0	 1 	 10 	0
90年 11月	 1 	 31 	 6 	 25 	 16 	0	 4 	 8 	0
90年 12月	0	 32 	 2 	 19 	 8 	0	 1 	 2 	0
91年	 7 	 249 	 38 	 210 	 124 	 1 	 18 	 31 	 3 
91年 1月	0	 18 	 4 	 23 	 10 	0	 2 	 1 	0
91年 2月	 1 	 19 	 4 	 21 	 10 	 1 	 1 	 5 	0
91年 3月	0	 21 	 2 	 17 	 7 	0	 2 	 3 	0
91年 4月	 1 	 28 	 3 	 17 	 11 	0	 1 	 3 	0
91年 5月	 1 	 13 	 2 	 14 	 10 	0	 2 	 2 	0
91年 6月	0	 20 	 6 	 15 	 7 	0	 1 	 2 	0
91年 7月	 1 	 40 	 4 	 24 	 12 	0	 2 	 7 	0
91年 8月	0	 20 	 3 	 35 	 7 	0	 2 	 2 	0
91年 9月	 1 	 17 	 1 	 5 	 8 	0	 1 	 1 	 1 
91年 10月	 1 	 18 	 2 	 12 	 27 	0	 1 	 3 	 1 
91年 11月	0	 21 	 5 	 11 	 6 	0	 1 	 1 	0
91年 12月	 1 	 14 	 2 	 16 	 9 	0	 2 	 1 	 1 
92年	 4 	 260 	 34 	 160 	 112 	 7 	 21 	 29 	 2 
92年 1月	0	 18 	 2 	 15 	 15 	0	0	 5 	0
92年 2月	0	 24 	 1 	 19 	 17 	 2 	0	0	0
92年 3月	 1 	 25 	0	 15 	 4 	0	 4 	 1 	0
92年 4月	0	 24 	 6 	 9 	 13 	 1 	 2 	 6 	0
92年 5月	0	 15 	 3 	 6 	 5 	0	 3 	 3 	0
92年 6月	0	 23 	 3 	 16 	 15 	0	 1 	 2 	0
92年 7月	0	 36 	 5 	 32 	 4 	 1 	 2 	 3 	 1 
92年 8月	 1 	 30 	 2 	 21 	 14 	0	 2 	 3 	0
92年 9月	0	 21 	 4 	 7 	 4 	 2 	0	0	0
92年 10月	 1 	 16 	 3 	 6 	 4 	 1 	 2 	 1 	 1 
92年 11月	0	 19 	 5 	 7 	 10 	0	 2 	 4 	0
92年 12月	 1 	 9 	0	 7 	 7 	0	 3 	 1 	0
93年	 4 	 217 	 19 	 134 	 120 	 5 	 12 	 40 	0
93年 1月	0	 11 	 2 	 15 	 10 	 1 	 2 	 3 	0
93年 2月	 1 	 19 	 1 	 19 	 9 	0	 2 	 6 	0
93年 3月	0	 12 	 4 	 6 	 8 	0	0	 3 	0
93年 4月	0	 8 	0	 13 	 9 	 2 	0	 1 	0
93年 5月	0	 22 	 2 	 14 	 4 	0	 1 	 4 	0
93年 6月	0	 17 	 2 	 7 	 12 	0	0	 3 	0
93年 7月	 1 	 23 	 1 	 19 	 12 	 2 	 1 	 5 	0
93年 8月	0	 18 	 1 	 9 	 10 	0	0	0	0
