時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 291 	 5 	 84 	 335 	 876 	 1,906 	 2 	0	 38 
89年 1月	 15 	 1 	 4 	 15 	 58 	 246 	 1 	0	 10 
89年 2月	 6 	0	 4 	 11 	 107 	 298 	0	0	 7 
89年 3月	 14 	0	 3 	 19 	 32 	 118 	0	0	 2 
89年 4月	 7 	0	 5 	 49 	 47 	 146 	0	0	 1 
89年 5月	 10 	0	 8 	 47 	 66 	 158 	 1 	0	 2 
89年 6月	 40 	0	 6 	 33 	 64 	 146 	0	0	 11 
89年 7月	 9 	0	 8 	 9 	 85 	 139 	0	0	 1 
89年 8月	 44 	 1 	 6 	 12 	 73 	 121 	0	0	 1 
89年 9月	 44 	0	 10 	 22 	 60 	 108 	0	0	 1 
89年 10月	 65 	0	 14 	 49 	 93 	 126 	0	0	0
89年 11月	 14 	 2 	 12 	 43 	 99 	 177 	0	0	0
89年 12月	 23 	 1 	 4 	 26 	 92 	 123 	0	0	 2 
90年	 215 	 2 	 109 	 159 	 1,002 	 969 	 1 	0	 219 
90年 1月	 37 	 1 	 8 	 16 	 90 	 123 	0	0	 4 
90年 2月	 22 	0	 3 	 27 	 79 	 92 	 1 	0	 2 
90年 3月	 2 	0	 12 	 7 	 78 	 114 	0	0	 3 
90年 4月	 7 	 1 	 7 	 5 	 78 	 97 	0	0	 3 
90年 5月	 7 	0	 11 	 14 	 89 	 110 	0	0	 4 
90年 6月	 9 	0	 11 	 12 	 65 	 65 	0	0	 4 
90年 7月	 10 	0	 11 	 8 	 65 	 85 	0	0	 32 
90年 8月	 34 	0	 8 	 16 	 92 	 68 	0	0	 30 
90年 9月	 16 	0	 13 	 10 	 95 	 73 	0	0	 53 
90年 10月	 15 	0	 7 	 11 	 101 	 66 	0	0	 22 
90年 11月	 15 	0	 8 	 15 	 99 	 37 	0	0	 39 
90年 12月	 41 	0	 10 	 18 	 71 	 39 	0	0	 23 
91年	 372 	 5 	 140 	 168 	 941 	 370 	 6 	0	 233 
91年 1月	 2 	0	 3 	 7 	 52 	 27 	0	0	 5 
91年 2月	 62 	0	 14 	 16 	 93 	 42 	0	0	 21 
91年 3月	 37 	0	 6 	 13 	 67 	 37 	0	0	 18 
