時間	毀棄損壞	妨害公務	妨害電腦使用	強盜	搶奪	內亂	重利	竊佔	偽造有價證券
89年	 99 	 48 	0	 171 	 95 	0	 224 	 21 	 1 
89年 1月	 11 	 6 	0	 26 	 6 	0	 8 	 1 	0
89年 2月	 5 	 3 	0	 15 	 12 	0	 4 	 3 	0
89年 3月	 8 	 3 	0	 7 	 5 	0	 14 	 2 	0
89年 4月	 6 	 6 	0	 16 	 5 	0	 12 	 1 	0
89年 5月	 6 	 7 	0	 14 	 4 	0	 30 	 1 	0
89年 6月	 7 	 1 	0	 15 	 5 	0	 26 	 3 	0
89年 7月	 7 	 8 	0	 9 	 3 	0	 10 	0	0
89年 8月	 12 	 2 	0	 19 	 4 	0	 6 	 2 	0
89年 9月	 10 	 6 	0	 10 	 4 	0	 6 	 2 	 1 
89年 10月	 13 	 1 	0	 20 	 17 	0	 26 	 2 	0
89年 11月	 7 	 3 	0	 13 	 15 	0	 42 	 3 	0
89年 12月	 7 	 2 	0	 7 	 15 	0	 40 	 1 	0
90年	 110 	 35 	0	 211 	 214 	0	 72 	 20 	 9 
90年 1月	 9 	 3 	0	 25 	 17 	0	 12 	 2 	 1 
90年 2月	 11 	 1 	0	 19 	 47 	0	 5 	0	 1 
90年 3月	 6 	 3 	0	 8 	 17 	0	 2 	0	 1 
90年 4月	 10 	 3 	0	 18 	 4 	0	 4 	 4 	 2 
90年 5月	 6 	 3 	0	 24 	 14 	0	 2 	 4 	0
90年 6月	 9 	 1 	0	 12 	 17 	0	 19 	 1 	 1 
90年 7月	 12 	 4 	0	 13 	 2 	0	 2 	 2 	0
90年 8月	 6 	 2 	0	 26 	 23 	0	 5 	0	 1 
90年 9月	 9 	 6 	0	 16 	 24 	0	 10 	 2 	 1 
90年 10月	 12 	 2 	0	 21 	 17 	0	 3 	0	0
90年 11月	 8 	 3 	0	 18 	 22 	0	 3 	 3 	 1 
90年 12月	 12 	 4 	0	 11 	 10 	0	 5 	 2 	0
91年	 80 	 20 	0	 247 	 193 	0	 74 	 18 	 25 
91年 1月	 7 	 2 	0	 6 	 4 	0	 4 	0	 3 
91年 2月	 5 	 4 	0	 35 	 24 	0	 5 	0	 3 
91年 3月	 11 	0	0	 23 	 4 	0	 12 	 1 	 3 
91年 4月	 9 	 2 	0	 35 	 5 	0	 13 	 2 	 3 
91年 5月	 6 	 1 	0	 10 	 18 	0	 1 	 1 	 2 
91年 6月	 1 	 2 	0	 9 	 23 	0	 5 	0	 1 
91年 7月	 6 	 3 	0	 27 	 36 	0	 3 	 1 	 1 
91年 8月	 8 	0	0	 20 	 7 	0	0	 2 	0
91年 9月	 7 	0	0	 18 	 13 	0	 4 	 1 	 2 
91年 10月	 9 	 3 	0	 27 	 12 	0	 3 	0	 2 
91年 11月	 3 	 3 	0	 30 	 35 	0	 2 	 2 	 1 
91年 12月	 8 	0	0	 7 	 12 	0	 22 	 8 	 4 
92年	 80 	 27 	0	 257 	 196 	0	 350 	 15 	 14 
92年 1月	 6 	 1 	0	 22 	 63 	0	 12 	 3 	 3 
92年 2月	 6 	 2 	0	 6 	 12 	0	 26 	0	 2 
92年 3月	 8 	 3 	0	 8 	 14 	0	 11 	0	 4 
92年 4月	 8 	 2 	0	 24 	 18 	0	 3 	 1 	 1 
92年 5月	 10 	 2 	0	 32 	 24 	0	 6 	 1 	 4 
92年 6月	 7 	0	0	 33 	 11 	0	 30 	 1 	0
92年 7月	 5 	 4 	0	 30 	 7 	0	 27 	 6 	0
92年 8月	 13 	 4 	0	 38 	 5 	0	 92 	0	0
92年 9月	 3 	 1 	0	 19 	 21 	0	 36 	 1 	0
92年 10月	 6 	 1 	0	 29 	 9 	0	 19 	 1 	0
92年 11月	 4 	 3 	0	 8 	 1 	0	 23 	 1 	0
92年 12月	 4 	 4 	0	 8 	 11 	0	 65 	0	0
93年	 62 	 21 	0	 183 	 168 	0	 251 	 10 	 3 
93年 1月	 4 	 2 	0	 16 	 6 	0	 58 	0	 1 
93年 2月	 7 	0	0	 33 	 9 	0	 46 	0	0
93年 3月	 7 	 1 	0	 6 	 6 	0	 24 	0	0
93年 4月	 3 	 3 	0	 7 	 7 	0	 2 	0	 1 
93年 5月	 5 	 1 	0	 6 	 15 	0	 45 	 2 	0
93年 6月	 3 	 2 	0	 10 	 16 	0	 25 	0	0
93年 7月	 5 	 3 	0	 10 	 3 	0	 30 	0	0
93年 8月	 7 	 1 	0	 12 	 24 	0	 2 	0	0
93年 9月	 5 	 1 	0	 24 	 46 	0	 4 	 1 	0
93年 10月	 3 	 2 	0	 20 	 12 	0	 4 	 3 	0
93年 11月	 8 	 1 	0	 22 	 14 	0	 5 	 3 	0
93年 12月	 5 	 4 	0	 17 	 10 	0	 6 	 1 	 1 
94年	 85 	 29 	 56 	 230 	 200 	0	 163 	 28 	 4 
94年 1月	 11 	 3 	 5 	 28 	 19 	0	 2 	 1 	 1 
94年 2月	 4 	 3 	 2 	 13 	 11 	0	 1 	 1 	0
94年 3月	 6 	 2 	 5 	 17 	 3 	0	 4 	 2 	0
94年 4月	 5 	 5 	 3 	 40 	 7 	0	 17 	0	 1 
94年 5月	 7 	 3 	 5 	 8 	 29 	0	 16 	 6 	0
94年 6月	 5 	 1 	 4 	 10 	 8 	0	 16 	 2 	0
94年 7月	 9 	 1 	 10 	 7 	 8 	0	 21 	 2 	0
94年 8月	 11 	 2 	 6 	 23 	 27 	0	 22 	 6 	0
94年 9月	0	 1 	 9 	 17 	 16 	0	 22 	0	0
94年 10月	 14 	 2 	 4 	 10 	 32 	0	 7 	 1 	 2 
94年 11月	 5 	 4 	 1 	 31 	 25 	0	 21 	 3 	0
94年 12月	 8 	 2 	 2 	 26 	 15 	0	 14 	 4 	0
95年	 115 	 35 	 71 	 210 	 101 	0	 208 	 23 	 3 
95年 1月	 2 	0	 5 	 24 	 13 	0	 2 	 3 	 1 
95年 2月	 7 	0	 2 	 21 	 9 	0	 22 	 1 	0
95年 3月	 12 	 1 	 6 	 34 	 4 	0	 17 	 2 	0
95年 4月	 10 	 1 	 4 	 16 	 6 	0	 9 	 1 	0
95年 5月	 14 	 3 	 8 	 10 	 1 	0	 28 	 3 	0
95年 6月	 16 	 3 	 7 	 13 	 15 	0	 8 	0	 2 
95年 7月	 9 	 1 	 5 	 13 	 22 	0	 28 	 2 	0
95年 8月	 11 	 4 	 8 	 15 	 3 	0	 16 	 1 	0
95年 9月	 13 	 3 	 9 	 15 	 4 	0	 19 	 2 	0
95年 10月	 6 	 8 	 4 	 23 	 6 	0	 20 	0	0
95年 11月	 5 	 6 	 7 	 13 	 12 	0	 23 	 2 	0
95年 12月	 10 	 5 	 6 	 13 	 6 	0	 16 	 6 	0
96年	 197 	 42 	 94 	 147 	 137 	0	 182 	 26 	 4 
96年 1月	 13 	 2 	 7 	 12 	 3 	0	 11 	 4 	0
96年 2月	 10 	 1 	 4 	 22 	 28 	0	 26 	 3 	 1 
96年 3月	 6 	 3 	 6 	 10 	 5 	0	 19 	 3 	 1 
96年 4月	 11 	 5 	 3 	 7 	 16 	0	 2 	 2 	0
96年 5月	 9 	 2 	 11 	 11 	 7 	0	 5 	 3 	0
96年 6月	 5 	 4 	 1 	 4 	 8 	0	 8 	 1 	0
96年 7月	 6 	 4 	 7 	 21 	 13 	0	 34 	 3 	0
96年 8月	 8 	0	 9 	 19 	 7 	0	 34 	0	 1 
96年 9月	 9 	 2 	 6 	 11 	 12 	0	 16 	 2 	0
96年 10月	 51 	 3 	 5 	 12 	 23 	0	 17 	 1 	 1 
96年 11月	 51 	 9 	 33 	 13 	 10 	0	 8 	 2 	0
96年 12月	 18 	 7 	 2 	 5 	 5 	0	 2 	 2 	0
97年	 163 	 28 	 85 	 161 	 103 	0	 270 	 15 	 3 
97年 1月	 13 	 3 	 4 	 20 	 9 	0	 5 	 2 	0
97年 2月	 12 	0	 2 	 14 	 3 	0	 42 	 3 	0
97年 3月	 13 	0	 6 	 16 	 8 	0	 11 	 2 	0
97年 4月	 17 	 3 	 7 	 14 	 20 	0	 29 	 1 	0
97年 5月	 17 	 1 	 6 	 10 	 7 	0	 13 	0	0
97年 6月	 17 	 2 	 24 	 11 	 11 	0	 13 	0	0
97年 7月	 9 	 4 	 6 	 6 	 5 	0	 39 	 2 	0
97年 8月	 17 	 1 	 14 	 16 	 6 	0	 5 	 1 	0
97年 9月	 18 	 2 	 6 	 18 	 5 	0	 28 	0	 1 
97年 10月	 11 	 4 	 8 	 8 	 1 	0	 36 	0	 1 
97年 11月	 11 	 5 	 1 	 12 	 7 	0	 35 	 2 	 1 
97年 12月	 8 	 3 	 1 	 16 	 21 	0	 14 	 2 	0
98年	 160 	 45 	 75 	 93 	 129 	0	 149 	 20 	 2 
98年 1月	 5 	 4 	 4 	 6 	 9 	0	 29 	 2 	0
98年 2月	 15 	 2 	 10 	 6 	 7 	0	 8 	 3 	0
98年 3月	 15 	 5 	 21 	 16 	 17 	0	 12 	0	 1 
98年 4月	 19 	 3 	 9 	 9 	 11 	0	 36 	 1 	 1 
98年 5月	 29 	 4 	 6 	 8 	 13 	0	 12 	 1 	0
98年 6月	 13 	 1 	 4 	 7 	 7 	0	 9 	 2 	0
98年 7月	 16 	 4 	 4 	 4 	 9 	0	 7 	 4 	0
98年 8月	 15 	 5 	 3 	 8 	 18 	0	 6 	0	0
98年 9月	 10 	 4 	 5 	 9 	 5 	0	 5 	 1 	0
98年 10月	 9 	 4 	 1 	 7 	 17 	0	 10 	 3 	0
98年 11月	 8 	 6 	 6 	 7 	 7 	0	 5 	 2 	0
98年 12月	 6 	 3 	 2 	 6 	 9 	0	 10 	 1 	0
99年	 165 	 45 	 49 	 77 	 91 	0	 188 	 39 	 1 
99年 1月	 9 	 2 	 6 	 6 	 2 	0	 9 	 2 	0
99年 2月	 6 	 1 	 7 	 5 	 5 	0	 17 	 2 	0
99年 3月	 14 	 2 	 4 	 8 	 6 	0	 11 	 2 	0
99年 4月	 18 	0	 8 	 5 	 13 	0	 12 	 2 	0
99年 5月	 15 	 5 	 5 	 8 	 4 	0	 24 	 3 	0
99年 6月	 18 	 9 	 4 	 4 	 4 	0	 16 	 2 	0
99年 7月	 11 	 2 	 4 	 11 	 3 	0	 21 	 3 	0
99年 8月	 22 	 7 	 1 	 13 	 13 	0	 39 	 4 	0
99年 9月	 20 	 6 	 7 	 6 	 12 	0	 7 	 6 	 1 
