時間	妨害名譽	違反就業服務法	違反選罷法	妨害秘密	遺棄	違反貪污治罪條例	瀆職	懲治走私條例	妨害兵役
89年	 12 	 137 	0	 2 	 10 	 1 	 1 	 28 	0
89年 1月	0	 18 	0	0	 1 	0	0	 10 	0
89年 2月	0	 37 	0	0	 1 	0	0	 2 	0
89年 3月	0	 14 	0	0	 2 	0	 1 	0	0
89年 4月	 3 	 7 	0	0	0	0	0	 2 	0
89年 5月	 1 	 20 	0	0	0	0	0	 2 	0
89年 6月	 1 	 7 	0	0	0	0	0	 1 	0
89年 7月	 1 	 8 	0	0	 1 	0	0	0	0
89年 8月	 1 	 5 	0	0	 2 	0	0	 1 	0
89年 9月	 3 	 5 	0	0	 1 	0	0	 6 	0
89年 10月	 1 	 3 	0	 1 	 2 	 1 	0	 2 	0
89年 11月	0	 7 	0	 1 	0	0	0	 2 	0
89年 12月	 1 	 6 	0	0	0	0	0	0	0
90年	 13 	 165 	 12 	 2 	 7 	0	0	 11 	0
90年 1月	 1 	 9 	0	0	 1 	0	0	 2 	0
90年 2月	 2 	 23 	0	0	0	0	0	 1 	0
90年 3月	 1 	 11 	0	0	 1 	0	0	 1 	0
90年 4月	0	 5 	0	0	 1 	0	0	 3 	0
90年 5月	0	 15 	0	0	 1 	0	0	0	0
90年 6月	 1 	 18 	0	0	 1 	0	0	 1 	0
90年 7月	 1 	 11 	0	0	 1 	0	0	 1 	0
90年 8月	 3 	 17 	0	 1 	0	0	0	 1 	0
90年 9月	 1 	 10 	0	 1 	0	0	0	0	0
90年 10月	 2 	 12 	 1 	0	0	0	0	0	0
90年 11月	0	 25 	 4 	0	0	0	0	 1 	0
90年 12月	 1 	 9 	 7 	0	 1 	0	0	0	0
91年	 32 	 18 	 107 	 1 	 1 	 1 	 2 	 6 	 12 
91年 1月	 2 	 9 	 37 	0	0	0	0	 3 	0
91年 2月	 2 	 3 	 6 	0	0	 1 	0	0	0
91年 3月	 1 	 2 	0	0	0	0	 1 	0	0
91年 4月	 3 	 1 	0	0	0	0	0	0	0
91年 5月	0	0	 2 	 1 	0	0	0	0	 1 
91年 6月	 4 	0	 54 	0	0	0	 1 	0	0
91年 7月	 3 	 1 	 7 	0	0	0	0	 1 	0
91年 8月	 5 	0	0	0	0	0	0	0	 2 
91年 9月	 1 	0	 1 	0	0	0	0	0	0
91年 10月	 6 	0	0	0	0	0	0	0	 1 
