時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 9 	0	0	 57 	0	 3 	0	 155 	 403 
89年 1月	 1 	0	0	 2 	0	0	0	 13 	 46 
89年 2月	0	0	0	 4 	0	0	0	 28 	 47 
89年 3月	 1 	0	0	 3 	0	0	0	 21 	 36 
89年 4月	 2 	0	0	 9 	0	 1 	0	 10 	 13 
89年 5月	 1 	0	0	 11 	0	 1 	0	 7 	 55 
89年 6月	 1 	0	0	 4 	0	0	0	 11 	 34 
89年 7月	0	0	0	 4 	0	0	0	 5 	 21 
89年 8月	0	0	0	 4 	0	0	0	 19 	 28 
89年 9月	 1 	0	0	 8 	0	0	0	 7 	 26 
89年 10月	0	0	0	 2 	0	0	0	 10 	 50 
89年 11月	 2 	0	0	 3 	0	0	0	 18 	 19 
89年 12月	0	0	0	 3 	0	 1 	0	 6 	 28 
90年	 34 	0	 1 	 79 	 2 	 1 	0	 128 	 345 
90年 1月	 1 	0	0	 6 	0	0	0	 13 	 32 
90年 2月	 5 	0	0	 6 	0	0	0	 19 	 14 
90年 3月	 4 	0	0	 7 	0	0	0	 8 	 15 
90年 4月	 5 	0	0	 7 	0	0	0	 12 	 26 
90年 5月	 4 	0	0	 3 	0	 1 	0	 10 	 19 
90年 6月	 6 	0	0	 6 	0	0	0	 5 	 23 
90年 7月	 1 	0	0	 5 	0	0	0	 8 	 28 
90年 8月	 3 	0	0	 8 	 1 	0	0	 8 	 46 
90年 9月	 3 	0	0	 11 	0	0	0	 13 	 41 
90年 10月	 2 	0	0	 9 	 1 	0	0	 10 	 35 
90年 11月	0	0	 1 	 5 	0	0	0	 10 	 43 
90年 12月	0	0	0	 6 	0	0	0	 12 	 23 
91年	 17 	0	0	 55 	 1 	 1 	0	 113 	 597 
91年 1月	 5 	0	0	 4 	0	0	0	 7 	 26 
91年 2月	 4 	0	0	 1 	0	0	0	 12 	 37 
91年 3月	 1 	0	0	 4 	0	0	0	 13 	 50 
91年 4月	 1 	0	0	 9 	0	0	0	 8 	 28 
91年 5月	 2 	0	0	 3 	0	0	0	 10 	 30 
91年 6月	 2 	0	0	 3 	0	0	0	 4 	 49 
91年 7月	0	0	0	 1 	 1 	0	0	 11 	 50 
91年 8月	 1 	0	0	 11 	0	0	0	 7 	 71 
91年 9月	0	0	0	 2 	0	0	0	 16 	 52 
91年 10月	0	0	0	 3 	0	0	0	 12 	 74 
91年 11月	0	0	0	 7 	0	 1 	0	 6 	 72 
91年 12月	 1 	0	0	 7 	0	0	0	 7 	 58 
92年	 27 	0	0	 66 	 2 	0	0	 134 	 960 
92年 1月	 2 	0	0	 5 	0	0	0	 16 	 106 
92年 2月	 1 	0	0	 6 	0	0	0	 8 	 80 
92年 3月	 3 	0	0	 5 	 1 	0	0	 6 	 55 
92年 4月	 2 	0	0	 7 	 1 	0	0	 9 	 73 
92年 5月	 2 	0	0	 8 	0	0	0	 19 	 66 
92年 6月	 6 	0	0	 10 	0	0	0	 8 	 88 
92年 7月	 4 	0	0	 4 	0	0	0	 14 	 97 
92年 8月	0	0	0	 3 	0	0	0	 8 	 79 
92年 9月	 2 	0	0	 5 	0	0	0	 8 	 57 
92年 10月	 2 	0	0	 5 	0	0	0	 14 	 68 
92年 11月	 2 	0	0	 8 	0	0	0	 11 	 106 
92年 12月	 1 	0	0	0	0	0	0	 13 	 85 
93年	 16 	0	0	 55 	0	 4 	0	 179 	 945 
93年 1月	 1 	0	0	 4 	0	 1 	0	 13 	 101 
93年 2月	 1 	0	0	 5 	0	 1 	0	 11 	 123 
93年 3月	 3 	0	0	 7 	0	0	0	 13 	 84 
93年 4月	 1 	0	0	 4 	0	0	0	 9 	 68 
93年 5月	 3 	0	0	 3 	0	0	0	 11 	 58 
93年 6月	 1 	0	0	 4 	0	0	0	 11 	 74 
93年 7月	 1 	0	0	 5 	0	0	0	 23 	 64 
93年 8月	 1 	0	0	 5 	0	0	0	 11 	 97 
93年 9月	 1 	0	0	 4 	0	0	0	 28 	 64 
93年 10月	 1 	0	0	 7 	0	0	0	 15 	 80 
93年 11月	 2 	0	0	 3 	0	 1 	0	 22 	 57 
93年 12月	0	0	0	 4 	0	 1 	0	 12 	 75 
94年	 15 	0	0	 38 	0	 1 	 2 	 171 	 819 
94年 1月	 1 	0	0	0	0	0	0	 19 	 63 
94年 2月	 1 	0	0	 1 	0	0	0	 22 	 45 
94年 3月	 4 	0	0	 2 	0	0	0	 19 	 76 
94年 4月	 1 	0	0	 3 	0	0	0	 12 	 46 
94年 5月	0	0	0	 4 	0	0	0	 13 	 60 
94年 6月	 2 	0	0	 3 	0	0	0	 10 	 62 
94年 7月	 1 	0	0	 4 	0	0	0	 15 	 61 
94年 8月	0	0	0	 5 	0	0	0	 16 	 170 
94年 9月	0	0	0	 3 	0	0	0	 13 	 43 
94年 10月	 2 	0	0	 4 	0	 1 	 2 	 10 	 57 
