時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
89年	0	 249 	 60 	 73 	 46 	 1 	 17 	 25 	0
89年 1月	0	 17 	 3 	 7 	 3 	0	 1 	0	0
89年 2月	0	 21 	 5 	 4 	 4 	0	 3 	 3 	0
89年 3月	0	 23 	 6 	 6 	 5 	0	0	 1 	0
89年 4月	0	 19 	 5 	 3 	 2 	0	 2 	 2 	0
89年 5月	0	 23 	 9 	 4 	 4 	0	 1 	0	0
89年 6月	0	 20 	 3 	 5 	 3 	0	 1 	 2 	0
89年 7月	0	 28 	 2 	 17 	 3 	0	0	 3 	0
89年 8月	0	 26 	 4 	 9 	 8 	0	 2 	 2 	0
89年 9月	0	 16 	 8 	 8 	 2 	0	 3 	 4 	0
89年 10月	0	 9 	 4 	 2 	 7 	 1 	 2 	 1 	0
89年 11月	0	 26 	 6 	 3 	 2 	0	 1 	 6 	0
89年 12月	0	 21 	 5 	 5 	 3 	0	 1 	 1 	0
90年	 5 	 217 	 54 	 122 	 92 	 2 	 13 	 37 	0
90年 1月	0	 12 	 6 	 3 	 11 	0	0	 5 	0
90年 2月	0	 20 	 2 	 5 	 5 	0	 1 	 3 	0
90年 3月	0	 19 	 12 	 6 	 12 	 1 	 1 	 2 	0
90年 4月	 1 	 14 	 4 	 12 	 3 	0	 3 	 5 	0
90年 5月	0	 20 	 5 	 9 	 5 	0	0	 4 	0
90年 6月	0	 15 	 2 	 13 	 5 	0	 1 	 2 	0
90年 7月	 1 	 18 	 4 	 20 	 8 	0	 1 	 1 	0
90年 8月	0	 20 	 3 	 26 	 16 	 1 	 1 	 3 	0
90年 9月	 2 	 9 	 4 	 8 	 6 	0	 1 	 1 	0
90年 10月	0	 18 	 6 	 4 	 5 	0	 1 	 7 	0
90年 11月	 1 	 25 	 5 	 9 	 9 	0	 3 	 3 	0
90年 12月	0	 27 	 1 	 7 	 7 	0	0	 1 	0
91年	 6 	 202 	 30 	 97 	 65 	 1 	 12 	 18 	 1 
91年 1月	0	 13 	 3 	 10 	 1 	0	 2 	0	0
91年 2月	 1 	 14 	 2 	 9 	 8 	 1 	 1 	 3 	0
91年 3月	0	 16 	 2 	 6 	 4 	0	 2 	 2 	0
91年 4月	0	 25 	 3 	 3 	 7 	0	0	 1 	0
91年 5月	 1 	 12 	 2 	 7 	 7 	0	 1 	 1 	0
91年 6月	0	 17 	 4 	 6 	 3 	0	 1 	0	0
91年 7月	 1 	 35 	 3 	 16 	 6 	0	0	 6 	0
91年 8月	0	 16 	 2 	 21 	0	0	 2 	0	0
91年 9月	 1 	 12 	 1 	 2 	 6 	0	0	 1 	 1 
91年 10月	 1 	 13 	 2 	 6 	 13 	0	 1 	 3 	0
91年 11月	0	 17 	 5 	 5 	 5 	0	0	0	0
91年 12月	 1 	 12 	 1 	 6 	 5 	0	 2 	 1 	0
92年	 3 	 188 	 18 	 64 	 53 	 4 	 16 	 23 	 1 
92年 1月	0	 17 	0	 5 	 10 	0	0	 4 	0
92年 2月	0	 19 	0	 6 	 2 	0	0	0	0
92年 3月	 1 	 22 	0	 7 	 3 	0	 2 	 1 	0
92年 4月	0	 22 	 5 	 4 	 6 	 1 	 2 	 6 	0
