時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
89年	 764 	 34 	 18 	 91 	 1 	 43 	 22 	 18 	 26 
89年 1月	 73 	 5 	0	 3 	 1 	 1 	0	 1 	 5 
89年 2月	 71 	 3 	 3 	 6 	0	 3 	 1 	0	 1 
89年 3月	 38 	 2 	 1 	 1 	0	 3 	0	 2 	 3 
89年 4月	 60 	 5 	0	 4 	0	 2 	0	 1 	0
89年 5月	 64 	 2 	 1 	 51 	0	 2 	0	 1 	 2 
89年 6月	 60 	 3 	 1 	 8 	0	 3 	 1 	 1 	0
89年 7月	 61 	 2 	 2 	0	0	 2 	 4 	0	0
89年 8月	 60 	 2 	 1 	 1 	0	 6 	 3 	 1 	 4 
89年 9月	 82 	 5 	 1 	 2 	0	 5 	 1 	 2 	 3 
89年 10月	 91 	 1 	 3 	 7 	0	 7 	 3 	 5 	 4 
89年 11月	 70 	 3 	 4 	 6 	0	 3 	 6 	 4 	 3 
89年 12月	 34 	 1 	 1 	 2 	0	 6 	 3 	0	 1 
90年	 735 	 31 	 8 	 22 	 2 	 25 	 20 	 19 	 25 
90年 1月	 91 	 3 	 3 	 5 	 1 	 2 	0	 2 	 3 
90年 2月	 80 	 1 	 1 	 2 	 1 	 1 	 3 	 2 	 2 
90年 3月	 52 	0	0	 1 	0	 5 	 1 	 2 	 2 
90年 4月	 70 	 1 	 1 	 4 	0	 3 	 6 	 2 	 2 
90年 5月	 78 	 5 	0	 4 	0	 5 	 3 	 1 	 2 
90年 6月	 51 	 1 	0	0	0	 1 	 1 	 1 	0
90年 7月	 46 	 7 	0	0	0	0	 3 	0	 4 
90年 8月	 57 	 2 	 1 	 1 	0	 1 	 1 	 2 	 2 
90年 9月	 51 	 1 	0	0	0	 3 	0	 3 	 5 
90年 10月	 56 	 3 	0	 2 	0	 1 	 1 	 2 	0
90年 11月	 62 	 2 	0	 1 	0	 2 	0	0	 1 
90年 12月	 41 	 5 	 2 	 2 	0	 1 	 1 	 2 	 2 
91年	 1,067 	 57 	 19 	 25 	 1 	 36 	 32 	 14 	 18 
91年 1月	 45 	0	 2 	 1 	0	 3 	 1 	 1 	0
91年 2月	 133 	 7 	 1 	 2 	0	 3 	0	 1 	 1 
91年 3月	 58 	 3 	 1 	 5 	0	 2 	 2 	 2 	0
91年 4月	 66 	 3 	0	 7 	0	 4 	 3 	 3 	 2 
91年 5月	 76 	 4 	 2 	 1 	0	 2 	 3 	 1 	 2 
91年 6月	 91 	 5 	0	0	0	 2 	 3 	 1 	 3 
91年 7月	 93 	 7 	 2 	 1 	0	 4 	 3 	 1 	 1 
91年 8月	 98 	 8 	 1 	 2 	0	 5 	 2 	 1 	 2 
91年 9月	 80 	 7 	 5 	 2 	0	 1 	 2 	0	 1 
91年 10月	 125 	 5 	 1 	 1 	0	 4 	 5 	 2 	 3 
