時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
89年	 12 	 2 	 16 	 46 	 32 	 335 	 1 	0	 22 
89年 1月	0	0	0	 2 	 2 	 41 	0	0	 1 
89年 2月	 2 	 1 	0	 3 	 4 	 43 	0	0	0
89年 3月	0	0	0	 4 	 1 	 12 	0	0	0
89年 4月	0	0	0	0	 2 	 36 	0	0	0
89年 5月	 1 	 1 	0	 1 	 4 	 30 	0	0	 1 
89年 6月	 1 	0	0	 9 	 2 	 16 	0	0	 12 
89年 7月	 2 	0	0	 8 	 5 	 22 	0	0	 3 
89年 8月	 1 	0	 1 	 5 	 1 	 26 	 1 	0	0
89年 9月	0	0	 8 	 3 	 1 	 27 	0	0	0
89年 10月	 3 	0	 3 	 3 	 8 	 27 	0	0	 2 
89年 11月	0	0	 3 	 7 	 1 	 38 	0	0	 2 
89年 12月	 2 	0	 1 	 1 	 1 	 17 	0	0	 1 
90年	 7 	0	 7 	 30 	 46 	 157 	0	0	 54 
90年 1月	0	0	0	 3 	 4 	 28 	0	0	 1 
90年 2月	 1 	0	0	 4 	 2 	 10 	0	0	 1 
90年 3月	 1 	0	 1 	 1 	 3 	 20 	0	0	0
90年 4月	0	0	0	 5 	 6 	 22 	0	0	 3 
90年 5月	0	0	 1 	 10 	 8 	 21 	0	0	0
90年 6月	0	0	 1 	 1 	 1 	 13 	0	0	 6 
90年 7月	 1 	0	0	 1 	0	 13 	0	0	 12 
90年 8月	 2 	0	 2 	 1 	 5 	 5 	0	0	 12 
90年 9月	0	0	 1 	 1 	 6 	 10 	0	0	 5 
90年 10月	 2 	0	0	 1 	 4 	 5 	0	0	 10 
90年 11月	0	0	0	 1 	 3 	 4 	0	0	 2 
90年 12月	0	0	 1 	 1 	 4 	 6 	0	0	 2 
91年	 6 	0	 18 	 13 	 32 	 42 	0	0	 91 
91年 1月	0	0	0	 3 	 1 	 1 	0	0	 2 
91年 2月	0	0	 2 	0	 1 	 2 	0	0	 10 
91年 3月	0	0	 2 	 1 	 2 	 3 	0	0	 5 
91年 4月	 1 	0	 2 	 2 	 2 	 6 	0	0	 10 
91年 5月	0	0	 1 	 1 	 4 	 6 	0	0	 14 
91年 6月	 2 	0	 1 	0	 3 	 6 	0	0	 7 
91年 7月	0	0	 3 	 1 	 3 	 2 	0	0	 4 
91年 8月	 1 	0	 3 	 2 	 2 	 7 	0	0	 6 
91年 9月	0	0	 2 	0	 9 	 2 	0	0	 11 
91年 10月	 1 	0	 1 	 3 	 1 	0	0	0	 6 
91年 11月	0	0	 1 	0	 1 	 1 	0	0	 7 
91年 12月	 1 	0	0	0	 3 	 6 	0	0	 9 
92年	 4 	0	 15 	 13 	 32 	 39 	 1 	0	 95 
92年 1月	0	0	0	 1 	 1 	 1 	0	0	 13 
92年 2月	 1 	0	 1 	0	 1 	 1 	0	0	 6 
92年 3月	 1 	0	 1 	0	 1 	 2 	0	0	 6 
92年 4月	0	0	0	0	 4 	 2 	0	0	 9 
92年 5月	0	0	0	 1 	 2 	 3 	0	0	 4 
92年 6月	 1 	0	 1 	 1 	 10 	 3 	0	0	 9 
92年 7月	0	0	 1 	 3 	 1 	 4 	0	0	 13 
92年 8月	0	0	 3 	0	 1 	 4 	 1 	0	 8 
92年 9月	 1 	0	 3 	 4 	 1 	 7 	0	0	 9 
92年 10月	0	0	 3 	 2 	 2 	 6 	0	0	 10 
92年 11月	0	0	 1 	 1 	 5 	 5 	0	0	 5 
92年 12月	0	0	 1 	0	 3 	 1 	0	0	 3 
93年	 6 	0	 12 	 7 	 49 	 80 	 1 	0	 114 
93年 1月	0	0	 2 	0	0	 3 	0	0	 8 
93年 2月	0	0	0	0	 6 	 6 	0	0	 14 
93年 3月	0	0	 2 	 3 	 7 	 1 	0	0	 3 
93年 4月	0	0	0	0	 2 	 5 	0	0	 9 
93年 5月	0	0	0	 1 	 1 	 2 	0	0	 6 
93年 6月	0	0	 2 	0	 5 	 6 	0	0	 11 
93年 7月	 2 	0	 1 	 1 	 7 	 13 	0	0	 8 
93年 8月	 1 	0	 4 	0	 2 	 6 	0	0	 12 
93年 9月	 1 	0	 1 	 1 	 6 	 9 	0	0	 3 
93年 10月	0	0	0	0	 3 	 6 	 1 	0	 9 
93年 11月	0	0	0	 1 	 9 	 16 	0	0	 19 
93年 12月	 2 	0	0	0	 1 	 7 	0	0	 12 
94年	 5 	0	 14 	 14 	 73 	 137 	0	0	 64 
94年 1月	0	0	 2 	 2 	 2 	 12 	0	0	 4 
94年 2月	0	0	0	 1 	 4 	 18 	0	0	 1 
