時間	偽造貨幣	偽造度量衡	偽證	誣告	湮滅證據	藏匿頂替	脫逃	違反槍砲彈藥刀械管制條例	其他
89年	 9 	0	0	 8 	0	0	0	 69 	 114 
89年 1月	0	0	0	 1 	0	0	0	 5 	 7 
89年 2月	 3 	0	0	0	0	0	0	 16 	 3 
89年 3月	 1 	0	0	0	0	0	0	 8 	 2 
89年 4月	 1 	0	0	0	0	0	0	 8 	 16 
89年 5月	 1 	0	0	0	0	0	0	 8 	 6 
89年 6月	 1 	0	0	0	0	0	0	 2 	 6 
89年 7月	0	0	0	0	0	0	0	 3 	 8 
89年 8月	0	0	0	0	0	0	0	 5 	 15 
89年 9月	0	0	0	 3 	0	0	0	 4 	 3 
89年 10月	0	0	0	0	0	0	0	 2 	 24 
89年 11月	 2 	0	0	 3 	0	0	0	 3 	 15 
89年 12月	0	0	0	 1 	0	0	0	 5 	 9 
90年	 8 	0	0	 16 	0	0	0	 38 	 69 
90年 1月	 1 	0	0	0	0	0	0	 7 	 3 
90年 2月	0	0	0	0	0	0	0	 5 	 8 
90年 3月	0	0	0	 1 	0	0	0	 2 	 6 
90年 4月	 2 	0	0	 2 	0	0	0	 2 	 5 
90年 5月	 1 	0	0	 1 	0	0	0	0	 4 
90年 6月	0	0	0	 2 	0	0	0	0	 9 
90年 7月	 1 	0	0	0	0	0	0	 4 	 9 
90年 8月	0	0	0	 2 	0	0	0	 5 	 5 
90年 9月	 1 	0	0	 2 	0	0	0	 4 	 4 
90年 10月	 2 	0	0	 2 	0	0	0	 2 	 4 
90年 11月	0	0	0	 2 	0	0	0	 5 	 7 
90年 12月	0	0	0	 2 	0	0	0	 2 	 5 
91年	 5 	0	0	 9 	0	 1 	 2 	 32 	 89 
91年 1月	 1 	0	0	 2 	0	0	0	 1 	 3 
91年 2月	0	0	0	0	0	0	0	 4 	 4 
91年 3月	0	0	0	 1 	0	0	0	0	 3 
91年 4月	0	0	0	0	0	0	0	0	 4 
91年 5月	0	0	0	0	0	0	0	 1 	 2 
91年 6月	0	0	0	 1 	0	0	0	 6 	 10 
91年 7月	0	0	0	 1 	0	0	0	 1 	 3 
91年 8月	0	0	0	 1 	0	0	0	 4 	 10 
91年 9月	 2 	0	0	 1 	0	0	0	 4 	 14 
91年 10月	 1 	0	0	 1 	0	 1 	 2 	 2 	 17 
91年 11月	 1 	0	0	0	0	0	0	0	 7 
91年 12月	0	0	0	 1 	0	0	0	 9 	 12 
92年	 11 	0	0	 4 	0	0	0	 38 	 111 
92年 1月	 1 	0	0	0	0	0	0	 5 	 7 
92年 2月	 1 	0	0	0	0	0	0	 4 	 4 
92年 3月	 1 	0	0	0	0	0	0	 3 	 8 
92年 4月	0	0	0	0	0	0	0	 1 	 10 
92年 5月	 1 	0	0	0	0	0	0	 3 	 7 
92年 6月	 1 	0	0	 1 	0	0	0	 5 	 8 
92年 7月	 2 	0	0	0	0	0	0	 2 	 9 
92年 8月	 1 	0	0	 2 	0	0	0	 3 	 7 
92年 9月	0	0	0	0	0	0	0	 2 	 9 
92年 10月	 3 	0	0	 1 	0	0	0	 5 	 14 
92年 11月	0	0	0	0	0	0	0	 2 	 15 
92年 12月	0	0	0	0	0	0	0	 3 	 13 
93年	 7 	0	0	 5 	 1 	 1 	0	 70 	 195 
93年 1月	 1 	0	0	0	0	0	0	 6 	 7 
93年 2月	 1 	0	0	 2 	 1 	0	0	 4 	 19 
93年 3月	0	0	0	0	0	0	0	 11 	 11 
93年 4月	 1 	0	0	0	0	 1 	0	 4 	 23 
93年 5月	 2 	0	0	0	0	0	0	 2 	 10 
93年 6月	 1 	0	0	0	0	0	0	 2 	 25 
93年 7月	0	0	0	0	0	0	0	 15 	 12 
93年 8月	0	0	0	0	0	0	0	 3 	 8 
93年 9月	0	0	0	 1 	0	0	0	 8 	 24 
93年 10月	0	0	0	 2 	0	0	0	 5 	 16 
93年 11月	0	0	0	0	0	0	0	 4 	 13 
93年 12月	 1 	0	0	0	0	0	0	 6 	 27 
94年	 4 	0	0	 4 	0	0	0	 52 	 164 
94年 1月	 1 	0	0	0	0	0	0	 8 	 6 
94年 2月	 1 	0	0	0	0	0	0	 3 	 20 
94年 3月	0	0	0	 2 	0	0	0	 8 	 11 
94年 4月	0	0	0	0	0	0	0	 4 	 11 
94年 5月	 1 	0	0	0	0	0	0	 5 	 8 
